global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
9213.222817922275	n/a	84883474.69268367	n/a	11545.265206620066	n/a	133293148.69119188	n/a	7112.705953329367	n/a	50590585.97852702	n/a	7110.827316791458	12636.692507178723	n/a	n/a	n/a	n/a	-0.1053229913	-0.0249319575	-0.0054852564	0.2823623843	0.1161493627	-0.08353165580000001	-0.7917963675	0.011926376899999999	-0.0458956815	0.0024601194	-0.1338298409	-0.014569189599999999	0.06765251629999999	-0.0110567023	0.1335577622	-0.0144519611	0.0274534107	-0.0067644428	0.022616202599999996	-0.0286559948	0.0098658634	-0.0187019165	-0.0202995886	0.0366950469	-0.0261348927	0.032704887200000005	-0.0404990369	0.0223255801	-0.013504523300000001	0.0261787226	-0.0368861654	0.0241389559	-0.008497044799999999	0.06429338450000001	-0.0682870903	0.0270033975	-0.0465114792	0.037909364300000005	-0.0725282855	0.08853736039999999	-0.0214537495	-0.0156729467	0.10980149439999999	-0.08114226620000001	0.0513679733	-0.034944179	0.10562823029999999	0.0035860944	-0.0453995652	0.0106865347	-0.0248337631	0.1212714066	-0.10082038119999999	0.16425741230000002	-0.0972285569	0.09922084689999999	-0.0863837141	0.1624046818	-0.0331606755	0.050466953200000005	-0.0319758503	0.08850981109999999	-0.0652915342	0.0714257475	-0.0189497889	0.0010124703	-0.080835922	0.1110264057	-0.0747372236	0.0410685663	-0.012207583000000001	0.0145186906	-0.1406773642	0.045691649	-0.0442210687	0.013120610900000001	-0.005067241	-0.0456523037	0.022890781699999998	-0.11258838019999999	-0.0053985804	0.0146115695	0.0072471923	-0.10830809970000001	-0.015194856999999999	0.0271617902	-0.018775293000000002	-0.0105560033	-0.0445800482	0.027781252200000002	0.0651314202	0.0169420951	-0.0397153419	-0.0073456824	-0.0008718355	0.07762317889999999	0.057429089	-0.0762697049	-0.0426153018	0.0978596689	0.09941189460000001	0.0533082035	0.0777488195	-0.208041045	-0.0224794377	-0.0116661123	-0.04455736019999999	0.0376015284	0.0955271416	0.0275015258	-0.08935493119999999	-0.0298658386	0.0692754737	0.0319863224	0.0390015208	0.051378962300000004	-0.0249721702	-0.0787158375	-0.0249906698	0.0199455235	0.0876331194	0.0399978734	-0.0326185319	0.09107292880000001	-0.0832367982	0.0070523956000000014	-0.013453087800000001	0.0806230381	-0.0034604284000000003	0.2398896374	-0.1954084812	0.08473165699999999	-0.10055820509999999	0.137155072	-0.1542139833	0.0900122913	-0.0757320817	0.013806235200000001	-0.194468872	0.1709163851	-0.0803526032	0.05243844809999999	-0.24577408679999999	0.0420551567	-0.0371841454	0.0860220192	-0.12257335300000001	0.0586200154	-0.026301727999999996	0.0379884462	-0.0755472687	0.0273963817	-0.0700994921	0.0038637813000000003	-0.11885929140000001	-0.0149881383	0.0669425297	-0.07616953509999999	-0.0059703265	-0.0546097788	0.0240167286	0.0391466466	-0.0579930961	0.040329343	0.0461360242	-0.0886578574	-0.059847624	0.0509245542	0.0064294255000000005	0.0034979556	0.0828576814	-0.037839345499999996	-0.0925940065	0.047443115300000005	0.17335223579999998	-0.12357270810000001	-0.0853540545	-0.0035005278999999997	0.056967930599999994	0.0588671046	0.0379051931	-0.0180940981	-0.12282584939999999	-0.041350468700000004	0.013209396200000001	0.0084669113	0.0159628706	0.0049261601	6.0862e-06	0.07081602070000001	-0.0223401461	-0.058964323	0.0675943227	0.0015389057000000002	0.0079094908	-0.0416913568	-0.013588608500000002	-0.0045976791999999995	-0.0345549982	0.102594329	0.1025838106	0.1025662807	-5.5924e-08	n/a	n/a	3.127493776e-15	0.0316495	n/a	0.00100169085025	n/a	0.045720300000000005	n/a	0.0020903458320900006	n/a	0.0007667709999999998	n/a	5.879377664409997e-07	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9144.907059866237	-68.31575805603825	83629325.13359134	4667.042798771155	11264.502069284541	-280.76313733552524	126889006.86891569	78827.939286487	7123.830252574338	11.124299244971551	50748957.46749336	123.75003369167466	7121.03857996879	11909.660286146267	1.814085	70.922104	0.1917361059240001	0.13226300000000002	0.10565485289999996	0.09977842699999999	0.11955637109999999	-0.1570464634	0.0665969661	-0.21923804800000002	-0.4404115018	0.0026777076000000003	-0.009915557299999999	-0.0334845457	0.1114067201	0.0451866404	-0.131420544	-8.240899999999999e-05	-0.11520822859999999	-0.013930111399999999	-0.006120919200000001	0.0238972309	-0.0034293967999999998	-0.0218784109	0.0282995905	0.027332461000000002	0.1017929255	-0.0128233494	-0.0496840563	-0.1173344575	0.0790224822	-0.0208545535	0.0645837812	-0.1029543058	0.0535676638	0.0042847457	0.10075594130000001	-0.1421184035	0.08461110919999999	-0.028840428300000002	0.0665290652	-0.0364430623	0.1060858299	-0.1291611343	-0.0653582509	0.0132654447	-0.18298548399999998	0.1012296434	-0.0766069842	0.11188445	-0.1298079043	0.4221542893	-0.0320812371	-0.20844954219999998	-0.028239424500000002	0.1646571728	0.0452426606	0.24287117579999998	0.0041599569	-0.0366465588	-0.0104811111	-0.169978989	0.0044486018	0.0030941798999999997	-0.0339236527	0.09290778109999999	-0.09423244199999999	0.1583103573	-0.0167663222	-0.037110525299999995	-0.0089671501	-0.0187544077	-0.0759826602	-0.0322356122	-0.051522018499999996	-0.0554370585	-0.102764135	0.0022824782	-0.1409612216	-0.030462356800000007	-0.022041915899999997	0.0065835125	-0.0032253725	-0.043702886600000004	0.0452743702	0.050987791500000004	-0.0666827165	-0.1471277999	-0.0582486708	0.0916704982	-0.037329584900000004	0.0110208198	0.006244265600000001	0.0744012864	0.004625777	0.0138851395	-0.054788269800000004	-0.0097006941	0.07507152610000001	0.0396469483	0.056741282699999986	0.0692565267	-0.0802194187	-0.0281541802	0.0236793938	-0.0393863631	-0.0289697637	0.0453509267	-0.0856860028	-0.0001130944	0.033816894199999996	-0.0765749602	0.14698496789999999	0.06267864990000001	0.0202647808	-0.0624141371	0.0782667237	0.171779498	0.0127720717	0.0915869913	0.0201113705	-0.0123364956	0.033098113	0.0523851762	-0.0508890413	0.0918562992	0.1258910239	-0.13383173710000001	-0.4450627558	-0.0920709087	-0.2043069482	0.0821583843	-0.11592308359999999	0.2368370641	-0.0799413962	-0.0684793049	0.0334097888	0.0331331349	0.1618542393	-0.0270254304	0.0365086295	0.0218032587	-0.1662994197	0.14822143570000001	-0.1306654566	-0.0229730155	-0.0339078667	-0.0345758897	-0.0130619857	0.09928012609999999	-0.0151714528	0.10430705609999999	0.0028408737	-0.044597398600000004	-0.0804366484	-0.0104959951	-0.0685554835	-0.0433392264	0.0230077167	-0.0186520772	0.012031793	-0.005655910300000001	0.0019709838	-0.1197696525	0.04357688269999999	0.0048511879	-0.0503393383	-0.0312494379	-0.0359378406	0.0071358631999999984	0.0009814364	-0.0325330844	0.012742421499999998	0.0288657925	0.0342215476	-0.071152114	0.0357828854	-0.055908928899999995	0.06777887889999999	0.056993586799999996	0.1062802649	-0.0090658618	-0.0235007086	0.020810196	0.004416316500000001	0.0958473166	-0.0369478001	-0.0709127548	-0.0744489203	0.041398456	-0.08172501830000001	-0.1903564842	0.0380627694	-0.0376159082	0.0544950238	-0.0501477721	-0.034337441	0.029920795	0.0096382282	0.0409831403	0.0631579049	0.054345245099999995	-0.0216971955	0.1025662807	0.1024716367	0.1023139614	0.0	5.5924e-08	3.127493776e-15	0.0	0.12809000000000004	0.09644050000000004	0.01640704810000001	0.009300770040250008	0.0394773	-0.006243000000000006	0.00155845721529	3.897504900000007e-05	-0.0010142800000000002	-0.001781051	1.0287639184000003e-06	3.172142664601e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9107.50796828331	-37.39909158292721	82946701.39234397	1398.692051228177	11048.68796669408	-215.81410259046058	122073505.78537056	46575.72687692586	7120.692322306909	-3.1379302674295104	50704259.14896056	9.846606363250238	7113.930537869212	11295.565291570383	1.474046	57.628189	0.2682732	0.195188	0.3134638716	0.050424628799999996	0.1368189299	-0.3441876834000001	-0.0385736352	-0.2404303572	-0.18730754100000002	0.1524186378	0.0362776852	-0.08482280460000001	0.1040026931	-0.0258133712	0.048482772800000004	0.0815116672	-0.1540009053	0.0750782686	-0.0893496201	0.0667108924	-0.013061150700000001	0.1120779446	-0.1301269792	-0.031131152999999998	-0.1026888592	0.0274321904	0.10706143609999999	0.1321476259	-0.0024702508	-0.06875859919999999	0.0223242994	0.0273422665	0.12342837699999999	-0.0316081418	0.0080944247	0.0750370695	-0.057114051299999996	-0.02731057	-0.1287382684	-0.0422727638	0.050200205	-0.12473720199999999	0.0751569106	0.0510500679	0.08881705289999997	0.1114975028	0.015614098	-0.0330552913	-0.2416831307	0.5143844659000001	0.0808552762	-0.24603261510000002	-0.0950635408	0.10941924539999999	0.1455736842	-0.0173810894	0.1224938825	0.027280691800000003	-0.0835811138	-0.1935796795	-0.1264482631	-0.0696755361	0.1022229701	-0.10503145189999999	0.0852581017	-0.0494048956	0.0502696338	-0.011779599699999999	0.0154926126	0.062143135499999995	0.011867889	-0.063390191	0.0402051679	-0.0080389987	0.0927049219	-0.0578098354	0.0900392599	-0.0191646851	-0.0367772848	-0.0107916155	0.0341761104	0.01618974	-0.038683148	0.0443911309	0.060943358600000004	0.0945209695	0.0983959796	0.027930717799999998	0.0170249089	-0.0375673699	0.0282816961	-0.0226534425	-0.036037986699999996	0.0481214763	-0.016399578999999997	0.022819742900000002	-0.050224709299999996	-0.0483985446	-0.029551181800000006	-0.0337559237	0.057498386799999995	0.018551858100000002	-0.0781627066	-0.024985868900000003	0.0220589421	0.0039595418	0.0670021163	-0.0525807402	-0.0589366342	0.046648649400000006	-0.1540566276	0.011043096399999999	-0.0056258945	0.0258032523	-0.0393270493	-0.14692766570000002	-0.008159072199999999	-0.0315998783	-0.0086729059	-0.0033724684999999997	-0.050403793200000005	-0.16875247300000001	0.0409145979	0.006820589100000001	-0.0159565201	-0.24584700059999998	-0.4710851878	-0.19459208760000002	-0.2012762997	0.0945065716	-0.0217586376	0.0312435983	0.1521566202	-0.1853887018	-0.024667030099999997	0.0391773132	0.20578550550000002	0.0736095489	0.0748584737	0.09714520880000001	0.19159932699999999	-0.1027187858	0.0257160097	-0.004644741500000001	0.0182666563	0.016514285	0.0835834055	-0.0765455067	0.0538788251	-0.0867537765	-0.037252149500000005	-0.037271949	0.0580923849	-0.078807052	0.0335922076	-0.0174697984	-0.014059011699999999	-0.0405803931	-0.0177861136	0.0145585267	-0.0337256398	0.0826192915	-0.0940816492	0.0287594661	-0.026342078900000003	0.0375128219	0.0018245435999999999	0.0152721771	0.04568436360000002	0.0584432365	-0.0146625647	0.0584570333	-0.0551188898	0.0283797594	0.0265251552	0.040034345	-0.08933258869999999	0.0165039802	-0.051559135199999995	0.0322053044	-0.0179220707	0.002724183	-0.0404325308	-0.1197928527	0.053271955999999995	0.0543867233	-0.0053997848	-0.0431881578	0.0109756027	0.16875086620000002	-0.0285313237	0.050860437300000005	-0.1038959045	0.022860492799999996	0.0644311251	0.0338356013	0.0031461255	-0.0586456216	0.010429114	-0.1359424498	0.0639199555	0.10251019189999999	0.1022474116	0.1018099433	0.0	0.0	0.0	0.0	0.310352	0.182262	0.096318363904	0.03321943664399999	0.0199149	-0.019562400000000004	0.00039660324201	0.00038268749376	0.000314696	0.0013289760000000002	9.903357241599999e-08	1.7661772085760002e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9105.115941693392	-2.3920265899178053	82903136.31167914	5.721791206873803	10926.144479851971	-122.5434868421089	119380633.1945997	15016.90616742212	7119.847874036327	-0.8444482705817791	50692233.74941961	0.7130928816885576	7112.6708271704565	11829.578764831875	1.93035	75.467537	0.33700524000000004	0.302848	-0.0322621899	0.0489491219	-0.0283250658	0.0211281	0.0423891183	-0.10362394949999999	-0.0357536875	-0.0485909421	-0.029300600299999997	0.0487914063	0.113715859	0.09282437939999999	-0.0751985792	0.010310589200000001	-0.0471767595	-0.0977127392	-0.1144778957	0.12264472119999999	0.04429419019999999	0.061164237300000014	0.0123778381	0.1268140377	0.0321715599	-0.1498772576	0.0806449237	-0.071770834	0.0188162563	0.1408483642	-0.1403331561	0.0155756591	0.0361896033	0.043639275199999994	-0.10525675949999999	0.0033365491	0.06067068730000001	-0.0268018552	-0.0049743671	-0.1435153619	0.0123592657	0.0572781636	-0.0057911659999999995	0.0056149398	-0.10711454769999999	-0.057500827699999986	-0.043857309000000004	0.094981077	-0.044649259000000004	0.1021611359	-0.0495326101	0.00011305190000000001	-0.065204529	0.0352729519	-0.0753237447	-0.0425081555	-0.10183279460000001	-0.1147453875	-0.0729892222	0.2205858618	-0.128164565	0.1226206722	-0.06865098019999999	-0.0416520274	0.0227860972	-0.1583106309	-0.1236700152	0.039724280099999995	-0.1284633002	-0.0217567576	-0.1488940516	-0.19604290789999998	-0.016876628	0.1335617223	-0.0532099662	0.0680618924	0.1029346462	-0.0058957712	0.0825647325	-0.1315955458	-0.0784705205	-0.0107193487	-0.0249280602	0.131239691	-0.0308743961	0.0785619261	-0.0319786641	-0.17546679999999998	0.0647675011	0.0007806311	-0.0703001042	0.12698205140000002	0.0879289656	-0.1312008294	-0.0658134188	-0.030277581	-0.07430731389999999	0.0322701685	0.0163079753	-0.07019163269999999	-0.0530805491	-0.015350082	-0.02731135	-0.0625476195	0.0543160653	-0.152104989	-0.1212138508	0.1191332093	0.1290874502	0.0203876646	-0.08800682189999999	-0.032898582	0.0268818615	0.1472233486	0.0155752043	-0.0114584624	-0.0687434285	-0.1321951762	0.0779269184	-0.1587444614	-0.0615711	0.09528484220000001	0.035092657799999996	0.0171262069	0.0968350304	-0.039380924399999996	-0.12106097199999999	0.029337679199999998	0.0130538735	0.061008303300000004	0.0761608563	0.014434523500000001	0.00036539160000000016	0.0903850628	0.11190025699999999	0.029536632900000002	-0.1633095543	0.1422159475	-0.1818818335	-0.0240964169	0.0247577859	0.0207630328	0.1385189791	0.1503752774	-0.12346726289999999	0.0591314883	-0.08475886789999999	0.0861447317	0.25178975530000003	-0.042947924299999996	-0.0210175821	0.0968471375	0.07417674610000001	0.1003318808	0.0200663872	0.1670015628	-0.087650006	0.0295649484	0.022871679199999998	0.0327189099	-0.1308611022	0.0604221768	-0.11260914150000001	-0.11461216460000001	0.038325869900000004	-0.1108657866	-0.0340856942	-0.0799753959	-0.1458062219	-0.0258130258	0.0435078474	-0.0413074474	0.1029822143	0.1070318066	0.0457081113	0.0491430803	0.059022644299999996	0.0783318704	-0.024706392200000003	-0.0342151602	-0.044251688	0.1136002533	-0.0273392259	0.1037819549	-0.027973380099999997	0.1404319214	0.050066199699999994	-0.0134837653	0.053117908600000006	0.0993259417	0.1158082754	0.0062063693	-0.0055167765	0.0626702517	-0.043313613099999995	0.13531561779999998	-0.06345051389999999	0.0947807252	-0.2262339375	0.0756680715	0.06282798099999999	0.10242607769999999	0.10191138039999999	0.10105546650000001	0.0	0.0	0.0	0.0	0.00861201	-0.30173999	7.416671624009999e-05	0.09104702156520013	0.0414728	0.021557900000000005	0.0017199931398400006	0.0004647430524100002	0.000588843	0.00027414700000000003	3.4673607864900004e-07	7.515657760900003e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9094.587888040507	-10.528053652884411	82711528.85329309	110.83991371801277	10882.527254317434	-43.617225534537276	118429399.44096176	1902.4623633306912	7111.965312020461	-7.882562015865915	50580050.5993823	62.13478393397212	7103.400257265073	11818.760161994336	1.339632	52.37326	0.13408889197999999	0.0995668	0.032482521	0.011976286200000002	0.0309589943	0.0288249172	0.1267929917	0.0627290435	0.0128827975	0.030497719500000006	0.0668801718	0.1783795831	0.0733325147	0.0244552784	0.016352253400000002	0.0038674445	0.10191948	0.0107129343	0.054565497000000004	0.0230328341	-0.030997243900000002	-0.027374614300000003	-0.0215961377	0.0914974329	0.0540838212	-0.12416963449999999	0.0397013264	-0.0127989706	-0.17305426940000002	-0.058695436	-0.0677373934	0.1188398119	-0.1356550973	-0.0590642742	-0.0722729902	0.1113810449	0.0737498528	0.09910327449999999	0.1041493761	0.1548822529	-0.0601703401	0.0483629108	0.018582094099999998	0.0597615109	-0.1185819301	-0.009416266099999999	0.09491007630000001	-0.0190326164	-0.0317937981	-0.008340345	0.0344575979	-0.0011704317999999998	0.064258065	-0.020401058	-0.09445986880000001	0.026096449900000002	0.0101292636	0.0944542553	-0.07943598	0.09822180900000001	-0.0603134001	-0.0411417967	0.05717350280000001	0.046601433	0.0776934708	0.0481201938	-0.0941220792	-0.0543210474	-0.044820407400000005	-0.10912708939999999	-0.08346856400000001	-0.0189164651	0.0123070098	0.1845986965	0.0005530226	-0.0566971603	-0.26240884940000003	-0.06248489	0.050104975499999996	0.0446412458	0.1217365473	0.0713265342	-0.0133768426	-0.0063014338	-0.0047565511	-0.1747400466	-0.0567632093	-0.0150716845	0.019332169399999998	0.0485779976	0.14908457949999998	0.08680561199999999	0.0736814663	-0.0269963157	-0.1060877567	-0.007289829499999998	-0.061696122400000004	0.1412305131	-0.0349067189	0.056215872400000005	0.1193795755	0.0503005336	0.09320985720000001	0.0117933249	-0.020798884899999998	0.060842321500000004	-0.028488227400000007	-0.0820583751	-0.0296541304	-0.025390627000000002	-0.0158065324	-0.0954012251	0.1573953416	0.0048782398	-0.095301605	-0.0895313898	-0.062224291200000004	0.05586343269999999	-0.06385988769999999	0.0102642822	0.0836624793	0.0809750547	-0.0855671084	-0.104325325	-0.0180269765	-0.0342440602	0.0194500885	-0.0297702687	-0.024431894	-0.0465622254	0.020227680300000002	-0.0293894512	-0.1122308506	0.015156254199999997	-0.1012436479	0.0648300015	-0.0969745805	0.1072310023	0.0390627186	0.037153670699999995	-0.022469178399999998	-0.0403406168	-0.048123614	0.1004875995	-0.012942389399999999	-0.0733646962	-0.11941938490000001	0.081771085	0.0400618131	0.0051237783	-0.1106096407	0.12025017519999999	-0.1635489124	-0.0163203692	-0.11930618609999999	-0.0900468161	0.11698557359999999	-0.1037259007	-0.2099037676	-0.0015405228	0.0034691279999999997	-0.1043604809	0.039621966	0.0013390746	0.0790617844	-0.13715550869999998	-0.0505849918	-0.00046462989999999997	-0.0873495577	0.1344318776	-0.0388913911	0.0401860796	-0.0039017592	0.0607161744	-0.0501559792	-0.0945077748	-0.1401435247	0.0051321852	-0.00039309779999999997	0.1138347326	0.0464105975	-0.06463169839999999	-0.0294585419	-0.013411019	0.1690983443	0.0438501288	0.051120281600000005	-0.05824634450000001	0.0403187179	-0.028574861	0.0081006147	-0.1255886137	0.0832232695	0.034397481	-0.0307073081	0.0199190606	0.06635365389999999	-0.0157854995	0.0033150490999999996	0.1286358744	-0.09786267109999999	0.1023139614	0.1014639107	0.10005238710000001	-5.1979999999999986e-08	-5.1979999999999986e-08	2.701920399999999e-15	2.701920399999999e-15	0.104307	0.09569499	0.010879950249	0.0091575311111001	0.05666180000000001	0.015189	0.003210559579240001	0.00023070572100000004	0.00105294	0.00046409699999999996	1.1086826436e-06	2.1538602540900003e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
