global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18
9266.256418423587	n/a	n/a	85863508.01197632	10555.44736435525	n/a	111417469.0616742	n/a	7132.2122596877625	n/a	50868451.71724042	n/a	7148.776675334249	12573.087885830537	n/a	n/a	n/a	n/a	-0.0094326027	-0.0193738367	-0.0746217491	-0.7012655724	0.0829889725	-0.25400171109999997	0.0963608816	-0.1298102371	0.157780375	-0.2078348448	0.0652784454	-0.0642782849	0.0746970717	-0.0086362205	0.14798387429999998	-0.1004824126	0.0535044883	-0.04791366	0.0161145817	-0.0165141185	0.0084388713	-0.037001355699999995	0.030758620299999997	-0.0008369365	0.033297634900000005	-0.0171747266	0.0281383145	-0.0337347653	0.0781489889	-0.0024732471	0.0181153629	-0.008940130400000001	0.0020039434	-0.022055022599999998	0.0372045103	-0.0073026061	0.030691258199999998	-0.0711674944	0.0894765102	-0.0188816516	-0.0237331236	0.0033208834000000003	0.041670151	-0.013851515600000001	-0.0019979665	0.0041337213000000005	-0.10517654109999999	-0.10711578109999999	0.021116494	-0.014567098	0.043235235	-0.025843057599999997	0.0088557028	0.09755224720000001	-0.0409619684	0.0836244582	-0.000662974	0.0100228008	-0.0227914605	0.0394480838	-0.1150134835	0.0015506189000000002	-0.0162820724	0.0201138411	-0.030925413199999998	0.057507110099999995	-0.0359727183	0.0614971696	-0.056992415	0.005722594399999999	-0.0150532316	0.0723403065	-0.045916824	0.0543045715	-0.0416132763	-0.0884809592	0.0312314959	-0.024193781299999998	-0.0071497428	0.1018010976	-0.0501939657	-0.0090470285	-0.0167275196	0.0671879138	0.10032335390000001	-0.055267114900000004	-0.055580294100000004	0.026687663700000003	0.0387614915	-0.0462513647	-0.0002412626	-0.048644075499999995	-0.031635064500000004	0.061507910599999986	-0.0011435809	-0.0468198704	-0.008037334699999999	0.0069357672999999995	0.030697263	0.0259385723	-0.0500187099	-0.0024108734	-0.0679792226	0.0829023073	0.0062379971	0.0445861525	0.0282463516	-0.1205082905	-0.018949065	0.05271737940000002	0.0580338267	0.010955606299999998	0.0073094038	0.0673988859	-0.0053657076	-0.0963423383	-0.0989617345	0.0019811964000000003	-0.0039034125	0.009181561500000001	0.0943259575	-0.1328300792	0.031979156	-0.0406705891	0.0367695877	-0.023561930499999998	0.0116396713	-0.18001629170000005	0.0258374155	-0.1116845101	0.119315275	-0.0873666585	0.06765232	-0.2136190941	0.2468753046	0.1282090366	-0.0861438891	0.0744673344	-0.1619096244	0.11338992960000001	-0.06786212929999999	0.0263128027	-0.0975878282	0.1360748993	-0.07474103139999999	0.0165829204	-0.059313029800000014	0.0469291584	0.1231875935	-0.0669725134	0.0380495258	-0.0796614572	0.0090334348	0.0922431006	-0.0186602068	-0.0559880778	0.0614181601	0.0072799404000000005	-0.1131542067	-0.0019206881	-0.0082452503	0.0284907668	0.0719581961	-0.0729349529	-0.0067190048	0.0317693121	0.0167175915	0.0316965917	-0.0360933872	-0.019835319	-0.0312744716	-0.0035374531	0.0750537424	0.0238214894	-0.08998585529999999	-0.076158626	-0.0310550427	0.06662014349999999	0.11636266519999999	-0.08551280539999999	-0.0804317345	-0.1016138702	0.0419235613	0.10384066939999999	0.0169701793	-0.0346674529	-0.0026124616	-0.009011526899999999	-0.0119856496	-0.1887490226	0.00815891	0.0136677751	0.102594329	0.1025838106	0.1025662807	0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.031886000000000005	n/a	0.0010167169960000003	n/a	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9185.648001725864	-80.60841669772344	6497.716842513821	84376129.21161035	10260.396792619353	-295.0505717358974	105275742.34199351	87054.83988167992	7117.296862122546	-14.915397565216153	50655914.62357944	222.469084528456	7129.817459803141	12258.413790696653	0.962771	40.391666	0.031561700000000005	0.031561700000000005	-0.025916714599999998	-0.0184886798	-0.0809012733	-0.3615466570000001	0.0566616733	-0.1723521128	0.0298239725	-0.0314182487	0.0152132146	0.0196861628	-0.0311017171	0.0413145929	0.017454912700000002	-0.0020577173000000002	-0.1537461868	0.12533943109999998	0.0708162245	0.1326079323	-0.1172175267	-0.011045329	0.0123022715	0.09830008529999999	-0.1015942569	0.0430505521	0.012657670400000001	0.08436507480000001	-0.10275136970000001	0.0782185601	-0.1613042831	0.05320160769999999	0.0419573917	-0.0031914198	-0.09178667060000001	0.0629549502	-0.0872780206	0.0510810139	-0.0379027002	0.1653542164	-0.1579242515	-0.0142184061	-0.0513401346	-0.038152547099999996	-0.0739610507	0.012744465900000002	0.012669620900000001	0.0330229531	-0.10717449820000001	-0.0599990372	0.0295293526	-0.0432363971	0.0754212488	0.0256679954	0.0013004073	0.0852043056	-0.0431200575	0.050268697300000005	0.049576434	-0.0843643639	-0.0541675167	-0.0191416057	-0.09641201210000001	-0.026061835800000002	0.0315352999	-0.014549831599999999	-0.0411312338	-0.057519027800000004	-0.0298742991	0.11297659730000001	-0.0208998715	-0.0439279823	-0.0590626929	-0.0421684837	-0.0913866751	0.0220439767	-0.0244188227	-0.0025577288	0.0382422554	0.0379083727	0.0034642015000000003	0.1893375236	0.056138279900000004	-0.013141490300000001	-0.11479662269999999	-0.0551460744	0.0673440953	-0.10282047949999999	0.061897369	0.0255109908	0.07351898379999999	-0.0467269892	-0.043871033600000005	0.018655946899999998	-0.0308783423	0.0276736953	-0.1260101729	0.0676011693	-0.0879969692	0.08973317689999999	0.0625410656	0.0001468697	-0.2074855597	0.1014941891	-0.0665634537	-0.0334615549	-0.07268480440000001	-0.0411946871	-0.061113542699999995	-0.0811134518	0.040988587	0.052691535899999996	0.0578937146	0.0708660957	-0.0185909107	0.0719428857	-0.018737712099999998	0.0241171849	-0.0403599096	0.0036125913	0.0131070102	-0.027129797599999998	0.1007784258	-0.0785536841	0.033143530299999995	-0.0572814055	0.06692320480000001	-0.06368801980000001	-0.00028846220000000003	-0.1457018871	0.022615110299999998	-0.0521981825	0.1131554208	-0.15388635369999998	0.0343854431	-0.0928857663	0.2257047847	0.1062259381	-0.1386319064	-0.001344458	-0.1079460847	-0.0056313145999999994	-0.0531792345	-0.0021796537	-0.15780340140000002	0.0771321125	-0.0291135082	-0.0710774504	0.068064691	0.0401466278	0.1293074245	-0.1116465856	-0.062711095	-0.0666734727	0.007516689	0.0059769021	-0.1787138959	-0.016649636699999998	-0.0139729696	0.0807727768	-0.058037003899999995	0.0163545475	0.0592130387	0.0564399112	0.0595664233	0.0234795698	0.0667091209	-0.0181112052	0.021022983500000002	0.0431155927	-0.0568844179	-0.1070182684	-0.10854554960000001	-0.0126023126	-0.0166550411	0.0376291199	-0.07566809990000001	-0.0108392076	0.0145201671	-0.0781965815	-0.0184031765	0.0632538642	-0.0051912584999999995	0.077987661	0.0255961863	-0.0091997235	-0.033812821800000004	-0.0350420818	0.0154402523	0.0379326161	0.0207245954	-0.021925382799999997	-0.010310607099999999	0.021857995	0.1025662807	0.1024716367	0.1023139614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0634477	0.031561699999999984	0.004025610635289999	0.0009961409068899997	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9135.068695140924	-50.579306584939324	2558.2662546132874	83449480.06494372	10100.857532175449	-159.5392604439039	102027322.88530551	25452.775622987803	7126.304938248987	9.008076126440756	50784222.072911896	81.14543549975187	7138.258538287697	11778.52705562	1.244416	52.207703	0.137730125	0.08060639999999998	0.0341796536	0.0570360086	-0.12299191640000001	-0.1799029106	-0.0364080374	0.013477346000000001	0.0448093766	-0.11311143039999999	-0.012685051200000002	-0.0448246958	-0.0059012523	0.0091375936	0.0276314371	-0.05877608650000001	-0.1095158115	-0.013588567900000001	-0.0794837714	-0.075095859	-0.012767404599999999	0.0504821381	-0.0435861503	-0.0215675964	-0.0018820235	0.0052219908	-0.0122712377	0.0079546579	-0.0040259015	0.0438851903	-0.0366387671	-0.0110931382	0.0211857767	-0.0594150843	0.0874930935	0.115992853	-0.0774089181	-0.0698549472	-0.0414568415	-0.047663455099999995	-0.0612487862	0.0809053832	0.04457008269999999	-0.0576983079	0.06642196780000001	0.0177906081	-0.0462999218	-0.032812412	-0.0961495545	0.085116215	0.0332108898	-0.0862475865	0.0025443421	-0.043212021600000004	0.0694954109	0.0331135809	-0.010559988999999999	-0.1534156724	0.0764817709	-0.0275093085	-0.0007746294999999999	0.0342052578	0.00048130870000000003	0.0116214927	-0.010645923	0.09398079039999999	-0.0164789629	-0.0968285856	-0.08569187880000001	-0.0835564282	-0.0013603095	-0.0417521781	-0.1560569227	0.0462414845	-0.0100224436	-0.056133713099999996	0.1214681616	0.0836995577	0.035487869500000005	0.0343101975	-0.0351830946	-0.0720570971	-0.0620366837	0.0045161725	0.014862093400000003	-0.0040402224	-0.0338121401	-0.0112395958	0.0652134541	0.1248458933	0.0150224429	-0.0957746734	-0.05494551809999999	0.0313485736	-0.012092840300000001	0.0396715381	-0.0002702639	0.1060953611	-0.0593030341	0.1304336737	0.077162472	0.0402962543	-0.1166730141	0.047845014000000005	0.023584047099999998	-0.1350423686	0.0451707133	-0.0381386325	-0.0307074125	0.0473736518	0.0635058075	0.0103025974	-0.0547422556	0.11561447789999996	-0.010340349399999999	-0.0541968771	-0.034978771400000004	0.1195485726	0.1049757967	0.055377428799999996	-0.0514018163	0.0414980157	0.10979811630000001	0.0683186871	0.0265288302	-0.0907113157	0.0055487631	0.0102060973	0.0761941513	-0.06568284740000001	0.0080468113	0.13479285789999998	0.0083613361	-0.0639488123	0.029057400499999997	-0.06341913469999999	0.0513260671	0.062184952599999996	-0.0822176275	0.0887494263	-0.006702456999999999	-0.0755086993	-0.10047728140000001	0.061662065	-0.011714211499999998	-0.0733128058	-0.05685834450000001	-0.0807983701	-0.038594690200000004	-0.024317673799999998	-0.130613277	-0.041627957	-0.1089720841	0.0322233325	0.022164928599999998	0.015042863799999999	0.0455928117	-0.1190632862	0.0114726762	0.037901239100000005	-0.0919662676	0.0022006794000000002	0.09854448369999999	-0.0677775599	0.0471179351	0.0150377989	0.087164935	0.0423980775	-0.0033935212	0.0990482809	0.0587206695	0.0106621254	-0.0665421559	0.020994529799999998	-0.021178330099999997	0.0543922275	0.0634684314	0.10124734769999999	0.0624135436	-0.1377570609	-0.0996430041	0.0531328809	0.0982459155	0.1046611284	-0.038182817	-0.0579828617	0.050437254400000006	0.048764621900000006	0.0688643926	0.0757715512	0.0530118843	0.024324376499999998	-0.057245852300000004	0.0872214028	0.10251019189999999	0.1022474116	0.1018099433	0.000488075	0.000488075	2.38217205625e-07	2.38217205625e-07	-0.0588875	-0.0588875	0.0034677376562500003	0.0034677376562500003	0.0743413	0.010893600000000005	0.005526628885689999	0.00011867052096000007	0.00101681	0.00101681	1.0339025761e-06	1.0339025761e-06	-0.0	0.0	0.0	0.0	0.00033240900000000004	0.00033240900000000004	1.1049574328100002e-07	1.1049574328100002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9121.34514509316	-13.723550047765455	188.33582591352328	83198937.25591454	10006.67550436393	-94.18202781151922	100133554.6496371	8870.25436268978	7117.266565284732	-9.038372964255359	50655483.36131992	81.6921858409822	7127.181579516882	11714.17436029504	1.215007	50.973888	0.14841262500000002	0.08955119999999997	-0.0441311679	0.0971121191	-0.0718735422	-0.0647304613	0.0467165658	0.0932521681	0.0658474347	-0.0135547597	-0.011026743700000001	-0.0596009532	0.0338462854	0.12550284650000001	0.0014755866	0.04478024110000002	-0.006936096700000001	-0.0074789737	0.021799557200000003	-0.0213412833	-0.0638890857	0.0411857638	0.1094459331	0.0541149075	0.0258009789	-0.0415548262	-0.017429623999999998	0.0263084412	0.07045365370000001	0.0850583474	0.0495679022	-0.09502522640000001	-0.08161144070000001	0.08302655190000001	-0.028253265099999997	0.0166456726	0.0234842251	0.0077177444	-0.1188886825	-0.047384853399999996	0.0692658458	-0.0015618785999999998	0.17946918760000002	-0.0085796659	-0.0740785717	0.1073725464	0.0168646616	-0.0728350892	-0.07304741969999999	0.033035373	0.05642195570000001	-0.0233990028	0.021549428	0.0384686147	-0.0362265264	0.0664439695	0.040781346	-0.0182926949	-0.109837975	-0.0743965853	0.0618503322	0.043655308899999995	-0.080104612	-0.1272963567	-0.014267604	0.0712989474	0.10943806539999999	-0.152014251	0.0089357234	-0.2440279916	-0.060630039000000004	-0.0584248725	-0.0502934266	0.0708806643	-0.0616743534	0.0417851054	-0.1615205576	0.0226663637	0.060574032199999996	0.10668788039999999	0.0354161709	-0.0336546103	0.0341644267	-0.0747219189	-0.022134893	0.0900381881	-0.0197354553	0.0363018643	-0.0392273311	0.006437885	-0.0233616546	-0.0414226285	0.0843736343	-0.1233952193	-0.011560883899999999	-0.0724031057	0.0354561267	0.0788143204	-0.0106207144	0.0195623443	0.0688190767	0.0886213937	0.017224731599999998	-0.1049215773	0.0694097122	0.0499007313	-0.0098660707	0.105505418	-0.026665495600000002	-0.0733151004	-0.0944727326	0.0754939	0.0718322695	-0.1503052477	0.07614242809999999	-0.012219817800000001	0.0050727815999999995	-0.009539955400000001	-0.0047785217	0.0609629117	0.0145544377	0.0732025894	0.0757144463	0.0216413725	0.0523306003	-0.014675341100000001	0.0145873393	-0.04487683889999999	-0.0374236866	-0.0595994886	-0.0242389533	-0.0444647592	-0.1340169387	-0.0810100875	-0.056331350999999995	-0.088656488	0.0063911741	-0.0708499318	-0.1052688161	-0.044742881799999995	0.0366124671	-0.1366233202	-0.1526688408	0.2297810125	0.00042370330000000004	0.07596669980000001	0.0011015264	0.0621551376	-0.0659880121	-0.0580486092	0.0219336321	0.1187672188	-0.0579854169	0.0346649712	-0.1075311439	-0.0621968675	0.0486349897	0.052263709900000004	0.064916695	-0.0741917005	-0.13685534970000002	-0.0259172531	0.0130804804	-0.0053723708999999994	0.0322987165	-0.0983375628	-0.0012457692	0.012479278	-0.0896761306	-0.1234970502	0.0767162039	0.0360495234	-0.0757949701	-0.06565841389999999	0.037412520299999995	0.0561599435	0.0756035671	0.0781686933	-0.0572345765	0.17458520519999998	0.0436151358	-0.0093348822	-0.014276548200000001	-0.0667433252	0.0517443841	0.042687160599999996	-0.0641307919	-0.0749434823	-0.0855399592	-0.09828431650000001	-0.011984071	0.0036824471	-0.041170762400000005	0.0506821274	0.10242607769999999	0.10191138039999999	0.10105546650000001	0.0	-0.000488075	0.0	2.38217205625e-07	0.0117483	0.07063580000000001	0.0049894162416400005	0.00013802255289	0.0645135	-0.009827799999999998	0.00416199168225	9.658565283999997e-05	0.0	-0.00101681	0.0	1.0339025761e-06	-0.0	0.0	0.0	0.0	0.0	-0.00033240900000000004	0.0	1.1049574328100002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9125.678852510206	4.333707417046753	18.78101997656604	83278014.51915199	9932.334537979	-74.34096638492883	98651269.37433054	5526.579283045118	7109.981515113324	-7.28505017140742	50551837.14525317	53.071955999923276	7118.891935335721	11812.918294050754	1.083851	45.47139	0.2045531	0.149314	-0.0860977564	0.0386061737	-0.0090536468	0.0344975733	0.0664195144	0.0392415859	0.0191314779	0.0225435574	-0.0055864072	0.011620900600000001	0.0956379106	0.08648381949999999	0.0174529093	0.0646087013	-0.05484259389999999	-0.1595419745	0.0350007949	-0.0887939831	-0.079629434	-0.1509178968	0.036562875099999996	0.17202387870000002	-0.0298265681	-0.0438412442	-0.0517611375	-0.0550823692	-0.0244603867	-0.0370667292	0.12922678210000002	-0.0083697212	0.057572898	0.0232136537	0.1018480366	0.0490193968	-0.0228111038	0.0104548479	0.1104947712	0.0240744168	-0.06432045559999999	-0.0001196138	-0.1639638815	0.10849634119999996	0.045849024800000006	-0.0105103827	0.0652723558	-0.027639573599999998	-0.0532045906	-0.0420745314	0.10907152880000001	0.0371216315	0.0625543494	-0.0126816747	-0.053356044000000005	0.0041810153	0.081768169	0.058993659500000004	-0.0627165072	-0.060856377	-0.0837608712	-0.1002140295	0.08282541709999999	0.0199405927	-0.009496112900000001	-0.0026479359999999996	0.0424038421	-0.05284490519999999	0.0137413078	0.1033451842	0.1151739923	-0.1281375414	-0.1538242105	-0.0698328505	0.0370501534	0.0033275423	0.0025540085999999997	-0.0516006522	-0.034926091299999996	0.029612921299999997	0.10487228	-0.08787680560000001	0.0509351975	0.0248835364	-0.0839133363	-0.034348466	0.0206210772	0.0550011738	0.0039678632	0.0081354394	0.0075258276	-0.0691406282	-0.036996187400000005	0.1332414864	0.0007813837	0.0009051222	-0.0083393604	0.0716725621	-0.0528489509	-0.051622422	0.039964469700000005	-0.1118446389	-0.11160522630000001	0.0173748249	0.09225225960000001	0.046733555	-0.0640452314	0.1365269802	-0.0026052206	0.010595166299999998	-0.031829677	-0.031592502	0.08164643889999999	0.0058951424	0.0268138249	0.0065699501	-0.0873003126	0.0104210035	0.1007671425	-0.1608356988	0.0651283867	0.0270181677	0.050350275199999996	-0.0445592121	0.10471248640000001	0.0392383001	0.04720925	0.034650170200000004	-0.0660253743	0.012796502099999999	-0.0760562355	-0.0944553559	-0.062081025199999994	-0.025887115	-0.0012099873	0.1598870368	0.017548916100000003	0.0052886465	-0.025188096400000002	0.0199045167	0.0189818725	-0.018490934	0.006810368000000001	-0.0171802878	-0.1967858508	-0.1260987867	0.0020792008	-0.1414928521	0.0395902454	0.0456907191	-0.0276054191	0.0383900748	0.029679316600000002	0.0705349162	-0.11964091939999999	0.0057968064	-0.0610931629	-0.0160300911	-0.0900137805	-0.0169014524	-0.0336572541	0.0723429625	0.0408562746	-0.0067986964	0.022039871699999998	-0.0435267488	0.0829388191	-0.000819027	0.0155245608	0.0901827238	-0.0507973542	0.017185023400000003	0.0485375738	-0.1599142003	-0.0312538483	-0.0288675946	-0.022037819500000003	0.058175201100000004	0.0607431664	0.1121265116	-0.0014140666	0.0890075934	0.09044657589999999	0.0356991773	-0.0707153059	0.0215583733	-0.0547744567	0.005816373499999999	0.0085812937	0.0032861262	0.0149689025	0.1521353092	-0.041125535	-0.0431466039	0.1023139614	0.1014639107	0.10005238710000001	0.0	0.0	0.0	0.0	0.154319	0.14257070000000002	0.02032640449849001	0.023814353761000003	0.035792000000000004	-0.0287215	0.0012810672640000006	0.0008249245622499997	-0.0006652180000000001	-0.0006652180000000001	4.425149875240001e-07	4.425149875240001e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9103.99133300989	-21.68751950031583	470.34850207657934	82882658.19151919	9932.49672617006	0.16218819105961302	98654491.21537896	0.026305009319189537	7102.875937985449	-7.1055771278752236	50450846.59041268	50.4892263201835	7110.23642915742	11803.747568795967	0.8738940000000001	36.662952	0.04359205000000002	0.0273321	-0.0912487047	0.0412645188	-0.011757406000000001	0.043420914500000005	0.0578290371	-0.0598346229	-0.0540890321	0.033683539900000004	-0.10437533199999999	0.057962027199999995	0.0174899409	0.01678023	0.021705700699999997	0.0181459704	-0.0465506801	0.0189284277	-0.0130137099	0.041250146	-0.0188064758	-0.0589617925	0.1178507719	0.09206093259999999	-0.09115584939999999	-0.0767390986	-0.037824482400000005	0.0261543671	-0.1105451445	-0.08121465110000001	-0.0535680022	-0.0203323403	0.0312339634	0.1009693644	0.0093260866	-0.0067904333	-0.141671741	-0.0541594234	0.124210078	-0.1193542878	-0.0816281953	-0.14142111	-0.0260609534	0.0296967571	0.15787354509999998	0.0036838863	0.0761124428	0.0104844655	-0.0515484807	-0.0788755172	0.12094214789999999	-0.0025641025	0.055489503499999995	0.0169309732	-0.013223835900000001	0.0081120485	0.0137143315	0.0446360121	-0.0928913532	0.042761653399999995	-0.07574080429999999	0.0594036916	0.0205404562	0.0238449278	-0.027557370600000002	-0.081434649	-0.1299683985	0.083042585	-0.016624541	0.0440771266	0.0810290705	0.032964673	0.045326751	-0.10915998269999999	0.086890223	0.1088828903	-0.0580409726	0.0221808976	-0.0016676837	-0.0029010467	0.0283815008	0.0094773158	-0.0382131571	0.07430713	0.006047794499999999	0.079588529	0.0022031897	-0.0116701483	0.0746475498	0.0515905931	0.0219869333	0.1405998318	0.0767366714	0.024406628399999998	0.052112246699999996	-0.0589947128	-0.0029906927000000003	-0.039574073599999995	0.0351540553	-0.0458310774	-0.0254890778	-0.026088304700000002	0.05005255	0.09305683669999999	-0.1756435424	0.0940597933	0.029114535499999997	-0.0084047016	0.09572048429999999	0.0411286347	-0.003549707	-0.0539123172	0.10404141189999999	-0.0102528106	0.14043365119999998	0.08905527960000001	-0.0172711525	-0.086215228	0.08980005419999999	0.0780480237	0.0771302661	-0.0131835019	0.0449078493	-0.0775445607	0.1217178248	0.0014270183999999999	0.0463500129	-0.0023793428	-0.0376666403	0.020493789199999998	-0.0332335053	-0.0829466053	-0.044348090800000003	0.052625482599999995	0.1070035798	0.008683154399999999	-0.0423380034	0.014459206	0.0824084038	-0.0172906839	-0.0685848867	0.0379393695	0.13889532570000002	-0.0341827052	0.0478497598	-0.0775850577	0.0078953906	-0.0222074604	0.0792201385	0.057971030800000004	0.1280871931	0.0203536986	-0.024644236099999998	0.0541882275	-0.0072366891000000015	0.0025141605	0.0045680451	-0.0428035538	-0.035275226800000004	-0.0750031746	-0.029434170200000002	-0.056259766600000004	0.0156650297	-0.081434123	-0.08964608810000001	0.0905704369	-0.0951660376	-0.11500723269999999	0.0697055981	-0.056621149100000004	-0.0078029089	0.0088607473	0.0012136004	0.0046118726	0.034994141299999997	0.0318672797	-0.046829051399999995	-0.1770324355	0.0481827984	-0.0477865073	-0.0091197369	0.0008274061	0.05563319519999999	-0.09776333179999999	-0.0439755042	0.0621700683	-0.0931591769	-0.0715358908	0.018979916200000002	-0.0657643153	0.1333111649	-0.0357323296	0.0323336142	-0.0610202724	0.1021738733	0.10090549160000001	0.0988031726	0.0	0.0	0.0	0.0	0.133079	-0.02124000000000001	0.00045113760000000037	0.017710020241	0.0265629	-0.009229100000000004	0.0007055876564100001	8.517628681000009e-05	-0.000402759	0.00026245900000000004	1.6221481208100002e-07	6.888472668100003e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
