global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12
9362.798912700337	n/a	87662003.47966261	n/a	11722.050842980174	n/a	137406475.9654122	n/a	7307.4076244153175	n/a	n/a	53398206.18936312	7303.703955225477	11494.485879238222	n/a	n/a	n/a	n/a	-0.0333965934	-0.1636570666	0.08851079449999999	0.0008420591000000001	-0.586199011	0.4544024427	-0.2563890336	0.0308895828	-0.0744279013	0.0871253932	-0.032572082599999996	0.0708751236	-0.0109014581	0.1156423177	-0.037579992400000005	0.0501820575	-0.10908033519999999	0.0101100233	-0.06096687820000001	0.0806412194	-0.0186859247	0.043173635300000006	-0.026947619	0.049993252599999996	0.0379523477	-0.0817978575	0.016537375400000002	-0.042335140099999995	0.037087930899999996	-0.0227606458	0.0148428232	-0.1000762725	0.009377646	-0.0240595098	0.0144623201	-0.0330914856	-0.010091537900000001	0.027342305600000002	0.0454066921	-0.0963618909	0.0391459704	-0.12309094300000001	0.0955942391	-0.1722667379	0.0188802115	-0.0322273168	-0.0480375884	0.0222063586	-0.0073399286	0.050190322999999995	-0.05852585320000001	0.0069953477000000005	-0.0766820704	0.0111058927	-0.1399638977	0.0139603073	-0.045087189699999995	0.0157452579	-0.006383869	0.0210823243	-0.0831713333	0.0674485306	-0.0607222908	0.0055479614	-0.0931944041	0.0554160287	-0.052235232	0.079938933	-0.0997171776	0.1540211452	-0.1109782955	0.0065182503	0.0206951157	-0.0912836817	0.0736168398	-0.0310685365	-0.0049514303	-0.1319307801	0.0063492586	0.0466338479	-0.0292405008	-0.0902470249	0.0188336726	-0.0670761192	-0.0046553683000000005	-0.0037908379	-0.0045028735999999995	-0.156170095	0.0682057475	-0.09581137199999999	-0.059702874	-0.0511517983	0.0588262586	0.09880560140000001	-0.1185569568	-0.0076042504	-0.0403366093	0.0263599862	5.79811e-05	0.0542134733	-0.0208459678	-0.0528151263	-0.0364075592	-0.0080105577	0.0283599231	0.0500537442	-0.0943773373	0.0431568763	-0.1389338873	0.08515367199999999	-0.1809323545	0.0309148744	0.032028520299999995	-0.0197868785	0.0041301115	-0.0248307825	0.0730942066	-0.0217138183	0.0702496291	-0.12411562960000001	0.0951905545	-0.135966287	0.0296419406	-0.0327850768	0.021671640899999997	0.006410121800000001	-0.0660528877	0.1475159556	-0.05935755650000001	0.1172649248	-0.0655018333	0.0126149205	-0.1142372116	0.1205452939	-0.0359313369	0.17341051989999998	-0.1288848443	0.0092298909	0.046748839199999996	-0.0964362087	0.0503341822	-0.0605688218	0.027826579700000003	0.0822876843	-0.1012183317	0.0073641481000000005	0.0152189401	0.0382403193	-0.048647532800000004	-0.0361884586	0.11679603029999999	0.0393619051	0.0078854178	-0.1673203451	0.0504804154	0.0419794245	0.0100173648	0.0046256205	-0.1163860061	-0.04214177349999999	0.025496937200000003	0.0731095707	0.029528761	-0.0560746228	-0.1264401107	0.0665207801	0.0815931786	-0.0274717187	-0.0175239537	-0.0177211735	0.102594329	0.1025838106	0.1025662807	0.0319184	n/a	n/a	0.0010187842585599998	-0.0437286	n/a	0.0019121904579599998	n/a	0.0131853	n/a	n/a	0.00017385213608999998	0.00411402	n/a	n/a	1.6925160560400002e-05	0.000943108	n/a	8.89452699664e-07	n/a	0.0006689939999999999	n/a	n/a	4.4755297203599995e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9406.139925870946	43.3410131706096	88475468.30506349	1878.4434226549536	11425.059929446898	-296.99091353327634	130531994.39145316	88203.60272133005	7339.757412930832	32.34978851551477	1046.5088169985318	53872038.8806731	7332.627711710601	11547.776278242784	1.072127	43.228951	0.11060491999999998	0.0547023	-0.0397512191	-0.1515318856	0.1280069136	0.0696547294	-0.2497023256	0.2827625196	-0.08872101550000001	0.0092081769	0.0627873945	-9.948110000000001e-05	0.030207793700000006	-0.0113184435	0.0030991131	-0.075894203	0.10215330449999999	-0.0376167438	0.0966257424	-0.0762426778	0.0892141076	-0.06252058370000001	0.031522852999999997	-0.0166372739	-0.0887530871	-0.16586805599999999	-0.1287267997	0.1767337825	-0.0078340496	-0.0161898526	-0.0612456787	0.09330606609999999	-0.035515263	0.22723827859999998	0.13906987699999998	-0.0904630748	0.0036355895	-0.025590617599999997	-0.0121779976	0.08288294110000001	0.021332339300000003	-0.09078691380000001	0.0024993956	-0.1999813695	0.05106219099999999	-0.1481869968	-0.0560692661	-0.0713331792	-0.0018966781	0.0124922807	0.0909525378	0.0817912087	-0.09105832400000001	-0.02406569	0.0535970437	-0.0282071871	-0.17445336739999998	-0.0480773116	0.0183734243	-0.012705228999999998	-0.0766483705	0.0676232821	-0.0614301011	-0.023854953199999997	-0.092369554	-0.029141239	0.007559950300000002	-0.0052849842000000005	-0.1627663707	0.012691838600000001	-0.0868789747	0.1398110724	-0.13595721859999998	0.1435652399	-0.0395280952	-0.0457023862	-0.0073514086	-0.0570989634	0.0361961169	-0.008701453100000001	0.1029115874	0.1058022814	-0.0755309845	-0.061475722300000014	-0.0208557378	-0.0648520196	0.059026511399999995	0.0356030867	-0.0610764991	-0.0082827417	-0.0557275	-0.0160660762	-0.0637704969	-0.05711911190000001	0.09675043900000001	0.0051009357	-0.0119123234	-0.0391662657	0.020359228400000002	0.018266136699999998	0.0977620402	-0.0655110672	0.055890373099999995	0.08847912720000001	0.0014191535999999998	-0.0117839927	0.08475507019999999	0.0245116128	-0.088576195	0.0046097495	-0.2110073801	0.0353297843	-0.1524506901	-0.043685164000000005	0.0755483926	0.012423471699999999	-0.0050177164	-0.10429668339999999	0.007915566800000001	-0.0818000577	0.0055552212	-0.011301208899999998	0.11771191240000001	-0.1813577017	-0.0445677372	0.0184235852	0.0070636790000000015	0.0544274888	-0.0918553207	0.1413996746	0.0333388982	0.103668397	-0.058554939699999996	-0.1311552409	-0.06612333299999999	0.1263150171	0.07004626650000001	0.1678041695	-0.1152512127	0.0674710104	0.013609284199999998	0.023474224300000002	0.0009611391	-0.074127095	-0.0389351411	-0.0026615796999999997	-0.0237279169	0.065084567	-0.0413662414	-0.0634063822	-0.0319416672	0.054765385800000004	0.12356192699999999	-0.0168657075	-0.031936213	0.0314817225	0.0312879612	0.026309968700000002	0.031003577	0.0609879779	-0.0188084614	-0.018209179	-0.1076425491	0.062669317	0.027704768799999998	-0.0007422202	0.0122782139	-0.0136010751	-0.0722264848	-0.0106492047	0.122503285	0.0885478192	0.1025662807	0.1024716367	0.1023139614	0.0230663	-0.008852100000000002	7.835967441000003e-05	0.0005320541956899999	-0.014169200000000003	0.0295594	0.00020076622864000006	0.00087375812836	0.00176498	-0.01142032	0.00013042370890239998	3.1151544004e-06	0.00488302	0.0007689999999999997	5.913609999999995e-07	2.38438843204e-05	0.0007484639999999999	-0.0001946440000000001	5.601983592959998e-07	3.7886286736000035e-08	0.000417176	-0.0002518179999999999	6.341230512399995e-08	1.74035814976e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9390.203385505003	-15.936540365943074	88175919.62114961	253.97331883533298	11279.647978535844	-145.41195091105328	127230458.51968776	21144.63546775857	7345.731375163335	5.973962232502345	35.6882247553644	53959769.43605901	7336.915434906322	11600.9498016328	1.088512	43.889591	0.17167363	0.114896	-0.0325027488	-0.1087566591	0.1332407947	0.139540157	-0.09770287970000001	0.1757407259	-0.045754332	0.0037605708000000002	0.0405764989	0.08535249119999999	-0.04892115019999999	-0.05260638769999999	-0.0666014402	-0.0115710517	0.0003865003	-0.0475999663	0.06791130769999999	0.082680725	0.0408781295	-0.052825326299999996	-0.0057079498	-0.0732222686	0.1224183799	0.0715648902	0.0607885224	0.004922084	-0.058727087699999986	0.1555257434	0.051610433600000005	-0.073732306	0.0323238074	0.07320816320000001	-0.14513373970000001	0.08046923809999999	-0.1128254598	0.011944383999999999	-0.0302657932	0.1242200841	-0.023423576600000003	-0.0820256213	-0.0563148558	-0.1647050343	0.0067389062	-0.0564435103	-0.0643641029	-0.0702950092	0.0297317393	-0.0609552585	0.0652131347	0.0195882119	0.0023929148	-0.0801069107	0.0583167264	0.0773843752	-0.1029501924	-0.0910454208	-0.053979821399999996	-0.0045672835	0.1254602026	0.04714813440000002	-0.0193984051	0.0929115666	0.0175164245	-0.0720556588	0.0771127604	-0.052655149500000005	0.0256139983	0.029379218199999998	0.0097408479	0.026425863100000002	0.016479496899999998	0.1407674541	-0.1050519229	0.0498375758	0.0041669988	0.0451636609	-0.056457348899999996	0.003978477	0.0730767151	0.0213725437	0.0333181927	-0.042260520499999996	0.0274175379	-0.0063275765	-0.036936323199999996	0.0143838183	-0.0212504123	0.0413746008	-0.1353001194	0.034572253500000004	0.025470908900000002	0.0725638624	-0.0866795975	-0.1176258427	0.027444300699999997	-0.029479183500000002	0.018035305800000002	-0.0002886891	0.0154514157	-0.08770643369999999	0.0142986391	0.04896717849999999	-0.06910774459999999	-0.0325096531	0.1236331552	-0.0204267478	-0.0833350211	-0.056514000999999994	-0.1702154195	-0.0034528156	-0.0551105572	-0.05689761030000001	0.0616856683	0.0499055709	0.0679697244	-0.049303875999999996	-0.040562633199999996	0.0085383851	-0.0649168181	-0.0058619606000000005	0.1427588477	-0.06367187889999999	-0.0605942106	-0.0717754291	-0.028948931	-0.1346981933	-0.0324631208	0.0152306412	-0.0683159288	0.015744656699999998	-0.0049989581	-0.0548667787	0.0771740292	-0.0257087962	-0.0923706766	0.012660152	-0.0196013108	0.048075356	-0.07415405929999999	0.1394981431	-0.0930957951	-0.0268136793	0.0210437777	-0.042850485099999995	-0.022498927999999998	0.0342667981	-0.05036153	0.0319969727	-0.0358922594	-0.0245497047	-0.0116318077	-0.051585096799999994	-0.0619152559	0.056399047199999996	-0.043360946799999994	-0.05717797190000001	0.06380832110000001	-0.026988078999999998	0.1489751034	0.0960339304	0.0048214681	-0.0284901996	0.0605457883	0.0605741685	0.0454616322	-0.0437687929	-0.0319082019	-0.061135860099999995	0.0770463723	0.0145463391	0.10251019189999999	0.1022474116	0.1018099433	0.0189037	-0.004162599999999999	1.732723875999999e-05	0.00035734987369000004	0.0185129	0.032682100000000006	0.0003427274664100001	0.0010681196604100003	-0.029879400000000007	-0.031644380000000014	0.0010013667855844003	0.0008927785443600002	0.00687614	0.00199312	3.9725273344e-06	4.728130129960001e-05	0.0007484639999999999	0.0	5.601983592959998e-07	0.0	0.000487747	7.057099999999996e-05	4.980266040999994e-09	2.37897136009e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9368.211103802469	-21.992281702534452	87763379.28540787	483.66045448363184	11189.606124846336	-90.04185368950857	125207285.22919863	8107.535415842867	7345.1775699221525	-0.55380524118209	0.30670024516075284	53951633.5336875	7335.477817529237	11529.293429793552	0.9446310000000002	38.088226	0.07639349999999999	0.0376123	-0.0309504596	-0.0714253194	0.1161020224	0.13274593070000001	0.010885239199999999	0.13223123960000002	-0.0328623657	0.0046695779	0.1166362698	-0.0926713613	-0.026282267	-0.052051392599999996	-0.0511903924	0.0311575898	0.0216214148	-0.028159510899999997	0.0085055753	0.0567575797	0.0918806079	-0.1100004193	0.013682356699999999	-0.0636955102	0.0820553611	0.020232586	0.0195872725	-0.0194375842	0.09633516449999999	0.031984576800000004	-0.0735016552	0.037775	0.07459125009999999	0.0046467775	-0.0583790451	-0.0254051587	0.094639266	0.0468082663	-0.0276980473	0.1053824651	-0.0506409001	-0.0632238116	-0.0560529089	-0.1392940668	-0.0113103463	-0.0613692354	-0.0577495779	-0.0414428284	0.038845580899999996	-3.15269e-05	0.043545254699999994	0.0305199058	-0.0189049971	-0.0653350447	0.010331272399999999	0.0849322505	-0.0370198239	-0.0161642245	-0.0276782701	0.0569310231	0.0876975894	-0.008559459200000001	-0.1339963668	-0.022512672	-0.0046713636	-0.0595084291	0.06717220269999999	-0.0690175337	0.011327815500000001	0.0761061576	-0.1172440098	0.0317260303	0.0882594927	-0.1512515179	0.0299568917	0.0344360673	0.11349349310000001	-0.0265599569	-0.0597324904	-0.0819411888	-0.016789267	-0.0581365399	0.0718888366	-0.06824675599999999	0.0230341381	0.047936310700000005	0.0846688893	0.0044898705	0.1521563248	-0.16647985710000002	-0.02739585	0.0833711504	-0.026143401200000003	0.0693761569	-0.0699823864	-0.0070560776	-0.0830697079	-0.0170111766	-0.053725008	-0.07932579099999999	-0.00046178800000000003	-0.0230977232	-0.1191805905	-0.0137411956	-0.0870095667	-0.0321451862	0.1058014573	-0.048963435	-0.0651994342	-0.0564191493	-0.14111925179999998	-0.0171797645	-0.059401431	-0.052697658	0.035073553	0.042018693200000005	-0.0052823008	-0.0291708755	-0.0131518017	-0.0225103592	-0.0452418672	-0.0407016631	0.1002444198	-0.0054137775	0.021149704300000002	-0.07413599	0.0524497312	-0.0777829253	0.0457506313	0.1181992832	-0.017410996	-0.0523521862	-0.0279411554	-0.063672508	0.047115206900000005	0.0030054309	-0.0595777059	-0.1139611234	-0.1074137375	-0.1849131139	0.028618803199999997	0.0040470776	0.0377517543	-0.0038960193	0.0884159242	0.08025497570000001	-0.0412213188	-0.03093725	0.0251958369	0.1138903896	-0.0553125132	-0.017039464299999998	0.019470294	0.17262357579999998	0.062784123	-0.08707288769999999	-0.1205560716	-0.10895427380000001	0.019940150400000002	0.0343929138	0.018472185800000002	0.0592937593	0.0925453567	0.0158479294	0.0608561903	-0.0620892517	0.0064268766	-0.021842908900000003	0.156429815	0.0053207307	0.0315968984	-0.0176071095	0.10242607769999999	0.10191138039999999	0.10105546650000001	0.0149138	-0.003989899999999998	1.591930200999998e-05	0.00022242143044000004	0.0027424	-0.015770500000000003	7.5207577599999985e-06	0.0002487086702500001	-0.0193508	0.010528600000000006	0.00011085141796000012	0.00037445346063999985	0.00749555	0.0006194099999999999	3.836687480999999e-07	5.61832698025e-05	0.000589773	-0.00015869099999999987	3.4783219152900005e-07	2.5182833480999962e-08	0.00034375800000000005	-0.0001439889999999999	2.073283212099997e-08	1.1816956256400006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9352.996281813184	-15.214821989284244	87478539.44761126	231.49080816560746	11122.336382563808	-67.26974228252766	123706366.60690255	4525.218226757689	7330.759692545477	-14.417877376675277	207.8751880488448	53740037.66984946	7321.412505114399	11633.53901631924	0.982465	39.613689	0.09714683499999996	0.06428350000000001	-0.0105004978	-0.0884161499	0.11858411460000001	0.0654462036	0.0106789008	0.0017069664000000002	-0.0520351988	-0.0163935542	0.016827146	0.07364543230000001	0.0509679019	-0.1270650332	-0.0681209201	0.0028926007	-0.04234543440000002	0.0176895273	0.031233129300000002	-0.0535178847	0.0590628306	0.1408656276	-0.025656814	0.0174125942	0.1385772355	0.0165273784	-0.0019489989	0.00440355	0.026561207200000003	0.11265523179999999	-0.1133224523	-0.0158007223	-0.0158258288	-0.0357952968	-0.09418927099999999	0.07129639900000001	0.10345580509999999	-0.0558948881	-0.028238901	0.046684154400000004	-0.06193054570000001	-0.046944193200000005	0.016453959599999998	-0.11342647900000001	-0.012622646000000001	-0.06000541650000001	-0.0644414365	-0.0337189373	9.22135e-05	-0.09417671640000001	0.0749191068	0.08036250219999999	0.0072310088	-0.08937870869999999	0.0120316333	0.032564723500000003	-0.0289133159	-0.07736293	-0.027150629300000003	0.0035537332	0.0308773744	0.050188788899999996	0.044726775499999996	0.0546050134	0.0213743429	-0.0204303123	0.07005411660000001	-0.07765266929999999	0.051483016	-0.091766014	0.1328590264	0.060568801299999996	0.0368247925	-0.1031303407	-0.11095498529999999	-0.0336199587	-0.0045549871	0.0014863939000000002	-0.0314107712	0.0812084648	-0.10066948939999999	-0.042321991600000004	0.072249718	0.0785360495	0.026404904500000003	-0.0079573316	0.0427128992	-0.0248805556	0.1542183755	-0.0615301183	0.009844269899999999	0.0490157963	-0.0698229558	-0.0732869441	0.0952078465	-0.0166354863	-0.0080952982	-0.0047232305	0.0638875098	0.0169025669	-0.0258578015	0.0790840391	-0.013821611000000001	0.1272160815	0.0130168676	-0.0299034898	0.046641183499999996	-0.0592239637	-0.0471595954	0.0189295424	-0.1125234484	-0.0202798223	-0.054212109	-0.057230087400000004	0.036981593300000004	0.0252718483	0.0914663709	-0.10093246939999999	0.0195272889	-0.0265731554	-0.0836383506	-0.0274740147	0.0495220017	-0.0070370219999999995	-0.0494396921	-0.0570267171	0.0023090991	-0.028329343599999997	-0.047252606399999994	-0.05132340639999999	-0.0429807295	-0.010858134699999999	0.0544586107	-0.0415906458	0.1158533957	-0.1084245073	-0.0242779419	0.0575239279	0.09934960529999999	-0.0906532553	0.042980561699999996	-0.038627263700000004	-0.1185094248	-0.007617212099999999	0.0280854967	-0.0442656598	0.0737673823	0.042195929400000005	0.0975469622	0.0462538371	0.0646519355	-0.043378516799999996	-0.0526249776	0.07287734929999999	0.06959030769999999	-0.0620696891	-0.1100088318	0.0112729116	-0.044022348499999996	0.11876649119999999	-0.0214596351	-0.0420747201	-0.0651156072	0.0714328213	-0.09135534960000001	0.040770540099999995	0.0462543625	-0.015900955	-0.0034326693	0.050406568	0.0312325287	-0.099488044	0.1023139614	0.1014639107	0.10005238710000001	0.0109061	-0.004007700000000001	1.606165929000001e-05	0.00011894301721	-0.057524800000000015	-0.060267200000000014	0.003309102615040001	0.003632135395840001	-0.033724000000000004	-0.014373200000000006	0.00020658887824000018	0.0011373081760000002	0.00753166	3.6109999999999795e-05	1.3039320999999846e-09	5.67259023556e-05	0.000523667	-6.610600000000002e-05	2.7422712688900003e-07	4.370003236000003e-09	7.599929999999998e-05	-0.0002677587000000001	7.169472142569004e-08	5.775893600489998e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9313.170498203586	-39.82578360959815	86735144.72860964	1586.0930401185365	11087.996955824194	-34.33942673961428	122943676.49236658	1179.1962288053364	7301.522340051291	-29.23735249418587	854.8227808692767	53312228.48226809	7292.41654457315	11572.515962189816	0.965353	38.923725	0.06510283500000001	0.042581400000000005	0.0023908046	-0.09259925640000001	0.0992822975	0.015659762600000002	0.05608070230000002	-0.034714324399999996	-0.056027525	0.0599730458	-0.022686273	-0.0537070235	-0.0952678718	-0.1395747969	-0.11335563800000001	-0.0937673453	0.08748319560000001	-0.1209231185	-0.0092327861	0.0780474513	0.0367572821	0.012368648000000001	-0.0537488587	0.08429055519999999	0.0199257872	-0.006733448100000001	0.028959381	0.1328120872	0.088338525	0.009803786600000001	-0.0878852841	-0.0734842941	0.10383604380000001	0.029764685	0.01991484	0.037643531800000005	0.08611547970000001	-0.044385962800000005	-0.0394696115	-0.0183450948	-0.0251367314	-0.034626756	0.0862899392	-0.0459704596	0.0325105454	-0.163561008	-0.019001308	0.057968050300000004	-0.0678236849	-0.0377488355	-0.0385561239	0.028646156800000006	-0.0013359785	-0.0172689493	-0.0592188022	0.037417942200000005	0.0003461779	-0.0930457611	-0.0462059783	0.045534866900000005	0.122800823	-0.1789951244	0.0358155354	0.0737234072	0.0263561946	0.0113238911	0.1125719005	-0.0006076766999999999	0.016416058600000002	-0.1773405981	0.037879422	0.05469821440000002	-0.0165542259	-0.046729206399999994	0.057284911200000004	0.034729971899999997	-0.0596631946	0.0464582845	0.0684429989	0.1381448516	0.0499569896	-0.048870026399999995	0.0197856394	0.0497840924	0.0783629697	-0.0604881531	-0.014336381899999999	-0.028614422	0.023364439	-0.006586768000000001	0.1240838382	-0.20711929469999998	-0.1033439212	-0.0808372455	0.0005747555	0.055121551500000004	-0.08209466650000001	-0.0247151606	0.0253885808	-0.0337191523	0.125648562	0.10221200609999999	0.0530584493	-0.1468190275	0.0931101243	-0.0411786433	-0.0179795643	-0.0260795766	-0.0284549625	0.08631667900000001	-0.051353114000000005	0.0198593146	-0.1645518943	-0.0198755303	-0.0618653472	-0.060284977999999996	0.05493835019999999	0.0397290402	0.0435551115	0.00046746589999999995	-0.0005833046	-0.062413526500000004	0.022404496099999997	0.0190614695	-0.074169845	-0.1012765234	0.0234188387	-0.0925758508	0.20308610010000008	-0.0941786899	-0.0470695959	0.0131750596	0.0413248615	-0.060758151600000004	0.0467382226	-0.1467966722	0.0442057335	0.0802244109	0.0360457679	-0.0181824565	0.0585582712	-0.0023285883	0.0654331532	0.0425177096	-0.0931418295	-0.0648577211	0.0900089133	0.0354887971	-0.0493688924	-0.0354919905	-0.0658964218	-0.1452335336	-0.0191230516	0.017837028	0.0505495191	-0.0592864824	0.0380901263	0.1914677355	-0.0732231554	0.0502867189	-0.1073409473	0.0269176364	0.036032477400000006	0.0192709203	-0.0439064191	-0.0499711269	-0.0709101133	0.1988390737	-0.0100222345	0.0156858622	-0.023405803700000002	-0.0288834134	0.1021738733	0.10090549160000001	0.0988031726	0.0162494	0.0053433000000000005	2.8550854890000007e-05	0.00026404300036	-0.0981217	-0.040596899999999984	0.009627868010889998	0.0016481082896099989	-0.0334631	0.00026090000000000835	6.806881000000435e-08	0.0011197790616099997	0.007354689999999999	-0.00017697000000000112	3.13183809000004e-08	5.409146499609998e-05	0.00061829	9.462299999999996e-05	3.822825241e-07	8.953512128999991e-09	0.000182441	0.0001064417	1.132983549889e-08	3.3284718480999993e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
