global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06
8797.768451570992	n/a	n/a	77400729.72745784	11768.333407537732	n/a	n/a	138493671.19096863	7247.062657033721	n/a	n/a	52519917.15497265	7260.19590414432	11605.305421987705	n/a	n/a	n/a	n/a	-0.0245868073	-0.1369916676	-0.0043462409	0.0021774451	-0.1912543851	-0.7501440776999999	0.2816466566	0.0913847341	-0.08612580310000001	0.0449726946	-0.004743827700000001	0.024101694700000002	0.0224978723	-0.073929637	0.24833871370000002	-0.059181525199999994	0.015640655700000002	-0.0037395291999999998	0.0075757946	-0.0453925584	0.030334344300000007	-0.0771564019	0.1201796317	-0.013319526299999999	-0.0109166229	0.0792660888	-0.014008040800000001	0.0311913594	-0.0411720457	0.0859613002	-0.044104465700000005	0.0130159659	-0.0722827246	0.0452034576	-0.0791238828	0.0042716664000000005	-0.0296553594	0.1163181519	-0.0480077441	0.0096916782	-0.06837789030000001	-0.1784419686	-0.1343634352	0.0202469352	-0.005982754200000001	0.17981892149999998	-0.0402632918	0.019644004099999997	-0.1458215418	0.05634725190000001	-0.0305045267	0.0801947004	-0.0334269037	0.0309588293	-0.0512552783	0.0334359142	-0.0037505715999999996	0.059059443600000004	-0.1125179473	0.0465024367	0.041052281600000004	-0.0704767816	0.0042692214	-0.0532986529	0.0029066886	-0.05765721400000001	0.0427199204	-0.1434875845	0.0989123523	-0.038721609500000004	0.0282373983	-0.0366741948	0.022439163999999998	-0.08040486200000001	0.1789795854	-0.014169968500000001	-0.0263814725	0.15185920349999998	0.0042051454	0.0019273110000000001	-0.1703636685	-0.0033011553	0.06861367019999999	-0.0808048614	-0.1534835986	0.016569583	0.11632529470000001	-0.09958018789999999	-0.0338629587	0.0481952047	0.0526273616	-0.0802164119	-0.0505398445	-0.0006099855	-0.0895956495	0.152511176	-0.0882484237	-0.022042349300000003	-0.0156564601	-0.094267608	0.0233345608	0.0071592868	0.05494816190000002	0.0474725453	-0.040947866299999996	-0.0299589501	0.0292318487	0.09886490630000001	0.0222580993	-0.0024693854000000003	-0.0345201335	-0.0139986001	-0.0547006642	0.0753318518	-0.17565954379999998	-0.1369912107	0.013734921	-0.057955855599999995	0.2229211522	-0.0522225962	0.1553426914	-0.13696188880000001	0.0614496524	-0.0161450622	0.09077897230000001	-0.0084518114	0.0068790684	-0.09659264740000001	0.0008713405	-0.06044006480000001	0.09731841039999999	-0.1486914863	0.0432938634	-0.0157974351	-0.0974853268	0.0447485105	-0.0473165486	0.1514602639	-0.057328872999999995	0.09673792169999999	-0.0855247619	0.1073407718	-0.0149469084	0.005423311700000001	-0.033052187000000004	0.075877513	-0.2456050766	0.0774680557	-0.0980983817	-0.0953119238	0.1466739947	-0.0346272221	-0.0627523769	0.1352447416	0.0130000054	0.0627432007	-0.1290790759	0.1281828388	0.0397634298	-0.057899885	-0.0232914538	-0.0016871551000000001	0.0774260413	-0.0037547062	-0.0599610326	-0.05904268450000001	0.07044511490000001	0.0158463657	-0.1374001433	-0.0001343275	-2.717780000000001e-05	-0.0703857474	0.011433631000000001	0.049746819000000005	0.034590127000000005	-0.0455399051	-0.008730427399999999	-0.0223233172	-0.0064657814000000004	0.0219502519	0.0364819193	0.0734283334	-0.023783105899999997	-0.0311248315	-0.0187697326	-0.0309808729	0.0400261666	0.102594329	0.1025838106	0.1025662807	6.96161e-08	n/a	n/a	4.84640137921e-15	-0.041524	n/a	0.0017242425759999998	n/a	0.0132282	n/a	n/a	0.00017498527524	-0.00262803	n/a	6.9065416809e-06	n/a	-0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8741.54005235476	-56.22839921623199	3161.6328784199586	76414522.48692246	11468.240770114448	-300.0926374232841	90055.59103566261	131520546.36131522	7247.574070532535	0.5114134988143633	0.2615437667695487	52527329.90785554	7254.076320980844	11135.819987293797	1.355443	55.821785	0.13911680353340006	0.0949381	0.10165585460000001	-0.1431583271	-0.1346706788	-0.1279296048	-0.0185075886	-0.41108118159999996	-0.05556355599999999	0.0386972227	0.0920388794	-0.046463439100000004	-0.14405056	-0.08651494009999999	-0.0019537718	0.24721771039999998	-0.1883492739	-0.0189138545	0.024125509700000002	0.0052067122	-0.0347933853	-0.0052224183	-0.056447550599999986	0.10424867539999999	-0.19917132	0.1309941241	-0.010632528700000001	-0.0851923052	0.05337372519999999	-0.0632998188	0.0417823602	-0.18459629739999997	0.0131861683	-0.0536107761	0.1134732839	-0.1066820606	0.11597192810000001	-0.0189540492	0.042377221	-0.2200303973	0.0232025883	0.0593543556	0.0208946094	-0.2839233348	-0.12759947060000001	0.09938333279999999	0.0919076709	0.109581715	-0.0909503148	-0.0387145377	-0.031179062900000002	-0.09826605140000001	0.0108224753	-0.0189349865	-0.1250853791	0.10141536179999999	0.063190974	0.0848612323	0.028885661899999998	0.0284104367	-0.0764030195	0.055691887999999995	0.027194066	-0.0325138773	-0.0339379893	-0.17192713559999998	-0.0619299247	-0.0989744159	-0.049042460999999996	-0.0462352117	-0.0409278209	0.1098096859	-0.0412027703	-0.13403073699999998	0.0383702081	0.0136898707	0.127236205	-0.0132357159	0.038616442	0.0214617709	0.045746698200000005	-0.0024921145000000003	-0.0968696849	0.0247330955	-0.0261973764	0.062334639800000015	-0.0371171232	-0.0927049459	0.06692531809999999	0.0195380258	-0.0805389624	-0.031414353	-0.038331190099999995	0.0025262187	-0.0840941274	0.1029973687	0.055331963600000006	0.0497598937	0.0750526686	-0.057462001	0.0331705349	-0.0477870238	-0.0083607801	-0.0361967231	0.0011978066	0.003976485	0.059231026299999996	0.0345837808	0.0008918613000000002	-0.042617107800000005	0.0817859764	-0.021327698500000002	0.0207726405	0.1276077499	-0.058285556399999994	0.050906830199999996	-0.2847878699	-0.12330487890000001	0.1005823735	0.0690004685	0.1211286822	-0.08864044230000001	0.0713943656	0.0016250135999999998	-0.0951260357	-0.0047679161	0.0405526968	0.1512901079	0.030916591400000002	-0.0127799331	0.08800680699999999	-0.0820949348	0.044071875700000006	-0.12070673859999999	0.034709295099999996	0.005520924	-0.0843150648	0.0726095552	-0.1718498868	0.0760287326	-0.0840755239	-0.0129525101	-0.024217570499999997	-0.060997050199999986	0.0995967003	0.0336132657	0.08565472380000001	0.0638629315	-0.1042049843	0.0910554192	0.057470290199999996	-0.0219705215	0.0611559715	0.011256068400000001	-0.055955686100000006	0.0600871112	0.0044564599	-0.031982622	-0.028886077000000007	-0.037311867	0.0122382972	0.0507832893	0.1144437867	0.0478572491	0.0270429331	0.0582369379	0.0344705034	-0.0343159486	0.0080036161	-0.1006601959	0.0463982097	0.0606387034	-0.0253876892	0.014927383600000003	-0.053961710700000005	-0.0531262767	-0.0338259775	-0.076148123	0.029273008399999998	0.0257469677	0.0891999599	0.06335518820000001	0.0282606615	-0.043061538899999995	0.0809515792	-0.0179696567	0.0026163518	0.0129123499	0.0090710577	0.1025662807	0.1024716367	0.1023139614	7.31495e-08	3.5334000000000044e-09	1.2484915560000032e-17	5.35084935025e-15	0.0240338	0.0655578	0.0005776235424400001	0.00429782514084	0.0199667	0.0067385000000000006	4.540738225e-05	0.00039866910889	-0.00129162	0.00133641	1.6682822244000004e-06	1.7859916880999997e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8719.013708819668	-22.526343535091648	507.43615306096564	76021200.05458531	11280.800847789329	-187.4399223251185	35133.724481246434	127256467.76748444	7238.385267322161	-9.188803210374315	84.43410443898536	52394221.27818651	7243.409911525139	11105.20465409468	0.966888	39.819744	0.0505029294888	0.0370675	0.1074251451	-0.1390560501	-0.0933454826	-0.1287838331	-0.051296605599999996	-0.20559215179999998	-0.1119771044	-0.0514927621	0.0200437129	-0.0900451734	0.0103360295	-0.052421471	-0.0585558417	-0.1466485108	-0.0759001299	0.1078166937	0.0677495233	-0.003799448	-0.07420385639999999	0.08490374490000001	0.0569684651	0.055132547999999997	-0.1259638841	-0.0614654068	-0.0875506428	-0.0098909685	0.0766244009	0.0332224882	0.0265435291	0.060451512199999995	0.0683604173	0.0799111001	0.0486047137	-0.0771174822	0.09274124449999999	-0.07978916929999999	-0.0301560266	0.012417331	0.0229952452	0.0013705510999999998	0.0512785625	-0.2524302073	-0.1056593866	0.0472818389	0.039051685600000004	0.061630792300000015	-0.0924396201	-0.0133313602	-0.0604176101	-0.031431463	-0.0436175875	-0.0102676165	0.00012405870000000002	0.0392844562	-0.063447929	0.0985233276	0.0727871527	0.0008358386	-0.0112969305	0.0569862316	0.13673171550000002	0.0872242234	-0.0315431456	-0.0504753391	0.0359244959	0.0018674968	-0.0111036791	0.0226858109	-0.09929073890000001	-0.0362678767	0.0124941732	-0.0600541292	0.0409195211	0.0460257915	-0.0129546848	0.0788609939	0.067402719	-0.0068246424	-0.0914840243	0.0175091248	0.0949008315	-0.06992771	0.0233342339	0.067948779	0.0969872355	0.1444114907	-0.0341005742	0.1653700773	-0.0564893374	-0.1342329132	0.025520033199999997	-0.0885105079	0.0743921407	-0.023015657000000002	0.0036087513	-0.061507954299999994	0.11498110310000001	0.1053613463	-0.0249061754	0.0169372747	-0.008002926899999999	0.0791397051	-0.0116196408	0.1175514186	0.0676662036	-0.0211169029	-0.0619607467	-0.0204115575	-0.053955744800000004	0.0798996975	0.0669473256	-0.013660891100000001	0.003655771	-0.0322556978	-0.2539933049	-0.10165559199999999	0.048681650099999994	0.026977403100000002	0.063050593	-0.0958079053	0.0635914868	-0.028134709	-0.0460016628	-0.046755762199999995	-0.0185389028	-0.021350532999999998	-0.01825971	-0.071140385	0.07106418860000001	-0.08393383900000001	-0.0495997609	-0.0627173605	0.05942128610000001	-0.0791370158	0.09835583279999999	0.022628163399999998	-0.0580245361	0.026556975099999998	0.0261702837	-0.016946747800000002	0.04413109	-0.0784317896	-0.030322106	-0.0648853168	0.0054849304	0.013877603999999998	0.029993078700000002	0.0151492202	0.048755486699999996	0.13149434529999998	0.015153231299999997	0.0037192353999999997	0.1306816375	-0.0587271552	-0.031203513999999998	0.0623478314	0.0658394358	-0.0788936486	-0.0187494377	0.0612409884	-0.1110403411	0.1413047142	-0.1469256431	0.1165098256	-0.10656335119999999	0.0017838167000000004	-0.054472994299999994	0.0280440724	0.021128429599999998	0.0340363785	-0.1177432256	0.0385409751	-0.0508953919	-0.0465860888	-0.07224238549999999	0.0656953911	-0.09267115599999999	0.0713398251	-0.049314697000000005	-0.0905805218	0.0027056265	-0.1362246098	-0.0513187186	0.0508022534	-0.052794564800000006	0.028559027400000006	-0.0357489359	0.10251019189999999	0.1022474116	0.1018099433	-7.633929999999998e-08	-1.494888e-07	2.2346901325439997e-14	5.827688724489998e-15	0.007308369999999998	-0.016725430000000003	5.341227205689997e-05	0.0002797400086849001	0.0208464	0.0008797000000000006	7.738720900000009e-07	0.00043457239296	-0.000633667	0.0006579530000000001	4.01533866889e-07	4.329021502090001e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8674.714316861156	-44.29939195851148	1962.4361278938316	75250668.47915593	11176.649982093091	-104.15086569623782	10847.402825275767	124917504.8222215	7236.8475839886705	-1.537683333491259	2.36447003409679	52371962.95388264	7241.056279783194	10928.094192857268	0.913096	37.604412	0.0379098122607	0.0206442	0.1271087987	-0.1250354799	-0.0862332409	-0.146917621	0.0048669067	-0.1026615748	-0.1367870084	-0.0853537059	0.042418606799999994	-0.1393361824	0.0264373007	0.09209235939999999	-0.07230327269999999	0.0712349393	-0.1331225109	0.026497325	0.1204939438	0.0913828133	-0.060332455099999995	0.0332261457	-0.0842768686	0.0469591691	0.1057082299	0.08753895490000001	0.0593033882	0.0795940506	0.0231311606	0.09808911699999999	0.023807272200000004	-0.0773577714	0.013691903500000002	0.0254328035	-0.0087678151	-0.0676306404	-0.09099064289999999	-0.0039557585999999995	0.026705202999999997	-0.0661836156	0.09833161289999999	-0.0953724693	0.0242288298	-0.2592661777	-0.0815324762	0.04637932559999999	0.0528574529	0.010667614399999999	-0.057576136500000014	0.0202913205	-0.0063939966	-0.0528496336	-0.07950102469999999	0.0374898026	-0.046830049699999994	0.0960456949	-0.015571314099999999	0.0526665895	0.0256670485	0.017973168	-0.029159860899999997	0.1112257913	0.012847301200000001	-0.023482383199999998	0.0250606905	-0.047937599500000004	-0.0756062094	-0.1326605542	0.06580126559999999	0.0221779533	0.041529240099999996	-0.0949683836	-0.1094076108	0.0392255766	0.028480948	0.0493969484	-0.1229024289	-0.039837661600000004	-0.0481213853	0.0301844637	0.050642197800000004	0.044040625	-0.0242894244	-0.0361133336	0.1852571881	-0.026842002400000002	-0.0031240622999999996	0.0047621734999999995	0.016853501200000003	0.014283144499999999	0.0275781891	0.0573385904	-0.150887479	-0.0685654515	0.09656560880000001	-0.048452263499999995	0.08353719700000001	0.0762215289	-0.024085044700000002	0.0586283325	-0.0766686322	0.12656379140000001	-0.0365697706	0.0680334187	-0.0754946468	-0.0682791782	0.0050620699	0.0387155691	-0.0257010583	-0.059363285599999996	-0.0248787096	0.0988137666	0.0212196763	-0.2009367309	0.0510932217	-0.0622081104	-0.2589158286	-0.0787527005	0.0470712708	0.046594736799999995	0.016742768600000003	-0.051852847599999995	0.0105285375	-0.0245870325	-0.0475871973	-0.0690716784	0.08817658310000001	0.061275555999999995	-0.012564841	-0.0620123257	0.044588607599999996	-0.0442942113	-0.0080616565	-0.053578048899999994	0.0725449591	0.0551993616	-0.0487599524	-0.0084968102	-0.053598435199999996	0.029631038	-0.1287234991	-0.0374707727	0.06991651230000001	0.0801888901	-0.0636199462	-6.7265e-05	0.0068106002	0.09029344539999999	0.17584955219999998	-0.011331150600000001	-0.0617917359	-0.0424360283	0.0134181548	0.0318988699	-0.0389908019	-0.0100360624	0.10768984849999999	0.1396872625	0.017340596200000002	-0.005031144	-0.0050885243	0.017074061	-0.0609161832	-0.0657624069	0.0501681312	-0.0181235552	-0.0011551148	0.11515467369999999	-0.1386325723	-0.0869971498	0.006505884	-0.104663869	-0.0030534441	0.1355004825	0.056132382	0.0192230539	0.027650269300000002	0.09480399269999999	0.0579652863	-0.0750946624	-0.016081104199999998	-0.0721315319	0.032163119	-0.0650344697	-0.0863891858	-0.0048796141	0.0050979412	-0.0445566622	-0.1136937739	0.10242607769999999	0.10191138039999999	0.10105546650000001	-9.94186e-05	-9.934226070000001e-05	9.868884760986764e-09	9.88405802596e-09	-0.00228865	-0.009597019999999998	5.2379188225e-06	9.210279288039996e-05	0.0129317	-0.007914699999999998	6.264247609e-05	0.00016722886488999996	-0.000343816	0.000289851	1.1820944185599999e-07	8.401360220099999e-08	-0.0	0.0	0.0	0.0	-0.000116124	-0.000116124	1.3484783376e-08	1.3484783376e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8674.329100852698	-0.3852160084588832	0.14839137317299433	75243985.34989996	11110.107941958137	-66.54204013495473	4427.8431053219265	123434498.48196128	7214.6992102987	-22.148373689969958	490.5504571105535	52051884.69508468	7219.922924282379	11076.0982456459	1.3514020000000002	55.655361	0.28446342090550003	0.226944	-0.0028214715	-0.0696641204	0.0765505242	-0.0548632958	-0.0883750309	0.0020912764	0.0096613514	-0.0754115064	-0.10088808169999999	-0.1706740035	0.1547874485	-0.014282548700000001	-0.0193133521	0.0703182552	0.0172772482	-0.008157025	-0.0637408096	-0.0755651188	-0.0210115081	0.07473481650000001	0.1470344126	0.08597164789999999	-0.0635883188	-0.057003864	0.0580028691	0.1111151294	-0.09738176289999999	0.2103698444	-0.067374266	0.079054786	-0.1241064642	0.005878162199999999	0.055227331100000006	-0.0031434673999999998	-0.1531672922	-0.0397218245	-0.0618368995	-0.08600458	0.08383830980000001	-0.0930317678	0.0338992783	-0.0271187192	-0.0827488378	-0.036498762000000004	-0.0765751149	-0.0703854609	-0.21893853370000002	0.0729394055	0.0635149075	0.0083231926	-0.1317969239	-0.028107985699999997	0.0693935685	0.0392582641	-0.178247944	0.0575723322	0.061355182	0.0391234279	-0.0561054847	-0.0666465816	0.1545361401	0.0738332489	-0.0776071377	-0.1274687388	-0.0727056282	0.0142779762	0.0844053916	0.12522023710000002	-0.1011952568	-0.0106538851	0.0933453523	-0.0049776323	0.05964704110000001	0.0689046103	-0.06158672110000001	-0.0152294419	0.0299535016	-0.160329107	-0.1154362899	0.1169704093	0.0941698808	-0.0403873318	-0.13573112199999998	-0.011565345500000001	0.014656001100000001	0.053744751699999996	0.0932671198	-0.140355121	-0.0930691845	0.0761288559	-0.0569764739	-0.09196296779999999	-0.0909001953	-0.013793093400000001	-0.0102443688	-0.0915715357	0.018414693200000002	-0.013700808600000001	0.0338971027	-0.021775296200000002	-0.068741891	-0.0980090401	0.0022469027	-0.058308590800000004	-0.0033879742	-0.0766169067	0.0878832042	-0.0208289003	-0.0781507488	-0.0018312342999999998	0.09910038199999999	0.0587339236	-0.0203996627	-0.09980755460000001	-0.0316340404	-0.0852110097	-0.040336508300000004	-0.053449205599999994	-0.1030664467	-0.215129624	-0.07398283230000001	-0.0262333108	0.0141893325	-0.0938188221	-0.0142664848	-0.0816497971	-0.0740627847	-0.1980637222	-0.013106014499999999	-0.10454566470000001	0.0099692584	-0.06457961820000001	-0.0653033598	-0.1263537667	0.050392520700000006	0.0769566446	-0.1488874753	-0.0729307049	-0.0018729129	-0.0103380274	0.15880030039999998	-0.0942622957	0.0094639073	-0.009436910500000001	-0.08181743030000001	-0.039706047200000004	0.0426849764	-0.0111389734	0.0052935813	0.09630222390000001	-0.0342763056	0.166645149	0.0003063349	-0.167525284	-0.14975851869999998	0.0018818723999999998	-0.0492177571	0.0820537188	-0.080308765	-0.0739980236	0.024731884300000003	0.011592877199999999	0.1133065716	0.0827590737	-0.0254113544	0.0299757038	0.035404426600000004	0.09450318740000001	0.12793591070000002	-0.030825335899999997	0.051908826100000006	-0.0209803752	0.0005190311	-0.122737134	-0.0148613584	0.021934649599999998	0.028117395899999998	0.0382738281	-0.014315099199999999	0.0770909899	-0.0874961245	0.09671352470000001	0.0260406083	0.0702388101	-0.07859334009999999	0.08283971400000001	0.01444983	0.1023139614	0.1014639107	0.10005238710000001	-4.76945e-08	9.93709055e-05	9.874576859889933e-09	2.27476533025e-15	-0.221008	-0.21871935	0.048844536064	0.04783815406442249	0.0102739	-0.002657800000000002	7.063900840000011e-06	0.00010555302120999998	-0.00148743	-0.001143614	2.2124480049000003e-06	1.307852980996e-06	-0.0	0.0	0.0	0.0	0.0	0.000116124	1.3484783376e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8686.960446290868	12.631345438170685	159.5508875783953	75463281.79542205	11082.74842947614	-27.359512481996717	748.5429232525341	122827312.75105584	7213.114811417896	-1.5843988808037466	2.5103198134921647	52029025.28269623	7220.9006615762255	11235.617614796432	1.222239	50.335972	0.10462347023393996	0.06530509999999999	-0.0762464127	-0.0236163929	0.12274171130000001	0.0452206108	-0.0652577271	0.0558216288	0.0792193334	-0.0733008029	0.042312823799999996	-0.1311455142	0.0316632206	-0.0030585653	-0.2197949791	0.06230425940000001	-0.0357633814	0.050201523600000006	-0.0796602763	-0.0928837845	0.09948752050000001	-0.0329342069	0.0270422392	0.1546120058	0.0342357798	-0.122493586	-0.0119376454	0.060285049699999996	-0.15789019029999998	0.0406566866	-0.1738707992	-0.1470012974	-0.1554815387	0.0688825141	-0.10261583640000001	0.0769090267	-0.0198148076	0.010003529399999999	-0.0699965369	0.0210378631	-0.0419140789	-0.013270849	0.0688634328	0.0987337556	-0.065413451	-0.06279281440000001	-0.0859050266	-0.0089508867	-0.23857045989999998	-0.0002488144	-0.13311385439999998	0.0179688601	0.0805918121	0.0979754007	-0.0077194272	0.0806142511	-0.13876805150000002	-0.023338143999999998	-0.1129848094	0.0398726782	-0.16346807789999998	-0.0735853238	-0.097672926	0.010609364599999999	0.1542050597	-0.0102567512	0.0416692335	0.0313706902	-0.15037017449999998	-0.0353032241	-0.0620521557	0.164686923	0.0155539657	0.0083509177	-0.022188346600000002	-0.12162567789999999	0.08635302439999999	-0.0774098801	-0.0339993081	-0.0186387919	-0.014752862700000001	-0.0761090475	0.1366078273	-0.0223858408	0.0392578402	-0.11868529539999999	0.0450138447	0.10880550119999999	0.038588569100000004	-0.0938649039	0.0048164086	-0.0091876492	-0.1152599006	-0.0224306825	-0.0821195866	0.08685529800000001	0.0577817547	0.0380758608	-0.0685195238	0.0195962551	0.0361687465	0.056458023899999994	-0.0138382766	0.0686015456	0.0259955537	-0.010670348100000001	-0.0575122009	0.035362156299999996	-0.10620224310000001	0.046871925099999996	0.0902790178	-0.042702005	-0.0790340725	-0.15036568279999998	0.0317063161	-0.043361195199999994	0.0966035182	-0.065912207	-0.0697419047	-0.0762907468	-0.0340774009	-0.2329064928	0.1253090496	-0.0886979109	0.019954486299999998	0.0986217798	0.0715212732	0.0044262423	0.0024906816	-0.1489501281	-0.0217011654	0.09804137480000001	0.08199504839999999	-0.0241462101	-0.1062910718	0.1086233469	-0.0091975232	-0.15674664	0.0108825755	0.027497831299999997	0.0458176054	-0.0611538167	-0.1128772722	-0.1389058984	0.068671446	0.0780946663	0.0646714097	-0.0681110876	-0.1239862684	-0.10864830589999999	0.1040599409	-0.0313300901	-0.0765898163	-0.0125703332	0.08853842640000001	-0.0639559222	0.0582840436	0.0283932177	0.0189418561	0.1874718973	-0.0682683349	-0.0907976762	-0.0684070218	-0.0531705607	0.0205061689	0.0511089089	0.054731046299999996	-0.0630050057	0.0012356711999999999	-0.047000527800000004	0.056872475199999994	-0.117348295	-0.0259376256	0.0519210546	-0.0466366935	0.0372707265	0.0509841151	-0.045784382699999994	0.0456706199	-0.0517660825	-0.0408306267	-0.1156869478	0.0746528751	-0.022670155	0.0364369597	-0.12055514619999999	0.106396491	-0.028966633199999998	0.05746292400000001	0.1021738733	0.10090549160000001	0.0988031726	-7.46056e-09	4.023394e-08	1.6187699279235997e-15	5.56599555136e-17	-0.264362	-0.043354	0.06988726704399999	0.001879569316	-0.00463003	-0.01490393	0.0002221271294449	2.14371778009e-05	-0.00241474	-0.0009273099999999998	5.8309692675999985e-06	8.599038360999996e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
