global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
8867.416322102274	n/a	n/a	78631072.22948581	11676.02221005532	n/a	n/a	136329494.6497051	7218.9196521809745	n/a	52112800.94464468	n/a	7231.180767203408	11312.334030703467	n/a	n/a	n/a	n/a	-0.0278701654	-0.20937323440000002	-0.0397214865	0.038755527799999995	-0.80091287	0.1465613711	0.0573603726	-0.1351173544	0.0155598131	-0.0522109309	0.0278462827	0.0552508827	-0.0663434224	0.0978370481	-0.0203433061	0.0133259803	-0.0722858453	0.032450029	-0.0429039004	0.0642592421	-0.0688298406	0.0265607783	-0.0047144665	0.0199010475	-0.0746430103	0.0070294946	-0.0195592272	0.026751534700000003	-0.0778956931	0.1017692097	-0.001718111	0.0434574306	-0.0050283482	0.0260717133	-0.028482195499999998	0.0298732537	-0.018671296100000002	0.035945486299999996	-0.0369322925	0.0095570515	-0.0284185747	-0.02696031	-0.0481820015	0.1326344089	-0.0686792941	0.0263820724	-0.005569661500000001	0.05766949690000001	-0.15641849689999998	0.0322532191	-0.0201736167	0.0402018606	-0.0454920754	0.0329899041	-0.11065928779999999	-0.0050091441	0.054790195	-0.044898972800000006	0.0206033472	-0.006736759	0.0084409034	-0.0765873221	0.0995988608	-0.0192104723	0.1104322856	-0.0386817937	0.0006224231	0.0053740317	-0.017772166699999998	0.0676277287	-0.08486077800000001	0.027734424700000003	-0.114244915	0.0410968949	0.0174234869	0.014151162	-0.0192740072	-0.039542921200000004	0.0113930303	0.0614580822	-0.0754481502	0.0692387422	-0.009002238000000001	-0.0322941033	-0.045842861299999996	0.0954540416	0.021909040699999997	0.0276471755	-0.0517648874	-0.04345719940000002	0.0686753222	0.0490584296	0.029468111499999998	-0.0537341717	-0.0271493808	-0.0811541367	0.0327720837	0.0113408773	0.0188726798	0.019182822	-0.066469303	-0.0146139809	0.0132284368	0.045010009100000005	0.019900313	0.1221267381	-0.1318974486	-0.042952509699999995	-0.09011085390000001	0.07441547849999999	0.031741152599999996	0.034408111	0.09728444619999999	-0.059242757699999996	-0.10097215080000001	0.055320842599999996	0.0380612179	0.0208306939	-0.0185980746	-0.0662337999	0.1557866817	-0.0641285792	0.047985568099999994	0.009120334300000001	-0.064416468	0.2106257465	-0.0411443673	0.026001959300000002	-0.0187075945	0.0604238038	-0.015662951100000003	0.1431234779	0.013167880900000001	-0.0516502229	0.0898443708	-0.0802269528	0.010114444399999999	-0.1358602607	0.16942834910000001	-0.0043773033000000005	0.07923773740000001	-0.0333389168	0.0485047956	-0.009510645699999999	0.0694108633	-0.0479424938	0.04856845059999999	0.0419947628	-0.045549982999999995	0.1286519471	-0.0232526811	-0.0909860768	0.0020098588	0.031511822599999996	-0.005559353299999999	-0.016696881599999998	0.015238637	0.0802486069	-0.0704157234	-0.0964373438	0.0055169419999999995	0.0783605044	-0.140308567	0.08113385070000001	0.1117313873	-0.0746486047	-0.0014046367000000001	-0.041321653	-0.0042641901	0.0091576275	0.020268228	0.0462172174	0.1105354462	-0.067260538	-0.059741201699999996	0.0185729264	0.0178000972	0.029473265699999997	0.013886596999999999	-0.040316809700000004	-0.1844346075	0.1402189528	0.0737615891	0.121053831	0.0579669815	-0.0145839812	-0.0681055594	-4.94274e-05	-0.0908815765	0.0354871847	0.08962820269999999	-0.0521423733	-0.015001663500000003	-0.0594222488	-0.0148380038	0.102594329	0.1025838106	0.1025662807	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0
8818.4525030856	-48.96381901667336	2397.4555726975445	77765104.54917671	11373.999126727764	-302.0230833275564	91217.94286268408	129367856.13480394	7214.282810258854	-4.636841922120767	52045876.46639638	21.500303010736605	7222.1438850399145	11158.099442684399	1.040681	37.668449	0.00414044	0.00414044	-0.0054171022	-0.18435723629999998	0.0875245706	-0.0329305306	-0.400061991	0.0831665082	-0.1016466233	0.0371822377	-0.0760833511	0.1652867858	-0.022466353999999997	-0.0809595857	0.0801480837	-0.1793773672	0.0241669879	-0.0430639284	0.08336100070000001	-0.10028175240000001	0.11522813789999999	-0.09568997439999999	0.1065530844	-0.050256172300000006	0.0578629496	-0.1159968557	0.1640573011	0.0579381456	-0.0518950781	0.0188918431	0.0985035343	-0.14044107179999998	-0.0335680295	-0.0306622755	0.0692379371	0.0254240359	0.0373567229	-0.15008023980000001	0.050731198	-0.06984312969999999	0.0400626205	-0.050416657000000004	0.0754786825	-0.0498601923	-0.0288661687	0.1096691822	-0.0038743536	0.1382483119	-0.0448448464	0.052051586100000005	-0.17158018309999998	-0.0538015946	0.09780809800000001	-0.0857489176	0.0528578528	-0.0760105006	-0.08753579410000001	0.013301877299999999	0.0222695696	0.0604508174	-0.0724964454	0.1027067524	-0.0495580212	0.0030941302	0.054055180999999994	0.0394688666	0.0015295181	0.08429916289999999	0.0195088178	-0.0772760084	0.1274561573	0.1493126016	0.010866852199999999	-0.0492089372	-0.09478763189999999	-0.0778190965	-0.09445602789999999	-0.0049779362	0.06023851650000001	-0.0759455888	0.0011189082000000001	0.12442709880000001	0.1130628825	-0.0640076912	-0.0047311348	0.0701468183	0.1173247294	0.0293365955	-0.0072795796	0.08647886210000001	0.06308857820000001	-0.0883750653	0.0542853626	0.0438910874	0.0213230308	0.0385746153	-0.009592618	-0.0854229245	-0.0273385978	0.1416570503	0.042675940700000005	-0.0641771696	0.09220913480000001	-0.041016499399999996	0.0683754849	0.010965438999999999	-0.019803580600000002	0.0549976437	-0.0773314638	-0.05079581389999999	0.10307867820000001	0.0066923762	-0.0033388718	0.0512049333	0.1032462098	-0.0618017351	-0.09348128259999999	0.0049207012	-0.07557263040000001	0.0168140609	-0.0446664103	-0.0297981865	0.0825334375	-0.0102582353	0.16218320890000001	0.0449365146	-0.05774542940000001	0.1571814767	-0.1220844478	-0.0882649616	0.0759178419	-0.06652160879999999	0.0869138008	0.06784712150000001	0.00418105	-0.0500835982	-0.0198639161	0.0457902258	0.1068546117	-0.0887407524	0.1344789341	-0.016014279	0.0140629256	0.0165381902	-0.0641449473	0.0310931646	0.1391104981	-0.1990227793	-0.10161554869999999	-0.0834793026	0.048915464699999994	0.11438886220000001	-0.031082456	-0.0300811396	0.0268805306	0.0445692589	-0.06186004990000001	0.0147211561	0.1034215081	-0.07991221700000001	0.0200387298	0.0810406101	0.0800125758	-0.070594037	-0.0310537892	0.10145529240000001	0.1193447973	0.0054856984	-0.0773227172	-0.0405016125	0.0118131981	-0.0112769102	-0.0297212915	0.0016039764000000001	0.0082641108	-0.1164002411	-0.0272964017	0.0357970178	0.1496966374	-0.0218734934	-0.1029104274	-0.1026416053	-0.1007808956	-0.0201243876	-0.0475988297	0.005331805	-0.041174748	-0.1000057145	-0.0039849101	-0.0614721466	-0.0765463612	0.0705988709	0.0354145303	-0.0528461704	-0.01271481	0.0037056121	-0.10563802300000001	0.1025662807	0.1024716367	0.1023139614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00414044	0.00414044	1.7143243393599998e-05	1.7143243393599998e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8789.556657958117	-28.895845127482968	834.9698656314813	77256306.24345587	11161.166031997349	-212.8330947304148	45297.92621252572	124571627.19381145	7209.340456971097	-4.942353287756305	51974589.82452023	24.426856020995555	7216.330397572625	11156.659196213535	1.100994	39.851566	0.004443970000000001	0.00444398	-0.0594202437	-0.13364426029999998	-0.0734994741	0.0327091996	-0.163201974	-0.032802961400000004	-0.0580972887	-0.0640658702	-0.0430432462	-0.035142455499999996	-0.0475571608	-0.0176462743	-0.0397537432	-0.0046492198	0.0493122946	0.0363395338	0.10581238820000001	0.0012541194	0.0771359241	-0.0514817292	0.0721194771	-0.097374012	-0.007749959200000002	0.1455547456	-0.0831354475	-0.0708906779	0.030215802799999997	0.0112826819	-0.018236597099999998	-0.0037529079999999997	0.0615672528	0.0795721982	-0.0226016532	-0.0185959423	-0.027698048	0.0827939335	-0.018738889499999998	0.1357777117	-0.0346475879	0.0454081058	0.0078944172	0.0164993405	-0.0053764343999999995	0.1519552508	0.0858777783	-0.0294259864	-0.0045629246000000005	0.060317324699999994	-0.08615001650000001	-0.0322868402	0.1092159073	-0.023836943	0.0486518344	-0.1205162353	-0.10510308410000001	0.0103666012	-0.0255489751	0.06078400780000001	0.0020629177	0.1086468184	-0.0139488445	0.1512126432	0.0048177679	0.0738141567	-0.0355314509	0.0400289754	0.0071288821	0.046041051799999996	0.11361647789999994	-0.0650821804	0.0888718968	0.0318154627	0.0056920456999999995	-0.1474955778	0.0329651116	0.1279599999	0.0941247364	0.0694526829	0.09250562179999999	0.0842696968	-0.061194586100000004	-0.1047665782	-0.0307838846	-0.0381512737	-0.0404983404	-0.1370355408	-0.1689716632	0.016495051599999998	0.0241970187	-0.0167393677	0.0647359586	0.0256281461	-0.039242905	-0.0287851225	-0.033212562200000004	0.0347385174	0.0378066281	-0.0305554532	0.0205451549	0.0623394959	0.0596044404	-0.1137560708	0.0295551792	-0.0039385911	0.0324145423	0.0258565283	0.0683303115	0.0031812638	0.08383068469999999	0.0306828814	-0.1337360159	-0.0137964275	-0.012125231	0.0570219074	0.0788871121	0.047586700499999995	-0.0082431986	0.0841163928	0.020753085600000002	-0.013228416000000002	0.1410772247	0.1012937582	0.0161793267	0.0020086543	-0.0656430105	0.0754994996	-0.053176767199999996	-0.1059234003	0.0077331126000000005	-0.06785681019999999	0.14544806289999998	0.0701760887	-0.012278120900000002	0.009090282600000001	-0.099648438	0.0129343419	0.10148116789999999	-0.0067263209	-0.050578400700000005	0.11184847349999999	-0.08135161070000001	0.0085514367	-0.07574407799999999	0.0190104768	0.0954747031	0.058168808600000003	-0.0991833475	-0.0743763422	0.023332343199999998	0.0728383864	0.13014063210000001	0.0997675697	-0.011447190800000001	0.0112768691	-0.056886487	-0.09703934210000001	0.0487223894	0.0823458789	0.1121860367	0.0835934901	0.0591891573	0.11292854150000001	0.1759011396	0.1062361358	0.0257623485	0.0200375972	0.005648308	-0.026163126499999998	-0.0039426727	0.0119341647	-0.013226863500000002	0.0098924833	-0.0007502696	0.0505156508	-0.0327113786	0.0111917223	-0.068957043	0.0022083085	0.0060722874	-0.0739296335	0.0077925233	-0.1589465132	0.0666118077	0.013056764299999999	-0.0864407724	0.042335593	0.046414225700000006	-0.048355675	-0.0400769115	-0.0443441773	-0.0524491421	0.0375997978	-0.110863238	-0.1130783952	-0.0047069482	0.10251019189999999	0.1022474116	0.1018099433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00858441	0.004443970000000001	1.974886936090001e-05	7.369209504810002e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8767.256321711942	-22.300336246174997	497.3049966924662	76864783.41059801	11062.185785718691	-98.98024627865743	9797.089153383678	122371954.35775666	7194.5616710369995	-14.778785934097867	51761717.6383547	218.41251368588902	7202.988206030989	11140.014145733025	1.10542	40.011757	0.007590589999999997	0.00759061	-0.1239427114	-0.0791950374	-0.0199480605	0.0761897847	-0.0514669262	-0.1577809206	-0.0349396624	0.0493026436	0.1377796464	-0.1363702033	0.0540186752	-0.0712605184	0.1576763468	-0.1003369191	0.0062160524	-0.0692091274	0.11340524369999999	-0.0200750626	0.0980052708	0.0065871220999999995	-0.1082341765	0.0740546916	0.022427150899999998	0.12482211119999999	0.1667111168	-0.1318709168	-0.0118420425	0.0308788296	0.029739052999999998	-0.0511449421	0.040295083599999997	-0.0162543995	-0.011795709599999999	-0.08857141660000001	-0.0721978312	-0.0727175427	-0.025572720299999997	-0.0385764579	0.0596085966	-0.0057454128	-0.0050978227	0.0736560189	0.027015542599999998	0.1161418937	-0.10782993140000001	-0.0393023635	-0.0351559679	0.0362030229	-0.0160105297	-0.046287362400000004	-0.065570428	-0.05727026690000001	-0.1220780525	-0.0827190799	-0.0642181998	-0.059332251100000004	-0.0349222818	0.032259129500000004	0.007791174699999999	0.0480300519	0.0577672192	0.0240007208	0.0824788672	-0.0244248572	-0.0069501911	0.0471171763	0.0508315253	0.0960634167	-0.0199150873	-0.0601277747	-0.053346739000000004	0.15791566070000002	0.0905390746	0.0682844881	0.0303945156	-0.0308230683	-0.0375858722	-0.0907445598	0.0101255622	-0.0064772238	0.015528762	-0.0744084769	-0.0321200335	-0.1336927942	0.0371828769	-0.0354986821	0.1085565969	-0.11758101900000001	-0.044684343700000004	-0.06611548219999999	-0.055493344699999995	-0.0362795703	-0.012250522	-0.0659156396	-0.021174548199999997	0.0535185815	-0.0122685926	-0.0539966638	0.09606690650000001	-0.0121428751	0.0344441613	0.006820264	-0.11375410009999999	0.0555821643	0.0086058426	-0.023554866600000002	0.1109391261	0.1162939342	0.0120239544	0.0269596239	0.1596105433	0.1332221185	-0.0089614703	-0.013673716899999999	0.0094792888	0.0394950862	0.1098581423	0.072054936	0.0797607396	0.0209944146	0.1378781866	-0.0952588755	-0.020744116200000003	0.0376228839	-0.0402624021	-0.0024935268	-0.06689127389999999	0.054988202	0.0887055794	0.0979744412	0.08333195019999999	0.06548445809999999	0.0305343141	0.0349561314	-0.05906923190000001	-0.0210604385	0.0315089704	-0.07980793	-0.0165277415	0.0072385792	-0.012525069	0.0031331314	-0.0507063089	0.1621727464	-0.0130119473	0.0839542927	0.0678642001	0.0991064104	-0.0780154755	-0.0221335533	-0.0345267714	0.0968754113	0.023547827	0.04452881190000001	-0.017737716299999998	0.1019013508	-0.0093477159	0.0138031115	0.0460233394	-0.0403008208	0.0561658821	0.0339619479	-0.007872538299999999	-0.1968294118	-0.044693765999999996	-0.0598084375	0.0180493298	-0.0221922342	0.0305569598	-0.006187092	-0.0593912313	0.0208022665	0.0018191998000000001	0.0360351536	0.0801035	0.08241498309999999	-0.1142313824	-0.11711756179999999	-0.0509471883	0.007031934	0.0079437758	0.0678041725	0.0802870501	-0.0523082541	0.06320996549999999	-0.1270172048	-0.0990430682	-0.128220746	-0.0238043306	0.0210026008	-0.0301091054	0.0453941858	0.0132783446	-0.1054508892	0.11033390009999999	0.10242607769999999	0.10191138039999999	0.10105546650000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016175	0.007590589999999999	5.761705654809998e-05	0.00026163062499999994	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8758.279804362153	-8.976517349788992	80.57786373106279	76707465.13149796	11068.678003314919	6.49221759622742	42.14888931676494	122515632.74106754	7195.878764474327	1.3170934373274577	51780671.19301257	1.7347351226510577	7201.058510248276	10733.411015618478	1.355414	49.060539	0.016132200000000003	0.0161321	0.0414423229	-0.048493162400000005	0.1398671595	0.040030135	0.00036022	0.0679582522	-0.08855796560000001	0.1461451672	0.0901625044	0.0657872642	-0.0738806791	-0.018012653700000002	0.017995544	0.0167869078	0.0328157235	-0.0261398564	0.024615559500000002	0.1179898343	-0.0560488217	0.034808009	-0.0589216019	0.22512269329999998	-0.11412691259999999	-0.0950823175	-0.0125699774	-0.15901035089999999	-0.0598541102	-0.0423395	-0.0464470268	-0.025376086800000003	-0.0061009868	-0.1061354657	-0.0455123538	0.0615328007	0.0933927135	0.0068328836	0.048900853200000004	0.0351839652	0.015160228500000001	0.07559951200000001	-0.075908877	-0.0348771778	-0.0370434884	0.0045460351	-0.0439105768	0.1183556403	-0.08400322880000001	-0.0017410430999999999	0.010982798200000001	0.0316035633	-0.045701644900000005	-0.0131575802	0.0944502683	0.0262124009	0.0295694072	-0.0664983183	-0.0090707792	-0.0021184000000000003	-0.0634591529	-0.049656247300000005	-0.0719942141	-0.0668475888	0.028631467799999998	-0.1652241463	-0.0691356747	0.101235585	0.1208489189	0.0219624257	-0.045982155700000006	-0.016106315700000002	0.09546653199999999	-0.0176829542	0.05369791610000002	-0.0538319464	-0.002381306	-0.08400631720000001	-0.0324128957	0.0248510602	0.0163386238	-0.1403465256	0.1590103472	-0.0404158751	0.048674284299999995	-0.15424217640000001	0.0136816456	-0.0548093049	0.0480246777	0.008484886	-0.0628068596	-0.131788403	0.04386161400000002	-0.10168169810000001	0.0642350768	0.0689152735	0.0520984288	-0.0483299799	0.0717567216	0.013975727	-0.0005960282	0.1298979288	0.060365618899999994	0.0967919644	-0.10164197130000001	0.0030295223	0.026840012200000003	-0.025057558100000002	-0.0660754984	0.0136741722	0.0712464149	0.0347290013	0.0087752758	0.0266136535	-0.0294189808	0.11000918050000001	-0.005079425	0.0086312688	-0.056728413899999997	0.07535820019999999	-0.0376560792	-0.0313257866	-0.019939765800000002	-0.04212439269999999	0.1132620901	0.0783459526	-0.0042586126	0.0049904837	0.031778597799999996	0.047369663099999994	-0.0007769819	-0.090909665	-0.0489694177	-0.031692189100000004	0.0697305844	-0.0052705499	0.0614703052	0.0633355456	-0.0528127501	0.0682672705	0.0268893316	-0.10044952550000001	-0.0406724797	-0.0643642157	-0.0282352908	0.2178097664	-0.0531491401	-0.018908399399999998	0.0008688258999999999	-0.04363007309999999	-0.0289124933	-0.059536588700000004	0.06714549139999999	0.0447037099	0.0010669753999999999	-0.0386372123	-0.0303982715	0.0656926183	-0.08775551599999999	-0.2047349486	0.0348711869	-0.0332098227	0.08490991960000001	0.0458867591	-0.0211845124	-0.1002823698	0.0968473376	0.0166073911	0.0434027559	-0.0024541532000000002	-0.0995000569	-0.07664414110000001	-0.1661737007	0.0323396651	0.012757281100000002	-0.0347154238	-0.0634394065	-0.0228612375	-0.053449295099999995	0.023090992799999998	-0.10840179720000001	0.052220496500000005	0.1012166723	0.093909467	0.029238552400000006	0.041620779100000005	-0.0874298049	0.0281396929	0.0201329536	-0.0200945214	0.0275710298	-0.0494983791	-0.1184648616	-0.0367012532	-0.0094653753	-0.08508753919999999	-0.0722448432	0.1023139614	0.1014639107	0.10005238710000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0323072	0.016132200000000003	0.0002602478768400001	0.00104375517184	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8772.40827195441	14.128467592256131	199.61359650543167	76955146.88985415	11024.086020084058	-44.59198323086093	1988.4449684613824	121530472.57821275	7195.798889002756	-0.07987547157063091	51779521.6509733	0.006380090958630666	7199.911615485907	10791.028559287814	1.055111	38.190777	0.004388499999999997	0.00438853	0.0814230084	-0.09660531509999999	0.0109093392	0.0882679174	0.0525269862	0.1100650497	-0.036401247799999994	-0.029630093	0.0378911333	-0.0172830646	0.0314526388	-0.0065547555	-0.0110468729	0.049538182699999996	-0.07834439480000001	0.1633474307	-0.0303825518	0.0040500642	0.0098247084	0.0320007572	-0.042509999699999995	-0.2045089175	-0.032243078599999996	0.058321084400000014	-0.0358037332	-0.04519292019999999	-0.0512105181	0.0205134428	0.0778804658	-0.08043586030000001	0.0405759603	-0.1280758113	-0.042309579800000004	-0.09150482789999999	0.1466405845	0.0778366407	0.0433309981	0.0397103842	0.034255743	-0.0332789411	0.0274710089	-0.09850716539999999	-0.030646945800000002	0.012825546100000002	0.056112369599999996	0.0017305187	-0.044946290199999996	0.0449987931	0.038674896800000004	0.1258689902	0.0047532025	0.1727404328	0.021945346600000002	0.11951681980000001	-0.1208979917	-0.020846171599999998	0.027391361800000003	0.006181394200000001	-0.0845522558	-0.022191886600000002	0.044303993099999994	0.0400688615	0.0228662479	-0.11630684210000004	-0.0683827379	-0.1463772857	-0.0038249409999999997	0.02826153	0.034926014	-0.0964924054	0.0226968912	-0.1182084073	-0.0048588607	-0.0448667006	-0.13316396	0.0268213125	0.026839609500000004	-0.0430007825	0.042662953200000006	-0.0460750531	-0.0661261169	0.0458514609	0.026077326	-0.008279706	-0.010206383199999999	-0.1086518907	-0.0857127981	-0.1179168483	-0.0990838543	0.1008815228	0.087049896	-0.0117640175	-0.035371077	-0.0247016781	0.029475058999999998	0.1080034674	0.0104373683	0.0030447953999999996	-0.1318025253	-0.0858231843	-0.1261227691	0.0107782954	0.024184240299999996	0.0591933191	0.0324734062	0.11460211949999999	0.021775783599999998	-0.043194085199999996	0.014168493899999999	-0.0881226972	-0.0869030447	0.0483774539	0.0659806556	-0.051341661799999994	0.0192304434	-0.0272232492	0.0519672153	-0.08695266369999999	-0.10036768089999999	-0.0291218185	0.0010028009	0.049000281500000006	0.012500955900000001	0.0432287875	-0.042912841900000005	0.011354806200000001	0.1438576059	-0.018643128300000002	-0.1611906172	0.0254081169	-0.1017451159	0.1538335967	0.0157319503	-0.0210623827	0.0133549946	0.0890067658	-0.0051419129	-0.0205483458	-0.0453046295	-0.014438118	-0.08893425740000001	-0.059027690199999996	0.13143331949999998	0.0110532812	-0.0528960042	0.0598640754	-0.0403802186	-0.0543165482	0.1172414313	0.011023119599999999	-0.0802959495	0.0382676098	-0.027233186800000003	-0.0216286771	-0.054383115	-0.055079334199999996	-0.0749945771	0.0243898954	0.012510013899999999	-0.1067455177	0.0412015109	0.0417001423	0.1666203272	0.0316745721	-0.046926133499999995	-0.1382052538	0.006336587800000001	0.0791176564	0.0123100477	0.0364580524	0.0499868874	-0.0049593539	-0.05655964650000001	0.1140164659	-0.05169826	-0.0293687275	0.12156536539999999	0.049399392800000004	0.1265501005	0.0413842691	-0.0460181301	0.0376724205	0.054286947	-0.0202184739	0.0321757389	0.0689172887	0.1302365041	-0.0604236321	-0.0819758543	0.028064063599999998	0.053721862	-0.0295152316	-0.0457244342	0.06812795370000001	0.0599040761	0.1021738733	0.10090549160000001	0.0988031726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0366957	0.004388499999999997	1.925893224999997e-05	0.0013465743984899998	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
