global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10
9072.805950482169	n/a	n/a	82315807.81510465	11706.009676123345	n/a	137030662.53749338	n/a	7112.174912630914	n/a	n/a	50583031.98785655	7124.494053556426	12965.81324512483	n/a	n/a	n/a	n/a	-0.0057204261	-0.1332876751	0.0369178785	0.0637799593	-0.7690302102	0.0248099917	-0.2248723966	0.0503260647	0.0084259016	-0.1307525114	0.13124338160000001	-0.1449599552	0.10840348289999999	-0.031184583	0.0644853169	-0.1154230478	0.0735950851	-0.0164999541	0.024293372400000002	-0.1331834641	0.044345294800000004	-0.0056862410999999995	0.0321256356	-0.010975811399999999	0.0313954702	-0.0356945394	0.0010824504	-0.0090480519	0.0449210491	-0.0544405674	0.0471561257	-0.08766663289999999	0.0352873012	-0.026429046499999997	0.0300249969	-0.0334306151	0.0212414106	-0.0201946305	0.017848181499999997	0.08139107450000001	-0.0057011666	0.028703381899999998	-0.07590578190000001	-0.0339684179	0.0978316254	-0.040558779100000004	0.0163048177	-0.056817884699999995	0.0281140291	-0.09166966550000001	0.0758595331	0.19536441940000002	-0.0043941613	0.0523066011	-0.0788316894	0.1091884786	-0.0762859575	-0.0021942773000000002	0.022381786400000003	-0.08923012550000001	0.0240374377	-0.0826187213	0.0384053348	-0.1096772401	0.1079098494	-0.034534629500000004	0.1004918667	-0.1048890449	0.07802254730000001	-0.0330473289	0.0747276006	-0.0583758978	0.058996885	-0.044319913899999994	0.057716137199999996	0.0093793416	-0.0325708248	-0.092733499	0.0047918878	0.0165142646	-0.0158689419	-0.0001540905	-0.021283120899999997	0.0040447122	0.0729891503	-0.039450906800000005	-0.0128608073	-0.0025996284	0.0361253692	0.016516318999999998	0.0546557567	-0.0394269698	-0.0794974656	0.09772542949999999	0.0154745623	-0.0637731302	-0.0248613184	-0.0707040346	0.0632015027	0.0823922703	0.0262799365	-0.1466808738	-0.0631472701	-0.121583606	-0.024490019300000002	0.000222738	0.1298452301	-0.0668601644	-0.0066327766	0.1042134932	0.0158749413	0.0639398912	-0.0414735486	-0.0123523685	-0.0002757348	-0.017246194	-0.047914987199999995	-0.0380634527	0.0683631754	0.0510357827	-0.0380142346	0.12582441689999999	-0.0164142519	0.1064120002	-0.0140545983	0.0202852803	-0.06798610299999999	0.1546744089	0.37789523259999996	-0.028957135099999996	0.1353481906	-0.1978502425	0.09890388929999999	-0.0670080396	0.022888556	0.19554485	-0.0326042503	0.0077462128	-0.08917192369999999	0.1061075006	-0.0976508862	0.0185323361	-0.049791257400000004	0.048707691799999994	-0.0958103134	0.0474528066	-0.0645471608	0.0414073466	-0.0280394965	0.1119830415	-0.0495625392	0.0048418385	5.90033e-05	0.0377005118	-0.1413125769	0.0106681465	0.0449953717	-0.0175559439	-0.032806768	-0.0154093201	0.0581393984	-0.0859004884	-0.0357427317	0.059739014699999995	0.0065549767	0.011953396299999999	0.0158662868	-0.0355331394	-0.0186116206	0.0187001378	0.09392004179999999	-0.2173629772	-0.0109040341	-0.0368608812	-0.005251108000000001	-0.0828718282	0.129984594	0.0224509181	-0.0364700091	-0.0781026093	0.059101411	0.0558080201	0.01555928	-0.0551192362	-0.0084273713	-8.65038e-05	0.0840081144	0.008657043199999999	0.0263850165	-0.018473336	-0.027194004100000002	-0.0225635898	-0.0306900661	-0.034398788	0.028894564900000006	0.013147693700000001	0.0369493027	0.102594329	0.1025838106	0.1025662807	0.0	n/a	0.0	n/a	-0.08335039999999999	n/a	0.0069472891801599995	n/a	0.007747259999999999	n/a	n/a	6.0020037507599977e-05	-0.000151114	n/a	n/a	2.2835440996e-08	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9060.643577518145	-12.162372964023234	147.9233161160033	82095262.03882082	11433.43519185177	-272.57448427157584	130723440.28627452	74296.84947591551	7139.954598893268	27.77968626235361	771.7109688347978	50978951.67425712	7148.983338790363	13191.199724369038	1.467408	58.21637	0.19693219656	0.181527	0.1230764432	-0.1072299643	0.0672837275	0.2032179096	-0.460167069	0.05034787	0.069725008	-0.04672170269999999	-0.0067998795	0.1679847413	-0.1744012066	0.19007029960000002	-0.10787155779999999	0.028279130099999997	-0.1038592957	0.2431287694	-0.1273674594	0.06706049809999999	-0.0130271546	0.2079166016	-0.0574634446	-0.0038221025	-0.0697945054	-0.0492251487	-0.0034248596000000004	0.1130634859	0.015632652099999998	0.0045508401	0.057298320800000004	0.1193765532	-0.1343243691	0.1696187284	-0.0273564678	0.006140915	-0.07969800610000001	0.0329395218	-0.0821797169	0.01436534	0.0482591079	-0.1265120095	-0.0239177183	0.0341007486	0.1428892897	-0.1712482459	0.0603640096	0.2113871447	0.0255585988	-0.09190387779999999	-0.10279672849999999	0.0962254307	0.023977049	0.287128557	-0.1141814103	0.0917074059	-0.126133585	0.27464432980000003	0.0228915318	-0.052566611799999996	0.057743955199999995	-0.064257969	0.08281258	-0.1115515672	0.0097777548	-0.0715024321	0.1041202759	0.0776120846	0.0356713131	0.006875711800000001	-0.052427693399999996	-0.0696693556	-0.010549135800000001	-0.0856129344	-0.061534583399999995	-0.1003460991	0.1861104812	-0.033095671800000004	0.05673934980000001	0.0018401741	-0.0211578482	-0.025970547400000002	0.10809915880000001	-0.0405853922	-0.011674283	-0.0280053309	-0.0608543617	0.0156634727	-0.0360527513	0.0231978144	-0.0600068609	0.0409373564	-0.031440377900000004	-0.0516202021	-0.0231141052	-0.0780043696	0.062401650499999996	0.0193997797	-0.08628911880000001	-0.058411337	0.0352964482	0.0015537373	-0.0604505371	-0.0054037813	-0.0050932177	0.0542925023	0.0446138209	-0.001234165	-0.1093230843	-0.0863451341	-0.021398979300000003	0.0405588743	-0.0165760099	0.0388310549	-0.1078924668	-0.09154874380000001	0.0191019104	-0.10316919449999999	-0.023353517799999998	0.022288478900000002	-0.0233697405	-0.09816553800000001	-0.16844627620000002	0.085775924	-0.25250811300000003	0.0466068052	-0.0040554988	-0.11049933099999999	0.10945792970000001	0.09557011480000001	0.39622441119999996	0.0652136125	0.15858050640000002	-0.1972643446	0.14489268130000002	0.0717771559	-0.0728437849	0.0676662796	-0.0473007768	0.0404684405	0.022726137900000002	0.013871239099999998	-0.0450111148	-0.0060259726	0.0762888216	-0.048680630499999995	-0.0571167935	-0.010593398	0.010500540800000001	0.033027283	-0.0249831856	-0.035941785899999995	-0.0958631474	-0.1268202907	-0.042677762699999996	0.0103782158	0.0861533377	0.0343548715	-0.044780584000000005	-0.0055389566000000005	0.1137589428	-0.0491443103	-0.0691552133	0.054585152000000005	0.0153552787	-0.0261010121	-0.0196363528	0.0338172069	0.012517756299999998	-0.061130825800000003	0.0462583643	-0.0433074412	0.0295408782	0.0124277395	-0.06307675759999999	-0.0118336957	-0.0252584112	0.0038190747	-0.0410918071	0.0422654347	0.0644426737	0.013201626200000002	-0.097262735	-0.0783542393	-0.008364792099999999	0.0849843141	-0.1037935839	-0.0295579817	0.0116960599	0.0109440094	0.0180771857	-0.05731970860000001	0.044615416500000005	0.0278428166	0.0478946054	0.0113607066	0.0605364558	-0.0815081387	-0.0559322705	0.1025662807	0.1024716367	0.1023139614	1.29416e-06	1.29416e-06	1.6748501056000002e-12	1.6748501056000002e-12	-0.264438	-0.1810876	0.06992745584400001	0.032792718873760014	-1.02659e-05	-0.0077575258999999985	6.017920808917079e-05	1.0538870281e-10	5.78636e-06	0.00015690036	2.4617722968129598e-08	3.34819620496e-11	3.23117e-27	3.23117e-27	1.0440459568899998e-53	1.0440459568899998e-53	4.81517e-06	4.81517e-06	2.31858621289e-11	2.31858621289e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9045.017691080013	-15.625886438132513	244.16832697741356	81812345.0319504	11202.668349629264	-230.76684222250515	125499778.15178528	53253.33546934658	7128.9955738262925	-10.9590250669753	120.100230418593	50822577.89163487	7136.1251605151965	12816.147800265977	1.560929	61.92661700000001	0.31982273656000004	0.274037	-0.0488113714	-0.0039671135	0.0986288952	0.1420387329	-0.1949847562	-0.0875952126	0.0806842631	-0.0365215644	0.1499056442	0.0677703529	0.0894074411	0.0899623661	-0.08582697789999999	0.0005793094	-0.0339112044	0.009520151999999999	0.054347468600000004	0.0556319739	0.0163510654	0.003210423	-0.0387878802	0.029113444500000002	-0.0307914567	-0.052146287	-0.0252840483	-0.0497723738	-0.0216266467	-0.0744312824	-0.1586385813	-0.0522543952	0.056964800999999995	0.0627936816	-0.13200210210000002	-0.074842485	0.0396889818	0.10476010919999999	-0.0300943113	0.062752868	-0.1050942094	0.0744561839	0.0265251123	-0.08495055900000001	-0.005343786600000001	0.0196184903	0.1048584872	0.183840255	0.0088939255	0.1097541607	0.0020938679	0.005349447199999999	0.054913022199999995	0.1292969312	0.0118564303	0.0216672142	0.0133611052	-0.0649760494	0.0111180494	0.061285123399999995	0.0187884156	0.1568146149	0.072502642	-0.1586642171	-0.0171188628	-0.05842994360000001	0.0806117331	-0.059249139699999995	-0.0802592958	0.1575393479	0.0517992913	0.010664988200000001	-0.08009513509999999	0.0376189942	-0.1590161589	-0.0295562105	-0.0316833496	0.046229645800000004	0.1330330386	0.0147063253	0.0492982093	-0.048786608499999995	-0.1161500299	0.062243119699999995	0.0602907226	0.0063537062	0.0069064797999999995	0.09094903689999999	-0.049285265	-0.0459928878	0.028206105	-0.139760742	-0.0255245219	-0.062200293399999995	0.095756761	-0.1666533485	0.0858462026	0.038306184300000004	0.0284573417	-0.043481854800000004	0.0011934272	-0.0076559768	-0.051331622	0.0477352599	0.0635438227	-0.0226526387	0.0079696149	-0.0195921548	-0.038811917599999995	-0.0412619821	-0.0748691618	-0.0235808827	-0.0212572903	0.0574278506	0.0844817676	0.0472576221	-0.0377157681	-0.013690446299999999	0.0522115545	-0.034758880299999996	-0.0069366283	0.0020961023	0.0193771897	0.1176394492	-0.1816504875	-0.1178127886	0.024200869700000002	0.0215068771	-0.014813133700000003	0.0727490297	0.1218556115	-0.0017300637	0.0070048069	0.0613789383	-0.017411845800000002	0.0222855412	0.10336312619999999	0.0085411173	-0.0479950891	0.1562925205	-0.1426915043	-0.0360150977	0.0002249687	0.027298491600000002	-0.0360051859	-0.0656304143	0.150587332	-0.10314154380000001	-0.0318168312	0.0219867483	0.10338508630000001	-0.1865708305	-0.0016106148	0.0123358624	-0.0580994642	0.0579598405	0.0597375509	-0.1251880809	0.023576117	0.0836701465	-0.0352695492	0.11520434060000001	0.0194503653	-0.0173020931	-0.021185604500000003	-0.0125570382	-0.0868609374	0.0191746574	-0.0226011336	-0.0662046306	-0.0978126677	-0.0978455871	-0.10816130789999999	0.1321546586	-0.0683077619	-0.05721126820000001	0.023453104500000002	0.0650923146	0.0405780798	0.048774260800000004	0.0388405129	0.029092213199999998	0.009833569	0.057856628499999986	0.0148354872	0.043075856399999994	-0.0999778409	0.08698459720000001	-0.0175559892	-0.0279227771	-0.019386557	0.0595411242	-0.0147403254	0.0368264081	0.0705111856	-0.026346781200000002	-0.049004085999999995	0.137067201	0.0830541404	0.10251019189999999	0.1022474116	0.1018099433	-0.0142926	-0.014293894159999999	0.00020427841475999998	0.00020431541025728214	0.007894	0.272332	6.231523600000001e-05	0.074164718224	0.000254027	0.0002642929	6.985073699040999e-08	6.452971672899999e-08	-9.47038e-05	-0.00010049016	1.00982722568256e-08	8.968809734439999e-09	-0.00025	-0.00025	6.25e-08	6.25e-08	0.000312976	0.00030816083	9.795397657599998e-08	9.496309714628887e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9016.77142096692	-28.24627011309349	797.8517753018384	81302166.8579658	11086.905657300149	-115.76269232911542	122919477.05387405	13401.000935285445	7115.007032681765	-13.988541144527517	195.6792833521392	50623325.07511097	7119.444739947733	12774.131039006616	1.28959	51.161816	0.0297328108	0.0159707	-0.1022093053	0.0964271535	-0.0006983467999999999	0.1119547798	-0.0663141138	-0.12715678960000001	0.00540706	-0.0602085542	-0.11256189400000001	0.1217166856	-0.084752792	0.0991394627	-0.025928161499999998	0.1900497456	0.0002963183	-0.0152180531	-0.1053911123	-0.08950552619999999	-0.0359810687	-0.01422236	-0.1259792675	0.0583960067	-0.032679082000000005	0.050746584299999994	-0.0992889845	-0.1255687877	0.0431037735	-0.020597731499999997	-0.023109873599999997	0.010176118199999999	-0.0197612721	-0.0104025412	0.06354621049999999	0.1663485267	0.0554408568	0.08979780289999999	0.1730672372	-0.0352687381	-0.09482285369999999	0.08989267460000001	-0.0206533473	0.0211803192	-0.0621873951	0.1041751884	0.0490384348	0.09476605369999999	0.0548870003	-0.0440248263	-0.002265262	0.0732548318	0.1411283185	0.10480393689999999	-0.097988819	0.161936163	-0.1626559272	-0.0163624204	-0.0101877274	-0.0299045984	-0.050981722300000004	0.041563817999999995	0.0117928077	-0.0275744928	-0.0564979713	0.0362439105	-0.08896915150000001	-0.1656827762	-0.1309580975	0.029841093399999997	-0.045662735499999996	-0.1504945076	0.053515214500000005	-0.0698552337	0.0817537536	-0.019821286100000002	-0.036657436200000004	-0.0867172563	-0.0578896646	0.021564497000000002	0.004938399699999999	0.0325849127	0.0368490197	0.037342770899999995	-0.0576424137	-0.08649811140000001	0.1033133234	0.04348179940000002	-0.0909863844	0.0501913115	-0.0081174549	0.0404903088	-0.018704748400000002	0.1393344611	0.13348385699999998	-0.047804913899999996	-0.0339579656	0.0515632103	0.0925189528	-0.149185672	-0.138719961	-0.0845588801	-0.0416452528	-0.145154392	0.048586071200000004	-0.029088902799999997	-0.008548936600000001	0.0716538439	0.0578610881	0.0815167138	0.0400194216	0.06448513089999999	0.052979082000000004	0.006911909	0.0541214511	0.0318101945	-0.0149603442	0.1069368937	-0.1131930357	-0.0816855315	0.041662837200000004	0.0366501449	0.10333622529999999	0.056853768099999986	-0.0946859716	0.0427963013	0.027775219900000002	0.0042479474	0.0922710307	0.142051599	0.1069733702	0.0019966938	0.21137257210000002	0.0049763512	-0.14577750779999998	0.0025993616	-0.0097061921	-0.0655690178	0.0305422739	0.021663292799999997	0.0417203355	-0.0934135027	0.0333596848	0.0027324462	-0.033531024300000004	-0.0470675978	0.1678424171	0.1977870007	0.0753294599	-0.0530869086	-0.0584281788	0.0608932554	0.021696123900000003	0.011772111299999999	0.0807425211	-0.062001074800000014	-0.003984698300000001	-0.014921923500000003	0.10660113689999999	-0.0276524342	0.0068684766	-0.0576979486	0.0026332871000000002	-0.0528714879	-0.033088694700000004	-0.0549496157	-0.0352444313	0.11300568859999999	-0.09312745900000001	0.17712064940000002	0.0346620729	0.0242515344	-0.10416910859999999	0.055340856699999996	-0.0602275314	0.042668547599999995	0.09562459150000001	-0.0165977664	0.0023473443	0.15125234369999999	-0.18740443620000002	0.0321789045	0.0317654521	-0.0804116164	0.0465871254	-0.0849403098	0.0954467344	0.0748167339	0.043709793899999995	-0.0048207163	0.0802383203	-0.000332127	-0.0499650878	-0.02107586	-0.050229181	-0.0169109517	-0.065455876	-0.0450651272	0.1011530622	0.10242607769999999	0.10191138039999999	0.10105546650000001	-0.00890585	0.005386750000000001	7.93141642225e-05	2.9017075562500013e-05	0.00714723	-0.0007467699999999999	5.10828966729e-05	5.576654328999999e-07	1.08712e-05	-0.00024315580000000003	5.912474307364e-08	1.1818298943999997e-10	3.45509e-05	0.0001292547	1.6706777472090002e-08	1.1937646908099999e-09	-0.0	0.00025	6.25e-08	0.0	0.000400844	8.786800000000006e-05	1.6067591233600002e-07	7.720785424000011e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8990.742470654388	-26.028950312531382	677.5062543722272	80833450.17362857	11046.300705670825	-40.60495162932421	122020759.28010376	1648.7620968197587	7103.402081252262	-11.604951429502762	134.6748976811182	50458321.12793897	7109.203371055875	12908.353542930874	1.403674	55.687881	0.11436506380000006	0.07471799999999999	0.035109368599999996	0.021920964700000004	-0.0250133524	-0.0014945669	0.006095750400000001	0.0173287291	-0.066174429	-0.0224031945	0.18563274489999998	0.004787423	-0.1043424549	-0.0472072452	0.048208176	-0.0291474142	0.0764698695	-0.10663473679999999	0.053298423	-0.0422534868	0.024784667799999997	0.0125110275	-0.0302832257	-0.0117969435	0.0970226216	0.0812141918	-0.0226562829	-0.0307350959	-0.0058776737	0.024454386499999998	0.0374983651	-0.0097223737	-0.0337559704	-0.0441798548	0.0775619983	-0.0677467937	-0.14961374	-0.0035169988	0.059829491299999996	0.0131751177	-0.19173584559999998	-0.053243598499999996	-0.061187402099999996	-0.1380311397	0.020198326200000002	-0.028797001200000002	-0.0156272922	0.017847451599999998	-0.0164987549	0.0488413169	0.0273752044	0.0961847716	-0.075388393	-0.0012350973	-0.17160063620000002	0.021355284900000004	-0.141805617	-0.0320327912	0.1447258795	-0.1274840039	-0.12192869199999999	0.05953676030000001	-0.0337368137	0.0332239582	-0.06895197389999999	0.0609932646	0.0606297395	0.025305474799999998	-0.06204032900000001	-0.0290083009	-0.14534624710000002	-0.0653370394	0.11443580869999999	0.1291658135	-0.06962362230000001	-0.1200364276	0.0793532096	0.029068329599999998	-0.004471708	0.1142138323	0.0267361373	0.025577487000000003	0.0765284247	0.0919965081	-0.06806058	0.0114985862	0.0305728927	-0.0002753878	0.10115689859999999	0.0832581958	-0.0518991348	0.11779719570000001	0.0620631725	-0.1313090157	0.0648229411	0.074190913	-0.1593155746	0.015150463999999999	0.1237371234	0.0826124618	-0.0864920468	-0.076468995	0.1421606209	-0.0170922775	-0.0211145902	0.0665282132	-0.0814201354	0.0600274964	-0.09343602820000001	-0.008529308000000001	0.029208651800000002	0.0505207158	-0.055418378	0.0258787744	0.0453588266	0.0529218542	-0.07841936969999999	0.0440943316	-0.036002963900000004	0.1333493121	0.2023802723	0.0639969392	-0.0313551424	-0.0196718628	-0.0004812228	-0.06784336099999999	0.0113200733	0.0329923984	0.087414856	-0.0656473908	0.0313061081	0.1251873751	0.1067530814	-0.0407546497	-0.1565244446	0.09107395970000001	-0.13836559810000001	-0.031239667000000002	0.12313732890000001	0.052207696100000006	-0.0044089269	-0.0811478922	-0.031110454300000007	0.09951652970000001	0.08510317099999999	0.0121943175	-0.034194337799999995	0.08808008380000001	0.1920566466	-0.0078328565	0.1139279681	-0.0500760508	-0.1515943955	0.029365368399999998	-0.0421470799	-0.0774500668	0.0493335521	-0.0120537947	0.1133678593	-0.06468632839999999	0.041763692799999995	-0.06484557219999999	0.0178456929	-0.022558591200000002	0.011720062600000001	-0.0683798419	0.1175308499	-0.035903614300000004	0.1299635417	-0.0641045193	0.1370287171	0.1014839162	-0.0707352849	0.0417385393	0.1418874857	0.022145995099999996	-0.0376468326	-0.0524855375	0.0043224142	-0.0913944026	-0.2099781556	-0.0959044253	-0.0857837292	-0.018292105	-0.0005281626	0.0133449722	0.0448904574	0.0249068777	0.0071970883	-0.0412045769	0.1356852557	-0.0219931104	-0.0002038744	0.024093127000000002	0.0189913824	0.0921106503	-0.0857004379	0.1760176209	0.0032438396000000003	0.1023139614	0.1014639107	0.10005238710000001	-0.00796895	0.0009368999999999992	6.350416410250003e-05	8.777816099999985e-07	-0.06348680000000001	-0.07063403000000001	0.004030573774240001	0.004989166194040902	0.0145003	0.0144894288	0.0002099435469502694	0.00021025870009	0.000375429	0.0003408781000000001	1.1619787905961005e-07	1.4094693404100002e-07	-0.000150239	-0.000150239	2.2571757121000004e-08	2.2571757121000004e-08	0.000475821	7.497699999999994e-05	2.2640562404099998e-07	5.6215505289999916e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
