global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15
9028.991895767327	n/a	n/a	81522694.65383208	11692.575631776148	n/a	136716324.9048054	n/a	7107.502974774815	n/a	n/a	50516598.53643284	7125.372131396084	12515.443577474087	n/a	n/a	n/a	n/a	-0.017730567	-0.0752502055	0.0237608952	-0.7504338387	0.0414559383	-0.0892308799	0.091077183	-0.1346684773	-0.0025048457999999997	0.0990751859	-0.038877422599999996	0.0831904962	-0.0699475442	0.1332755958	-0.05003543110000001	0.0170549384	-0.12107605980000001	0.0538664395	-0.1559736875	0.061677505599999995	0.0754228032	-0.1098264156	0.0009906632	-0.0060714411999999995	0.0829808174	-0.024824830699999998	0.0239541475	-0.0289602672	0.0345033095	-0.0436542183	0.0044604342	-0.0252008752	0.07333184870000001	-0.0042374417	0.0942208724	-0.0042851701	0.0187700085	-0.056087204800000005	0.0201158614	-0.024284319199999998	0.021635052000000002	0.0897448668	-0.0115389727	0.0151326316	-0.0378574481	0.0476680546	-0.0129459881	0.0194067216	-0.044705233	0.0029105722	-0.0846409267	0.0079944427	-0.0582893775	0.0131028102	-0.0356205874	0.0078050008	-0.0044051166999999995	0.005323898499999999	-0.0139547982	0.0189864213	-0.052153638200000005	0.0074924413	-0.035889149	0.1414968593	-0.0570553272	0.0667936279	-0.0384969954	0.0723086911	-0.03097623	0.0033763290999999996	0.0837455098	-0.0064008345999999995	-0.0494535302	0.0638400375	-0.0653009275	0.0481016775	0.0647551145	-0.08005918669999999	-0.0056461252	0.0869435773	0.08900950029999999	-0.0457081008	-0.0561802435	0.0314897303	0.0740713366	0.0001909385	0.0018880737	-0.0349851886	-0.1045341578	0.1277020703	0.0366391093	-0.0530182254	0.1601458539	0.0262547898	0.019639438000000002	0.0856361509	-0.0164336355	-0.0740857634	0.0293426162	0.07203307440000001	0.09788226970000001	-0.049448583899999995	-0.058905597699999986	-0.0175119736	-0.0025878234	0.008573959499999999	0.0463052544	0.0015507939	0.0449900598	-0.047305911299999996	-0.1368645447	0.0805770125	0.0619585821	0.0466602679	-0.0219301212	0.0122932408	-0.1112777825	0.023502054100000003	-0.046934663	0.0842818237	-0.0773315258	-0.020842921299999997	0.0077730138	-0.08994984140000001	0.007867115400000001	-0.083648367	0.1339751524	-0.05586579480000002	0.0332039184	-0.114651949	0.0543937168	-0.1688618792	0.2205409835	0.1062607193	-0.0795123905	0.153903396	-0.2490687392000001	0.057842288799999995	-0.08959807300000001	0.0051710605	-0.0872453243	0.030614787799999998	-0.0648336805	0.1277064105	-0.1526036465	0.0159345754	-0.0419364152	0.0205618046	0.0284725121	0.030327394100000002	-0.0652445448	-0.0485668337	0.1591784916	-0.0758029753	0.0276490546	0.0310590342	0.0148649286	-0.1468279734	-0.12197889220000001	-0.04829303099999999	0.0653681349	0.1397832317	-0.0598763932	-0.0758206692	0.048977220700000004	0.0509997162	0.096830235	-0.04696993519999999	-0.09287666550000001	0.0075309473	0.014135158200000001	0.0092426438	0.0243587909	-0.0497810113	-0.0939515558	0.0822044212	0.0349928612	0.044492547699999996	0.0761134732	-0.061462255999999986	-0.1238082686	0.08743740009999999	0.0240391923	0.0034721071000000004	0.053748392199999995	0.0392365927	-0.0626415394	-0.0003526178	0.102594329	0.1025838106	0.1025662807	0.0	n/a	0.0	n/a	0.0702452	n/a	0.004934388123039999	n/a	0.0220887	n/a	n/a	0.00048791066769	-0.000483215	n/a	n/a	2.33496736225e-07	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8965.171541704607	-63.82035406272007	4073.0375926909496	80374300.77219017	11405.639593630422	-286.93603814572634	130088614.53978992	82332.28998676573	7099.547721947696	-7.955252827118784	63.28604754338141	50403577.85621272	7113.368336024197	12080.088912564455	1.0651469999999998	42.359596	0.05091135	0.0332848	-0.0379994461	-0.1319421444	0.0486036857	-0.4175777627	0.0801343589	-0.07357641059999999	0.024291437599999997	-0.09032214449999999	0.0958974901	-0.132947685	0.09366004039999999	-0.1796143293	0.025422830499999997	-0.1888317507	0.0642849477	-0.051538679299999994	0.2865297249	-0.0986190457	0.0436991944	-0.0854777754	-0.0962022878	0.14395684179999998	-0.0379854806	0.1436072919	-0.0563573905	0.0030748177000000003	-0.040262764	-0.0045008313	0.046966968600000006	0.0603712513	0.0120030536	-0.0053652019	0.0107306021	-0.0929350667	-0.017875995800000002	0.0180798416	0.0905066559	0.0233920725	-0.0479769427	-0.0301330405	0.004245609799999999	0.1272337295	0.0075833922	-0.0364807721	-0.036983155	0.059732781299999996	0.0729492435	-0.0118186726	-0.10786234880000001	0.1662262679	-0.0379113822	-0.026015123199999997	0.0562716205	0.0025616395000000003	-0.131640506	0.0176162544	0.0201655105	0.1481438458	-0.0009196346000000001	0.0677120149	-0.034325238	-0.0516978271	-0.0707387476	0.100788035	0.0273457023	-0.0489584355	0.008386388199999999	-0.052134858	0.0637056653	-0.0678114786	0.0526882212	0.1055939189	-0.014194236499999999	0.0659665634	-0.011474273899999998	-0.0217440495	-0.08741168560000001	-0.0216343441	0.043146359	0.10685051150000001	0.0799249514	0.0385133083	-0.0183967622	0.08118353730000001	-0.0962262472	0.0693046866	0.0389747013	-0.1179319168	0.0475682	-0.0209098034	0.0159700679	0.0391713392	0.08502960000000001	0.044920342599999996	-0.018111248400000002	0.1337850773	-0.0824605949	-0.047972090999999994	-0.0841227658	0.0277999779	-0.0079248301	-0.0038714103	-0.0400405805	-0.0460076595	0.0156368675	-0.027956066	-0.057222271	-0.0823205278	0.09179592439999999	-0.0489336096	-0.09182911560000001	0.0296379058	0.0272614032	-0.054836938499999995	-0.0300945244	-0.0035809444	-0.13382766810000002	-0.0085922918	0.0189902895	0.06045985650000001	-0.0691336184	-0.09338049109999999	0.0578819875	-0.1202777979	-0.029697070899999997	0.089135213	0.16399463539999998	0.0321266874	-0.04111311	-0.1893611923	0.0255378655	-0.13651655099999999	0.2335276818	0.0638439755	0.0608776367	0.059450204699999995	-0.1829422297	-0.0024440835	0.0177869349	-0.061006683099999987	0.037204527	0.033937588399999996	0.0022132186	0.1157517144	-0.0287619143	-0.045089132999999997	-0.1169662703	0.0502439883	-0.0123442624	0.024808668500000002	-0.0236010703	0.068130916	0.0676512469	0.023367737799999996	-0.021827640699999998	-0.09591372769999999	0.0006789239999999999	0.014069810700000001	0.0172069983	0.0863414108	0.0825957581	-0.0144152085	-0.0242572442	0.0957108102	-0.044663675599999994	-0.014230936599999999	0.11749038099999999	-0.0570483478	-0.0955341543	0.0452964345	0.1011081967	0.026516541299999998	0.0212228975	0.0111922113	0.058520880199999986	0.0048919097	0.034522443199999996	-0.0409884758	0.0588314454	-0.0033252159	-0.0360317929	0.0523786071	0.0357681788	0.0778648038	-0.0375360131	-0.0236007719	0.0375631058	-0.0745474384	0.1025662807	0.1024716367	0.1023139614	0.0	0.0	0.0	0.0	0.08029609999999998	0.010050899999999988	0.006447463675209997	0.00010102059080999975	0.034310900000000005	0.012222200000000006	0.00014938217284000014	0.0011772378588100006	-0.00105598	-0.000572765	3.28059745225e-07	1.1150937604e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8947.865103650325	-17.306438054281898	299.5127981266966	80064289.91312325	11199.863543327489	-205.77605030293307	125436943.38915616	42343.78287827524	7105.748786583147	6.2010646354510754	38.45320261304198	50491665.81802787	7118.334785661192	12079.179072706023	1.1295	44.918823	0.1074708810074	0.0694338	0.0175605618	-0.1402480388	-0.0072905049	-0.1895039888	-0.0436405618	0.035077417	-0.034936479900000005	0.0176435489	0.0982748174	0.0251179402	-0.0858853528	-0.0090421447	-0.023726921	0.038904489900000006	-0.050605482400000006	0.1971518766	-0.039778617999999995	0.0213914035	0.1974938993	-0.020011710800000002	0.0190541729	0.0721453675	0.0297677956	-0.1279124004	-0.0161887171	-0.026602248399999997	0.10571578539999996	0.0918569446	-0.126037161	-0.0539145543	-0.043451208	-0.0183755172	-0.0884988896	0.1049261867	-0.07613467730000001	0.0485728355	-0.1348267117	0.1667929666	0.0322087323	0.037067917	0.0459672245	0.0653896897	0.0380414315	-0.0092717007	-0.0386790216	0.08843376119999999	0.035971086400000005	-0.0960274364	-0.0654855044	-0.1070024093	0.022914777999999997	0.0416897222	-0.0575313325	0.05152902400000002	0.0072646387	0.1278427282	0.0410528716	0.085967062	0.0112704278	-0.059009638899999994	-0.0835455925	0.014666208600000001	-0.1165023611	-0.046305148399999996	-0.0001837237	-0.0488052476	0.0772730876	-0.1620350009	0.0424856053	0.020764566499999998	-0.0613983013	0.1182562788	-0.0093093229	0.060384173799999996	0.030097020699999998	-0.10672312789999999	-0.1463647583	0.101952816	0.1111283156	-0.04759906480000002	-0.0205442542	0.0487012962	-0.0330389524	0.0161201336	-0.1275890877	-0.0665429704	-0.0321435732	-0.046442927599999996	0.004074228	0.0181961915	-0.0545165003	-0.0693299693	0.0654462396	-0.0369541408	-0.0527693508	-0.1398493166	-0.1023899994	0.0748093856	-0.0065545635	-0.0030254440999999996	-0.1099962225	0.0411351736	0.036058430600000003	0.017175543300000002	0.0099303933	0.049386489699999994	0.1081693056	-0.0351489445	0.0331591797	0.1384048604	0.05758890410000001	0.0129900027	-0.0034161490000000003	0.0501703162	0.035299203599999995	0.0472530351	-0.07368279679999999	-0.039628908	-0.0098152185	0.0612029	-0.0933280098	-0.015891684	-0.0699021548	-0.1319070441	0.06456623	-0.0749200181	-0.0438186521	-0.0373194262	0.0700916103	-0.050053094400000005	-0.0848880057	-0.1083752085	0.0933253316	0.0398465271	-0.0319783867	0.0373933348	0.0169116071	0.0015664004	0.1658710196	0.0324419679	0.12430226050000001	0.0805075346	0.0103811845	0.0823418106	0.0486217871	-0.0260248873	0.048802340300000004	0.0682447615	0.0007743458999999999	0.027423074300000003	-0.0030632673	0.1106103771	-0.0929796061	0.12465891289999999	-0.11741343539999999	-0.0556040696	-0.0499293504	0.0734337263	0.0215077798	0.0667719447	0.0623282629	-0.0723366458	0.0444259429	-0.0582182888	-0.0173225775	-0.022807065	0.08565020890000001	0.1023167062	0.15758731609999999	-0.0523207505	0.0190404254	-0.00024938259999999997	0.0305842838	0.0001876104	0.0950399224	0.0021444619	0.0278235606	0.0926964543	-0.0690105671	0.0256298987	-0.0042972144	-0.0350288038	-0.1594171088	-0.1265528131	-0.0281814325	-0.0337578016	-0.0898122514	-0.0094500209	0.10251019189999999	0.1022474116	0.1018099433	8.10074e-08	8.10074e-08	6.5621988547599995e-15	6.5621988547599995e-15	0.0202124	-0.060083699999999976	0.0004085411137600001	0.003610051005689997	0.0538814	0.01957049999999999	0.00038300447024999963	0.0029032052659599995	-0.000499648	0.000556332	3.09505294224e-07	2.4964812390399997e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8959.743019020905	11.877915370580013	141.08487355066092	80276994.96689385	11109.150350765307	-90.71319256218159	123413221.51590894	8228.883304823436	7120.961825751539	15.213039168392243	231.4365607390365	50708097.323810704	7132.74873368866	12095.252635789047	1.188362	47.259701	0.0499074069681	0.033492699999999986	0.0646647647	-0.1419783205	-0.0856211672	-0.0761866346	-0.0530427555	-0.017375100900000003	-0.0934960758	0.09752706050000001	0.1445171333	-0.0004430781	0.1115884547	-0.1022492742	0.029692707599999996	-0.0406197173	0.0417078978	0.0434655205	-0.0849922202	-0.0431719001	0.12227520369999999	-0.037243576699999996	0.0219232045	-0.10120094710000001	0.012992761299999999	-0.0365445326	0.0323218247	0.05710206	-0.0452883751	-0.0005721363	-0.0035028288	0.04761374559999999	0.026003251499999998	-0.0171269864	-0.027536929100000003	0.0080068684	-0.0167245926	-0.12164869019999999	-0.0731498999	-0.0404934106	0.0796290635	0.1406310735	0.0108311184	0.0108100247	0.008663781	0.1068693274	-0.07622562320000001	0.0705384708	-0.0054618112	-0.0882279913	0.09327085539999999	0.0261594385	0.0492539839	-0.11837185019999999	-0.07380933190000001	-0.053429971900000005	-0.022221517000000003	0.0117076094	-0.0194707775	-0.048127388300000004	-0.019200913400000002	-0.18072361550000002	-0.0047639117	-0.032970091800000004	0.0241777657	0.039430757999999996	-0.059889142	0.037680919199999996	-0.0746270973	-0.0520702995	0.013690660700000001	-0.077703065	0.0576478133	0.0005830211	-0.0829465884	0.11048196490000001	-0.0117212371	-0.09746162779999999	-0.0125651744	0.059289562000000004	-0.0848638548	-0.039644094500000004	0.10872944699999999	-0.013167307900000001	0.0073739049	-0.06139762820000001	0.0353228468	-0.1355458314	0.0105457308	-0.0779949773	-0.0618250156	0.08563834640000001	0.0821592727	-0.13586145460000001	-0.0824061603	-0.0755100907	0.10500289789999999	0.011913981	0.035450629500000004	0.0032131177000000004	-0.025386182900000002	0.1068411172	-0.057260983200000004	0.0685699045	-0.0577890886	0.1001877726	0.0197795972	0.0051761579	0.1054110219	0.0472833634	-0.0715670638	0.0085348232	-0.11773336849999999	-0.0753565048	-0.0109182757	0.053340084	0.1377651192	0.0236050488	-0.022884352400000002	-0.0057132815	-0.11465125179999999	0.0816991378	-0.0555169041	0.025255577400000003	-0.0756425542	-0.0142826347	-0.1366274134	0.06547221639999999	-0.0677145106	-0.0916854568	-0.0594042055	-0.0006043497	0.008279239499999999	-0.038164348199999996	0.0214586178	0.061504192699999995	-0.2140371782	0.059738396299999996	-0.044292522	0.0200019098	-0.047553869400000004	0.0252393095	0.0184780496	0.0653841753	0.032562989900000006	0.0805375866	-0.037289917799999996	-0.0166324784	-0.0939172733	-0.0352468726	0.0513053236	-0.023094282999999997	-0.0440897513	0.043746930999999996	-0.0704874533	0.0179162293	0.1068446807	0.0377014957	0.0095660552	-0.016262145500000002	-0.09568934550000001	0.0556474267	0.009634173000000001	-0.0791749713	-0.0087847879	-0.1499912503	-0.06266650110000001	0.0319821189	-0.1396127346	0.0176929385	-0.0246125945	-0.0801733572	-0.0764121116	-0.0360782656	-0.0655955635	0.0796640544	-0.0249256296	0.0320445355	-0.065984579	0.0626023415	-0.0311989042	0.08915647199999999	-0.022428483399999997	-0.092931653	-0.0155021703	-0.004775995999999999	0.022375534500000002	0.1446507886	-0.0634153606	0.0478986478	0.10242607769999999	0.10191138039999999	0.10105546650000001	2.40393e-08	-5.69681e-08	5.778879444899996e-16	3.2453644176100007e-15	0.024396	0.004183599999999999	0.000595164816	1.7502508959999992e-05	0.0254018	-0.0284796	0.0008110876161599997	0.0006452514432399999	-0.000844531	-0.00034488300000000004	1.1894428368900006e-07	7.132326099610002e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8983.25749593562	23.51447691471549	552.9306245726876	80698915.23828351	11078.194784359055	-30.955566406251823	122726399.68020016	958.2470915318663	7124.89612244152	3.9342966899803287	15.478690444790173	50764144.75558221	7136.0320832592915	12053.458397579663	1.333319	53.024471	0.2409605740393	0.208093	-0.064487621	-0.09044791320000001	-0.0454058704	-0.0493706905	0.0612955408	0.0672405903	-0.12193482580000001	0.1028528392	-0.0528712046	-0.0308362788	-0.0830048081	0.033819224700000004	0.018187043	-0.1238863735	-0.011179321899999999	0.0887517818	-0.1122781867	0.059305763399999996	0.0266207761	-0.025868194100000002	-0.1427732928	0.057793050199999994	-0.10351499939999999	-0.021856498999999998	0.0210235413	-0.0188747303	-0.0251466233	0.0115752463	-0.1394321143	0.045697207999999996	0.0686716247	0.1153844258	-0.0451845695	0.1120813876	-0.0175348754	0.061308082699999995	-0.1283033987	-0.0090590072	0.0719550772	0.0299819814	-0.1170316032	0.0001943799	0.0337071123	0.10847645410000001	-0.0547712342	0.08454567140000001	0.1113364511	0.0247217015	0.0029267929	0.0197334005	0.046328137900000003	0.0480969655	-0.0630943895	-0.0370801779	0.0020955237	-0.0184622474	-0.0105292934	-0.014327458400000001	0.0467976118	0.038301711	0.12347056669999999	0.0068798977	0.13764380539999999	0.0079607727	-0.025596252599999997	-0.006139735	0.16739293060000002	-0.0100921147	-0.0233084434	0.0539229346	0.038924040099999994	0.0837834699	-0.0288068956	-0.1615662162	0.08927371939999999	-0.0970159493	-0.0648262844	0.10504071150000001	0.018531305300000002	-0.0164079241	-0.051885828099999996	0.0931060633	0.006797452	0.1314570676	0.048445662300000004	-0.0316207601	-0.025088082799999998	0.0197822766	0.0001738019	-0.0544434429	0.112331852	-0.0911668279	-0.0713917018	0.07186910980000001	0.2193187728	0.046211588399999996	0.0551559942	0.045516304900000006	-0.088555576	0.0251689073	-0.0172057649	-0.0567659414	-0.002974685	-0.0222196012	0.0643251705	-0.11928027470000001	0.1268936622	-0.1435544723	0.058381182000000004	0.1500515721	0.0461020522	-0.1085143714	-0.0567496572	-0.0225241757	0.0395900968	-0.11387673720000001	-0.0077334807	-0.0318659678	-0.1112615888	0.062015974400000014	-0.0842225652	-0.10954101220000001	0.0025188976999999998	0.033762601	0.049107373600000004	0.0286890233	0.0035625794	-0.0752116783	-0.018905372900000002	0.0266079103	-0.0079162136	0.0033649771000000004	-0.0417103166	-0.0975230718	0.021602044	-0.0636918746	-0.0067498062	0.0047276142	-0.08500812699999999	-0.0532725375	0.0594645846	0.029468417900000002	-0.16925263510000002	0.022082459	0.0392417861	0.0560469845	-0.0013516054	-0.0236709832	-0.125353565	-0.0651448343	-0.0064370016000000006	0.0963394178	-0.0107037825	0.1624575115	-0.08886096449999999	0.0597569949	0.0618316243	0.13445502980000001	-0.0104065836	-0.07585836929999999	0.0813330187	0.0691493414	-0.0179688161	-0.007580543299999998	-0.1102170526	0.0767583884	-0.0791034137	0.035519626	-0.1388405642	0.044974826399999994	-0.1027767856	0.0017198426999999999	-0.08926875390000001	0.09494456820000001	0.0645149869	-0.022431455899999998	-0.1014361518	-0.0710883953	-0.0120825354	0.0295218809	0.0031263758	0.0694230846	-0.2274727014	-0.049681219400000004	-0.1720190212	0.0620917962	0.0236645191	-0.020080143300000002	0.1023139614	0.1014639107	0.10005238710000001	0.0	-2.40393e-08	0.0	5.778879444899996e-16	0.229852	0.205456	0.052831941904	0.042212167936	0.031743400000000005	0.006341600000000006	4.021589056000008e-05	0.0010076434435600005	-0.00142779	-0.0005832589999999999	3.401910610809999e-07	2.0385842841e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8990.322120239372	7.0646243037517715	49.90891655316019	80825891.82566537	11022.774289500958	-55.42049485809729	121501553.03728336	3071.431250316389	7117.742697797243	-7.153424644277037	51.17148414135007	50662261.11204597	7127.92611259293	12173.134936441644	1.166321	46.383171	0.1109820736022	0.0893392	-0.11423858619999999	-0.022957543700000003	0.016880858999999998	0.013189656499999999	0.1527338365	0.0516937687	-0.0357709643	0.0987971954	-0.05219628269999999	0.0823454019	0.0214581417	-0.1197800252	0.0485531811	-0.0785128482	0.09538453429999999	0.0017967610999999996	-0.0100519863	-0.0196848278	0.0761717969	-0.0280809089	0.0520532374	0.0421288307	0.0485156785	-0.122558982	-0.01060247	-0.05301101	0.0324677166	0.07303709480000001	-0.06412164990000001	-0.109597126	0.0305761232	-0.0548459161	0.0362971457	-0.0108369543	-0.0414928494	0.06644070219999999	-0.0079495223	0.0382839066	-0.03452898	-0.0749354933	-0.1386181593	0.0118383449	0.0286409817	0.038553275	0.0386635567	0.0086335011	0.015307411100000001	-0.0235913255	0.0175218836	0.0417294265	-0.0858101923	-0.0277005205	-0.0037868634000000003	0.0575422874	0.110333624	-0.0492887669	-0.0488749692	-0.0148087057	-0.0015127192000000001	0.0400521473	-0.043874179900000004	-0.027911428999999998	-0.108631804	0.0433442118	0.039477531499999996	-0.11926497539999999	0.101640121	0.0659355754	-0.0576625232	0.09636690349999999	-0.006153800500000001	0.0466343027	-0.062586845	0.0158510276	-0.0529659122	-0.0468758784	-0.0168533726	0.0787712077	0.0317049687	-0.0001561789	-0.059895383899999995	0.038857028599999996	-0.024581582999999997	-0.0716665769	-0.0412691269	-0.1198230559	-0.0512408898	0.0150477731	-0.0190502618	0.0090159046	0.0026356778	0.0949094791	0.0060290191000000005	-0.0336591942	0.0365993132	-0.014955131200000001	0.0310739011	-0.0561840526	0.0152508632	-0.0772162914	0.0374015635	-0.12369284400000001	-0.0172852572	-0.1131937606	-0.1229520586	0.05047502	0.0278824058	-0.027663430299999996	0.1197842459	-0.0561053648	0.0516300654	0.0433714925	0.0726174745	0.0029885475	-0.0606221662	-0.1472948514	-0.0159337689	-0.0247668012	-0.0397707781	-0.0457507345	-0.0118747943	-0.004121296500000001	-0.0344656534	-0.010148325699999999	-0.06533245929999999	-0.0058164851	0.064141725	0.0298374901	0.09266727359999999	0.08854159060000001	0.0207182268	0.029829649399999998	0.0278286694	0.0080589141	0.0551731928	0.0441663222	-0.0897317594	-0.057233634699999994	0.1099201811	-0.014630063	0.0663448315	-0.1266129023	-0.0658494191	0.0163523572	-0.0824036441	0.06643583780000001	0.1120320283	0.007207536999999998	-0.0192197439	0.0326609279	0.0003021164	-0.0035443095	-0.09613249609999999	0.045469625199999995	-0.0702461198	0.014637663	0.0459738624	-0.0122836372	0.0029198257000000003	0.010202458000000001	-0.0483579226	-0.0388146381	0.0493375285	-0.0722745909	-0.072288822	-0.0737862165	0.0423326392	-0.09112655050000001	0.023558039	0.0025666497	-0.0391385229	0.0419349424	-0.0191608433	-0.0020744738	-0.0270729433	-0.004131694	0.0169260887	-0.0248278584	0.085449748	-0.1326256698	-0.10691392	0.1061355563	-0.0115140023	-0.0683060474	0.004270873	-0.09108973880000001	0.1359052467	-0.0184155945	0.1021738733	0.10090549160000001	0.0988031726	-7.360219999999997e-08	-7.360219999999997e-08	5.4172838448399966e-15	5.4172838448399966e-15	0.317753	0.08790099999999999	0.10096696900900001	0.007726585801000002	0.0232484	-0.008495000000000003	7.216502500000005e-05	0.0005404881025600001	-0.00113607	0.0002917199999999999	8.510055839999991e-08	1.2906550449000002e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
