global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
9637.977356545292	n/a	92890607.5252798	n/a	10721.339524982712	n/a	114947121.20995653	n/a	7280.409555395025	n/a	n/a	53004363.29428718	7285.632074828135	13742.703518905037	n/a	n/a	n/a	n/a	-0.0017579427	-0.7761987813	0.0024875051	-0.1152936038	0.2156059115	-0.0570793611	0.0801088137	-0.0500451115	0.0053944530000000004	-0.0145575799	0.1122434023	-0.0524710875	0.0090813333	-0.0704874724	0.039704763	0.0269113855	-0.11439240880000001	0.0219553859	-0.0139776043	0.0361691104	-0.011588943899999999	0.0857592411	-0.0249760925	0.1104534775	-0.014581148899999999	0.0167031894	-0.0520530631	0.0731269626	-0.0011000575	0.03464516	-0.0385719634	0.0293746134	-0.0508140378	0.0095959751	-0.009415333100000001	0.0633858326	0.0383604784	-0.09390333810000001	0.0165173595	0.0015724382999999999	-0.010487599299999999	-0.0072520336	-0.0036388985	0.0414965933	-0.0309719675	0.06616358480000001	-0.0715907458	0.059273077599999995	-0.0316980702	0.0327202622	-0.0015585385	0.0461613832	-0.0102454008	0.0469253833	-0.0450617061	0.0016563466	-0.031808194399999996	0.0222614016	0.0046935058	-0.0021984399	0.0359848504	-0.0590105643	0.0747207352	-0.056150178200000005	0.0432262063	-0.0403390895	0.034113361099999996	-0.031110208700000006	0.040816745	-0.14121716269999998	0.0514645443	-0.0390262768	-0.026940747200000004	0.0727908791	-0.0067208875	-0.0900050937	0.051296262	-0.0987217648	-0.058632523799999996	0.10152912310000001	0.056922861	-0.0952834108	-0.005929209300000001	0.0519322486	0.059841485599999994	-0.0521739039	-0.015022638999999999	-0.0014672767999999998	0.0170769372	0.0194391932	0.0014104707	-0.0755750504	0.031648155899999995	0.0662206155	0.027229272599999996	-0.1061182033	-0.0028583828000000003	-0.0077201862	-0.037611344399999996	0.027688652799999998	0.06012286150000001	0.08887673210000001	-0.047017566100000005	-0.0657334639	0.1238554167	0.07106670030000001	0.0797776469	-0.11098059699999999	-0.11060055140000001	-0.058400054800000004	0.0318004458	0.0360721703	0.0015304671	0.010014642399999999	-0.0231901012	-0.0055811757	-0.0251892226	-0.019870361899999998	0.0289014451	0.08334814980000001	-0.1397336383	-0.0361084772	-0.022036303599999998	-0.0026474275	-0.0341995191	0.0394254105	-0.0950619451	0.0884272582	-0.0378560945	0.060098562	-0.0627188605	0.1408859127	-0.0236360719	0.10654633710000001	-0.052733452800000004	0.1280389327	-0.1913525214	0.0620615783	0.2105866411	-0.0666443025	0.1223788287	-0.17160420199999998	0.131606728	-0.0680786054	0.1053867348	-0.0023632264	0.1089348043	-0.100360104	0.0859628833	-0.041436056	0.09681607980000001	-0.1748761094	0.0752633913	-0.08111554900000001	0.0374018814	0.0375153872	0.10851356150000001	-0.0091237549	-0.0487269568	0.0158029283	0.037343432999999995	-0.0644871921	-0.0984930102	0.0711608159	-0.1075563741	-0.0057379799	-0.0410517638	0.0284266889	0.0089108436	0.06663254269999999	-0.0827572367	0.0386973597	0.023806538399999997	0.0131348612	0.1428524841	-0.0407724767	-0.015366858300000001	-0.0084242102	-0.0044623971	0.1385677864	0.06741424139999999	-0.0704354422	-0.0234675652	-0.0426960364	0.0239166063	0.060733121200000004	0.049786935	-0.1003197333	-0.0014819923	-0.0201248321	0.054130020300000005	0.0299756552	0.0326541155	-0.005347984	-0.0088426531	-0.0384842354	-0.025854422400000004	0.038296600699999996	0.0338519457	0.038728262299999996	0.11018989970000001	-0.050742095099999995	-0.0365916437	0.102594329	0.1025838106	0.1025662807	0.0	n/a	n/a	0.0	0.00725309	n/a	n/a	5.26073145481e-05	0.0191508	n/a	0.00036675314064	n/a	-0.000138731	n/a	n/a	1.9246290361e-08	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9596.544828846849	-41.432527698443664	92093672.6520672	1716.6543514823015	10439.702624562371	-281.6369004203407	108987390.88929446	79319.3436783769	7286.837254520866	6.427699125841173	41.315316052339384	53097997.17387319	7288.745337601178	13539.576964917469	1.162038	49.188354	0.02726804	0.0161063	-0.1187882724	-0.3858972093	0.0976992253	0.049764009299999995	0.0014651173999999999	-0.0039507788	-0.0660594766	0.017005211	0.1727911282	0.1077520859	-0.111895127	-0.0197019496	0.0598055827	0.0581117908	0.0557858409	-0.042939891699999996	0.150332225	-0.0321292757	0.0412272729	-0.0698258588	0.0176141408	-0.0652816141	0.057995725899999996	-0.1629424354	-0.0105703483	-0.027262308500000002	0.0869542275	-0.1302693705	-0.042999690099999995	-0.0397266553	0.0603648876	-0.0477575525	0.0786397311	0.0211474933	-0.0005239766	-0.1482848509	-0.1246832802	0.1762464188	0.0976769383	-0.0431745579	-0.0025728575	0.0066736587	0.0602479454	-0.1435360985	0.09523839390000001	-0.0461635989	-0.0403281328	0.07517473570000001	-0.022182331800000003	0.07120935839999999	0.0453958307	0.059120675199999986	0.0717295309	-0.014984438999999999	-0.0370935708	-0.0317900203	-0.0845899816	0.0653238788	-0.0042044699	0.0034496696999999996	-0.07886448480000001	-0.047876071799999996	0.1275680679	0.0046248684	0.1007274619	0.0593056912	0.1800089808	0.1506577806	0.0408125111	0.0759009638	0.017608333400000002	-0.11743971140000001	-0.061514020499999995	-0.0160050885	-0.0509164264	0.010415049499999999	0.1154147323	-0.057152415	0.0077650097	0.0810701722	0.09031049869999999	-0.0293283746	0.08702663449999999	0.0563400337	-0.0018346244000000001	-0.0872118615	0.0160947556	-0.0316740036	-0.0237557555	-0.0194160534	0.0048760588	-0.053046978700000004	0.0167630184	0.09888665460000001	-0.017383204399999998	-0.034503460699999995	0.031137171800000002	-0.0160497405	0.0249125475	-0.0225471738	0.1067484415	0.0414437353	-0.0293572353	0.0961178432	-0.045802625300000004	0.2773059309	0.0344581836	0.0708214263	-0.1780609253	-2.4286199999999998e-05	0.0724892981	-0.0325979296	-0.044701545	-0.0490783495	0.0825204598	-0.0831023481	-0.0346283448	0.0380432432	-0.0036286255	0.0340634675	0.0108303543	0.0817425849	-0.011100663600000001	0.1344320776	0.0952222509	-0.05951941030000001	-0.0364907538	0.0916077754	-0.0203032823	0.08690717449999999	0.006322758	0.1420351445	0.0621340219	0.0215112836	-0.0597837179	0.13582465	-0.1838356126	0.0450193655	0.2106090134	-0.0433779315	0.1611116778	-0.057372845199999994	0.1383249694	0.037618375	0.18414972170000002	-0.0460373205	0.0213087263	0.0501258339	0.100597935	0.14871962	-0.0231843691	-0.0225333562	0.1174457919	-0.0769309992	-0.032488699100000004	0.0515956734	-0.0434027617	0.0288386634	0.0252069157	-0.06784932070000001	0.0459837749	0.0253136116	-0.0542625023	-0.0023711363	-0.0255893077	-0.06337858519999999	-0.0214971538	-0.0041391415	-0.0306486948	-0.015393053700000001	-0.0549271851	-0.0571417459	0.073916155	0.0100177073	0.0578319236	0.020043184	-0.014561236100000001	-0.0282302619	-0.0438076825	0.0579995625	0.0194161498	0.0157410722	-0.0689568287	0.1163682481	0.0068127264	-0.12724734869999998	-0.18121345219999999	0.0051498557	0.10852076349999999	0.08586885400000001	-0.0065996352000000005	-0.022006738199999997	-0.0585555036	0.0051839957	-0.053857689400000006	0.0192318725	-0.014298416000000001	-0.0093171203	0.02957321	0.0211080486	-0.0503000921	0.0531767215	0.0134695287	0.1025662807	0.1024716367	0.1023139614	0.0	0.0	0.0	0.0	0.0	-0.00725309	5.26073145481e-05	0.0	0.032229200000000006	0.013078400000000007	0.0010387213326400004	0.0001710445465600002	0.0	0.000138731	1.9246290361e-08	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9583.30560027356	-13.239228573289438	91839746.22823456	175.2771732158035	10292.699526711618	-147.00309785075297	105939663.54716957	21609.91077771805	7285.679429402326	-1.1578251185401314	1.3405590051224692	53081124.74801621	7285.399470685088	13556.372382740432	1.448864	61.329506	0.10312175	0.0724925	0.0682433193	-0.2044029272	-0.0802278419	0.0208386421	-0.0146049541	0.0543334954	-0.0886614772	-0.11805029630000001	0.022719234100000003	0.0274214212	-0.0641817045	0.0579276646	-0.0980385983	0.01269533	-0.0988599571	-0.0028685115000000004	-0.0631565897	-0.0216202211	-0.0015724196	-0.0335453439	0.04783037230000002	-0.0930206741	-0.0449981725	-0.08580875789999999	0.051913531900000004	0.0347166253	-0.0330875015	-0.0231445931	0.0304866917	0.0124297875	0.0323126796	-0.0277891108	-0.06603258669999999	0.054307559299999995	-0.08628376789999999	0.0869785725	-0.0116193532	-0.0306272198	-0.1395323274	-0.054315093200000004	0.0406319584	0.0367952763	-0.0572557643	-0.0584564267	-0.0791653208	-0.0329450889	-0.0934703252	0.0119661702	0.0175773664	-0.0022002794	0.0025373101999999997	0.131941586	0.0086036327	0.011475461200000002	0.11405692880000001	-0.08993920429999999	-0.0507931705	0.044995847400000004	0.0090602639	-0.0886054433	-0.018748646	-0.1039309475	0.0156739784	-0.0091466386	-0.0167344839	0.0482288624	-0.0013981941	-0.0023021129	0.043993891900000005	0.0730529011	-0.0679897923	0.0541292483	-0.0399879052	0.0004777351	-0.0929064255	0.0526465007	-0.08434178839999999	0.08530136529999999	0.0149520481	-0.093589219	-0.1103690087	-0.1236392842	0.2365574762	-0.0710460733	-0.0164793527	0.10728543380000001	-0.013277770900000001	-0.1483441662	-0.0255560858	-0.0180819782	0.02407186	-0.13664153699999998	-0.0209346508	-0.0526107254	0.0308419133	0.0983787419	0.005556208199999999	0.0380655118	0.018602444699999998	0.057075325499999996	-0.061428384	-0.0734169388	-0.0048686602	-0.0802185305	-0.0346624619	0.08732847519999999	0.166889479	0.1379633467	0.0016967272	-0.0639186553	0.0273342531	0.0467751483	0.16869336280000002	-0.0388638037	0.0753186441	-0.003713837800000001	-0.030164563199999998	0.0274806998	-0.0364619652	0.0337009114	0.1055872927	-0.0658292213	0.0527071296	0.0276640556	-0.0808326522	-0.041609618	-0.0925137957	0.026899171800000003	0.027514055200000002	0.011538923500000001	-0.037788278700000004	0.1529420183	0.0162593824	0.0045204995000000005	0.1078315141	0.12178523769999999	-0.044852286	0.0354118438	0.0869502406	-0.0326277499	0.0049131229	-0.0038623305	-0.0721747634	0.0403289523	-0.0078459403	-0.0254797885	-0.0433414784	0.06809959759999999	0.0285391409	-0.0197159412	0.025886412200000004	0.0250290981	0.0224993982	0.037349631200000004	-0.0228735181	0.0358145912	-0.0296807364	0.0543169687	0.11678088619999999	0.0282368097	0.2430903468	-0.1427796406	0.1071758671	-0.0898625367	0.0506204713	0.11169118060000001	0.0689844972	-0.2006587406	0.025149593199999997	-0.0422736571	-0.10211115949999999	-0.033460328500000004	-0.057177979800000014	-0.1019179471	-0.038811664700000005	0.054915475199999994	-0.0659003101	0.0215249953	0.1083207924	0.0167107291	-0.0164036019	-0.0205607939	-0.1407620867	-0.005773428000000001	-0.0802603135	0.09322763699999999	-0.08452445380000001	0.15374769900000002	0.0127952222	-0.0454431298	-0.0461909343	-0.0218584502	-0.0693396942	-0.1037722849	0.0973257449	0.0220633616	-0.0036705002000000002	0.0288254667	0.0276557179	-0.0501981082	-0.0175288358	0.0904551148	0.0293853658	0.10251019189999999	0.1022474116	0.1018099433	0.0	0.0	0.0	0.0	0.0680536	0.0680536	0.0046312924729600006	0.0046312924729600006	0.0135167	-0.01871250000000001	0.00018270117888999997	0.0003501576562500003	-0.000327113	-0.000327113	1.0700291476900001e-07	1.0700291476900001e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9571.946067610215	-11.359532663343996	91622151.52123868	129.0389823295792	10203.44003004652	-89.2594966650977	104110188.44675574	7967.257744906585	7292.319910460527	6.640481058201657	44.09598868433501	53177929.67649903	7290.631628274819	13492.834399578089	0.976252	41.324112	0.08793535000000001	0.0705817	-0.021854460299999996	-0.0753046873	0.006860922199999999	0.041734002	-0.05994077690000001	-0.0195275524	-0.0974081588	0.1100750482	-0.0853118543	0.0930392377	-0.17457027960000002	0.0422165833	-0.0044087366	0.0391529267	-0.059689030199999986	-0.0420580319	0.0077793393	-0.0828387458	0.0202865357	0.0990219535	-0.10714186279999999	0.0086588823	-0.0813277974	0.1063466194	0.13849448150000002	-0.0046289923	0.1321052294	-0.042256271799999995	0.1432138086	0.0286106428	0.0017665986999999999	0.0735121978	0.0395930124	-0.0018295479	0.0860599424	-0.06307093	-0.054523532	-0.0125610253	0.0006338716	-0.036286484199999997	0.024603052799999997	0.0149300341	0.0660885289	0.0633151063	0.0187913027	-0.014972114	-0.05835571570000001	0.0362025334	0.022770895099999997	0.0310379623	0.0925978235	0.1328321014	-0.0074684577	-0.0256352007	-0.0067709751	0.0216874025	-0.0686447774	0.036672340299999995	0.1094559917	-0.0464651458	-0.0542307888	-0.044700131399999996	-0.0022684504	-0.021326106600000002	-0.012918512	0.04995778360000002	0.0494700206	0.0186010247	0.0517548299	-0.1471218688	0.09884219470000001	0.0133581447	0.029992971	0.0786613596	-0.0281994968	-0.012715336	0.0815878237	-0.0548570276	0.0815903367	-0.0591052071	-0.06111902	0.0062632117	0.0765357658	0.0114600396	0.056243740099999995	-0.0222804625	0.0047367253	-0.0245024294	0.10556367929999999	-0.0481695196	0.053507747800000005	-0.0941705656	-0.0565921203	-0.0674283379	0.1533583382	0.0880970974	-0.0560472318	0.019627048	0.069617131	-0.19156084550000002	0.0746588676	0.017278497	-0.039939301	0.003059386	0.0098340311	-0.08408445960000001	0.0607555137	-0.19170231420000008	0.040607612599999995	-0.0330159352	-0.0269502092	0.0344599591	0.006379737700000001	-0.0274390692	-0.089242944	-0.0451210029	0.0016392429	-0.11518637550000001	-0.0235595923	0.037411103	0.034091501499999996	-0.0140051224	0.1551686314	-0.054625193899999994	0.018428362099999998	-0.021173115899999997	-0.041378975	0.0511280316	0.0373653803	0.0412523505	0.052582964	0.1571573551	-0.0064649655	-0.0141717244	-0.0136144971	0.0269979035	-0.116111091	0.0331657957	0.070826577	-0.1152953403	0.043056096399999993	0.004387878	-0.0318657913	0.0043924411	0.0636243162	-0.0553486278	0.029890896200000006	-0.0584483494	0.0045153704	0.0138768537	0.0822123337	-0.0750974911	-0.0964535172	0.0510445904	-0.0386522393	-0.0499178764	0.035603419500000004	-0.0698457013	0.0281085699	0.07552131849999999	-0.023278900800000002	-0.0563587956	0.1018060301	0.022080875099999998	-0.0269068696	-0.0359540078	-0.0195176051	-0.0360817653	0.09911184599999999	-0.0177252444	0.0188408371	0.038541139	-0.0844569194	-0.1112140407	-0.1971022204	-0.192942618	0.0220735056	-0.0692098543	-0.0705716341	-0.0084060444	0.0190369265	0.0384638607	0.0465264885	0.038906903799999996	-0.0299927267	0.0179601929	0.1562227667	0.0209348951	-0.1592915189	0.0236824231	4.43434e-05	-0.020425261299999997	0.0544207705	-0.0041961063	0.036825601	0.0290995754	-0.0826948458	-0.0783606746	0.0095414019	-0.009368499399999999	-0.0615128088	-0.0862406511	0.1532408305	0.10242607769999999	0.10191138039999999	0.10105546650000001	0.0	0.0	0.0	0.0	0.0	-0.0680536	0.0046312924729600006	0.0	0.0099906	-0.003526099999999999	9.981208836e-05	1.2433381209999993e-05	0.0	0.000327113	1.0700291476900001e-07	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9558.695125054954	-13.250942555261645	91368652.49374934	175.58747860284404	10166.929260507164	-36.510769539356254	103366450.58815674	1333.0362923559849	7282.648168839836	-9.671741620691137	93.5425859774092	53036964.35110622	7280.586528970209	13567.554043624605	0.939652	39.77486	0.06283951	0.0490514	0.055669749299999995	-0.030738122000000007	-0.0695961496	-0.0267165224	-0.056154452300000005	-0.011328328300000001	-0.06761742230000001	0.0446204464	-0.0775939274	0.0079496016	-0.0186241163	0.0356179523	0.1000270392	-0.023481662099999998	-0.0322248619	-0.049563284400000004	0.0697871141	-0.0069129349	0.0446577768	-0.0070229368999999995	-0.0554557971	0.0093003295	-0.0308389621	-0.0949542494	0.029972249	0.033790416600000005	-0.1331166324	-0.0279350108	-0.028613487000000007	0.10256440650000001	0.0545012905	-0.1094957131	-0.04021312	-0.0881054303	0.0337693202	-0.0308563154	0.0787714658	-0.0682078002	0.0441976459	0.1208988322	-0.1139871107	-0.005239312	0.0418906367	0.0838846335	-0.06397584719999999	-0.024014547400000003	-0.0412550086	0.0099553173	0.007035909599999999	-0.0091568277	-0.0397574973	0.15423268939999998	-0.007102284300000002	0.013127095600000001	0.0849071022	-0.030165919500000006	-0.09197675820000001	-0.016769481699999998	-0.046890157300000006	0.0057493635	-0.054326850999999995	0.0630780975	0.057424943099999994	0.0679653724	-0.0210691662	-0.0457071937	0.20236656109999998	0.0303063819	0.0607351936	0.113702814	0.0393762255	-0.0338019748	-0.0515013148	0.06395764179999999	0.020973916000000002	0.08772042349999999	0.0640477289	0.0644624924	-0.0914886741	0.0251315459	0.064321847	-0.0945294711	-0.041342595600000004	-0.0477785954	-0.028504544399999998	0.0235471461	-0.0063563264	-0.0375537375	0.08792162939999999	-0.0752893285	-0.0782283628	-0.0237233332	-0.0929392299	-0.0806296283	-0.0418511512	-0.0055498532	-0.052224359299999995	-0.0252186333	0.0752700765	-0.0221269052	-0.10361463970000001	0.0951959253	-0.0013884276999999998	0.2168505241	0.06971803509999999	-0.0160167469	0.11298005109999999	-0.0728356866	0.0657054132	0.0645442118	-0.0308694554	-0.1132626649	-0.021082168999999998	-0.0671355921	-0.08834332449999999	0.0179335109	-0.061384483899999995	-0.0279025202	0.0017889397	-0.0975236564	0.054537609199999997	-0.0018669703	-0.033702852799999995	-0.0526449473	-0.065328263	-0.0256229555	-0.0386313306	0.0177460914	0.0036917754999999997	-0.00018525790000000001	-0.0665999655	0.144343413	-0.0012770877000000001	-0.0147698924	0.0818948198	0.0376158074	-0.053257386799999994	-0.0412381363	0.0106110975	0.0406899519	-0.0204328584	0.0645175527	0.07368124849999999	0.08505087230000001	0.0847166311	0.021833886099999998	0.0951470986	0.105757885	0.0086997858	0.0649549641	-0.0889364424	0.0200437769	-0.028622216699999998	0.05166802400000002	0.056909987599999996	-0.0781166519	-0.1363690923	0.0227048749	0.0286319142	-0.0129213337	0.025923560800000002	0.050996383099999994	-0.1664879902	-0.0182723945	0.08613948880000001	0.058759541799999995	-0.001866635	-0.0239771277	0.0245753779	0.011710932700000001	0.1263668664	0.0167820809	-0.11951155449999999	-0.043976558	-0.0368058017	0.024907024	0.055674857	-0.0043353676	0.0072181687	-0.1087980393	0.012343844199999999	-0.1292342201	0.0176749067	0.110128655	0.18870944420000002	0.0286511877	0.0601856764	0.0128321575	-0.0206265659	0.1372218597	0.0007856686	-0.09658054449999999	0.05547261	0.10116817119999999	0.0557742367	0.0278632164	-0.004409342100000001	-0.022826797599999997	-0.087084442	0.0048778665	-0.10077409039999999	-0.0263559715	-0.0201859297	0.1023139614	0.1014639107	0.10005238710000001	0.0	0.0	0.0	0.0	0.047731800000000005	0.047731800000000005	0.0022783247312400004	0.0022783247312400004	0.00348914	-0.006501460000000001	1.21740979396e-05	4.2268982131600015e-05	-0.000172125	-0.000172125	2.9627015625e-08	2.9627015625e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
