global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
9157.953617049176	n/a	83868114.45202407	n/a	11546.84126626916	n/a	n/a	133329543.22841641	6978.693703551393	n/a	n/a	48702165.80798786	6991.678601366451	11619.231907347854	n/a	n/a	n/a	n/a	-0.03934394	-0.1643999452	-0.0274187102	-0.7708441148	0.055351339699999995	-0.06574227349999999	0.1273587988	-0.059896325199999996	0.0093625438	-0.14540708970000002	0.0708483739	-0.087311006	0.0895322883	-0.019163901599999998	0.0541566999	-0.0158453515	0.0533842308	-0.0940971969	-0.0017773176	0.022260155400000002	-0.116970405	0.0825943559	-0.0707458372	0.055859777400000005	-0.0498652997	0.007073021800000002	-0.0068997185	0.010072567900000001	-0.0341800827	0.0629978371	-0.06019614490000001	0.0362278494	-0.027069751200000002	0.0078979658	-0.0566733625	0.0414906643	-0.029339155699999998	0.0792377311	-0.0018275918	-0.0122543371	0.017415790900000002	0.021516986600000003	-0.0796402683	0.153145216	0.0923585003	-0.0070456139	-0.0757330614	0.0309670971	-0.0867490925	0.0565775232	-0.222050558	0.0546760292	-0.1168453606	0.0321669001	-0.0188810528	0.08033155360000001	-0.049004972	0.0414706462	-0.0954102711	-0.0743682499	0.0479053114	-0.04650134349999999	0.0086665031	-0.0070915441000000004	0.056892138200000004	-0.0261645134	0.0195678535	-0.0057425503000000004	0.0407278024	-0.0324430931	0.0420976341	-0.0238640486	-0.0186027785	0.019032561	0.0270079521	-0.0432180471	0.10688187619999999	-0.146428988	0.1028747181	-0.06513615519999999	-0.027232035800000002	0.052807625899999995	0.024601166600000002	-0.030155175099999997	-0.017689459299999998	-0.0102851624	-0.0423622728	0.0614421847	-0.025600061099999998	-0.0670201803	-0.0370702596	0.044457935899999995	0.0169417753	0.0042828466	-0.07207889320000001	-0.0050079893	-0.014301416899999999	-0.024732777200000004	-0.041198099700000004	0.0859637173	0.11593114800000001	-0.1228198217	-0.017556965900000002	0.0163665995	0.031207671	0.044441609900000005	0.1004309244	-0.0701876753	-0.0481461993	-0.059243370499999996	0.0006395023	0.07539997849999999	0.0406849824	0.0059126189000000004	-0.0504044915	-0.0095017939	-0.0761624964	0.0106201119	-0.0952441938	0.1409619345	-0.1330066062	0.0438046236	-0.028384677799999997	0.0618479412	-0.362571625	0.10473493689999999	-0.1787133614	0.0170867297	-0.0407111639	0.0127872115	-0.1033942058	0.0900960995	-0.1166362651	0.0618300647	-0.0374869803	-0.041290081	0.0605302859	-0.0333180991	0.0553830964	-0.0028561066	0.0642007277	-0.0151033637	0.009837654599999999	-0.034737694900000005	0.0735773038	-0.0408122966	0.015877453700000002	-0.0835722184	0.1220242341	-0.13256992039999999	0.047277388200000006	0.0285485046	-0.1352610773	-0.07017347480000001	0.0243909207	-0.0826752522	-0.011027296	-0.0003051581	0.0358194692	-0.0259091111	-0.016210824	0.0354322825	0.0081763805	0.0198605446	-0.0047931213	-0.0013920935999999998	-0.0640138566	0.0116341274	0.0179231578	0.0802850232	-0.06293021559999999	-0.062141768099999994	0.0160038212	0.045613303	0.1357190865	-0.0075699638	-0.1254451559	-0.0640575807	0.0889891408	0.0449436227	0.029011449100000006	0.0626667637	-0.013185279	-0.0324863837	-0.0706006279	0.019177996200000002	0.0521958362	0.013401463600000002	-0.0680246812	-0.0770583415	-0.0008221759	-0.0359347692	0.1129450808	0.022700085499999998	0.102594329	0.1025838106	0.1025662807	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	-0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0
9131.446722166766	-26.506894882410048	83383319.23977016	702.6154763071362	11234.176505929572	-312.6647603395886	97759.25235821238	126206721.76637997	6976.953207370504	-1.7404961808888402	3.029326955688638	48677876.05783756	6985.85499129158	11545.889010898609	0.9989920000000002	38.867474	0.0	0.0	-0.0480921963	-0.1778419896	-0.0211685602	-0.4133796785	0.0079594648	0.181010521	0.067571361	0.1304329206	0.015523003899999999	0.030373223900000006	0.0791382992	0.0676904082	-0.2194842012	0.06057617940000001	-0.0681217257	-0.0123522146	0.0325203067	0.1525139428	0.0200566966	-0.0753049144	0.1412812175	-0.0767187972	0.1579198449	0.0158739682	0.08849826289999999	-0.0182801278	0.0634372421	-0.0088141627	0.0176253709	-0.09980991689999999	0.032922544	-0.0097289563	0.0323231336	-0.0596671075	0.0207577835	-0.0974839636	0.0597027828	-0.0728535817	-0.0177492767	0.030534376000000002	0.007225768299999998	0.028544414599999998	-0.0773013957	0.1688063303	0.1387548241	0.0505876584	-0.0403527414	0.038865821	-0.1078579534	0.1926100044	-0.1362768873	0.0395523793	-0.1517812049	0.0372847296	-0.047126850199999994	0.041993869	0.00433587	0.0470449876	-0.10850506369999999	-0.0974124435	-0.0669921492	-0.0080308142	-0.07254162230000001	-0.0272316351	-0.0046584976	0.094572023	0.0049779544	-0.0252315794	0.0207686554	0.0403690459	0.11955996220000001	0.0389994937	0.017861388	0.0061856642000000005	0.0637787507	-0.0338176466	-0.018309696299999997	-0.0683277862	-0.0389342523	-0.2264260306	0.0215780254	0.0466607891	-0.06746512639999999	-0.1387782544	0.0215852619	0.0077839578000000005	0.06303559389999999	-9.983540000000001e-05	0.034337659799999996	0.013302356599999999	-0.0942781755	-0.0717495626	0.0138350703	0.0716620188	0.1404271261	-0.0563071296	0.0229151356	-0.1221573151	-0.0146285328	-0.0188150002	-0.0022257563	-0.0972652594	-0.039516596099999995	0.055358470099999994	-0.0169136844	-0.0738872119	0.041484547999999996	-0.0860112562	-0.0060930953	0.0085873833	-0.0080094173	-0.013640968100000001	-0.022982253900000003	-0.038778493500000004	0.1157774341	0.0299914163	-0.0335125197	-0.0180569808	-0.0928631541	0.15617132220000002	-0.1616559776	0.0947167024	-0.0311244176	0.0190758268	-0.2787090516	0.20730527079999997	-0.0471279686	0.0187774281	-0.070317242	-0.0063814693	-0.0821862674	0.0473252316	-0.0623186543	0.0991933282	-0.0384488992	-0.0638019977	-0.0595244013	-0.037368429700000004	0.0709643225	0.0849298229	-0.0426090455	0.0755825812	-0.046386484400000004	-0.0502218084	0.0732959876	-0.08516863890000001	0.0737617571	-0.0649691329	0.0814275901	-0.023390723999999998	0.09938108470000001	0.0087047863	-0.1215535587	0.037654554900000005	0.0200566148	0.049408874500000005	0.0797568808	-0.0680930644	-0.0649008004	0.025196452999999997	0.0065860951	-0.1181335065	-0.0729262963	0.0168855275	0.0323793032	0.0063150565	0.0811715649	-0.1318812803	0.0482720912	0.0211201706	0.0333167005	-0.077430326	0.0383122788	-0.0300123461	0.0312835369	-0.0344517268	-0.0735070283	-0.0251842413	-0.1180340937	-0.0056292094	0.0068868504	-0.0798889252	-0.0374266373	0.0104497606	0.034966473	-0.022465687	0.0195579541	0.0144238509	0.021581238500000002	0.0912838806	0.0136156927	0.0014763839	0.0141235674	-0.0408094248	0.1025662807	0.1024716367	0.1023139614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9108.430560355124	-23.016161811641727	82963507.27281116	529.7437045396748	11025.961135702959	-208.21537022661323	43353.64039860562	121571818.96603207	6984.865936419698	7.91272904919424	62.61128100596239	48788352.14975623	6990.936087935703	11470.012732805513	1.009154	39.262825	0.0	0.0	-0.0305546787	-0.1421771308	-0.010877446	-0.1704358867	-0.0637326189	0.0480366224	0.021432211800000003	-0.0919638577	0.029865266499999998	-0.025401643199999997	-0.0612519968	-0.0041308463	0.0328437177	0.0743266885	-0.1261519694	0.0939958365	-0.0477289089	-0.0181903405	0.0278827339	0.0561763309	-0.1000293614	-0.0728316542	0.034391028500000004	-0.1032017417	-0.048112926900000005	0.0382713989	-0.0661510208	-0.0254021573	0.0433594306	-0.0735427855	0.018107501	-0.029870720099999998	0.0654046879	0.011779486399999999	0.16078631470000002	-0.0021618893	-0.0355712049	-0.0493380837	0.0506741548	0.0956518422	0.0420214875	-0.0244239723	-0.0657897341	0.1257818076	0.091133597	0.036107722	0.006624566	0.11147449529999999	-0.0079703741	0.0499862143	-0.23558364690000005	0.03918654	-0.0767316837	0.0034082784000000004	-0.020000634099999998	0.0365708447	0.0973643049	-0.0425404928	-0.12367658220000001	-0.0220243621	-0.0345869013	-0.0270452108	-0.0343522756	0.0227575577	0.0090198364	-0.0553932783	-0.056472416	0.0305495669	-0.0804568834	0.0588986576	0.034636042400000004	0.0374073859	-0.0357587689	0.1003532921	-0.0206389053	-0.0708805207	-0.074380166	0.1213047627	-0.0365117406	-0.1020627255	0.034123106800000004	0.0822842625	-0.012752635200000001	0.0257147309	-0.021533024100000003	0.1130303209	0.004711984000000001	0.0550320681	0.1336184963	0.0605656137	-0.0044530386	-0.0793773757	-0.048473896100000004	0.021335366499999998	0.0362633443	0.0025988313	0.1574768672	0.020973021499999998	-0.1214848072	-0.0319461697	-0.0580065813	0.0691302592	-0.0856432125	0.0077213016	0.0368730449	0.0338876284	0.0085443775	-0.033435892	0.0354888369	-0.0392809258	0.027392358500000002	-0.0178607395	0.0173514508	-0.005886925	-0.0129854147	-0.0308305321	-0.039453601899999996	-0.0634219629	-0.0796458206	0.1178358368	-0.1023598383	0.0815844446	-0.09735322619999999	0.00849664	-0.1749960857	0.052667615099999995	-0.1459961235	0.0375536012	0.0364082153	-0.022317276	-0.0026821792	0.0493536488	0.0523905171	0.09674638710000001	-0.06938253230000001	0.0602200896	-0.0158148497	-0.0072136515	0.046013562300000005	-0.046448148200000004	0.0123644525	-0.0500643555	-0.0578049172	0.019891662	-0.061413624800000004	-0.0285067958	0.10079092880000001	0.0048016018	-0.0696768047	-0.027944001099999997	-0.0138554643	0.0198155215	0.0907514155	0.10095230820000001	0.0785278314	0.0344428016	0.0977118392	-0.0239042875	-0.031207472200000006	0.0986976373	0.07116536150000001	-0.0257620066	-0.0121742416	0.0353555662	-0.1105763333	0.0745960963	0.021160803500000002	0.025207063199999998	-0.012177899499999999	-0.0046426765	0.05066883230000002	-0.027052389	0.0911586397	-0.1425126958	-0.0465252094	-0.0219292191	0.045683054800000004	-0.0436089782	-0.0498553554	-0.09419621289999999	-0.056115945300000004	0.0639651079	0.0071562423	-0.07454993019999999	-0.046684506900000006	-0.0281020551	-0.08848603460000001	0.0012109198	0.0163332288	0.012030057	-0.0456695518	-0.023695233599999997	0.0230757269	0.0544046241	0.10251019189999999	0.1022474116	0.1018099433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9093.577480046844	-14.853080308279463	82693151.38561511	220.61399464419904	10952.314436608089	-73.6466990948702	5423.836287570355	119953191.51833396	6986.897340860883	2.0314044411843497	4.1266040036635	48816734.45172887	6992.0828810331	11259.081585513608	1.064047	41.398533	0.0	0.0	0.0091225002	-0.0828579542	-0.021953549500000002	-0.08486701960000001	-0.026098539	0.15665744339999998	-0.09295116910000001	0.1266447609	0.0148824471	0.1368909659	-0.0571051557	-0.009741649	-0.04760136190000002	0.025734262400000003	-0.1308188837	0.0645238388	-0.0724944344	0.0417145986	0.0338797833	-0.0911278385	0.0189890172	-0.0672256098	0.0109072148	0.09374595279999999	0.0600818458	0.0430330777	-0.0295918966	0.026811597200000002	0.0275279378	0.14569459199999998	0.12570311720000002	0.0464068279	0.00801944	0.037966945099999996	0.0682307842	-0.0539992692	0.0007455972	-0.0985267974	-0.0174620494	-0.1102556785	-0.0530105045	0.0064357786	-0.0667863741	0.098571818	0.0255381623	0.0382162732	0.1454577845	-0.0695294967	-0.0438386597	0.0378125405	-0.17924622010000002	0.1175739299	-0.0743198959	-0.0142396182	0.077119705	-0.0155418075	-0.0240183508	0.0171614207	-0.0601435138	0.0118262466	-0.047641212599999996	0.0609574464	-0.1623377338	0.1346174286	-0.050653187800000006	0.0301867839	-0.14873038789999998	0.0260299203	0.10567032259999999	-0.0759233592	0.0143072231	-0.0412069739	0.0016117397	-0.1248201308	-0.1065815356	-0.0541479928	-0.0063533966	-0.10531607890000001	-0.0590685296	0.0201151547	-0.0257197023	-0.0024098801999999997	-0.0281591473	0.0430959032	-0.0080706631	-0.0380871416	-0.2239631111	-0.017249618300000002	0.020851883999999998	0.0042907933	-0.0196382125	0.029112316800000006	-0.0052875178000000005	0.0076763261	-0.026523177000000002	0.04993054	-0.0726150992	0.0369399709	0.1312860304	-0.046008610199999994	0.1463662283	0.1681481472	0.045459636399999996	-0.0093196042	-0.1490315242	0.0391387937	0.0493500345	0.1269661003	0.008830991600000001	0.018150060200000002	-0.1394649055	-0.0806226741	0.0390317138	0.041139544	-0.02726717	-0.0178885347	-0.0133117794	0.0289207172	-0.07595279320000001	0.0920948108	-0.0370077902	0.060826929400000014	0.0543011452	-0.1449016656	-0.1241291517	0.0707181963	-0.1438364207	-0.0509339866	0.0229903513	-0.0401128737	0.0629571995	-0.0004705734	-0.052144369	0.012246503899999999	0.0068799678	0.0373013414	-0.0404978663	0.1112988957	0.1911163584	0.0253159825	0.0096982546	0.014990361899999999	-0.0774863482	0.0517818241	0.0510189539	0.09559321300000001	-0.1225537293	0.0014076366	-0.0489782079	0.0990902969	-0.0123285428	0.1020966102	0.006810012900000001	-0.048937160800000004	-0.15422849130000002	0.0785378616	-0.0118141065	0.0401396294	-0.0167832483	-0.0729535267	-0.0915954052	0.1091106973	-0.016169781100000002	-0.0816868205	-0.1331680835	0.026267408500000002	-0.0334333128	-0.043023691399999994	-0.045905603600000004	-0.0758598135	0.058968212400000004	0.0963959819	0.0056781467	0.0251391868	0.004459541	0.0762934797	0.16555142109999998	0.1122868775	0.1174451235	0.11685115230000001	-0.05106161360000002	0.0514466528	-0.1046822019	0.0544851054	0.0147986393	0.071570915	0.11804535279999999	-0.0530914304	0.0603185697	-0.0080880388	0.0800966096	0.0751402109	-0.006142645699999999	-0.06272448280000001	0.10242607769999999	0.10191138039999999	0.10105546650000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9096.689692513572	3.112212466727214	82749763.36188266	9.685866438052294	10901.363138791623	-50.95129781646574	2596.0347491821867	118839718.28380474	6993.855280014448	6.9579391535653485	48.412917264717684	48914011.67778597	6998.144655147436	11229.694638298666	0.984752	38.313435	0.0	0.0	0.0052852539	-0.08178366620000001	0.014869346299999999	-0.0191838709	-0.0467159153	0.1226219788	-0.0793578949	-0.0184134203	-0.0313060066	0.020850753	-0.11707176949999999	0.0596709829	0.042100535099999996	0.1370214142	-0.07587783299999999	-0.0385419969	0.0156538812	-0.050607775099999995	-0.013883577099999999	0.0053535454000000005	0.0974340781	0.0009995879	0.036658510299999995	-0.0133760766	-0.1527932899	-0.037090737900000004	0.0754372741	-0.1572870712	0.062200861600000004	-0.0491062628	0.1724352565	-0.050670781100000006	-0.0662879847	-0.0904205849	0.027001081099999998	0.0541673867	0.0584868556	-0.0619084147	-0.0939894892	-0.0347194337	-0.0895070437	0.0867554528	-0.05882268230000001	0.0817236467	0.039229009599999996	0.0188348742	0.160675462	0.0479270431	0.0203493711	0.0038057040999999996	-0.0640524598	0.059480902999999995	-0.0087953948	-0.0333288319	0.1628469723	0.0388905239	0.049376427599999995	0.011588050700000001	-0.05779616730000001	0.0430830787	-0.0715937413	0.0174895452	-0.0404082396	-0.0177713521	-0.0134488289	-0.07378808740000001	-0.0390098475	-0.08039115	0.06563782110000001	0.1023782219	0.013919606499999999	0.0322464702	0.0302621717	0.1142609198	0.0656856928	-0.13005649630000002	0.1278281637	0.060486599	-0.1064365334	0.060528069000000004	0.1208757444	-0.009061743399999999	0.1036281952	-0.0884900638	0.10965005230000001	-0.039394299300000005	-0.0079234659	0.046710244299999995	-0.0674414782	0.0723680742	0.1399102523	-0.0720595555	-0.0226731943	-0.0837236167	-0.0592741013	0.011374646499999998	-0.0751477321	-0.1080297659	0.10962146019999999	-0.0950130571	-0.10371181859999999	-0.0269191316	-0.09986047740000001	-0.0665549278	-0.045376843099999994	-0.0164739454	-0.1224433702	0.052097308499999995	0.016251741299999997	0.036101463199999996	0.10683162130000001	0.0720277345	0.0001546034	-0.010961230700000001	0.0905766341	0.036008255600000004	0.0784833917	0.0192247999	-0.07102753740000001	0.0760381911	-0.0462871359	0.047898221100000006	-0.06320274669999999	-0.1346047037	-0.0030522027	-0.0097306194	-0.0663513433	-0.0395334661	0.0448090853	-0.038274968199999995	0.1314852819	0.09126616189999999	-0.059085191100000004	0.026955930899999998	-0.0025114736	0.0714926784	-0.0744305374	0.0114201242	0.0473180336	0.0264024487	-0.0015959347	-0.0638676941	-0.014318243100000001	-0.0137112584	0.0531127651	-0.022978937	0.0193964587	0.1024104926	-0.0012134981	-0.0742381556	0.12261694570000001	-0.0023218176999999997	0.1737741968	-0.0635611099	0.08524434300000001	0.0549185687	-0.0852341495	-0.0992277374	0.020978668500000002	0.09568050300000001	-0.12215283880000001	-0.0128349603	-0.0740287325	0.0095720874	0.0456165093	-0.0525772321	-0.0027379929999999998	0.1477980317	-0.0287028372	-0.085176499	0.011160190700000001	-0.0255668305	-0.0200362783	0.18551529079999998	-0.1335600565	0.0590075613	0.0295145425	0.125653399	-0.0780379132	-0.0986590441	-0.09379491109999999	-0.1321000975	0.0246523281	0.0713079573	0.053032222999999996	-0.0172429734	-0.035536734	0.0638553262	-0.049630617599999996	0.0840270396	-0.06788616410000001	0.0001775852	-0.0372914998	0.0322945804	0.1023139614	0.1014639107	0.10005238710000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9127.619983197594	30.930290684022108	83313446.55766805	956.682881798105	10847.545793142177	-53.817345649446004	2896.306692751944	117669249.73431654	6994.354800280816	0.4995202663676537	0.2495204965120117	48920999.07221129	6999.449338288169	11390.435724860237	1.012905	39.408783	0.0	0.0	-0.0238890906	-0.031328860800000004	0.0636884643	0.032139987200000004	-0.0596012921	0.16343230890000002	-0.1881356349	0.1071832677	0.0225886882	0.0209658039	-0.0814798804	-0.13854097699999998	-0.0396269128	-0.025645471800000003	-0.030804503100000002	-0.041791647200000004	-0.0095737843	-0.0392100266	-0.02561677	-0.05955284440000001	0.043527425099999996	-0.063593943	-0.029800291	-0.1634526899	-0.0073304886	-0.0091134089	-0.0494861193	-0.1017169556	-0.10146207199999999	-0.0194642532	-0.1160710829	0.0106823322	0.0514010133	-0.044205838399999996	0.1023353315	0.1159015799	0.012504431299999999	0.164966524	-0.0446747653	0.0382324906	-0.0689022892	-0.0599870125	0.0006020978	0.054262768600000004	0.018137875	0.0624498602	0.1650203635	-0.0358949189	0.0064882946	-0.0663726807	-0.11151861560000001	0.0610246023	0.017096815	-0.027122334900000003	0.0197182302	0.0006026182	0.032066111	-0.0550927645	-0.0587634833	-0.0029990739	0.09899877289999999	0.0371593868	0.0628277818	-0.0752983138	0.037255653199999995	-0.0755304092	-0.046352917699999996	0.040843926	-0.0848799492	0.0177580845	-0.0618519475	0.11264815210000001	0.08468580960000001	0.0173666136	-0.055465067	0.0255643744	-0.1964032211	-0.0007219378	0.011365264299999999	-0.0059762022	-0.0067308804	0.09881492859999999	0.1113700751	-0.0499554251	-0.1261836585	0.0389192977	-0.1210569143	0.0688079813	-0.0568450615	-0.0331547949	0.0938455527	0.028531166099999998	0.0698021267	-0.0128829393	-0.1619658834	0.0042986846	-0.10552601800000001	0.11189202279999999	-0.0692930466	0.07212831980000001	-0.1370181603	0.0512674815	0.0242366186	0.0269045121	-0.1177806174	-0.09928378199999999	0.0749184504	-0.0746267355	-0.0459194785	0.1366880833	0.16019286619999998	0.0628523044	-0.0639572172	0.1113535317	-0.0174163778	0.0862013308	-0.0442812083	0.0403539147	-0.0058244054000000005	0.0577136174	-0.0196442142	0.0873984582	0.046800247999999996	-0.1466228256	-0.0067405456999999995	-0.04926597519999999	-0.1165996205	-0.0309705159	0.0606738916	-0.023852657599999997	0.042850896799999996	-0.0077732845999999986	0.0268026478	0.0115407651	-0.0374326492	0.048778311399999996	0.0836364204	0.058483485599999996	-0.09309216869999999	-0.0240005719	0.0388122854	-0.06238327690000001	-0.0689765175	0.026475502	-0.0991726292	0.06912800690000001	0.1125592293	0.0834855138	-0.0027158993	0.0019361375	0.0771610485	-0.0071891034999999985	-0.034822794	0.1959830857	-0.022147416899999998	-0.0325910965	-0.0011191989	-0.0426467242	0.0888722429	-0.0569470754	0.0283913508	0.07947239240000001	8.99262e-05	0.0789346968	-0.1443805925	-0.0694374143	-0.1139295791	0.0657986171	0.004243042	0.0388600409	-0.12318969689999999	0.0876192799	-0.183459053	0.0458595734	-0.0467297133	0.0351214101	0.11578439830000001	-0.0690850294	-0.1116050274	0.0021168539	0.1275614745	-0.0553880097	-0.13953220800000002	-0.0926931315	-4.33815e-05	-0.0784810795	-0.0783253046	0.0015264179999999999	-0.16508366789999998	0.000130566	-0.0591669988	0.0466634421	-0.0813602892	-0.047882828499999995	0.1021738733	0.10090549160000001	0.0988031726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
