global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
9775.393044661128	n/a	n/a	95558309.17760916	10458.31216267848	n/a	n/a	109376293.29202862	7480.128867836816	n/a	55952327.8794457	n/a	7483.958111136098	13447.588628883503	n/a	n/a	n/a	n/a	-0.0161446301	-0.0050913222	-0.1551954466	-0.7235716051000001	0.24430243079999997	0.1359799837	-0.1367705165	0.0672071124	-0.0433613852	0.1077297662	-0.021139914500000002	0.0185069534	-0.0067482449	0.0648129265	-0.0189234502	0.1243804149	-0.0088141517	0.0818173578	-0.076314478	0.050292902	-4.7349300000000004e-05	0.0820300223	-0.0049147502	0.0097678824	-0.0219941222	0.08117734730000001	-0.0563680253	0.0204305726	-0.0177142967	0.045512211600000005	-0.0296560278	0.0023540781	-0.0690320603	0.0127542821	-0.0364341004	0.0246749182	-0.0194710351	-0.0115396131	0.0111460184	-0.0556327187	0.05214266	0.0210716315	-0.0559752762	-0.0327119751	0.029340278199999997	-0.0312115829	0.0079075353	0.0070633788	-0.0125997576	0.0099372986	0.12318340929999999	-0.0736293653	0.0793874075	-0.0902996569	0.0970590805	-0.1017903815	0.092368892	-0.0298732661	0.0417969116	-0.0802279135	0.0790410735	-0.0646469963	0.06171008190000001	0.1078554114	-0.0036467451	0.017326979699999998	-0.0744227419	0.0262652811	-0.0120891501	0.0755840297	-0.0068403896999999995	0.0512998086	-0.0155241076	0.09250447140000001	-0.0448568356	0.0263880121	-0.0352052089	0.014072510900000001	0.0258965466	-0.0388195388	-0.0143990218	0.1197161149	-0.06570113129999999	0.0238259105	0.0181252086	0.0196114051	0.0596913616	-0.0955990159	-0.0403160553	0.1326647506	-0.029107315	-0.05153997900000002	-0.09442060279999999	0.025802148799999997	0.09984194199999999	-0.059631586500000014	-0.09144378369999999	0.0386542356	0.047044225099999996	0.0078425298	0.010084362099999999	0.024078992799999997	-0.045404894800000005	-0.0318855338	-0.054789873200000005	0.144428025	-0.0907236885	-0.007273115	-0.04333727019999999	0.0298414146	0.0095925791	0.006209893	0.0049596742	0.022786007	-0.0678691676	-0.014585646899999999	-0.0114607457	-0.043212040800000004	-0.0145582929	0.040967289	0.0357350865	0.022021599300000003	-0.079059665	-0.0008046791999999999	-0.0498824226	-0.0714639088	0.068834659	0.0269705765	-0.0125295881	0.0208037197	0.1629280947	-0.07942272360000001	0.0906146833	-0.1270010171	0.1416599027	-0.1068650902	0.1604258677	-0.0248612481	0.08156794980000001	-0.0758923614	0.1164665634	-0.0968201217	0.1519279464	0.0619816898	-0.1256960031	0.0910541693	-0.0044843604999999995	0.1290525697	-0.0386054066	0.0708006412	-0.105475779	0.0463894126	-0.0168434513	0.012851416499999999	-0.10034736220000001	0.0291941163	-0.041064114	0.12518067619999998	-0.0091345432	-0.0563835534	-0.1359836058	0.0855503133	-0.09934920859999999	0.0448324749	0.04601573849999999	0.0248290092	-0.09464331570000001	0.1276498894	0.0354745275	0.1047741777	-0.0434047431	-0.043456355599999996	0.0506475396	0.030427811699999998	0.0059007022	0.0613408421	-0.1052380321	0.06823453	0.047207481399999994	0.012458339799999999	0.0188187949	-0.06461818379999999	-0.0778041728	0.0354738458	0.1362600637	-0.0452573691	-0.0049070782	-0.010650911499999999	-0.053788164699999995	0.046406949	0.0376102194	0.0039098512	-0.005668020500000001	-0.0099365116	-0.0393152726	-0.039536807400000006	0.0377626659	0.022855137799999998	0.0546410837	0.0180611464	-0.0694978815	-0.0738870716	-0.09883995539999996	0.1011869551	0.0357260954	0.11829896300000001	-0.11311521529999999	0.102594329	0.1025838106	0.1025662807	0.0	n/a	n/a	0.0	0.0464657	n/a	0.0021590612764899996	n/a	0.0479472	n/a	n/a	0.0022989339878399994	-0.00103758	n/a	n/a	1.0765722564e-06	-0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9704.060352670911	-71.33269199021744	5088.352946571229	94168787.32827948	10183.160685277018	-275.1514774014613	75708.33551620688	103696761.54217152	7478.535155623191	-1.5937122136256219	55928488.07389198	2.5399186198594803	7477.991341925723	13195.921429684775	1.135124	44.781593	0.11133385668089996	0.07386239999999998	0.06803395150000001	-0.0052257065	-0.026058448999999997	-0.3946475739	0.0310459926	-0.0607865516	-0.1030530157	-0.0118703203	-0.014003251999999999	0.0762934717	-0.0920658958	0.0277476117	0.0296666681	-0.1203561924	0.1409953521	-0.18648203789999998	0.0568313884	-0.107846872	0.0988279669	0.0081567915	0.1498053058	-0.058402660999999995	-0.0873025141	0.024506409500000003	0.14554565449999998	-0.0149327253	0.0933898189	-0.0319816171	0.0528698261	-0.0228653327	0.059872302999999995	0.0106772953	0.179587104	-0.047515709100000005	0.039368009100000004	-0.0449825765	0.0327677793	0.0159511685	0.0477252464	0.1116528862	0.0004946354	-0.030106015899999998	0.0761794725	0.0485355793	-0.007351106	-0.0055983384	0.0057372572	-0.0693156245	0.0723368693	-0.0102002725	0.1366990713	-0.1067132153	0.1558337598	-0.1135079775	0.0963614449	-0.0387325948	0.0509579448	0.05980313950000001	0.0803302904	-0.0826800132	0.057834341399999996	-0.0288555331	0.1148741343	-0.0511364066	-0.013268549099999999	0.0919616417	0.0162246482	0.1409803955	-0.0720556129	0.143222995	-0.2227546463	0.0370548798	0.0427173007	-0.0618726007	-0.0621407306	0.0802829813	-0.0098971739	0.054810054500000004	0.0847859129	-0.0818981371	0.10136665980000001	0.0376128343	-0.0015763457	-0.0873961707	0.0031957777	-0.0477328176	0.0193774644	-0.0289390739	-0.014291093400000001	0.0651787137	-0.0106713202	-0.0389884253	0.0108979837	0.0062244301	0.0880344334	0.018247143	-0.0116035306	-0.0319755494	0.0317606958	0.0014048256	-0.0096787625	-0.0998855756	-0.0082301558	0.0234186277	-0.040900198900000004	0.0148743598	-0.0659755187	-0.0168424026	-0.031214861200000006	0.044733280599999994	-0.0005668420999999999	-0.0326104016	0.0026036356	0.0099030791	-0.0100223469	0.0295511288	-0.0223741312	0.08426540490000001	-0.0096618302	0.0850762499	-0.040455361	0.027188186099999997	0.1001615614	-0.0992489349	-0.0551428068	-0.0642905739	-0.03243189	0.057413195099999995	0.0737809905	0.0037912739000000003	0.1581451467	-0.10759363640000001	0.1591010464	-0.1460873591	0.1268832068	-0.0518258734	0.09690233599999999	0.0490930343	0.11920744289999999	-0.1106176185	0.0474203035	-0.06509950219999999	0.089332941	0.2648610451	-0.044749254100000004	0.0829036392	-0.038022145699999996	0.06472224509999999	-0.030942722599999996	0.1266483089	0.03753926	0.0672805747	-0.0309443629	0.1816433862	-0.0407403996	-0.0256506306	-0.0082832123	0.058336562599999996	0.0131341967	-0.08816393730000001	0.0092937365	0.0034691656	0.0089421912	0.0627141568	0.0358788902	-0.0622013554	0.0085466013	-0.016131068300000002	-0.0527619164	0.0558027676	0.0204959351	-0.0325309355	-0.063975091	0.005672848	-0.06648063139999999	0.0029759708000000004	-0.0045258358	-0.0271887552	0.020985062599999996	-0.008883041999999999	0.0629939839	-0.0481593628	0.04489023809999999	0.029502103999999998	0.024791063500000002	-0.027965628500000003	0.056487652	0.0377162964	-0.0150085447	0.030319124399999998	-0.0389416091	0.0077315989	0.0095254247	0.0345969369	0.046660825	0.010293613	-0.034394118599999995	-0.0771218476	0.034473916	0.0373489706	-0.045863819400000005	0.023766253900000003	0.0459797741	0.0605294885	-0.0030015363	0.0481206086	0.05708579690000001	0.1025662807	0.1024716367	0.1023139614	-5.66809e-08	-5.66809e-08	3.2127244248100007e-15	3.2127244248100007e-15	0.11043	0.0639643	0.0121947849	0.00409143167449	0.0682607	0.0203135	0.00041263828224999985	0.004659523164489999	-0.0015787000000000002	-0.0005411200000000002	2.928108544000002e-07	2.4922936900000005e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9624.933481590771	-79.12687108013961	6261.061726933033	92639344.52504703	10014.03158114286	-169.12910413415918	28604.653865223267	100280828.50812656	7446.534983796634	-32.00017182655665	55450883.26490714	1024.0109969291502	7444.200956532753	12756.426152310618	1.06378	41.966999	0.08808235668089999	0.0649444	0.0081924713	0.0046388218	0.0889317194	-0.1315721474	0.010216235300000001	-0.1373247618	-0.12342539300000001	0.0229970245	0.0979933189	0.08790416	0.1396957887	-0.0146761732	0.014315208700000004	-0.047365910899999995	-0.0404837281	-0.1719453902	-0.0032013379999999998	0.1193457765	0.0418100022	-0.006075996899999999	0.052059113899999995	0.054869928899999997	-0.010653078500000001	-0.043808623600000006	-0.1217042992	-0.09787395789999999	-0.0332818052	-0.0025549512	0.0078597462	-0.0702157814	-0.0285358909	0.0047278493	0.0301746129	0.06493505690000001	-0.12614324130000001	0.0178198699	0.0668253596	-0.0957720973	0.0159495023	0.0489560525	-0.0695398182	-0.052453632199999996	-0.0014403358	-0.0071955173	-0.16328634779999998	0.022715414	-0.0276646503	0.115966805	0.0241942721	-0.0191846026	0.0042025539	-0.0324337746	0.0825389429	-0.0711321967	-0.0025258501	0.0665871879	0.048931673700000004	0.0828212626	0.1251963826	-0.0690663959	0.0594237446	-0.0375126129	0.10896269800000001	0.0146424628	0.0114962622	0.0985527219	0.040239675600000004	0.0596686837	0.0242202613	0.0176275422	-0.1644927607	-0.058024344400000004	0.0918070228	-0.1107303475	-0.032465338999999996	0.0682536512	-0.0040235596000000005	0.0466878555	-0.10111117380000001	-0.0177952877	0.0332186763	-0.0170820001	0.0559741496	-0.034496275699999995	-0.0289150842	-0.0400961577	-0.0055607194	0.16858892809999998	-0.14059764060000002	-0.0926804167	-0.0095631152	0.016484623400000002	-0.0055029085	-0.0316192333	-0.0364409943	-0.016278608700000002	0.1837851498	-0.02190846	-0.0792869438	0.11236559689999999	-0.11030220439999999	-0.0929468417	-0.0510389984	-0.08110287969999999	-0.0765507837	-0.0625366441	0.0887064634	0.049062912800000004	0.0496099071	0.0363051421	3.35545e-05	0.0493148362	0.044374961100000006	0.0560988672	0.0958810658	0.1083431703	-0.1126552032	-0.0695172121	0.0603906152	0.0639865901	0.06515732519999999	-0.021607955699999997	0.051711473	0.0142699626	0.0458212804	0.0568981324	0.0594898168	-0.0137158347	0.026013763500000002	-0.013688040600000001	0.007182051899999998	-0.0371300071	0.0912811125	-0.07910060440000001	0.026335549500000003	0.051529028	0.0641882064	0.0737871695	0.1515948008	-0.08790387029999999	0.0420696571	-0.0565532339	0.0422853583	0.1265827108	-0.0597208992	0.0043452239	-0.0817222578	-0.0279000323	-0.0189253126	0.0380939602	0.1495028573	-0.0124665476	0.0731008639	0.0940523832	-0.015365237700000001	-0.041834743199999996	0.0835657605	-0.0949316995	-0.0628741532	0.020919359199999998	0.0129908703	-0.022686973500000002	0.0354318863	-0.0318322258	-0.0013002433	-0.07153695730000001	0.0018189228	0.0024595105	-0.014789194399999999	-0.2767203432	-0.0239244519	0.0449789492	-0.0504868317	-0.024272718199999998	-0.0730637157	0.0149506655	0.18164848530000002	0.0520588062	0.0415923746	-0.08163057280000001	0.0010302078999999999	-0.0416471277	0.005728249300000001	-0.0930612821	-0.1125042698	-0.0060677082	-0.0682921871	-0.0118227559	0.1123934418	-0.004500947	0.0188248921	-0.0716203786	0.0132368153	0.10302632269999999	0.0929860034	0.1459313415	0.09453108380000001	-0.0116159801	-0.0194988305	0.0029744444	-0.048982641900000005	-0.11684956939999999	0.0090926756	-0.013365693400000002	-0.0348777223	-0.0907656242	0.08547786380000001	0.10251019189999999	0.1022474116	0.1018099433	0.0	5.66809e-08	3.2127244248100007e-15	0.0	0.0503747	-0.06005530000000001	0.00253761040009	0.0036066390580900007	0.0613087	-0.006951999999999993	4.8330303999999896e-05	0.00375875669569	-0.0011572000000000002	0.0004215	1.7766224999999997e-07	1.3391118400000004e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9598.733051642204	-26.200429948567034	686.4625294897684	92135676.19668846	9912.49679594653	-101.5347851963288	10309.312604864632	98257592.72965024	7426.599811695308	-19.93517210132632	55154384.76307278	397.4110867094991	7424.101398486147	12722.159351552042	0.938377	37.019756	0.014767000000000002	0.00986343	-0.0168575361	-0.0044581583	0.078173764	0.0376384883	-0.0101667885	-0.18303761559999998	-0.08980671679999999	-0.0588623324	-0.042153562400000004	-0.0982055542	0.098316802	-0.15664355470000002	-0.0188116067	-0.0797924138	0.0207738889	0.035223942200000004	-0.0009760312	-0.0723109354	0.0458544311	0.021649906400000002	0.1551031217	-0.07902498599999999	-0.1323536782	-0.0473305922	-0.0577181369	0.04807868480000002	-0.0315228804	-0.1129382883	-0.0162220417	-0.0614728756	-0.025637710600000002	0.0269344127	0.0022569385999999998	-0.022173870499999998	-0.0629984317	-0.0318924941	-0.0975020597	-0.0114033422	0.0067716051000000005	0.0004877726	-0.013039853799999999	0.013080858600000002	0.0958260548	0.0453442002	-0.0027579335	0.024090297799999997	-0.0299265179	0.0089455214	0.013041123	-0.0387663058	-0.1050489014	-0.0193211516	-0.0232497123	-0.005866120799999999	-0.0449261343	0.11803412949999999	0.040939173100000004	0.0455438883	0.0487808354	-0.0624342235	-0.0796474548	-0.0384931321	0.013153542399999999	-0.0105672315	-0.0782503562	0.036230706099999996	0.0491032279	0.012808926000000002	0.0570873329	0.0221059764	-0.1292775746	-0.0234748781	0.0202913117	0.039759243900000005	-0.0543872942	-0.001775777	-0.1388263384	-0.0604855968	-0.083981222	-0.0741340561	0.024068855	-0.10399058119999999	0.0030309421	0.0483933322	0.0737091913	-0.012045860600000001	0.0034526158000000003	-0.1529220724	-0.0199067934	-0.0703389053	-0.0538945838	0.042173261100000005	0.0168516493	-0.027363085099999997	0.10651652019999999	-0.0486621102	0.1082619118	-0.0094275677	-0.0372459806	0.0497218796	0.0424442021	0.025881743399999997	0.0638232264	0.024347880899999997	-0.044983809400000005	-0.023522334	0.14820381929999998	0.0475828836	0.18927284949999998	0.0409968202	-0.0082358202	0.08830432070000001	-0.10664076900000001	0.011164113100000001	-0.055319188899999996	-0.0256039582	0.0344035573	-0.2276781083	0.05287938389999999	-0.09717433689999999	-0.08931986789999999	0.0217150669	-0.0265618127	-0.011131171100000002	0.0721423013	-0.069274769	-0.0202027876	-0.0183734298	0.0161083012	-0.0364528198	-0.10381717509999999	-0.0262864296	0.0041532875	0.0059817507	-0.014698659499999999	0.11815104	0.0379747296	0.028036729500000003	0.0693401779	-0.0869899869	0.0508127018	0.0824647263	-0.0058151769999999995	0.0669503007	0.028877858399999998	0.0601150222	-0.0276416212	-0.0141173228	-0.0640064876	0.1055551602	0.0633321736	0.0068590796999999995	0.042804252	-0.0405546242	-0.0083345879	0.0087352887	0.012683358200000001	0.0180410271	-0.148943191	0.085773694	0.0178292998	-0.1054207178	-0.0182274253	-0.0174779171	-0.1259326831	0.0351134003	0.1200072354	0.07404487480000001	-0.0282615322	0.0336381875	-0.0380005999	-0.0073833922	0.0417530182	0.052384146799999996	-0.09316118289999999	0.1237455066	0.0649867702	-0.062527382	-0.098768905	-0.0127381948	0.006413895500000001	-0.0147082284	0.0134982549	-0.0723966774	-0.0477225975	0.12433143949999999	-0.0760565958	-0.1447346555	0.1600744608	0.064643841	0.1225558055	-0.0939860123	-0.015539873000000001	-0.0863857118	-0.0796731297	0.0674477271	0.1436685416	0.050532554900000005	0.0506746217	0.0031940992	-0.0154222022	0.1249532766	-0.1117521556	0.027262787099999998	0.0629515177	0.0178351487	0.00641837	0.10242607769999999	0.10191138039999999	0.10105546650000001	0.0	0.0	0.0	0.0	0.0551096	0.004734900000000007	0.00303706801216	2.2419278010000068e-05	0.0596116	-0.0016971	2.88014841e-06	0.0035535428545600007	-0.0013239	-0.00016669999999999988	2.778888999999996e-08	1.7527112100000004e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9647.171329529432	48.43827788722775	2346.266764680296	93067914.66129468	9973.464895517165	60.96809957063488	3717.109165254848	99470002.02211322	7454.968654996145	28.368843300837398	55576557.64697503	804.7912702274671	7452.625650558215	12693.726018469126	1.197774	47.253193	0.12271765	0.08343560000000001	-0.1224666836	0.02717723	0.0121730727	-0.0050589551	0.10438585019999999	-0.1791385341	-0.0061196313	0.007029409499999999	-0.14412393369999998	-0.0331110681	0.06595427200000001	-0.022306800499999998	-0.09790194699999999	0.137247044	-0.063852271	0.033653034500000005	-0.08313384389999999	-0.064214275	-0.1305735724	-0.0181509217	-0.010145283100000001	-0.0708672149	0.055095007300000005	0.0001686362	0.0146595778	-0.0497373308	-0.0189666719	-0.0640643371	0.0136147897	-0.1298636592	0.1868624125	-0.0739526449	0.1133151733	-0.0004467321	0.0323458399	-0.0590309684	-0.1081207078	-0.09940234740000001	-0.009666969899999999	-0.08989836970000001	0.04446216099999999	0.0719944723	-0.0479661428	-0.064143902	0.0013509515	0.0636333231	0.09935509039999996	0.0510648854	-0.0783839685	0.017645428799999998	0.0169477107	-0.1217226344	-0.1160783831	-0.0519637117	0.1322169681	0.1790163668	0.060179480099999995	0.0683771879	0.15344413099999998	0.030969895499999997	-0.1071256516	0.033092059199999996	-0.0720203154	-0.1396311849	0.0220131866	-0.032446005800000004	0.1408624501	0.0317565586	-0.011231258899999999	0.0186446098	-0.0037267271999999996	-0.024353092200000002	-0.0764087108	-0.047839918499999995	-0.0112858479	-0.0015354780999999999	-0.0769168212	0.020176123799999997	-0.018421776799999998	0.0986986475	-0.0694730193	-0.0483194258	0.0174743932	-0.053906122300000005	0.0476652199	-0.010383293299999999	0.0594212487	0.025018689500000003	-0.049562450599999995	-0.0385867527	-0.0863573443	-0.0596438336	-0.0226573502	0.075355177	-0.0542634669	-0.0465855875	0.05075565889999999	0.0349368591	0.0625183008	0.0333926648	0.0597207967	0.0253136035	0.0542643183	0.1067185506	-0.0467923656	0.011337943	-0.1384370121	-0.0432885692	-0.0811221605	-0.1251717717	-0.02304166	-0.005434189399999999	-0.0120620155	-0.026913249500000003	0.055886725899999996	-0.0700354575	-0.0233783846	-0.0043369018	0.0600252448	0.056534080099999995	-0.0179178592	-0.0491114386	0.0748680365	-0.045763115199999996	-0.010625829199999999	-0.1257469992	-0.061207359100000004	-0.1385688933	-0.0795349989	0.008742250699999999	0.014341326299999999	-0.1186142525	-0.07964129240000001	-0.0008398327999999999	0.156631496	0.1879902696	0.0426735049	0.048258485	0.1579586186	0.0020531013	-0.0661106918	0.1263649214	-0.1403691322	0.09893196859999999	0.0816925696	-0.0187775192	0.0336754381	-0.10089112289999999	-0.0009093035	0.022298608799999998	-0.0275256549	-0.0384140417	-0.082165494	0.0116720972	-0.0348942259	-0.027350909399999998	0.0263381594	-0.0834500029	-0.0311376859	0.13638711	-0.0010345114999999998	0.0156451687	-0.0482752061	0.0682419544	0.0118798207	-0.0711546954	-0.017520452199999998	0.0632110402	0.0573285616	0.0042497292	-0.0759923155	-0.0216396716	-0.0571195517	-0.0605153008	0.1050831547	0.054727419400000005	-0.0031742009	-0.0743081144	-0.098502649	-0.0181711494	0.0658180377	0.0635431903	0.0385826219	-0.0678125156	0.0746981453	-0.0115760528	0.016452385	0.0829482103	-0.09554778650000001	-0.0716225016	-0.0376980527	0.054197399400000006	0.0466018132	-0.0520957682	0.0784858445	-0.0669877932	0.0417828865	-0.0262452118	0.0044965039000000005	-0.054284535599999996	-0.0193910105	0.0374816185	0.044154557000000004	0.0898520658	0.0090658415	-0.0057226021999999994	0.054631508200000005	0.1023139614	0.1014639107	0.10005238710000001	0.0	0.0	0.0	0.0	-0.00094595	-0.05605555	8.948214025e-07	0.0031422246858025	0.0508156	-0.008795999999999998	7.736961599999998e-05	0.0025822252033600003	-0.00016657799999999996	0.001157322	1.3393942116840004e-06	2.7748230083999985e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
