global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
8810.94430930468	n/a	n/a	77632739.62166852	11606.055499942915	n/a	134700524.26775518	n/a	6728.597076519465	n/a	n/a	45274018.61814629	6742.910119030566	12746.075551647042	n/a	n/a	n/a	n/a	-0.47401841229999997	-0.7750580390999999	-0.5007785945000001	0.1875590289	0.0085601036	0.4425431738	-0.5279566384000001	0.18175915739999998	0.0166899807	-0.45768933619999996	-9.001819999999999e-05	n/a	n/a	8.103276331239998e-09	0.152778	n/a	0.023341117284	n/a	0.07492460000000001	n/a	n/a	0.005613695685160001	0.00188163	n/a	n/a	3.5405314569e-06	-5.17219e-05	n/a	2.6751549396099995e-09	n/a	-0.000106841	n/a	n/a	1.1414999281e-08	0.0	0.0
8769.56143954165	-41.382869763028786	1712.5419098238028	76905207.84189582	11292.083818216664	-313.9716817262506	127511156.95763063	98578.21692601	6724.37182125663	-4.225255262835162	17.852782036116235	45217176.39051021	6735.362983371201	12645.478067581238	1.20635	43.853909	0.0550313258	0.0371125	-0.528647207	-0.3671732222	-0.5757071615	0.109375716	0.17729693100000002	0.060184708600000004	-0.5751437447	0.0906627743	-0.1582967097	-0.0171141654	-0.000130754	-4.07358e-05	1.65940540164e-09	1.7096608515999996e-08	0.147989	-0.004788999999999989	0.021900744120999998	2.293452099999988e-05	0.0801483	0.005223699999999998	2.7287041689999975e-05	0.0064237499928900006	0.00117692	-0.0007047100000000001	4.966161841000002e-07	1.3851406863999995e-06	3.66679e-05	8.83898e-05	1.3445348904100001e-09	7.812756744040001e-09	-0.000213299	-0.00010645800000000003	1.1333305764000004e-08	4.549646340100001e-08	0.0	0.0
8721.56600166908	-47.99543787257062	2303.5620565797863	76065713.52146998	11064.337232107908	-227.74658610875667	122419558.38580929	51868.507484193324	6734.743562325982	10.371741069351627	107.57301280967528	45356770.85029125	6743.948781928292	12206.068722161792	1.493424	54.289799	0.048007654	0.0243009	-0.1931733602	-0.07875341179999999	-0.1489726442	0.1551107698	0.2749474925	-0.8272929483	-0.1511386904	0.1529696474	-0.2644591589	0.8193276446	0.00349344	0.0036241940000000003	1.3134782149636e-05	1.22041230336e-05	0.13660899999999998	-0.011380000000000029	0.018662018880999998	0.00012950440000000066	0.09482	0.014671699999999998	0.00021525878088999987	0.008990832399999999	0.00112978	-4.7139999999999986e-05	2.2221795999999985e-09	1.2764028483999998e-06	6.59271e-05	2.92592e-05	4.34638251441e-09	8.5610078464e-10	-0.000503535	-0.00029023600000000003	8.423693569600003e-08	2.535474962250001e-07	0.0	0.0
8695.456331114103	-26.109670554977132	681.7148964894396	75610960.80631234	11011.434619242562	-52.902612865345866	121251692.37385358	2798.6864479806586	6765.0601841421985	30.316621816216866	919.0975583475164	45766039.29506607	6773.900349427343	11585.782153620105	2.089561	75.960892	0.2682288520000001	0.157429	0.5299003272999999	-0.0066584682999999995	0.3606483317	0.6190908174	0.0191609422	0.1325982276	0.3393055063	0.6319032365	0.0205204048	-0.1535680569	-0.0005296519999999999	-0.004023092	1.6185269240463998e-05	2.805312411039999e-07	0.264591	0.12798199999999998	0.07000839728099999	0.016379392323999997	0.042129	-0.052690999999999995	0.002776341481	0.001774852641	-0.000364538	-0.001494318	2.2329862851240003e-06	1.3288795344400001e-07	-6.36041e-05	-0.00012953120000000002	4.04548153681e-09	1.6778331773440004e-08	-0.000550341	-4.680599999999993e-05	2.1908016359999934e-09	3.02875216281e-07	1.0	0.0
8703.445308322413	7.988977208309734	63.823756834892386	75749960.23495941	10901.325794705766	-110.10882453679552	118838904.08231732	12123.95324087482	6745.4801316111425	-19.580052531056023	383.3784571189135	45501502.20596068	6752.557795558777	11807.250883508279	1.577227	57.336266	0.239847888	0.16632	0.1504940082	0.1396061691	0.2055642155	0.2096862575	-0.5569906313	-0.0491122437	0.19726803690000005	0.17888587469999995	0.5646424609	0.0792181495	-8.189899999999997e-05	0.000447753	2.00482749009e-07	6.707446200999995e-09	0.4188060000000001	0.1542150000000001	0.17539846563600006	0.023782266225000032	0.0475723	0.005443299999999997	2.962951488999998e-05	0.00226312372729	0.00072791	0.001092448	1.1934426327040001e-06	5.298529681e-07	-3.37787e-05	2.982540000000001e-05	1.1410005736899995e-09	8.895544851600004e-10	-7.77777e-05	0.0004725633	2.2331607250689002e-07	6.049370617290001e-09	0.0	1.0
8703.265556842356	-0.1797514800564386	0.032310594582480236	75746831.35291849	10864.89855880578	-36.427235899986044	118046020.69313993	1326.9435153132322	6733.7167865859765	-11.763345025166018	138.3762861810981	45342941.76194977	6740.422811930395	11792.911198265088	1.163756	42.3055	0.02706410400000001	0.0210606	0.022525946499999998	0.1974068261	-0.023686153199999997	-0.1095276425	-0.541381365	-0.1118080111	0.0035169471000000003	-0.1549378016	0.5378624648	0.11558163560000001	-0.000103318	-2.141900000000002e-05	4.5877356100000087e-10	1.0674609123999998e-08	0.398422	-0.02038400000000007	0.158740090084	0.00041550745600000286	0.0524973	0.004925000000000007	2.4255625000000055e-05	0.0027559665072900003	0.00072791	0.0	0.0	5.298529681e-07	-4.27441e-05	-8.965399999999999e-06	1.8270580848099999e-09	8.037839716e-11	-0.000103486	-2.57083e-05	6.6091668889e-10	1.0709352196e-08	0.0	0.0
8702.390807364758	-0.8747494775980158	0.7651866485580016	75731605.76410665	10877.305850608363	12.407291802583131	118315782.56767891	153.9408898744466	6732.389799613447	-1.3269869725290846	1.7608944252619054	45325072.41393919	6738.8667469735055	11830.037714494409	1.350701	49.101444	0.276556167	0.237701	-0.0521583827	0.19081059949999998	-0.0133606972	-0.37376358	-0.0176061303	0.0983318564	0.0133965045	-0.3725555881	-0.0201183266	-0.0796521563	-0.00036133	-0.000258012	6.657019214400001e-08	1.305593689e-07	0.162227	-0.236195	0.026317599529000004	0.055788078024999986	0.0646342	0.0121369	0.00014730434160999998	0.004177579809640001	0.000594114	-0.00013379600000000005	1.7901369616000014e-08	3.52971444996e-07	7.1517e-05	0.0001142611	5.114681289e-09	1.305559897321e-08	-0.000414754	-0.000311268	9.6887767824e-08	1.7202088051600002e-07	0.0	0.0
8696.438186089743	-5.952621275015191	35.43370004376347	75628037.12447986	10841.15629383318	-36.149556775182646	117530669.7873188	1306.7904550421536	6718.505865375068	-13.88393423837897	192.76362993563183	45138321.06307921	6725.333470149521	11786.972594423016	1.224368	44.508919	0.2164576460000001	0.146674	0.0555340448	0.2329764379	0.0813952928	-0.5122156757	-0.0704741255	-0.09898665960000001	0.097535555	-0.5093895727000001	0.0307128232	0.04530402730000002	-0.000426846	-6.5516e-05	4.292346256e-09	1.82197507716e-07	0.284129	0.121902	0.08072928864100001	0.014860097604000004	0.0564106	-0.008223600000000005	6.762759696000009e-05	0.0031821557923600004	-0.00100576	-0.001599874	2.559596815876e-06	1.0115531776e-06	-4.84896e-05	-0.0001200066	2.35124130816e-09	1.4401584043559998e-08	-0.000420204	-5.449999999999997e-06	2.970249999999997e-11	1.7657140161600002e-07	0.0	0.0
8712.409830352328	15.971644262584961	255.09342045056306	75906085.05201988	10840.260716703093	-0.895577130087986	117511252.40609623	0.8020583959366334	6718.382086642969	-0.12377873209970858	0.015321174520211424	45136657.86212513	6724.979720082823	11709.343184417896	1.087138	39.520267	0.12244642600000002	0.0979368	0.1244764894	0.22617107620000002	0.1915798131	-0.295619454	0.2221736642	0.20558878260000002	0.19685725839999998	-0.2755769501	-0.24095325199999998	-0.2284835466	0.0031966	0.003623446	1.3129360914915998e-05	1.0218251560000001e-05	0.187312	-0.09681700000000004	0.03508578534399999	0.009373531489000008	0.0582972	0.0018866000000000024	3.5592595600000083e-06	0.00339856352784	-0.000900236	0.00010552400000000008	1.1135314576000014e-08	8.10424855696e-07	7.1517e-05	0.0001200066	5.114681289e-09	1.4401584043559998e-08	-0.000597061	-0.00017685699999999996	3.1278398448999974e-08	3.56481837721e-07	0.0	0.0
8727.112810378674	14.70298002634627	216.17762165513733	76162498.00507556	10829.059870009134	-11.200846693958738	117268537.66824225	125.45896666156641	6743.452828743236	25.070742100267125	628.5421094581064	45474156.05348515	6750.795624058094	11691.604895707918	1.439708	52.337086	0.2731664500000001	0.160124	0.3650665461	0.2406720325	0.4233175975	0.0103037627	0.4843131184	0.1479531138	0.4063592651	0.0762792222	-0.4866006871	-0.12292419550000001	-0.0230962	-0.026292799999999998	0.00069131133184	0.00053343445444	0.041564	-0.145748	0.0017275660959999994	0.021242479504	0.0443	-0.0139972	0.00019592160784000004	0.00196249	-0.00058872	0.000311516	9.704221825599996e-08	3.465912384000001e-07	-0.000939177	-0.001010694	8.82053437329e-07	1.0215023616359998e-06	-0.00101742	-0.000420359	1.7670168888100005e-07	1.0351434564e-06	0.0	0.0
