global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
9224.012730266093	n/a	n/a	85082410.84811094	11589.355088297527	n/a	134313151.36264777	n/a	6723.272716158094	n/a	n/a	45202396.01583584	6733.871030548266	12124.336503586508	n/a	n/a	n/a	n/a	-0.0912105352	-0.3578717171	-0.7716397639	-0.329983009	0.0877618284	0.26140653760000004	0.1161382074	-0.3854644282	0.1219788457	-0.25006719980000003	0.1459968315	7.11669e-08	n/a	n/a	5.0647276556099995e-15	0.06749730000000001	n/a	0.0045558855072900025	n/a	0.08425159999999997	n/a	n/a	0.007098332102559995	-0.00144005	n/a	n/a	2.0737440025e-06	-0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	0.0
9165.929292033436	-58.0834382326575	3373.685796926939	84014259.78655656	11285.01678059896	-304.3383076985665	127351603.73840012	92621.80553282732	6716.637335348064	-6.635380810030255	44.02827849411778	45113217.09459154	6724.521138217012	11809.563746264414	1.08149	38.895123	0.075875821272	0.0443605	0.1242679878	-0.22983486890000002	-0.3730944998	-0.3034713853	-0.07558917030000001	0.3636043166	0.2453475884	-0.3378924928	-0.0324872345	-0.34520515049999995	0.241952733	4.98949e-08	-2.1272000000000003e-08	4.52497984e-16	2.4895010460100004e-15	0.0385644	-0.02893290000000001	0.0014872129473599998	0.0008371127024100008	0.111705	0.02745340000000003	0.0007536891715600018	0.012478007025	-0.00105026	0.00038979000000000016	1.5193624410000008e-07	1.1030460675999998e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9137.710837469727	-28.218454563708292	796.2811779640692	83497759.34921171	11053.939218139649	-231.0775624593116	122189572.2383258	53396.83987213706	6717.182203247465	0.5448678994007423	0.29688102779737746	45120536.75162447	6722.660795675651	11709.374171195357	1.090526	39.220104	0.1300500498949	0.0907721	-0.0615676375	-0.21409524370000002	-0.0626323442	-0.22126400570000002	0.044335424000000005	0.2764009349	-0.21407797739999998	-0.22691940579999997	0.078617841	-0.2345157722	-0.2487185477	0.0	-4.98949e-08	2.4895010460100004e-15	0.0	0.122721	0.0841566	0.015060443841	0.0070823333235600005	0.09423510000000003	-0.017469899999999983	0.0003051974060099994	0.008880254072010003	-0.00161873	-0.0005684700000000003	3.231581409000002e-07	2.6202868129e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9131.025782246728	-6.685055222998925	44.68996333454523	83375631.83605447	10979.260490926106	-74.67872721354252	120544160.92761096	5576.912298234694	6726.336501142986	9.154297895521267	83.80116995994511	45243602.72660847	6731.220112611341	11501.676999189582	1.273286	45.792934	0.23776086	0.144656	0.3162526351	-0.1217952385	0.0437831258	-0.2762155857	-0.24872707870000002	0.1070590431	-0.2817651431	-0.2556199992	-0.2346552184	-0.0874966017	-0.33235270079999996	0.0	0.0	0.0	0.0	0.00718609	-0.11553491	5.16398894881e-05	0.013348315428708098	0.152392	0.05815689999999999	0.003382225017609998	0.023223321664	-0.000337349	0.001281381	1.641937267161e-06	1.1380434780100002e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9171.605126047702	40.57934380097322	1646.6831433175837	84118340.58814448	10978.341717529296	-0.9187733968101384	120523986.86684409	0.84414455468604	6766.269250263989	39.932749121003326	1594.624452360992	45782399.56706801	6771.176405230041	11637.323637126814	1.368883	49.23105200000001	0.07977723	0.071989	0.6042513452	-0.0946833973	0.046506310499999995	-0.1927531581	-0.5043506409	-0.6148418892999999	0.2825644833	-0.1452934236	-0.5874399243	0.5511377858	0.2790820452	0.0	0.0	0.0	0.0	0.00331246	-0.00387363	1.09723912516e-05	1.50050093769e-05	0.0807311	-0.07166089999999999	0.00513528458881	0.0065175105072099995	-0.000252495	8.485400000000004e-05	7.200201316000005e-09	6.375372502499999e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9182.252746568018	10.647620520316195	113.3718227446585	84313765.50185591	10899.966046142576	-78.37567138672057	118809259.80706102	6142.74586531921	6758.8662021789405	-7.403048085048795	54.80512094954463	45682272.33895677	6761.125765226993	11937.344275069194	1.893245	68.089394	0.49937429	0.381839	-0.2892603527	-0.32990200399999997	0.1484131971	-0.1616499775	0.4980243673	-0.5571156321	-0.18401487600000002	-0.1161646859	0.4222336675	0.6288708427	-0.1510325275	0.0	0.0	0.0	0.0	0.372703	0.36939054	0.13890752620900002	0.1364493710414916	0.0300161	-0.050715	0.0025720112249999994	0.00090096625921	-0.00183787	-0.001585375	2.513413890625e-06	3.3777661369e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
9135.5059780356	-46.746768532417256	2185.2603682233967	83457469.47472419	10843.281932576498	-56.68411356607794	117576763.06933992	3213.088730772021	6737.018125462038	-21.848076716902145	477.33845622764153	45387413.22280404	6738.49244637121	11636.178440340918	1.445179	51.974957	0.08210933564340002	0.0554096	-0.5704088385	-0.026327227999999998	0.22682971359999998	0.1617859731	0.5691198777	-0.0166663209	0.0168194945	0.1782347215	0.5636578303	0.08758556460000001	0.0167992246	3.56434e-08	3.56434e-08	1.2704519635599999e-15	1.2704519635599999e-15	0.362295	-0.010408000000000028	0.131257667025	0.00010832646400000059	0.053425400000000005	0.023409300000000004	0.0005479953264900002	0.0028542733651600004	-0.00280371	-0.00096584	9.328469056000003e-07	7.8607897641e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9088.17325948048	-47.33271855512066	2240.386245818264	82594893.19433604	10834.101556396485	-9.180376180012901	117377756.53431274	84.27930680654823	6733.454460893316	-3.5636645687227433	12.69970515836985	45339408.97692409	6735.394703216137	11013.881742876909	1.614737	58.073021	0.24085272795799	0.21783400000000006	-0.1621538226	0.5404084514999999	0.23777725100000002	0.4401333356	0.0377230122	0.0878029374	0.6763087011	0.42453345670000003	0.0340234798	-0.1282669887	0.6644880544	7.68541e-09	-2.795799e-08	7.816492048400999e-16	5.90655268681e-17	0.14538099999999998	-0.216914	0.021135635160999998	0.047051683395999994	0.07331010000000003	0.01988470000000001	0.0003954012940900005	0.0053743707620100035	-0.00288479	-8.107999999999987e-05	6.5739663999999775e-09	8.3220133441e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
9075.132840566508	-13.040418913971735	170.05252545187176	82358036.07392874	10830.230393473308	-3.8711629231765983	117293890.37571299	14.985902377777185	6727.561786855927	-5.8926740373890425	34.72360731091888	45260087.59596411	6730.030896498224	11078.452502006403	1.065479	38.319283	0.042354304114860006	0.0255899	-0.113344534	0.4128213058	0.239438677	0.4553737685	-0.1277237625	0.1201332711	-0.2459563109	0.4376060443	-0.1003961835	-0.1728274623	-0.2202445003	3.57055e-09	-4.114860000000001e-09	1.6932072819600005e-17	1.2748827302500002e-17	0.12595300000000004	-0.019427999999999945	0.015864158209000008	0.00037744718399999785	0.06275130000000001	-0.010558800000000007	0.00011148825744000014	0.003937725651690001	-0.00263744	0.0002473499999999999	6.118202249999996e-08	6.9560897536e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9092.243348027208	17.110507460700322	292.76946556268126	82668889.09974502	10812.48273010254	-17.74766337076835	116909782.78876568	314.97955512211263	6732.049842592659	4.488055736732349	20.14264429601615	45320495.08315185	6733.753950678303	11030.159598725828	1.185115	42.621944	0.15093580357055006	0.110773	0.24317375260000001	0.42127994	0.2646183331	0.42804404409999997	-0.28057385739999996	-0.027783198500000002	-0.41136416729999997	0.4269802129	-0.2655331037	-0.0492150179	-0.3959706125	0.0	-3.57055e-09	1.2748827302500002e-17	0.0	0.0224726	-0.10348040000000004	0.0005050177507599999	0.010708193184160008	0.051747900000000006	-0.011003400000000005	0.00012107481156000007	0.002677845154410001	-0.0019084	0.00072904	5.314993216e-07	3.6419905599999997e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
