global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19
9014.733971531172	n/a	n/a	81265428.57747817	11505.634885626323	n/a	132379634.12134144	n/a	6819.524901148419	n/a	n/a	46505919.87738336	6834.335221442192	13068.059702305382	n/a	n/a	n/a	n/a	-0.0696384375	-0.0613546879	-0.0364555883	0.10572858380000001	-0.6638686946	0.109030299	0.060774331200000004	0.21261152600000002	-0.0833719961	0.2079591832	-0.016628588700000002	0.0296783671	-0.1458643584	0.042032484800000006	-0.0308501452	0.0699249943	-0.0349152805	0.0003508257	-0.0960038199	-0.07946571940000001	0.0173036946	-0.0512970596	0.0159089915	-0.041948018399999995	0.0161489742	-0.0501450439	0.0514448621	-0.0362082675	0.0124160496	-0.09891383449999999	0.0767825667	-0.0807092575	0.0183116127	-0.0324189736	0.027284275099999998	-0.04342026	0.0543658912	-0.0770868088	0.0108694605	-0.0428651346	0.0538182974	-0.0174333627	0.037548495	-0.030382671400000002	0.015806273	-0.0221901926	0.0139183578	-0.0475021456	0.0094965208	-0.0300894529	0.0338920897	-0.0548932775	0.0505156255	-0.0262644725	0.0166571805	-0.0294116382	0.051229932199999995	-0.015905059	0.0354504277	-0.0204853443	0.0658285471	-0.0103572175	0.0051456412	-0.0219421937	0.012133633799999998	-0.0578702226	0.11436948460000004	-0.041532302400000005	0.0009358402	-0.09347215310000001	-0.0092543099	0.023635655800000002	-0.0160525719	-0.0070828154	0.09602190220000001	-0.0182304706	-0.1084494219	0.0371490623	0.0690713572	-0.011863391499999999	-0.0552360638	0.035074553700000004	0.048212376200000004	-0.0134501605	-0.020181852	-0.0281337229	0.0053344488	0.05407447519999999	0.0227155416	-0.0425382342	-0.0269568425	-0.0187511037	-0.020172413400000002	0.1351772035	0.0616037037	-0.1048667299	-0.051881935	0.09477121390000001	0.0098738782	0.0571216187	0.0455542656	-0.0738078875	-0.040882090499999996	-0.047028035999999995	0.0494793308	0.06164793070000001	-0.0370164031	0.0609875476	-0.0789705878	0.0200250218	-0.0197695689	0.058882587300000004	-0.0069740302	0.044302978	-0.0272516848	0.038883391	-0.0346338884	0.0517696667	-0.0081312158	0.0777529813	-0.06550682320000001	0.062975902	-0.029530862	0.0796778405	-0.0473955488	0.0414339781	-0.050494635999999996	0.0805860367	-0.0898330557	0.0445167877	-0.1326046849	0.0014983035999999999	-0.28797765	0.0802614002	-0.0972056089	0.027252272999999997	-0.0781125375	0.0086530733	-0.0126800971	-0.0138465097	0.0166493913	-0.0201614053	-0.2263163027	0.0631462456	0.1296580967	-0.0404393147	-0.0505953121	0.0113140457	0.0344828113	0.0351365245	-0.0524035704	-0.023838745	0.0752317212	-0.028606033399999998	-0.0862621466	0.043525842599999996	0.071100681	0.034405907799999996	0.1083930399	-0.0043224849	-0.1122638803	-0.0950960899	0.0392098252	0.11871376869999999	0.0209696596	-0.08462965160000001	-0.059321853	0.0767689266	0.0885401792	-0.0137296011	0.102594329	0.1025838106	0.1025662807	0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.019953400000000003	n/a	n/a	0.0003981381715600001	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8946.911519784766	-67.82245174640593	4599.884960893561	80047225.74285735	11251.650247864805	-253.9846377615177	126599633.30027612	64508.196218849334	6809.425890374657	-10.09901077376253	101.99001860857165	46368280.95650469	6821.243609106681	12768.721773404737	1.054779	47.31723	0.0068523	0.00685225	-0.056736205899999996	-0.051526099699999994	-0.0296096805	0.1108137842	-0.39338963	0.0731199287	0.0415552418	0.2081094635	-0.0840119266	-0.0362687228	-0.0281125602	0.0153208276	0.00016764700000000002	-0.034820474	0.0087378556	-0.0451962951	-0.0260067181	0.1279879422	0.06750885820000001	0.12791848150000001	-0.0672058407	0.0703381203	-0.0306036174	0.0418173271	-0.0823001473	0.0821398522	-0.0210454536	0.0779988675	-0.0038577495000000003	0.1103592272	0.0054853162	0.0542961905	-0.048378370899999995	-0.0001041929	-0.10018265189999999	-0.04861628849999999	0.0598389069	-0.0872637411	0.0390456753	-0.0169144377	0.0768095223	-0.013483782	-0.0079262369	-0.036589172999999996	0.029467817200000006	0.004261908	-0.0043293973	-0.0399005866	-0.0621025782	-0.0791016417	-0.045449815899999996	0.0007285460000000001	0.0293809647	-0.0717544208	-0.0399148367	-0.0455075696	0.0623707258	0.031820738700000004	0.0089221989	-0.024676175499999998	0.0977896072	-0.022101739500000002	-0.026740057200000004	-0.006213931	-0.0007210318	-0.05401584190000002	0.0961335482	0.0502584163	-0.0559527515	-0.0212053733	0.0112727455	0.0076162146	-0.1285163626	0.0232439898	0.0049869075	0.0317000094	-0.047847645700000004	0.0636774219	0.0769017477	0.0070333603	-0.0239851217	0.0747947121	0.018721016599999998	-0.0345595797	-0.11822037029999999	-0.0924720916	0.0488309054	-0.0067499391	0.0205364429	-0.0452046245	0.0210798958	0.0173162104	0.0572365723	-0.0008205997999999999	0.0399697261	0.0205011784	-0.007701294399999998	0.0405522317	0.06769538139999999	0.022998017200000002	-0.09088097029999999	-0.1109432439	0.025582166	-0.0531192296	0.056630919400000014	0.0854142302	-0.022209231800000003	0.0296810798	-0.0952173699	0.0127772804	0.0192288749	0.0578172886	-0.0294286582	0.0148416713	0.0054275144	0.016089869099999998	-0.1099206016	0.0786571699	-0.0345066341	-0.0138701232	-0.028458647400000002	0.1231125349	0.0072863716	0.0689589638	-0.014414938	0.06267125559999999	-0.0423395879	0.0701060496	-0.10478797810000001	0.0827382099	-0.1077948405	0.0080897135	-0.1909816418	0.06672533580000001	-0.0405287939	-0.053476845700000004	-0.0514324296	-0.05258123940000002	-0.04788884400000002	-0.0362383539	0.0018807723	-0.1237563193	-0.052619420099999994	0.0462353182	0.11562480189999999	0.000522529	-0.06414746860000001	0.0160348713	0.051764319100000004	0.059251768899999994	-0.08507613900000001	0.005721686899999999	0.0661617719	0.0885257432	-0.091039824	0.0166237518	0.0544364505	-0.062338105899999996	0.023630829500000002	-0.0909468977	-0.0216336296	0.0048168546	0.09167162390000001	0.0593889966	-0.002620584	0.023503229599999998	-0.030042485	0.1092191457	0.1131130557	0.0683887678	0.1025662807	0.1024716367	0.1023139614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0268057	0.0068522999999999995	4.6954015289999984e-05	0.0007185455524899999	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8906.895320750638	-40.01619903412757	1601.296185138912	79332784.25480962	11020.82644498146	-230.82380288334568	121458615.53040268	53279.627977529635	6806.507526331102	-2.9183640435549023	8.51684869071412	46328544.70600194	6815.469413361616	12645.317066499629	0.97867	43.902973	0.0210381897	0.015628299999999998	-0.0702903325	-0.0496343174	-0.0206190748	0.0761726298	-0.162170743	0.0394770942	0.0271494548	0.10722947140000001	-0.0308279611	0.0272597321	0.0137437509	-0.0160525693	0.020629993200000002	-0.021032342000000002	-0.0180974931	-0.0241811298	-0.0106430516	-0.0223573142	0.047798122400000004	0.0312550671	0.0107883079	0.0356743875	-0.024703970800000002	0.1162626185	0.062947828	0.09311879960000001	0.0027638355	-0.013419663500000002	0.07989069509999999	0.07945694860000001	-0.0006523033	0.07237661349999999	0.0989146333	0.08767203359999999	-0.014707878999999997	-0.0447820267	0.0675443251	-0.0723399083	0.024759672799999997	-0.007339431800000002	0.0532666605	-0.05066713019999999	-0.0319271217	-0.0290711295	-0.035814092	0.027361223799999997	-0.0075387856	-0.0421828411	-0.0261202644	-0.03308376	-0.03759054	0.07786323469999999	0.037376551699999996	0.094043344	-0.0039755405	0.041839733	0.0672892342	0.0861286045	-0.046187513099999994	-0.062085019299999995	0.0264556723	0.025649490499999997	-0.0800810415	0.0407461742	-0.0162185888	0.0641365938	0.1425387166	0.0190376539	0.09653922220000001	0.05811518120000001	0.1041583562	-0.0193396344	-0.0617316255	-0.0003295342	-0.1657343784	0.0263169468	-0.137197347	0.0285561881	0.0091552827	0.0021275644	0.0610601592	-0.0556751666	0.0089860253	-0.0827817751	-0.0634857189	-0.0489172454	0.07705587559999999	-0.0755432972	0.0201520731	-0.0028815761	-0.0344037296	-0.1079687658	-0.0252081966	-0.0493419124	0.0045042446	0.08692636320000001	0.0254459157	0.015133909199999997	-0.1165714786	0.0342554594	0.0495959533	0.0435199458	0.0586870062	-0.0463600213	0.0662112072	0.06506565809999999	-0.02539598	0.010890592	-0.0666924517	0.0483962786	0.0334601463	0.024189792	0.0259305757	-0.0446604006	-0.0114097199	0.052260344199999996	-0.0175360598	0.0414544458	0.0297711536	-0.0780858093	-0.0575666467	-0.0382668997	0.0411564987	-0.0001082345	-0.0639327224	0.1241000266	-0.0081687194	0.0669793249	-0.0457716912	-0.0010787743	-0.1110393843	-0.0381361854	0.0036979012	0.1007561286	-0.0612268783	0.0010053244	0.1313723738	0.0494747583	-0.0130932073	0.0740207734	0.008239259399999999	-0.1151766555	0.0827217967	0.1828763631	0.0318745345	-0.0041883549	0.0594099775	0.055731698899999994	0.0352804711	-0.0377655982	-0.0579419458	-0.0002636013	-0.009187334200000001	0.045760847599999994	-0.07481076889999999	-0.08702292130000001	0.00471455	-0.0442976222	0.0206792661	0.0321209851	0.0329957643	0.1604254528	0.0106177801	0.0164288445	0.0270348331	-0.0874501801	0.0520622443	-0.0820767411	0.10045043449999999	-0.010721118200000001	0.10251019189999999	0.1022474116	0.1018099433	0.0	0.0	0.0	0.0	3.29897e-05	3.29897e-05	1.0883203060900001e-09	1.0883203060900001e-09	0.01871	-0.008095699999999999	6.554035849000001e-05	0.0003500641	0.00025819	0.00025819	6.66620761e-08	6.66620761e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8905.666655539377	-1.228665211261614	1.5096182013645465	79310898.57958591	10910.645957817465	-110.18048716399427	119042195.2168386	12139.739751695104	6814.186390135591	7.678863804489082	58.96494932789256	46433136.15950912	6822.568749569253	12654.93953634177	0.950038	42.618549	0.05788454899999999	0.0492785	-0.079670612	-0.0526542581	-0.0036435199	0.0696328419	-0.0459354331	-0.0067099189	0.0263046202	0.1139854551	0.017003049699999998	-0.0277662594	0.0154021588	-0.0236198089	0.0290375766	0.021426949100000002	-0.0298363175	-0.1039725497	0.024796785099999996	0.08751012400000001	0.015792218	-0.0055217374	-0.0830240766	-0.0751149671	-0.0543420686	0.0045318778	0.0432405026	-0.011898166699999999	-0.0019667226	0.0351514375	-0.018329926399999998	-0.0840387538	-0.0402083119	0.080574623	0.0273833309	0.0401852289	0.0187908993	-0.0060613855000000005	0.0794784487	-0.0510806812	0.0040997142	-0.023347091400000002	0.1016074257	-0.0299453002	-0.0396722278	-0.07839969349999999	-0.044455204400000004	0.0038895610999999997	-0.0391613594	0.008175273299999999	0.11743835429999999	-0.008262764300000001	0.0237460304	0.028351780099999998	0.037592131699999996	-0.0016889343	-0.0098529788	0.0157280279	-0.0173270445	-0.057922669	-0.0250902271	0.0165911605	-0.0513148308	-0.0404204794	0.0186448554	-0.0018811877	-0.0091670067	-0.05143891	0.0206477607	0.0632109231	0.0715294657	-0.0466646062	-0.0690744472	-0.0591571399	0.0933463029	-0.1093608667	-0.025144244399999998	-0.0164852236	-0.0450741796	0.0047616918	0.0017260561	0.049621045700000005	0.0089253357	0.0386475754	-0.0105681914	-0.0144729327	-0.0414300221	0.06902401080000001	0.0774135445	0.0410200416	0.0707021429	-0.2057690103	-0.0177834512	-0.0738449985	0.0521090203	0.0836144725	0.0484368946	-0.0805729114	-0.0366759687	0.078089758	-0.050597057699999996	0.0402895881	0.0952170376	0.07301778910000001	0.034004935099999994	-0.0065510254	0.07810585980000001	0.0357001634	-0.0341350577	0.0250457143	-0.10504931	0.0236764706	0.0546147781	0.0692422781	0.0367254222	-0.020900548600000003	0.0340872761	0.0198419736	0.118411349	0.024035700400000002	0.0386617411	0.0178580299	-0.019336324	0.024988062000000002	-0.0038531096	-0.0163066492	-0.0252112139	-0.0221483078	0.0392260002	-0.0261330208	0.024040308700000002	0.0225235374	-0.0203114758	-0.0009536213000000001	-0.0793292046	0.0056745716	0.017346614099999998	-0.046266709100000004	0.014002469699999999	0.0903637513	0.09415982390000001	-0.0522071301	-0.061017011600000004	0.0701778116	-0.0335512178	0.05339382610000002	0.0682916683	-0.0136043311	-0.0152364708	0.0185241187	0.0080822298	0.0852449591	-0.027675160499999997	-0.050656760099999996	0.0556891863	-0.0362186919	-0.010371368	0.0461758721	0.0444000621	-0.0779126042	0.1972036622	0.0204708291	0.0010758546	-0.011323554599999999	-0.1014038003	-0.0242288869	0.0552143058	-0.07701929190000001	0.09086421119999999	-0.09733457	-0.0398554623	-0.0463825895	0.10242607769999999	0.10191138039999999	0.10105546650000001	0.0	0.0	0.0	0.0	1.07657e-05	-2.2224000000000006e-05	1.1590029649e-10	4.939061760000002e-10	0.06656360000000001	0.04785360000000001	0.002289967032960001	0.004430712844960002	5.80155e-05	-0.00020017450000000002	3.36579824025e-09	4.006983045025e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8906.265440758494	0.598785219117417	0.3585437386334931	79321564.1012491	10862.133944236626	-48.51201358083927	117985953.82253753	2353.415461667533	6829.7368841003	15.550493964708949	241.81786254644942	46645305.90604007	6837.874822841656	12578.603050702804	0.8734569999999999	39.183147	0.045913194100000006	0.0349471	-0.0695850632	-0.0480592656	-0.0173373239	0.0699908003	-0.0026541637	-0.0170402129	0.0070991957999999985	0.0192418536	-0.0444036307	-0.0923316491	-0.0352795488	-0.0005766282	0.029523400800000002	-0.0459054916	-0.00047566769999999995	0.004349872	0.0250302551	-0.0088516653	0.0760938486	0.0145054401	0.0594647437	0.0812204139	0.0018484343	0.0347045105	-0.1413577161	-0.005306681999999999	0.029969357000000002	-0.0412820635	0.1422712136	0.011114853000000001	-0.0293107706	0.1127483842	-0.18745383280000005	-0.0161727435	0.0459926607	-0.015217681499999997	0.048853138899999995	-0.0605638506	-0.0337247743	-0.0578522863	0.0957550855	-0.0721391122	-0.0364139002	-0.0965673623	-0.0210546359	0.0161192096	-0.0222198294	0.018197250800000002	0.0833769413	-0.022172478199999998	-0.031334443999999996	-0.0784366111	0.0299267566	-0.08719092960000001	-0.0272159209	0.0993660295	0.0353708173	-0.045054719400000005	-0.0334843624	0.0197109151	0.0225071862	-0.107132731	0.0073256988	0.0794375516	-0.0069557219	0.044826501799999995	0.0674502923	-0.1276705544	-0.0552910191	-0.0075199787	0.0670514623	-0.019162721299999998	0.0335482517	-0.0776073127	-0.0097371036	-0.0902387918	0.026191376000000002	-0.09289367359999999	0.0270326379	-0.0720020089	-0.0037804128	0.041821332	-0.0869322183	0.1231588067	0.027787700800000002	0.0451633917	-0.0204168522	-0.0852964675	-0.053627969500000004	-0.0894987835	0.0767819697	-0.016052837	0.0379392297	-0.0893892247	0.0062969188	0.08458244359999999	0.0170732808	0.0846528049	-0.058657804	0.0689650734	-0.07282334900000001	0.06474984190000001	0.0789414452	-0.0131890271	0.0445785057	0.018548763500000003	-0.0712001088	0.0557883928	-0.10385214960000001	0.065369512	0.0494710242	0.0955379562	0.011859263	-0.022930121600000002	0.0312038042	-0.0102453881	0.06621124910000001	0.0194534195	-0.058360792	0.056916292699999996	0.023021078599999998	0.080614308	-0.0278781556	-0.0339493971	-0.09279756539999999	-0.0254112502	0.04695477519999999	-0.0429299622	-0.0071374288	0.11584138990000001	-0.0098013337	-0.11355727880000001	0.0400381482	0.013575554299999999	-0.0275722483	0.1437508675	0.016080298	-0.0572446905	0.026750195499999997	0.0770145841	-0.07810003730000001	0.045370997	0.0639053134	-0.0050293687	-0.0275802781	-0.0394849636	-0.0598973428	-0.09460735890000001	-0.1429567832	-0.0112197852	0.12027835449999999	0.0159852015	-0.028457832599999996	0.049945606600000005	0.015382884099999999	0.0096135102	0.014178420800000001	-0.0653646658	0.0763879005	-0.030364073	0.1090722001	-0.011418833100000001	0.047120597599999994	-0.0184531031	0.062332911500000004	0.012232783999999998	0.1215391877	-0.074748724	0.021030327799999998	0.028987700699999997	0.1023139614	0.1014639107	0.10005238710000001	0.0	0.0	0.0	0.0	5.54848e-05	4.47191e-05	3.0785630310399995e-09	1.9997979048099996e-09	0.0355886	-0.03097500000000002	0.000959450625000001	0.0012665484499599998	0.000355885	0.00029786950000000004	1.26654133225e-07	8.872623903025002e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8897.223922778332	-9.041517980162098	81.74904738559451	79160593.53205906	10841.962556483382	-20.171387753243835	117548152.07618769	406.8848838917152	6832.0432427964415	2.3063586961416154	5.31929043526805	46676814.87144052	6838.287890672621	12416.891403545953	1.023705	45.923225	0.0519497652	0.0399853	-0.042376831100000005	-0.0394769121	-0.0301536371	0.07847480280000001	0.027155466	0.0379520669	0.0014840332000000001	0.0475951698	-0.0788390295	-0.078783615	0.049958418600000006	0.0054774509	-0.0164625499	-0.0099959951	-0.0499571189	-0.0021825721	0.0483383562	-0.0492377713	-0.0030998537	0.0195401005	0.0225785259	0.021925764500000004	-0.0034650949	0.0323093743	-0.0721157467	-0.1010308516	0.0232469481	0.0034827154999999997	0.0306383748	-0.042351711900000005	-0.0558100889	0.0895324186	0.1170626431	0.0243039781	-0.0071374383999999996	-0.0452305791	0.035067768	-0.10138244589999999	0.0121010966	-0.09419087699999999	0.0374341944	-0.015578202099999999	0.0206076952	0.0005591862999999999	0.0464368243	-0.0062637415	-0.06063997	-0.0208658118	-0.0422204258	-0.0650901903	-0.10038349839999999	-0.0082600079	-0.0031630153000000005	-0.0055755334	-0.0480603097	0.029289955299999997	0.018079141899999998	0.0971321309	-0.009834661	-0.0174973159	0.0441770053	-0.0385121002	0.0352482396	-0.002337183	-0.0554834083	0.060111784	0.1422864218	0.021732545	0.0035319374	0.0873512809	0.0016785442000000002	-0.0684527977	-0.0284921717	-0.0415603633	-0.0054217415000000005	-0.1309947973	0.0406677719	0.0339234785	0.011421720900000001	-0.0406053252	-0.0325765959	0.0665511216	-0.0213876161	-0.1665303008	-0.0796093713	0.0071686224	-0.1383953882	-0.0600707706	0.041048799500000004	0.0067549084	-0.1005778685	-0.0045787346	0.12418190789999999	-0.026503531099999998	-0.077234914	0.0562782432	0.0168729237	0.1140355464	-0.029498266000000002	-0.004445055	0.027530933900000002	0.0674850657	-0.2854253247	-0.0505197833	0.0361207494	0.087041853	-0.0508302398	0.0941522541	-0.0384130401	0.0118489201	-0.024986981499999998	0.0066847952	-0.0369954619	0.0185851382	0.0570006341	0.0172160331	-0.0485546575	0.0662045288	-0.06729230809999999	-0.0662239941	-0.0101411236	0.0341269244	0.0410866502	-0.029199132000000006	0.0025476939	0.090448557	-0.0300705727	0.0411602197	-0.0182152122	0.0532600213	0.0105419201	-0.011117795	-0.0184222842	0.0683242074	-0.07571999019999999	0.0385865601	0.139595412	-0.0097506416	-0.0402669472	-0.031375679100000005	-0.0561096887	-0.0140620029	0.0575423045	-0.0759499733	0.059052332	-0.13330602519999998	-0.012088814299999999	-0.0159470582	-0.0037036384	0.0374296019	-0.1177853699	-0.0877235233	-0.021822275800000002	0.045113525099999996	0.051686439199999996	0.0296760563	-0.1821052968	0.10944805070000001	0.0022723749	-0.0691458917	0.018261091599999998	0.0875141178	0.0021471963	-0.023554702599999998	0.0947894419	0.0360940508	0.1034101488	0.0018262196	-0.1508707196	0.0894597384	0.1021738733	0.10090549160000001	0.0988031726	0.0	0.0	0.0	0.0	0.0381061	0.0380506152	0.0014520748572099998	0.0014478493170984711	0.0232894	-0.012299199999999995	0.0001512703206399999	0.0005423961523599999	0.000323886	-3.1999e-05	1.0490214099600001e-07	1.0239360010000002e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
