global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
9187.840063420432	n/a	84416405.03099357	n/a	10523.257892088674	n/a	110738956.66340657	n/a	6436.97584331522	n/a	n/a	41434658.00742369	6423.3099904015735	17463.685680870145	n/a	n/a	n/a	n/a	-0.11298779390000001	0.6001070002000001	-0.8472973947	0.066231202	0.038361772599999996	-0.1037747236	0.0453245938	-0.0057331245	0.0026728932	-0.11433609130000001	0.038920925099999996	-0.0802408868	-0.60200089	0.0757521181	-0.1231796694	0.28893832070000003	-0.06534970820000001	0.2385831336	-0.1874409561	0.1307023282	-0.0918070602	0.0093022963	0.1788472038	-0.0157706921	-0.0800190071	-0.09944233960000001	-0.073156318	0.1375373282	0.051024518399999996	0.2183887738	-0.0874292151	-0.6208048827	0.0259955067	-0.1807955925	0.21086428640000002	-0.1387304207	0.3000558928	-0.0645294242	0.15479703779999998	-0.0518295191	0.0170722288	0.1534492721	-0.0188654092	-0.0874254772	-0.1122789433	0.072472699	0.1334022992	0.0787736297	-0.21168987579999998	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0507252	n/a	n/a	0.00257304591504	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0
9127.30491395839	-60.53514946204086	83307694.992369	3664.504320391626	10217.892689623004	-305.36520246566937	104405331.01665124	93247.90687689927	6430.438916781934	-6.5369265332865325	42.73140850158549	41350544.66246361	6414.869134176079	17097.748827969343	1.232153	47.681606	0.0186806	0.0186807	-0.0421435871	0.5222697521	-0.4207262027000001	0.0106020505	0.042408529900000005	0.08808182699999999	0.17503009079999998	-0.0251047154	0.048956569299999995	0.0782581838	0.0708723888	-0.0924620885	-0.5216784671	0.0383275096	-0.0989483127	0.1520416409	-0.311356119	-0.19020778100000002	0.044754018099999994	-0.1731695807	0.1762465593	-0.0776704942	-0.0050795369	-0.025654456699999998	0.0030698302	0.1179294308	-0.0807889914	-0.1853236094	-0.0441129446	-0.1814140898	-0.09428056720000001	-0.504827366	-0.020068178500000002	-0.1288897082	-0.0087403684	-0.35205693520000003	-0.1327204588	-0.0624187087	-0.1700251107	0.1871103285	0.0998459359	-0.0267553554	0.06422522650000001	-0.0201626652	0.1000475866	0.070406502	-0.1558435363	-0.0224317731	0.1878196309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0320446	-0.0186806	0.00034896481635999995	0.00102685638916	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9070.628101096429	-56.6768128619624	82276294.1484002	3212.261116189905	10019.447751278682	-198.4449383443225	100389333.24060345	39380.39355448196	6425.5490370288635	-4.8898797530700895	23.91092399948481	41287680.42726255	6410.563520687242	16729.270352274918	2.381235	92.14856	0.3907342500000001	0.186795	-0.048457828499999994	0.34417761119999996	-0.17872221870000002	0.0163252276	-0.1297319766	0.4338989957	-0.3632325374	0.0161455679	-0.0769538087	0.18322184379999998	-0.3372521909	0.0059634164	-0.4824978374	-0.1634697627	0.165651329	-0.5409455876	0.43154713240000003	-0.0593760225	0.2663151672	0.0819366743	-0.14442607640000002	0.057707653399999996	-0.1025089272	0.0716515987	0.0394840361	0.0061318688	0.046590712199999995	-0.0820380316	-0.0534246348	0.0287929216	-0.00029004169999999996	-0.4706888458	-0.17465619289999998	0.2018792009	-0.3062455584	0.5769242523	-0.2626211176	0.2209568487	0.0147865298	-0.18109281530000002	-0.0797779131	-0.0710044008	-0.0631774532	0.0669937026	0.0407462707	-0.0266073602	-0.08836261570000001	-0.041705219	-0.035542875099999996	0.0299936	0.0299936	0.0008996160409599998	0.0008996160409599998	-0.0470152	-0.0470152	0.00221042903104	0.00221042903104	0.0838016	0.051757	0.0026787870490000004	0.007022708162560001	-0.00279933	-0.00279933	7.8362484489e-06	7.8362484489e-06	-0.000663429	-0.000663429	4.40138038041e-07	4.40138038041e-07	-0.00177661	-0.00177661	3.156343092100001e-06	3.156343092100001e-06	1.0	0.0	0.0	0.0
8927.639623907346	-142.98847718908291	79702749.2543605	20445.704608852884	9907.610139793536	-111.83761148514532	98160738.6821397	12507.651342702307	6352.074390586945	-73.4746464419186	5398.523669764941	40348849.06355051	6336.313874635834	15715.572658777552	3.817801	147.740509	1.87631652	0.960066	0.9750073974	0.12250083939999999	-0.027911983300000002	-0.7656723247	-0.4948813611	-0.0259314614	0.1675490839	0.1783818744	0.1105832044	0.0831756146	0.0207747418	0.9262917247	-0.045026070999999994	-0.27698019	-0.0790983066	0.053222694400000006	-0.07813897269999999	-0.0327796269	-0.0510918816	0.0613738872	0.0003239317	-0.0091822538	-0.0245916921	0.026115947999999996	-0.0438248922	-0.0273251282	-0.0002379001	-0.0016912942000000002	-0.004512344000000001	-0.0330613075	0.9308970318	-0.034332660699999996	-0.2734048801	-0.06398070980000001	0.0223137812	-0.0751108241	-0.00044062400000000003	-0.0541398183	0.0683440862	-0.00747379	-0.0012306137	-0.0405481757	-0.0183995874	-0.0444555437	-0.0258663502	0.001582711	-0.0036532136	-0.0038190233	0.030710692	0.00327783	-0.02671577	1.0744169508899997e-05	0.0007137323666929	-0.24299	-0.19597479999999998	0.059044140099999996	0.03840612223504	0.431525	0.3477234	0.12091156290756	0.186213825625	-0.0169364	-0.014137070000000003	0.00028684164496000004	0.00019985674818490004	-0.00271582	-0.002052391	4.212308816880999e-06	7.375678272399998e-06	-0.0117052	-0.00992859	0.00013701170703999999	9.857689938810002e-05	0.0	1.0	0.0	0.0
9002.331412979554	74.69178907220885	81041970.86911847	5578.863354807338	9928.437016668222	20.82687687468569	98573861.59394778	433.7588003533178	6396.62843698705	44.554046400105115	1985.0630506227192	40916855.36087139	6381.539137534519	16242.733398462737	3.697683	143.092178	1.3182772800000002	0.6960770000000001	0.0823899425	-0.3084165421	-0.0008868507	-0.5020371605	0.7236821668000001	-0.0168713683	-0.30248038829999996	0.1218261494	-0.0294595553	0.0549888111	0.05455813019999999	0.24688059489999997	-0.0149645356	0.7116194422	0.3791977318	0.2686011774	0.2762535682	-0.0717416241	0.0895736864	-0.0338352499	0.0956194502	0.08562882720000001	-0.1298225394	-0.049198889800000006	-0.0156633729	0.07289516509999999	0.004555307	0.08936053699999999	0.0016607037	0.058840748899999996	0.234268781	-0.0830096122	0.7353893964	0.3084450247	0.37880344829999996	0.10041618779999999	-0.10725261900000001	0.0723369638	-0.0936170664	0.09888149460000001	-0.10244669710000001	-0.08834873160000001	0.0957832112	0.0070665576	0.0667615075	0.0072254430000000015	0.088606189	-0.0158502816	-0.046129301100000006	0.0017987	-0.0014791299999999995	3.2353216900000007e-06	2.187825556899999e-06	-0.174077	0.068913	0.030302801929000006	0.004749001569	0.267295	-0.16423	0.026971492899999998	0.07144661702499999	-0.00689935	0.01003705	4.76010304225e-05	0.0001007423727025	0.0008710229999999997	0.003586843	1.2865442706649e-05	7.586810665289996e-07	-0.00365599	0.008049210000000001	1.33662628801e-05	6.478978162410003e-05	0.0	0.0	1.0	0.0
9003.439130107721	1.1077171281667688	81061916.16955487	1.2270372360340338	9910.004500196355	-18.432516471866624	98208189.193912	339.7576634856343	6406.613539194794	9.985102207743694	99.702266099088	41044697.04059404	6390.806038443233	16287.340262532927	2.09683	81.142723	0.5626432	0.262722	-0.011553834399999999	-0.0853741917	0.057259458	-0.06686353610000001	0.2219366291	0.037420257799999995	0.1986551858	-0.12431125289999999	0.3026829168	-0.5246790902	-0.3597577342	0.054211788399999995	-0.0416247643	0.2784334894	-0.17304099039999998	-0.18663701829999998	-0.1269193056	0.0672105112	-0.1630201913	-0.1956577409	-0.1542906889	0.0730582788	-0.0917567288	0.2519885505	0.0213794236	-0.0596782514	0.2822606768	-0.1873534904	0.3576982721	-0.0524484446	0.050562769800000004	-0.052004521	0.2781488484	-0.1467620092	-0.2501593559	-0.021187529700000002	0.14500430949999998	-0.17978861559999998	-0.1387707187	-0.18109354	-0.17012803059999998	-0.07866215929999999	-0.2751826539	0.0184020427	0.0534415003	-0.2667939284	-0.1335769732	0.31102866809999996	0.0941316447	0.0192863	0.0174876	0.00037196136769	0.00030581615375999995	-0.026774	0.14730300000000002	0.000716847076	0.021698173809000004	0.155817	-0.111478	0.012427344483999998	0.024278937489000004	-0.00478641	0.0021129400000000007	2.29097206881e-05	4.464515443600003e-06	0.00024880400000000004	-0.0006222189999999997	3.871564839609996e-07	6.190343041600003e-08	-0.000663657	0.002992333	4.4044061364899997e-07	8.954056782888996e-06	0.0	0.0	0.0	1.0
9006.425125249678	2.9859951419566637	81115693.53672868	8.916166987788799	9875.962867106906	-34.04163308944953	97534642.55247444	1158.8327833967053	6401.065567836841	-5.54797135795252	30.77998618866152	40973640.40374638	6384.5330836721	16285.627924280745	1.081176	41.839149	0.06900619999999999	0.0401	-0.0169511932	-0.1110734156	0.0863828566	-0.0180180155	0.1009036528	0.22935230269999998	0.2855539661	-0.0321678128	0.18568266120000002	-0.037083335499999995	0.0554112454	0.055324828300000004	-0.0291897017	0.0742614838	0.08672215119999999	-0.2096973647	-0.15072436279999998	0.0914223247	0.0857701349	-0.2375168513	0.0530546108	0.0265742181	0.1216375457	-0.13755737839999999	-0.0443805653	-0.0990211645	-0.151035798	0.0544847677	-0.1417496121	-0.13646056210000002	0.0493456504	-0.0280481277	0.06720336360000001	0.11386504300000001	-0.2571331845	-0.0664025994	0.0626488677	0.0906845557	-0.21084936899999998	0.0781937315	0.0065614502	0.1438850406	0.085885899	-0.0738895323	-0.13492201269999998	0.0789292122	-0.07929512150000001	-0.1699770532	0.0415793388	0.0192568	-2.950000000000175e-05	0.00037082434623999985	8.702500000001032e-10	-0.0469559	-0.020181900000000003	0.0022048565448100003	0.00040730908761000016	0.122799	-0.033018000000000006	0.0010901883240000004	0.015079594401	-0.00456667	0.00021973999999999952	2.08544748889e-05	4.828566759999979e-08	0.000190558	-5.824600000000005e-05	3.3925965160000063e-09	3.6312351363999985e-08	-0.000626107	3.755000000000002e-05	3.92009975449e-07	1.4100025000000013e-09	0.0	0.0	0.0	0.0
9018.52528067886	12.10015542918154	81333798.2382437	146.41376141035153	9858.133314038698	-17.829553068208046	97182792.4373596	317.8929626120468	6400.578474259171	-0.4870935776698389	0.2372601534072033	40967404.80514986	6384.1107652995715	16321.34377669481	1.092555	42.27948	0.111861707	0.061365	-0.013038004099999998	-0.1113278279	0.0657447541	-0.05747619900000001	-0.0163941558	-0.0754967072	-0.044042227	-0.3490518856	0.0284705245	-0.1476721075	0.1289578828	-0.0036020021999999996	0.10863330119999999	0.1738333784	-0.2164365791	-0.139294336	-0.0812911204	0.1494186629	0.2384796558	0.0562122302	0.1507429085	-0.1772324802	0.1296973759	0.18267517879999998	-0.3385087046	-0.1278713625	0.293879527	-0.055326765599999994	-0.1491714396	-0.050000666799999996	-0.0011503752	0.1038725799	0.163117183	-0.20221351010000002	-0.19848723170000002	-0.0252519932	0.0326067045	0.2730327822	0.0240855075	0.0989760863	0.1103235311	0.05041032559999999	-0.27254135960000003	-0.3743277178	-0.0467063691	-0.2819782707	-0.0331345139	-0.10970230310000001	0.0461780029	0.0192058	-5.099999999999896e-05	0.00036886275363999993	2.6009999999998937e-09	-0.026581200000000003	0.020374700000000003	0.0007065601934400003	0.00041512840009	0.08251279999999997	-0.040286200000000036	0.001622977910440003	0.0068083621638399955	-0.00534078	-0.0007741099999999997	2.85239310084e-05	5.992462920999997e-07	5.88386e-06	-0.00018467414	3.41045379847396e-08	3.4619808499599995e-11	-0.000561895	6.421200000000001e-05	3.15725991025e-07	4.123180944000002e-09	0.0	0.0	0.0	0.0
9030.095805596273	11.570524917411607	81542630.25824736	133.8770468644428	9869.403301125672	11.269987086974652	97405121.52027032	127.0126089405754	6406.4078688152185	5.829394556047192	33.981840890072625	41042061.78161755	6390.098708103805	16430.16275266409	1.047436	40.533463	0.04970709299999996	0.026007599999999995	-0.019745510900000002	-0.1033226603	0.0564847456	0.0870712769	-0.0844364	0.035005245	-0.07042708290000001	0.0695494687	-0.0271397281	-0.2434260962	0.2645791703	0.0059050675	0.0702423132	-0.0207234208	-0.0177632824	-0.1055710339	0.1171341784	0.21622571850000002	-0.0823360039	-0.0812006562	0.30112816530000003	0.1289853949	0.2284069133	0.2263656085	-0.0025550795	0.4887293661	-0.1159691297	-0.1735034073	-0.15815119800000002	0.023635235299999998	0.0039064281	0.0751833195	-0.032276515299999996	0.0018023060999999999	-0.061360454	0.17194930579999998	0.2281651684	0.0168877736	-0.0603514662	0.3189947058	-0.0853178168	0.23384503980000002	-0.1545711703	0.0042223052	0.47030513469999996	0.22431020000000004	-0.073661266	-0.0686712337	0.0265928607	0.0191889	-1.689999999999678e-05	0.00036821388321000014	2.856099999998912e-10	-0.041967	-0.015385800000000003	0.0017612290890000003	0.00023672284164000004	0.0650653	-0.017447499999999963	0.0003044152562499987	0.00423349326409	-0.00513402	0.0002067599999999994	2.6358161360400004e-05	4.274969759999976e-08	-0.000117877	-0.00012376086	1.53167504679396e-08	1.3894987129000002e-08	-0.000555278	6.6169999999999936e-06	3.08333657284e-07	4.378468899999992e-11	0.0	0.0	0.0	0.0
9032.813064742155	2.7172591458838724	81591711.86257656	7.383497265889551	9887.862149325372	18.458848199699787	97769817.88406137	340.72907685956005	6418.454145904563	12.046277089344585	145.11279171326825	41196553.62307947	6402.015807328151	16418.584759249487	1.025391	39.680382	0.038153405	0.0273443	-0.0128444278	-0.1040544392	0.0507183915	0.0889348298	0.08774907400000001	-0.0926011334	0.0446024093	0.1381568424	0.1996377693	0.09822288400000001	-0.2003790264	-0.0253819417	0.0630259746	0.1072058915	-0.0305439646	-0.19177824129999999	-0.2074151104	0.1633281477	-0.0295012675	0.23475909609999998	0.12462104539999999	0.34695931409999997	-0.0675901006	-0.1672138758	-0.00035434080000000003	-0.139820792	-0.10251816779999999	-0.1625406727	0.0620487871	-0.1551907696	-0.0224269738	0.0539906828	0.1109253316	-0.0079366397	-0.2544694227	-0.0808562604	0.11627048640000001	0.051552245999999996	0.3020654624	0.1329261489	-0.3027949767	0.0501429426	0.2174145157	0.025312822000000002	-0.157287404	0.0475491924	-0.1639581028	0.058534253099999996	0.17903738719999998	0.0192209	3.199999999999731e-05	0.00036944299681	1.0239999999998277e-09	-0.0685186	-0.026551599999999998	0.00469479854596	0.0007049874625599997	0.06654249999999999	0.001477199999999984	2.1821198399999528e-06	0.0044279043062499975	-0.0050762	5.78200000000001e-05	2.5767806440000006e-05	3.343152400000011e-09	-1.27859e-05	0.0001050911	1.1044139299210002e-08	1.6347923880999997e-10	-0.000594219	-3.894100000000002e-05	3.53096219961e-07	1.5164014810000016e-09	0.0	0.0	0.0	0.0
