global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	a_comp_cor_204	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06
9714.647369328322	n/a	94374373.51039767	n/a	10279.560532957645	n/a	n/a	105669364.75074044	7555.691448940331	n/a	57088473.27159003	n/a	7557.69980507875	12195.343653192476	n/a	n/a	n/a	n/a	-0.0700037651	-0.08942342439999999	0.1552745585	-0.7326480279	0.0810818146	0.0320488596	-0.0910496506	0.24732856469999998	-0.1434423251	0.1735384187	-0.0143526769	0.1327370413	-0.0699222891	0.025135619799999998	-0.0578295035	0.0445481724	-0.0265190451	0.1031217086	-0.0805496706	0.1120107275	0.0128228157	-0.0625077799	0.0190458889	-0.09079376869999999	0.0657707622	-0.0435249745	0.0178901263	-0.054634792800000005	0.022440088700000003	-0.0429527265	0.0473374742	-0.0159461619	0.0058264893	-0.048124425400000004	0.009077940500000001	-0.0034439964	-0.09043839279999999	0.0095250926	-0.0464997255	0.028835040899999997	0.0945809485	-0.077179658	0.0545381429	-0.0643988489	-0.0082192099	-0.07255879259999999	0.027752443300000002	0.0444318713	-0.0399276887	-0.09714242199999999	0.1338722577	-0.09058406949999999	0.0068411491	-0.0098363643	0.0330045188	-0.1285590956	0.026826385499999997	-0.0547277651	0.011171851299999999	-0.07435763320000001	0.0521301739	-0.09833222119999999	0.050868221100000006	-0.00397278	0.0580253333	-0.0178604553	0.025664513599999998	-0.0195088349	0.0465866541	-0.0574175644	0.0009913926	-0.1817112998	0.0282573425	-0.030527003599999998	0.0022990662	0.09275698240000001	-0.0695229383	0.11340230890000001	-0.0774874643	0.0387052004	0.0851289475	-0.029992482799999998	-0.0112002054	0.1508064362	-0.013001136299999999	-0.0292038277	-0.023841770800000002	-0.0039810573	0.1120335935	-0.0180589049	-0.029996657000000006	-0.0100786883	0.1111415146	0.002945376	0.0275540108	-0.058346783799999996	-0.004677306599999999	0.0802559224	0.0017211075	0.0050373392	-0.0912112336	-0.0210836298	0.1265425227	0.0085049419	0.0461976709	0.10329226080000001	-0.030820527799999997	-0.0459428083	-0.0872823725	0.1231128939	0.0396812859	0.0062979962	-0.1035501294	-0.0077939143	-0.016599483999999998	-0.023617164500000003	0.0215521041	0.029652132	0.045504179299999996	-0.023857761499999998	-0.0313634586	-0.0596744341	0.0564724667	0.0350020485	0.0028688086	0.0717840281	-0.06768094849999999	-0.0208225054	-0.0346895479	0.10642470300000001	-0.17996600559999998	0.0753152021	-0.0258669662	0.0161160168	-0.0045161975	0.1861758564	-0.0206792161	0.0199425846	-0.0117361158	0.1253694143	-0.0231385515	0.1295194969	-0.169789372	0.11875614470000001	-0.0593377239	0.0536439358	-0.0323308779	0.0678914238	-0.0860803052	0.1200125882	-0.1641228331	0.0826312257	-0.0540530001	0.0485145348	-0.0376336123	-0.11708817560000001	0.0337941992	-0.0501343343	0.1271443319	-0.0142594045	-0.0683168552	0.0191479381	0.0644819007	-0.0541054629	0.1237125683	0.028593994100000002	-0.0421567624	-0.0730487295	0.0345611762	0.0227028423	0.0133052625	0.0360416745	-0.047538629000000006	-0.0375352693	0.1029516794	8.741969999999999e-05	-0.0215713415	-0.0132014393	-0.0477220118	0.0283390562	0.0301653916	0.039496894	0.1099927272	-0.16430836029999998	-0.0623588088	0.0091432531	0.04586968190000002	0.062103115	-0.07377667519999999	-0.0674433818	-0.030120226	0.0118990905	0.030566801	0.0376151619	0.0287123316	-0.0203061276	-0.0545378142	-0.0034274671	0.0350403995	0.0191987495	0.0333911589	0.0280982193	-0.0299793428	-0.0240652766	-0.079326823	-0.0150554762	0.030412270800000002	0.046561525199999995	0.102594329	0.1025838106	0.1025662807	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0446066	n/a	0.0019897487635599995	n/a	0.0	n/a	n/a	0.0	-0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9648.198785717272	-66.44858361105071	93087739.80871624	4415.414263914797	10019.182033496898	-260.37849946074675	67796.9629814301	100384008.62034704	7547.511206818042	-8.180242122288291	56964925.41704394	66.91636117925965	7546.583333786829	11902.286339599817	1.028203	41.217499	0.003179499999999995	0.00317952	-0.0870441328	-0.18005110600000002	0.1853565959	-0.3778410758	0.0981018779	0.022034627	-0.052669545899999996	0.029086384700000002	0.0293214172	-0.10465878199999999	0.1341347986	-0.0522806842	0.0403694941	-0.0308048164	0.0609774945	-0.073350434	0.053117069100000004	-0.2503808164	0.09554964269999999	-0.10495190539999999	0.061545884400000014	0.048230358099999995	-0.0769119686	0.191302588	-0.028598411400000006	0.052472583200000006	-0.0363937834	0.0212892975	-0.0223717231	0.15552229380000002	-0.0652200455	-0.0030220865000000004	0.0231657786	0.0035042993	-0.1365866246	-0.019973679299999998	-0.007151767	0.0023904484	-0.0733485834	0.0340920126	-0.0481677546	0.1992975891	-0.042956611	0.1291241152	-0.0508936498	0.09586130470000001	-0.0676492404	-0.0956979425	-0.0756198855	-0.16258553550000002	0.1992216591	-0.054193208300000004	-0.0006382167	-0.048320439900000005	0.0317472948	-0.0984925891	0.140498615	-0.0023183047	-0.0945001324	-0.12268521060000001	0.053236677	-0.12376996960000004	0.0295975197	-0.0824463171	0.1540184983	-0.1232895273	0.1078903633	-0.0222210412	0.1270746275	0.047826620099999995	0.054715159900000004	-0.2225821106	0.0498292086	-0.03298906	-0.1704707982	-0.032020083	-0.030929390600000002	0.0734979379	-0.0594234271	0.14619093560000002	-0.0543554313	0.0251066504	-0.0396337361	0.056877451399999994	-0.042190052	0.10111945550000001	0.016573291100000002	-0.0835276996	-0.0945348139	-0.09515025939999999	0.0110965267	-0.0389066764	0.0260804613	-0.05506846730000002	0.0305336802	0.0185390028	0.056810059	0.0306493816	0.11108473529999999	0.0039268513	0.1066807435	-0.0210079046	-0.059003477699999994	0.0946339925	0.0830235214	0.026016112	0.021801383100000002	0.0336053068	-0.0441837246	0.09303825369999999	0.0244577383	0.0222954508	-0.0275250743	-0.0732925841	0.0128603169	-0.0366394025	0.0140862156	0.0691059981	-0.0352214156	0.007943873399999999	-0.0009472644	-0.0193084684	-0.0029413956	0.047462579299999995	0.0029289728999999996	-0.061629232199999995	0.042141468	0.048263716100000006	-0.071190609	0.1742137247	-0.21593865690000005	0.024071321899999998	-0.008347896700000001	-0.0225621786	-0.0103463445	0.1448986702	0.0423980324	0.1198536322	0.09305992910000001	0.1871610896	-0.0100181187	0.08735442560000001	-0.21345061199999998	0.21950788370000002	-0.0173743538	0.1378966099	-0.029734066400000002	0.08280740519999999	-0.10889909539999999	0.060199046	-0.038131966499999996	0.1748431917	-0.0243131651	-0.031489808	0.09857077019999999	0.0035451019	-0.054425234100000004	0.0426377108	0.0189358995	-0.0322408351	0.1129190572	-0.038327325499999995	0.1311350574	-0.019368361	-0.0059894042	-0.0373466694	0.0879822288	0.0635770509	-0.0413990321	-0.109325584	0.026842821099999997	0.0381611602	0.0415764373	-0.0733552687	0.033737099900000005	0.052047279800000006	0.0303247031	-0.0687505687	-0.021828124100000002	0.068702019	-0.026799794300000002	0.034600705600000004	-0.0156164077	0.09456812199999999	-0.0030889281	0.0977339342	-0.042800459000000006	-0.0035477779999999997	-0.0418108035	-0.1026482678	-0.0386268823	0.0101996771	-0.041226732599999996	-0.039597079199999996	0.08630588880000001	-0.017821053400000002	-0.0651329519	-0.0429781596	-0.006901920799999999	-0.0049630722999999995	-0.0367469218	-0.0041463103	-0.0046876501	0.0162779242	0.0691271467	-0.014385950500000001	-0.0773372864	-0.0060103105	0.1025662807	0.1024716367	0.1023139614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0477861	0.0031795000000000018	0.00228351135321	1.0109220250000012e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9635.17150170379	-13.027284013482133	92836529.86724484	169.7101287679271	9896.22792489188	-122.95410860501758	15117.712822854466	97935327.14140986	7547.715220189367	0.20401337132443587	56968005.04507823	0.04162145567916215	7544.039032996117	11825.951817628253	0.8796350000000001	35.261837	0.015046199999999997	0.0150462	-0.0799741051	-0.19188651760000008	0.1742102768	-0.1730572548	0.11494447099999999	0.1286661698	0.0078171665	0.0156497021	0.0004991638	-0.0701273537	-0.0130327629	-0.0348808262	0.021667370800000002	0.0563066205	0.1538247193	-0.0812539984	0.10880037109999999	0.1120526765	-0.0260980556	0.0067696978	-0.06578516549999999	-0.0144487353	-0.0183921485	-0.0369151057	-0.048180553	-0.0937680555	0.0333071098	0.1913611136	0.0581201652	0.0667753726	0.1106543099	0.0012020477	-0.046894802199999995	0.0716393249	0.038526537799999996	0.054831190300000006	0.0411874143	0.042547437699999996	0.1584487432	-0.0622209242	-0.1213564301	-0.06188563160000001	-0.0494553075	-0.0774542453	-0.0159891372	0.0749006692	-0.0158381522	-0.0364487107	-0.0732344888	-0.1930540085	0.20329472640000001	-0.034545800099999996	-0.0627746272	-0.09555178689999999	0.0947650458	-0.09610917199999999	0.11806058529999999	-0.0524237968	0.0309423791	0.0668366807	0.043186537000000004	-0.11791879039999999	-0.1299127085	0.0172396848	-0.0689786047	-0.0333972999	0.015632082	-0.031399298900000004	0.0164259849	-0.035973588	-0.0969512641	0.1043746473	-0.0481677151	-0.0340597404	0.0694494739	-0.1127993988	0.1270157724	0.1619076945	-0.1134346932	-0.10744949109999999	-0.0245089691	0.1548726876	0.0564017504	-0.036459905699999996	0.0445419603	-0.0164458987	-0.1018773022	-0.038953217000000005	0.0031061764	0.0779100318	-0.0458011722	-0.0803382781	0.036686891299999996	-0.0032690915	-0.0170786752	0.0008437898	0.0278377755	-0.0449484426	-0.0302369417	0.1934137647	0.0743631431	-0.0629176306	0.0230365188	-0.0040349271	-0.0122438916	-0.1575397848	0.08886568550000001	0.0966414187	0.07885119360000001	0.032497472799999996	-0.1641432831	-0.0242822009	0.0753399765	0.05960102480000001	0.0597447526	-0.0252647099	-0.07026099400000001	0.0069416412	-0.0722381354	0.0683469296	0.0390051291	-0.0533751601	-0.0468519575	-0.0805968558	0.046219020199999995	0.0379567719	-0.0085566037	-0.012879613100000001	-0.0713751039	0.2018500678	-0.1872166586	-0.0019277621	-0.040054854300000005	-0.0989960775	-0.0699514027	0.14212421109999998	0.0070073075	0.08624144119999999	-0.013790919799999999	-0.053137034400000005	-0.0612734847	0.1447834962	0.09586057419999999	0.024041477000000002	0.017356786699999998	0.0310334455	-0.048107073	0.0001905227	0.0586132641	-0.0473995491	0.0706009863	-0.1367023344	0.0729700255	0.0067325518	0.058964772900000004	0.1169851838	0.0506084797	-0.1615385031	0.1188894798	-0.022448935299999997	0.0316867345	0.1865049677	-0.0281168932	-0.0402479905	-0.027397902999999998	0.0919957182	-0.1095836089	-0.0034060709	0.0353591331	-0.07055404030000001	-0.0618885354	-0.08916838839999999	0.0336454474	0.0308343373	-0.0032780195000000002	0.022271216	-0.0522326107	0.041829085499999995	-0.0293257768	-0.0369633387	-0.1769232712	0.0044131552	-0.0300760739	0.057898540599999986	0.14071804699999999	0.024606237000000003	-0.057511547999999996	-0.13396672240000002	0.0187763659	0.0447543505	0.07636205019999999	0.0676232895	-0.06940666820000001	0.12970111609999999	-0.014254283999999999	-0.0548574362	0.0054332237	0.0076640538	-0.103609707	-0.0260593819	0.0322678769	-0.0950951022	0.0995954486	-0.0345178287	-0.030622010699999997	-0.040654295	0.0015513654999999998	-0.0441706827	0.10251019189999999	0.1022474116	0.1018099433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0628323	0.015046199999999997	0.003947897923289999	0.0002263881344399999	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9649.94160217515	14.77010047135991	93121372.92539068	218.15586793406624	9809.121077988173	-87.10684690370725	7587.602777505896	96218856.32263184	7548.183747849117	0.4685276597501797	56975077.89129354	0.2195181679509802	7544.055281317651	11856.220383105156	0.855251	34.284386	0.0025220000000000103	0.00252204	-0.0507351591	-0.1469090033	0.159159545	-0.0272380823	0.0730749084	0.15179059039999998	0.0342356312	-0.0647460613	0.0268202034	-0.0692153299	0.0507047727	-0.14956354	-0.074605353	0.055035684	0.06866024400000001	-0.1334526856	0.0834651379	0.059674256399999986	0.1091863033	-0.0109156972	-0.0175557525	0.0987350897	0.0535316132	-0.005019398400000001	-0.0283387328	0.0050113742	-0.1461039592	-0.0125555747	-0.031782535699999996	0.0034668745	-0.048550862	-0.0376366822	-0.0098322767	-0.055629176100000004	0.0072409369999999985	0.0695241944	0.0031114674	-0.0135330606	0.0795680018	0.1298682148	-0.0539804729	-0.0260805692	-0.0432712167	0.018718768	0.0576817378	-0.0583870106	-0.0815943541	0.13479254599999999	-0.0522517389	-0.1479138408	0.1718803748	-0.0119731766	0.0044037462	-0.1012209493	0.0769701066	-0.0660167485	0.0494650626	-0.05750742480000001	-0.0243604537	-0.0023012085	0.0570240176	-0.0946292227	-0.07497970400000001	0.044742425999999995	0.1094160457	-0.0142790312	-0.08152161690000001	-0.0609853854	0.0614113357	-0.09878848949999999	-0.1276104674	0.10765679380000001	-0.1056815116	-0.0195916142	-0.0712813929	0.11334507070000001	-0.0636258167	0.0936145946	-0.11876319070000001	-0.0398527442	0.0310580821	-0.12213624140000001	0.0296554811	-0.1161099269	-0.009954537900000001	0.0098627179	-0.15246784789999998	0.1043798312	0.17568038789999998	0.0260309541	-0.0769563514	0.1812181107	-0.0891234608	-0.046103862599999997	0.023423510699999997	-0.045933759000000005	-0.0230297024	0.0045830213	-0.0225799519	-0.039368202799999995	-0.06958428700000001	-0.0028909946000000002	0.1176277078	0.012018101000000002	-0.0302746554	0.0817115603	0.0388215243	0.028253338599999997	0.041338935099999995	-0.0822551052	-0.0470869238	0.012395169199999998	-0.0025272209	0.0157222207	0.0713850779	-0.0080912862	0.028227059900000007	-0.0787217329	-0.1402005936	-0.0065247461	-0.09278344820000001	0.0082101889	-0.0105515969	0.019080506599999998	-0.0083296175	-0.0252441745	-0.1026756889	-0.0471985146	-0.049263876100000006	0.1594312715	-0.1588759485	-0.0215404526	0.0228497481	-0.053140478399999996	-0.060028716100000004	0.10553400869999999	-0.035604852400000005	0.0324595698	0.0476282859	0.021196531400000003	-0.0435648841	0.08589449210000001	-0.0073365474	0.1044414543	-0.0821465451	-0.0778794703	-0.054341945700000005	0.0257526482	-0.05784521650000001	0.013123826699999999	-0.0145599572	-0.20705815739999997	0.1208387591	0.0168092996	0.0341478705	-0.0982278332	-0.0154083043	0.0300018535	0.1204940125	0.051057206900000006	-0.0288911665	-0.0119628834	-0.2047224612	-0.0031781014	-0.1276567114	0.08228095269999999	-0.0229820449	-0.0067921826	0.0778427988	0.1836711025	-0.1591388353	0.1002584753	0.011893371399999998	-0.023660944700000002	-0.0375160598	-0.1354251204	0.0055705327	-0.0247707437	0.013287085	0.0172245168	0.0755818858	0.0289683124	0.052297167199999994	-0.030964286299999998	-0.009872035	-0.0151863097	0.010816366200000002	-0.0401063717	0.0822248297	0.1303236454	0.049972017	0.024077697400000004	0.0111534947	0.0522379658	0.06478090269999999	-0.012560595700000001	0.0690095849	0.0293325514	-0.0766383336	0.030719933900000006	0.0255753977	0.0747394016	-0.014540623899999999	-0.08689381060000001	0.0411755286	0.0877128133	0.06962639799999999	-0.049966465300000006	0.10242607769999999	0.10191138039999999	0.10105546650000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0653543	0.0025220000000000103	0.004271184528490001	6.360484000000052e-06	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9677.239805708261	27.29820353311152	93648970.25718446	745.1919161351822	9827.219635512804	18.098557524630447	327.55778447235747	96574245.76460841	7567.583174215219	19.399426366101576	57268315.09866528	376.33774333379716	7564.8175843761255	11882.712125661026	1.232613	49.411644	0.150561187	0.107932	0.0779216864	-0.053573748600000005	0.1104337076	-0.020405283899999998	-0.09295320539999999	0.2087805678	-0.0492527128	-0.03474854	-0.0199260678	-0.0292144119	-0.0622764565	0.054168375899999996	-0.0407750794	0.019251955600000002	-0.0730362533	0.0814397467	-0.1596090416	-0.0041234824	-0.0189929294	-0.019252668	-0.061858314299999995	-0.0713871108	0.0124995837	0.0899350465	-0.089768913	0.053868537699999997	-0.016594553	-0.0172987835	0.0177988943	0.056083498200000005	-0.0767977618	-0.0641745656	0.1270376735	-0.0664053913	0.0859068592	-0.0276931594	0.151022531	-0.042659481900000004	0.0428456871	-0.0138103502	-0.1096511955	-0.0617056904	-0.0583272238	-0.0818291204	0.0754582682	-0.0330612849	-0.011842836	-0.0810726255	0.0865721233	-0.0743203073	0.0598274087	-0.055711969699999996	0.1762448395	-0.1544271792	-0.0040884387	0.06452405110000001	-0.0631014053	-0.0375244706	-0.0860539043	0.0997478517	-0.048737284900000004	-0.0548313907	0.0859160675	0.0846420034	0.19618314879999998	0.0167362361	0.055536214199999996	-0.08579389230000001	-0.0634665907	0.08929105710000003	0.0895744469	-0.018711048100000002	0.0027038828999999998	0.0763871253	-0.0167801398	-0.0688632304	0.19368901370000002	-0.0324781661	0.0776301086	0.0008084234	0.0404103156	-0.0057042711	0.0510970471	-0.0852976549	0.0733043261	-0.0891810668	0.11524249140000001	0.0719992958	-0.0094635584	-0.046047534400000006	0.14969775359999998	0.13880532880000002	-0.014397235500000001	0.0061567488	0.0363194744	0.0045505709	0.0362703506	-0.1440801834	0.06976002349999999	0.00020716330000000008	-0.11311315699999999	-0.0508425757	-0.0062774611	-0.1550869016	-0.0423482565	0.09430528630000001	-0.008799307	0.0302930645	-0.1043821802	0.0275798438	0.0770078801	0.0402707282	0.0373193505	-0.0387628666	-0.09078350880000001	0.0591813285	-0.030065854700000002	0.021708802599999997	0.0559244534	-0.06160305820000001	0.027784955400000002	0.0523394925	0.0303440582	0.0140347301	-0.1134955599	-0.1105129478	0.0827461328	0.023759191699999998	0.0907411598	0.0843939033	-0.0829925485	0.019538798700000002	0.2170282048	-0.0243083368	0.0049143673	-0.0313499891	-0.1004205403	-0.046993705700000006	0.0843288676	-0.1111386078	0.0280498712	0.0190505108	-0.0996784095	-0.0035342343	-0.1343979471	0.008997786800000001	0.1247086463	-0.0858585351	-0.0055884187	0.015984890800000002	0.1367415142	0.0821365354	0.0431614362	-0.1166989063	0.0174394955	0.1526535993	0.0775094081	0.0101255774	-0.0514680678	-0.13803827189999998	-0.0039033052	-0.0156286829	-0.11332123720000001	0.0691633124	-0.06181995150000001	-0.1109393414	0.0144917155	-0.0099890811	-0.0490975112	0.12967259009999998	0.137760509	0.08433575380000001	-0.0214125937	-0.043133548099999995	-0.038603193	-0.0019973741	-0.0181763644	-0.1183503626	0.12068485699999999	-0.1060012889	-0.0403837042	-0.0503081323	0.0174445113	-0.1506938756	-0.1177344761	-0.0365091605	-0.0069126835	-0.0240629129	-0.0796665672	-0.0176970211	-0.0925063867	0.0081623205	0.0336287325	-0.09857210710000001	-0.0408777446	0.0578840266	-0.0670288428	0.020699614499999998	0.035810523399999995	-0.0284990808	-0.0074677107	0.0822896082	-0.0633134009	0.062474971500000004	0.043695219800000004	0.10352396400000001	-0.10679853550000001	-0.0146188468	0.1023139614	0.1014639107	0.10005238710000001	0.000452337	0.000452337	2.04608761569e-07	2.04608761569e-07	-0.102953	-0.102953	0.010599320208999998	0.010599320208999998	0.036416	-0.028938299999999997	0.0013261250560000007	0.00083742520689	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.000364351	0.000364351	1.3275165120100002e-07	1.3275165120100002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
