global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
9114.868367584342	n/a	83080825.35838965	n/a	11418.43562818482	n/a	130380672.19500044	n/a	7038.622288111085	n/a	n/a	49542203.71469413	7040.3971363636365	11244.415101446932	n/a	n/a	n/a	n/a	0.0080335526	-0.1837223919	0.2720839334	-0.8483363275	0.0334244129	-0.1365433161	0.0089051127	-0.038053268599999995	0.0331160734	-0.3353949006	0.1173457599	-0.293109241	0.1404005674	-0.2771057363	0.12315121949999999	0.052814452000000005	0.1075482891	-0.4201425582	-0.41659222020000003	0.2955974012	0.067953877	-0.0675391855	0.4557286377000001	-0.5483395585	0.1279061704	-0.16508497589999999	0.09781988900000001	-0.230320765	0.1271997423	-0.0398945238	-0.4287879651	-0.2256377913	0.1214708801	0.10133185310000001	0.0838073639	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0113909	n/a	n/a	0.00012975260280999998	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0
9073.843329376246	-41.025038208095786	82334632.76606579	1683.0537599757197	11025.515821272194	-392.91980691262506	121561999.12512349	154385.97466425455	7036.9816009756105	-1.6406871354747636	2.6918542765123856	49519110.05246927	7033.347800881249	10784.568512584445	1.335863	50.621948	0.0113909	0.0113909	0.3247636143	0.1938154802	-0.15179697	-0.4050689274	-0.12410314019999999	0.1855767921	-0.0560796983	-0.1250779806	-0.3534729812	0.013316891200000002	0.10740111	-0.3451845247	0.15910460369999999	0.0107068848	0.0947878159	-0.0531963683	-0.21376474550000002	0.4840316514	0.2316912919	0.0275385623	0.1195934191	-0.1360279788	0.43843510119999995	0.0381535844	0.10363567509999999	-0.2134744347	-0.0177067399	0.1239616332	-0.0168832806	0.061663119100000004	0.2613927051	-0.006746930999999999	-0.4145260277	-0.2462552229	-0.2665984795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0113909	0.00012975260280999998	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9046.233200298228	-27.610129078018872	81834335.11417791	762.3192277048632	10810.942036640656	-214.57378463153873	116876467.71960402	46041.909051101975	7033.7017105326195	-3.2798904429910185	10.757681318023817	49472959.7527495	7027.4301561901075	10964.42014856062	1.158133	43.886932	0.0	0.0	0.1287193788	-0.0872378533	0.1911737381	-0.1474687599	0.0586307437	0.26816934010000004	-0.004816763	-0.1409789006	-0.10919364179999999	0.008219614200000001	-0.252467383	-0.1945475393	0.2714741276	0.0066552886	-0.0137472906	0.1782783843	0.0955110327	0.2155384205	0.06081943240000001	0.2391358177	-0.2883014285	-0.1493157055	0.17474133460000002	-0.0656871267	-0.2388143762	-0.1564514599	0.1491158183	0.1327156092	-0.0947042723	-0.133660654	0.0916430156	0.15731456900000002	-0.24775843379999998	-0.1722011254	0.0348381465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9011.773447786602	-34.459752511625986	81212060.67423162	1187.474543162514	10735.506555694245	-75.43548094641119	115251101.0073541	5690.511785616365	7048.178574879116	14.476864346496768	209.5796013068693	49676821.22338501	7041.458175014726	10922.360953569094	1.2633390000000002	47.87368	0.0828145	0.0828145	-0.1817616146	-0.1543499942	-0.24707430519999998	-0.054452105099999995	0.15367381	-0.2261436139	0.1999912335	0.1633385332	0.2384275851	0.0598663859	0.1845117627	-0.207212267	-0.0856954645	0.0362512005	-0.199645265	-0.01994996	0.2169257388	0.20030559190000002	0.0016710426000000002	-0.20440675949999998	-0.015280746000000001	0.1806080038	-0.1279787895	-0.1836962405	0.197219481	-0.1705825482	-0.1863883357	0.0526641463	-0.17300495300000002	-0.029204780899999998	-0.1110492896	0.2432046461	-0.0762128057	0.09239056470000001	-0.2472950829	0.0	0.0	0.0	0.0	-0.0828145	-0.0828145	0.00685824141025	0.00685824141025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8991.936397781768	-19.837050004833145	80854920.18175256	393.5085528942506	10679.368123390877	-56.138432303367146	114048903.51489718	3151.5235814797365	7042.8260251649435	-5.35254971417271	28.649788442690358	49601398.42074064	7035.562345241528	10726.25310557821	1.255557	47.57877	0.08668651	0.0866865	0.1413997836	-0.0263728181	0.22637526789999998	-0.0006283279	0.0314364143	0.0512640949	0.2628195765	-0.07334569839999999	0.0665666606	-0.2803483807	-0.035342238399999996	-0.2733034419	-0.0927542148	0.309379643	0.1668418877	-0.0567917793	0.2832798039	0.1471402486	-0.0506795663	-0.15444862980000001	-0.023973539300000003	-0.06855869190000001	0.048672695499999995	-0.2385526144	-0.0186459438	0.11063479050000001	-0.21937241899999999	0.3733761553	0.1649760009	0.045773108	0.1154195478	0.35959127729999996	0.0135855183	0.2253282683	-0.0331991698	0.0	0.0	0.0	0.0	0.00387201	0.08668651	0.007514551015980099	1.49924614401e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9002.460546335951	10.52414855418283	81044295.88833539	110.75770279050856	10658.784470392648	-20.58365299822981	113609686.38628349	423.68677075153505	7034.167499428835	-8.658525736108459	74.97006792285252	49479512.41002091	7027.23127406037	10757.717466592243	1.124319	42.605579	0.017003589999999996	0.012439	-0.0253432538	-0.06106582400000001	-0.1655858006	0.0322900571	0.0556758262	0.0534323404	-0.0680751778	-0.0363036779	0.0889662251	0.2508992411	0.0405509375	-0.056271322199999994	-0.1244592487	-0.15239019380000002	-0.2358415945	-0.06129971240000001	0.0698477755	0.0122746027	-0.2878153573	-0.352341167	-0.07806960389999999	-0.0166569836	-0.1425500308	0.087221762	0.014838456000000003	-0.22654333129999998	-0.17038028730000002	-0.1674048223	-0.1997408902	-0.0016819625	-0.11653776800000001	0.0446741496	0.0472060736	0.41626018229999995	-0.2186526334	0.0	0.0	0.0	0.0	-0.00237498	-0.00624699	3.90248840601e-05	5.6405300004e-06	0.0107566	0.0107566	0.00011570444356	0.00011570444356	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8999.708127481128	-2.7524188548231905	80994746.37984987	7.575809552386201	10640.580026532607	-18.20444386004056	113221943.30104466	331.40177625336827	7025.909677419666	-8.257822009169104	68.19162433511765	49363406.79525931	7019.993533477833	10914.007382305806	1.0911110000000002	41.347187	0.01076695	0.0107566	-0.0062617013	-0.152440767	0.2320516647	0.050667751500000004	0.1955769443	0.1485274761	-0.021912588900000002	0.0014453184	0.10407970960000001	-0.24728503710000002	-0.0287407079	-0.09202133369999999	-0.34265663729999996	-0.1633982022	0.1827495391	-0.12008603359999999	0.145323849	-0.077662967	0.2767791207	-0.2037471995	-0.0739386955	0.000807392	-0.0182456303	-0.2126321616	-0.054550147599999994	0.1788070977	-0.29780332530000003	-0.1889219101	0.2379784909	0.0976213288	0.17484697329999999	0.2094657014	0.2335046078	-0.1051334219	-0.011578455	0.0	0.0	0.0	0.0	-0.00236463	1.0350000000000116e-05	1.071225000000024e-10	5.5914750369e-06	0.0	-0.0107566	0.00011570444356	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9002.179419337777	2.4712918566492594	81039234.29794864	6.107283440740942	10626.849730599552	-13.73029593305546	112929935.19674376	188.5210264092793	7021.029026950585	-4.880650469081046	23.820749001341053	49294848.59728268	7013.642182288049	10711.765554346845	1.167166	44.229259000000006	0.004011239999999999	0.00397004	0.1441579784	0.1124430993	-0.20391454960000002	0.06660270759999999	0.1124205527	0.35890394259999997	-0.0434845397	-0.10206498619999999	-0.0881594623	0.2458962699	0.0685082684	-0.09778084320000001	-0.0168169307	-0.0097463279	-0.0917442401	-0.0757128536	-0.1208191155	-0.0296984379	-0.2379604216	-0.2916019548	0.12224557929999999	-0.0987219631	-0.017868936000000002	0.1907100218	0.036441826000000004	-0.21528211030000002	-0.0794165122	-0.0169405502	-0.1128416641	0.05374274019999999	0.1410344915	-0.056425668099999986	0.0647894215	0.3244785719	0.2515149359	0.0	0.0	0.0	0.0	-0.00240605	-4.141999999999991e-05	1.715616399999993e-09	5.789076602499998e-06	0.00396982	0.00396982	1.5759470832399994e-05	1.5759470832399994e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9001.125515124482	-1.0539042132950271	81020260.53902498	1.11071409080101	10645.437301271037	18.58757067148508	113325335.33529276	345.4977834674524	7029.940310134981	8.911283184395868	79.4109679924966	49420060.76406071	7023.114571960196	10897.755744561024	1.26152	47.80476	0.03588385	0.0350007	-0.1868426906	-0.1792278598	0.1496091956	0.047131342400000005	0.1953226481	-0.13138628019999998	-0.1084195082	0.1374997171	0.2618739858	-0.2371482084	-0.1511641484	-0.0189456088	-0.12323853789999999	0.2324091762	0.1253041372	0.5171819696	-0.3677998046	0.1133548212	-0.13125172699999998	-0.1617961008	0.036919887900000004	0.1403378358	-0.1588322412	-0.2756877567	-0.108330445	0.1898664423	-0.1292587883	0.23151261760000005	0.059486996500000014	-0.5095372779999999	0.2085299025	-0.36287865950000003	-0.1120792647	0.128128079	0.0265814644	0.0	0.0	0.0	0.0	-0.037395300000000006	-0.034989250000000006	0.0012242476155625006	0.0013984084620900007	0.00486442	0.0008946000000000006	8.003091600000009e-07	2.3662581936400006e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9004.79507202304	3.6695568985578575	81086334.28913043	13.465647831753564	10650.619252125016	5.181950853979289	113435690.45373604	26.852614653056673	7030.780345842406	0.8400357074251588	0.7056599897492869	49431872.27148386	7023.234164356081	10708.667193790516	1.467774	55.620655000000006	0.041555491	0.0370121	0.2662503907	0.2468796621	-0.0829962737	0.03457743	-0.1654239059	0.3545908971	0.20529703559999998	-0.143200884	-0.1531698021	0.0442696923	0.19451100899999998	-0.0033583222999999996	0.08639989699999999	0.1775179298	0.2049305632	-0.0911634107	-0.2009130193	-0.1039479151	-0.0122973234	0.1127423491	0.37223676590000004	-0.1436265467	0.1094117485	0.12820136140000002	0.20289755850000002	-0.036043206800000005	0.1087619394	0.15557288460000002	0.1776590198	0.1429311236	0.0970295694	-0.2179980809	0.08985660570000001	-0.0500491016	0.3771757857	0.0	0.0	0.0	0.0	-0.0007042289999999999	0.036691071000000006	0.0013462346911270414	4.959384844409999e-07	0.0	-0.00486442	2.3662581936400006e-05	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
