global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
9271.891450771194	n/a	85967971.07488397	n/a	11555.001771195795	n/a	133518065.93233795	n/a	7061.2802308226355	n/a	49861678.49820657	n/a	7067.425802318902	12983.500631875759	n/a	n/a	n/a	n/a	-0.07694433099999999	-0.011052858	-0.06537804650000001	-0.7915345183	0.11806917900000001	-0.061804930999999994	0.01572571	-0.1167714556	0.0232721554	-0.0308351433	0.045048144500000005	-0.024113680699999997	0.018034434499999998	-0.10160369109999999	0.0258975298	-0.0431483271	0.0501967563	0.0822202294	-0.0295051016	0.0142634045	-0.0992746939	0.0194783207	-0.055677549800000004	0.0376118043	-0.05612511059999999	0.0874254691	-0.0203863844	0.0238676747	-0.0010056423	0.067797585	-0.0204855142	0.0189405925	-0.0862901014	0.0141447784	-0.004323129	0.0622211042	-0.0165139732	0.033425206400000004	-0.0075060108	-0.0217883352	0.0218130652	0.027797483799999998	-0.0078663113	-0.0707516053	0.0205158424	-0.0967497133	0.0239018595	-0.0429784876	0.039986873	-0.0110145317	0.0962788726	-0.0115795601	0.12446755849999999	-0.0597574377	0.0063687445	-0.0482444807	0.101620234	0.0443104829	-0.008900879300000001	0.0656777167	-0.0130392925	0.0801899291	-0.0759616096	0.0461675201	-0.0056253584	0.0393750472	-0.0265107538	0.008031168299999999	-0.0203922633	0.043661873899999995	-0.0225784618	0.1148583296	-0.0289095252	0.0355769311	-0.0802473923	0.0798520295	0.0017060763	-0.0898785457	-0.0591036486	0.0679053996	0.016490001299999998	0.0816863894	-0.0807139179	0.0023712034	0.0209690202	0.071044019	-0.043407045	0.0640629623	0.0182601732	0.0402072027	-0.0686714212	-0.021694377999999997	0.011622526599999999	0.021820181	0.021051211099999998	-0.035847794599999996	-0.055158451799999994	-0.020779181	0.0193257243	0.1012605456	-0.08972888220000001	-0.0036632940999999997	-0.060783322800000004	-0.005584402	0.0465797707	0.0091689389	0.0222085529	0.0610149149	-0.0648973469	-0.0081183517	-0.0489638413	0.0184243391	0.0630593096	0.11924430119999999	-0.0201959423	-0.0708957161	-0.0476184743	0.0022089421	0.0727630467	0.0137941018	-0.0665249858	0.0355126718	-0.12592218560000001	0.021700473999999997	0.0826600076	-0.1067204199	0.0308043435	-0.1323630494	0.2190527509	-0.0509211862	0.0780668511	-0.0952195662	0.0832845307	-0.1029421745	0.1883513999	-0.0509288091	0.0577091592	-0.0529752945	0.1521808718	-0.015238373799999996	0.0602722075	-0.0604807963	0.0822942351	-0.045790072599999995	0.047655014800000006	-0.027273955899999997	0.0989050457	-0.0766345944	0.1290327919	-0.0927413099	0.0254941139	-0.0825842557	0.0527841862	0.0173507157	-0.0742001067	-0.11942627380000001	0.0808053163	0.0721491681	-0.0499103715	-0.047165528600000006	0.0223773196	-0.040247858500000004	-0.0198352787	-0.0613693692	0.1019992185	0.0099517506	-0.0812211672	-0.0352923344	-0.0012350498	0.0557737029	0.0771408499	-0.1490778203	-0.0016214101	-0.017882643	-0.126074987	0.0535947088	0.0539310206	-0.0423115892	-0.0439111539	-0.0475817863	0.0146177667	0.0218233691	0.0358269539	0.0446003984	-0.05368308980000002	-0.0608960221	-0.0120701976	0.055949734	0.0341386204	0.026058956299999998	-0.0012768211999999999	-0.10579162140000001	-0.0174357152	-0.0313559859	0.0088856259	0.0807830749	0.033045882400000004	0.102594329	0.1025838106	0.1025662807	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.00507343	n/a	2.5739691964900007e-05	n/a	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9226.372677199552	-45.518773571642676	85125952.77857442	2071.958747466475	11275.00872423715	-279.99304695864515	127125821.73162384	78396.1063451861	7059.146577821541	-2.133653001094899	49831550.40716957	4.5524751290812695	7061.867407985259	12727.9562138333	1.045293	42.577316	0.00507343	0.00507343	-0.040152070299999995	-0.026048076099999998	-0.1307691194	-0.449496369	-0.13436026480000002	0.0305345902	0.014475690900000001	0.0411008261	-0.1194811622	0.1019656611	-0.1191818987	0.09972517759999999	-0.0383600786	0.2332848421	-0.0760465994	-0.0360874922	-0.01305642	-0.1288356295	-0.005888169	-0.049273116799999996	0.1750310154	-0.1160620476	0.0834034717	-0.023444567200000002	0.051190988300000004	-0.1251709567	-0.0104626215	-0.029700805499999997	-0.0084225699	-0.0016826023000000002	0.0358502551	-0.002826931	0.2070694623	-0.008242698	-0.10010065679999999	-0.09523817650000001	0.010561393200000001	0.0216678668	-3.23612e-05	0.0206169716	0.015079525	0.0103949539	0.0566307553	-0.09785095099999999	-0.0375615002	-0.10635080849999999	0.0378219994	-0.1055246301	0.05051310269999999	-0.0141081181	0.0698565363	0.1106372083	0.1675053979	-0.0305274946	-0.0120505534	-0.012726073899999999	-0.0257604731	0.027271060899999998	-0.012328408999999999	0.145623514	0.024019973599999998	0.0196687821	-0.1586444652	-0.0140127001	0.0200862127	-0.019403811899999998	-0.10601302189999999	0.0354378319	0.0511212907	-0.0197471034	-0.068135876	0.040231768	-0.0222583452	0.0711893634	-0.0014113792000000002	-0.0646756269	-0.0619969088	0.0094475455	0.0229505281	0.0418526986	-0.0003482186	0.0357850844	-0.1100148098	0.0212031627	-0.0017812592000000004	-0.0084091086	0.045586021799999994	-0.0294319867	0.082612379	-0.12763584779999998	-0.044073117300000006	0.0630024415	0.0178188209	-0.0222279879	-0.0309211645	0.0372567519	0.1058141199	-0.021557955	-0.0786058945	-0.044625753399999996	0.12782195789999998	0.1550964683	-0.0738606136	0.0684501184	0.0699091191	0.0685446317	0.0412100984	-0.061445483099999997	-0.1020717022	0.0023572006	0.0006775606	0.051172008899999996	0.0303498931	-0.0499187117	-0.1055144735	-0.09495326720000001	0.061662546799999995	0.0526035517	-0.0007053981	0.0880519022	-0.09788719439999999	-0.0242436369	-0.1316054498	0.0495109862	0.10182838279999999	-0.14062359289999998	0.0552125324	-0.073497618	0.2502442037	0.056123177	0.06438463929999999	-0.0626640909	0.0321148556	0.006919989499999999	0.17560763140000002	-0.0700494479	0.0758628038	-0.009761188	0.0736941619	-0.045053305300000006	0.1084082799	0.0849234899	0.017831954299999998	-0.09534034599999999	-0.0163187695	-0.046737690400000004	-0.034323041299999996	-0.0606424737	0.0444185224	-0.0678722924	-0.0036882258	0.0152721048	-0.0207720944	0.0411221369	0.087613465	-0.031141646499999998	0.1038538865	0.0695181403	-0.0078915702	-0.0511465912	0.0366164858	-0.0465284149	0.005530770799999999	-0.014401704199999999	-0.0189418608	-0.0819782341	0.1025334209	-0.0843175948	-0.0562007158	0.035858873199999995	-0.0140828619	-0.0012033057	0.0138822261	-0.0790374799	0.0302411576	0.1296887004	-0.1514119968	0.0023708906	-0.06545746	-0.1022974784	-0.0831860682	0.0764981389	-0.1208271811	0.0728369099	-0.1039353481	-0.0385236836	-0.1278196827	0.0363645179	-0.0293710859	-0.022548778999999998	-0.12662540419999999	0.00163693	0.1002112961	0.0605792105	-0.0237941493	0.0597250362	-0.0066780776	0.1025662807	0.1024716367	0.1023139614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00507343	0.0	2.5739691964900007e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9202.32258985864	-24.050087340910977	84682741.04782264	578.4067011054465	11038.724483906584	-236.2842403305658	121853438.23159868	55830.24222859258	7065.794008778932	6.647430957391408	49925444.97449625	44.188338333285635	7064.9946281680295	12805.259759966304	1.021435	41.605488	0.0	0.0	-0.0879593893	-0.022563589	-0.0870522525	-0.16979174079999998	-0.0959649665	0.0724547934	-0.0563296596	0.043924791500000004	0.029541302000000002	-0.061996427800000004	0.1938198645	0.005481605400000001	0.0612563562	0.0416802077	0.07376756870000001	0.07719127860000001	-0.0332384908	-0.0142679533	0.0633023685	0.0343637348	-0.0179853736	-0.0255735896	0.0217546747	0.0087627589	0.06494168389999999	-0.0367529759	0.0054632996	-0.0406341833	0.049804158099999996	-0.049364932800000004	-0.0530241604	0.022115304900000004	-0.0663906247	-0.023282266200000002	0.0789947282	-0.1064541624	-0.0048353151	-0.2082162118	0.0112387728	-0.0494805757	-0.0983769417	-0.0406282973	-0.0453879145	-0.1041485393	0.0014810605	-0.0808289743	0.0488843672	-0.0463297534	-0.033678970600000004	0.052678994400000005	0.0063887765	0.0970450446	0.1524525314	-0.17272627769999999	-0.1146328481	-0.0442309866	-0.020718970700000002	0.0191915265	0.0023391349	0.0851853501	0.1050527535	-0.0351949461	-0.06684921769999999	-0.0198348627	-0.0273120094	-0.038812301800000004	0.0582296545	-0.0657510496	-0.028748952	-0.022279695800000002	0.0728922418	0.1342872323	0.06881142059999999	-0.0650517312	0.0551092648	-0.0794556884	0.0275300617	0.0880052458	0.18626007760000002	-0.08749380779999999	-0.0221617965	0.1107535269	0.0194793814	-0.075589327	-0.0458040042	-0.0194214129	-0.0066322197	0.0042264514	0.0191669184	-0.1557905396	-0.0615962946	0.0087018936	0.0685682421	0.017885403	-0.0851109927	-0.0445393468	0.1115636565	-0.0238996202	0.0512186593	-0.016296058000000002	0.0502551799	0.05401231099999999	-0.0324490772	-0.021858125200000002	0.0764870703	-0.018193233899999998	-0.0327972767	0.0399228275	0.0589319067	-0.163284851	0.0045040087	0.0831493424	-0.050499335	-0.1063945311	0.0276131136	0.0139450625	-0.016079314299999998	-0.06996655639999999	-0.0332625186	-0.0148720011	-0.1016768008	0.0101151982	-0.08733374599999999	0.043369131	0.0914813255	0.0040790162	-0.0518143367	-0.0485582038	0.1449226794	0.011685299199999999	0.18150878550000002	-0.1274389174	0.0096330302	0.0511797472	0.0513293503	-0.0156197686	-0.00010082360000000001	-0.045843609	-0.09483295539999999	-0.0369547243	0.043541496799999996	0.053846509199999996	-0.07262393190000001	0.0281718906	0.0010564384	-0.014325536699999999	0.0766967994	0.0437240819	0.1158153943	0.0738488554	-0.0167510757	0.0305699265	-0.0808928683	-0.08966370800000001	0.1080891158	0.1368674946	0.0197332107	0.0288620981	-0.0842263858	-0.0756330064	-0.146094103	0.0224547922	0.0616640152	0.0448318866	0.0142747359	-0.0589101159	0.13615401289999998	-0.0614281576	-0.0117274966	0.058558539000000014	0.0957570534	0.0017151088	0.0886769518	-0.0086164344	0.0365763685	0.0450427318	-0.080689067	0.0284346585	0.06928783570000001	-0.0078547146	0.024699907400000002	-0.07624476690000001	0.005486416500000001	-0.0388834168	0.10675182529999999	0.0215831837	-0.13771438119999999	-0.0727588543	0.0350767737	-0.051119014000000004	0.0468481769	0.0755909872	0.028919806800000007	0.0163397396	-0.0428208296	-0.0569484221	-0.0326483765	0.10251019189999999	0.1022474116	0.1018099433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9182.5650042259	-19.757585632740298	84319500.0568342	390.362190035066	10937.654367973768	-101.0701159328164	119632283.07325564	10215.16833467295	7071.893493691739	6.099484912807384	50011677.58611956	37.2037162015649	7070.859087202021	12932.287235977043	1.226667	49.965084	0.15284349421659998	0.0911577	-0.1222975712	-0.0104014503	0.0858250158	-0.0320510048	0.0376280097	0.1033295883	0.0308186742	0.057789613899999995	-0.0060436077	-0.0416351381	-0.0675791107	-0.1106269198	-0.0712881054	-0.0763138007	-0.0745434525	0.0807009024	-0.0571973246	0.034259374599999996	-0.0327180035	-0.0622329633	0.0129882227	-0.0304984939	0.0811315072	-0.027867020899999997	0.1236274091	-0.0359763654	0.0207476824	-0.1305480977	-0.054633700800000004	-0.1378046019	-0.0399881917	0.030349576200000002	0.0456826684	0.0105530905	-0.0065601444	-0.0342311721	0.041949014800000003	0.0188118951	-0.029732444	0.1414967539	-0.0770021539	-0.060630684000000004	0.0019091429999999999	-0.0362417898	0.1357369953	-0.0742312363	0.0052156531	0.012136921200000001	0.010653696499999999	0.0297361102	-0.0280825486	0.0693326169	0.0155907615	-0.0778572521	0.1094652381	-0.0196775743	0.0976744443	0.1409065504	-0.0158078277	0.031069182400000006	-0.1014921334	-0.0779852789	0.0170534473	0.1355747915	0.0557177728	0.040199483	-0.0856153541	0.0230330713	-0.1232710323	-0.0478592266	-0.055107051799999994	-0.1065158523	0.051456584400000005	-0.15771690789999998	-0.12375704929999999	-0.0071840575	-0.0656197635	-0.0744592776	0.093556499	0.0677312511	-0.1247654087	0.1013549902	0.0035666031	-0.0036326406	0.1125936585	0.0879021608	-0.0013275973000000001	-0.023313654500000003	0.0543754734	0.0686892169	0.009659988100000001	-0.08546062689999999	-0.0102074109	-0.052739583	-0.024087455	-0.06349347080000001	-0.20461558170000002	-0.0388245117	0.0806167649	0.12099119119999999	-0.0683178052	0.0223741667	-0.0379282627	-0.0771559855	-0.0308811763	-0.035445706800000004	-0.0578513638	0.1250595428	-0.028520489500000006	-0.1372860035	-0.0942179256	0.0695214757	0.0729257912	0.0118889236	0.11845577980000001	0.026329529700000003	-0.0973818976	0.009072492	0.1038177844	-0.020693146699999998	-0.025021017599999997	0.14234185970000002	-0.0740649955	0.013678306699999998	-0.0182609283	-0.0028845547	-0.0196158294	-0.0153329466	0.060817062699999994	0.0379164132	0.0929751217	0.0769784696	0.042025071100000005	-0.0779604182	0.0770335935	0.12222636890000001	0.033924533300000004	0.0846542271	0.0170506517	0.0313674307	0.0842431765	-0.1494045371	0.057655865599999995	-0.06452224919999999	0.0314793443	0.16658266689999998	-0.014220139599999999	0.0010216478	-0.11175498800000001	0.0639808972	-0.0250837356	-0.2034823468	0.053041020300000005	0.069306921	0.0016280814000000001	0.051944494	0.083976435	-0.12016245589999999	-0.1366170156	-0.0765732724	-0.020452841	-0.0089140121	-0.0743918366	-0.0502823538	0.0327411135	-0.0743208228	-0.0761034567	0.0486958846	0.0568522321	0.0299504138	-0.0360607848	-0.043389194900000004	0.0119049993	0.1345365771	-0.16095652859999998	0.0378104966	0.0724029776	-0.0732422476	-0.0097003084	0.0028561336	0.0771830624	-0.0898365507	0.1094794434	0.0022719864000000003	0.09107871470000001	0.032014274700000005	-0.044789380700000006	-0.0677957373	0.07587319320000001	-0.0728688213	0.1594127984	-0.078119221	-0.0886190992	0.0395582762	0.152609197	0.0204979105	-0.1077485031	0.10242607769999999	0.10191138039999999	0.10105546650000001	4.42166e-08	4.42166e-08	1.9551077155599997e-15	1.9551077155599997e-15	-0.0700335	-0.0700335	0.00490469112225	0.00490469112225	0.039961300000000005	0.039961300000000005	0.0015969054976900006	0.0015969054976900006	0.000856973	0.000856973	7.34402722729e-07	7.34402722729e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9175.24588319084	-7.319121035059652	84185137.01701047	53.56953272585268	10907.933171339668	-29.721196634100128	118983006.07041226	883.3495293628447	7079.354843720735	7.4613500289951835	50117265.00331223	55.67174425518643	7077.4605041595505	12709.143318199629	0.957851	39.01556400000001	0.11564874421659994	0.0708679	-0.11020447859999999	-0.0386617471	0.0424179178	0.0068922261	0.0707454961	0.0616032217	0.0183580074	0.0818480144	0.0512104179	-0.025796638700000003	-0.0317402076	0.035347120600000004	-0.0456800553	-0.0719949441	-0.034470911	-0.064689901	-0.0314270581	0.0156833113	-0.14994526619999998	-0.0438458825	-0.062045668899999996	0.1231428081	-0.0572614464	0.2148771935	0.023669090099999998	-0.043537228399999996	0.0380306368	-0.0542446229	-0.0935624999	-0.1338041714	-0.1128886061	-0.013822403700000001	-0.0243611628	-0.042686162	-0.0321554176	0.0281394375	-0.007576000699999998	0.10343321949999999	0.019420032900000002	-0.0824179416	-0.0672309946	-0.0013661557999999998	0.0277010373	-0.0009705912	0.1145239892	-0.1154537531	-0.0273283443	0.015868463500000003	0.07401500309999999	0.030572088100000002	0.08074374320000001	0.0192330699	-0.0932161186	-0.0641474816	0.0344245925	-0.048684198	-0.032784838	0.1816938816	0.0232224881	0.0219145719	-0.057619998	0.0698366379	0.1653487877	0.0931658897	0.0680251483	0.1534123323	0.0730878101	-0.095977331	0.0701770643	0.054901236900000004	-0.0373907248	-0.0503472096	0.09153691230000001	0.0281106599	-0.08263735259999999	-0.051398138899999994	-0.09029049380000001	-0.0662613968	0.111790381	0.0823595941	-0.0190320202	0.0052720508	0.0902236782	-0.017615493899999998	0.0578504696	-0.19054681350000002	-0.06330596620000001	-0.0184368812	-0.0301102029	-0.0597450504	0.0568885927	-0.0268736651	0.0530784245	-0.0078673358	0.0511557246	0.0597343507	0.11832244859999999	-0.0825353073	-0.0154143472	-0.0748942673	0.088444168	-0.0577013512	0.0582062574	-0.0689459747	0.044369162000000004	0.0423033967	0.0738919715	-0.0728611746	0.0253612636	-0.0388562022	0.04789533519999999	0.0315927502	-0.1504003245	-0.0076528568999999986	-0.0661710843	0.1061485012	0.007418457299999999	0.0357474772	-0.1388218064	-0.0536857776	0.011835183	0.116097841	-0.1186306347	-0.021452768599999998	-0.021212713799999998	-0.0310642269	0.0183937458	-0.10859446699999999	-0.1071011035	0.0088844226	0.0700471402	0.0346284696	0.0390157604	0.08445864410000001	0.0440626877	0.1590946768	0.0151749314	0.0171845887	0.029213126800000006	0.1604555928	-0.0561674093	-0.11978473449999999	0.09603541539999999	0.1587041488	0.1124194234	-0.058483328200000004	-0.0095960636	-0.0132449179	-0.0882731959	-0.0612096991	-0.10481530689999999	-0.0061065298	0.0240605093	0.06209133	0.037013274	0.10545229390000001	0.0380191267	-0.1522952022	-0.0105702759	0.0331954931	-0.043046272000000003	-0.0770946552	-0.0753835355	0.13429587839999998	-3.93299e-05	-0.007753915500000002	0.0828485825	0.0397123867	-0.0112705138	0.044277699000000004	0.036221628	0.0493592584	-0.0860831992	-0.0781260913	0.0419068377	-0.10748462060000001	-0.049995595999999996	0.0767882954	0.07735868230000001	-0.0126208247	-0.0426024824	-0.036310532799999996	0.0158645912	-0.07447019	-0.0672830143	-0.0083647307	0.0011406977	-0.0828721025	-0.046825480700000005	0.058005777599999996	-0.04478381519999999	0.1269571587	0.0983113048	-0.1072711184	-0.0002967441	-0.10169151300000001	-0.14100112380000002	0.1023139614	0.1014639107	0.10005238710000001	0.0	-4.42166e-08	0.0	1.9551077155599997e-15	-0.0121503	0.0578832	0.00014762979009	0.00335046484224	0.0136303	-0.02633100000000001	0.00018578507809	0.0006933215610000004	0.000228283	-0.00062869	5.2113128089e-08	3.952511161e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9208.57882450094	33.33294131010007	84797923.96704713	1111.0849763825756	10889.890271597296	-18.04289974237145	118589710.12742944	325.54623111326765	7075.195579968492	-4.159263752242623	50058392.49480569	17.299474960719387	7072.318331144826	12431.78506836311	1.538129	62.651688	0.03078418	0.0209722	-0.0049190555	-0.0072770838000000004	-0.1558128551	0.0067457661	-0.1934541054	0.1592958314	-0.0169516952	0.12604694	0.035225377599999996	0.0336529656	-0.0469250354	0.07583811480000001	0.0193927011	0.0073527727	-0.0829014552	0.1513080947	-0.0903304921	0.0714500742	0.0701564449	-0.08462676359999999	0.107730251	0.1134753519	0.0096713997	-0.029856665600000002	-0.137573412	0.1208055606	0.050951066100000005	0.0701529517	0.0011819976	-0.0008813497	0.0766696449	-0.0540043867	0.08597850259999999	-0.0021962063	0.046758229400000004	-0.0006519186	0.0895747232	-0.0035588765	-0.1471869434	-0.1890544694	0.0031073184	0.053778378200000004	0.0018371172	-0.1126057657	-0.06987027230000001	-0.1217263732	-0.002757436	-0.044977859	-0.017214437	-0.1531495249	0.0138186001	0.09911722029999999	0.131974482	0.08078133059999999	-0.08716067599999999	0.0204782979	0.0500801862	-0.06474580740000001	0.0224494573	0.013230279099999999	-0.0134172748	0.0110698816	-0.0538148762	-0.08464451519999999	0.09066407970000001	-0.1295326323	-0.0162727255	0.0512383428	-0.039768035	0.0677836378	0.1269943472	0.09799339550000001	-0.010914901000000001	-0.049599739000000004	0.0177338	0.029657881299999998	0.05868815030000001	-0.1084803179	0.0426628703	-0.045166732	-0.037022891	0.0673641245	-0.0181659676	-0.0027960246	0.0361595908	-0.029790896600000002	-0.0398251553	-0.0401527847	0.0237461706	0.0370013358	-0.0411388735	-0.0154350924	-0.0291591383	0.0843183094	-0.0037181316999999998	0.0397128008	0.0289738224	-0.0307162293	-0.0036016907	-0.047114088	0.0038191372	-0.1965071763	-0.0059499207999999994	-0.0639302138	0.08060861650000001	0.11612340939999999	0.0292278221	0.0225005027	0.0286517198	0.045644107999999996	-0.06391607469999999	0.014291246499999999	-0.08534483130000001	0.0317509783	0.0259665888	-0.05325703	0.0620601048	0.1658646961	-0.0166293371	-0.0073371338	-0.11480961949999999	-0.059889159500000004	-0.1266429715	0.0019783786	0.011221658	-0.025191043599999997	0.1336419924	0.0723347659	0.1365136209	0.07132422299999999	-0.0530159297	-0.1076838199	-0.0098907522	-0.0391598823	-0.0358737093	-0.054572943799999996	-0.0224008667	0.025473671099999998	-0.0102772993	0.0798069447	-0.0023248962	0.1165523728	-0.0867202252	-0.1051264819	-0.054744082	-0.025947623399999998	0.1403896889	0.0637837844	0.0563940264	0.0101151811	0.0385503544	-0.0050205249	-0.0439021918	-0.0097483767	-0.1258743949	0.0552410782	-0.0273564704	-0.032916281	-0.0685510147	-0.0079699224	-0.06985967280000001	0.0109056133	-0.026066952	0.0414951456	-0.0333856916	-0.007986950500000001	-0.0615432284	-0.0635252677	0.013497051000000001	-0.06770993759999999	0.0707037716	0.05552634730000002	-0.0290276984	-0.0051842817	-0.0152645946	-0.09539304300000001	0.049556902800000004	0.0169434188	0.0973605401	-0.004173653	-0.1656744047	-0.029368022799999997	0.046919036100000006	-0.0944428184	-0.0568799767	0.0018852159	0.0085982298	0.0761923429	0.0827267105	0.024537854100000003	-0.0099225362	0.076847195	-0.0406352679	-0.03909695	-0.007175611899999998	-0.0353361648	0.16909042170000002	0.1021738733	0.10090549160000001	0.0988031726	0.0	0.0	0.0	0.0	0.00718001	0.01933031	5.15525436001e-05	0.0003736608846961	0.00852948	-0.005100819999999999	7.275202907040003e-05	2.601836467239999e-05	0.000101222	-0.00012706099999999998	1.0245893284e-08	1.6144497720999995e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
