global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
9619.435068515908	n/a	92533531.03739364	n/a	11550.988333786592	n/a	133425331.48727396	n/a	7095.329308045532	n/a	50343697.98960989	n/a	7104.398873829669	10686.620717085842	n/a	n/a	n/a	n/a	-0.0110174747	-0.0992936593	-0.0655069714	0.03548193	-0.7711085354	-0.14485707949999999	0.1229928857	-0.01579801	-0.0193460537	0.0368601784	-0.0011006751	0.0050465809	-0.0230210196	0.024171768399999998	-0.0674480264	0.028188227599999997	-0.0050100869	0.0132326905	-0.0132630163	0.050878920999999994	-0.0981059518	0.12134305029999999	-0.0828429916	0.0262060538	-0.1096345724	0.0161522398	-0.0688342007	0.033123551800000005	-0.0163680712	0.1136842268	-0.0346040054	0.058926100700000004	-0.0325802403	0.036041298199999995	-0.0392036359	0.0519915851	-0.0294161225	0.0105610547	-0.055784616100000003	-0.0574855973	0.0121798524	0.0119943252	-0.0485082258	0.01718655	-0.0085483854	0.0888047758	-0.0050913563	0.1395401966	-0.0375443929	0.06555835089999999	-0.0659336002	0.038126774100000003	-0.0851961678	0.0987942617	-0.08864540650000001	0.05067089	0.0223655354	-0.0440208273	0.1070695583	-0.0154082312	0.0434121216	-0.0060479597	0.010623442700000001	-0.025937548300000002	0.0003237863	-0.0009780249	0.0668970286	-0.08313364599999999	0.035769249700000005	0.0584955692	-0.0221497682	0.054299075999999995	-0.0333076502	-0.0076022739	0.043951753600000004	-0.0354037801	0.034152761499999996	0.0128724098	0.1213967172	-0.0438890355	-0.0794546692	0.0228840308	0.0676252884	-0.0839108649	-0.13358754050000002	0.08847860589999999	-0.0232661479	-0.1149432051	-0.0381628307	0.015234497900000001	0.050580427000000004	0.07305275559999999	-0.0710904631	-0.0721427238	0.1007346292	0.0423909978	-0.0945970871	-0.1100303953	0.06395781	0.0709020621	0.0963166715	-0.0035219170000000007	-0.0979702136	-0.0824019635	0.012766988600000001	0.050714720199999994	0.1468301762	-0.0278921977	-0.0265692009	-0.0301168359	-0.0170991151	0.030289902799999997	0.028891524	0.0877468243	-0.0555430621	-0.09255289439999999	-0.009352062900000001	0.023420823700000003	0.1057111174	0.0133455951	9.669370000000001e-05	0.0522545846	-0.0702320537	-0.0018635216000000001	0.11757653609999999	-0.0515317945	0.1908168375	-0.0699880288	0.1011623968	-0.1798050675	0.2632904493	-0.2599069843	0.0085479345	-0.0531129699	0.0181542424	-0.0790618196	0.1127812862	-2.321320000000001e-05	0.0656650872	-0.0453001208	0.0651498378	-0.10272377880000001	0.0766909521	-0.033456846	0.0577728053	-0.0480509079	0.0030258171	-0.0696547679	0.0435722551	-0.055217714	0.0028793803	0.030802484900000007	-0.0726674904	0.1179826206	-0.118112496	-0.0722195697	0.09457023519999999	0.008373639799999999	-0.0360161616	-0.083221617	0.0647148361	0.1157588558	-0.0152365544	-0.0389757722	-0.1604354067	0.0365526331	0.0481721608	-0.0880303227	-0.0265986923	-0.0280191632	0.0363854683	0.021917708799999998	-0.0756150224	-0.0828274398	0.06745984099999999	0.025750014100000003	0.013020513700000002	-0.10075084769999999	-0.06293566190000001	-0.0129046752	0.051930850300000005	0.0708424631	-0.0711156343	-0.1005659155	-0.005650339200000001	0.059161465999999996	0.0254381123	0.0820999699	-0.0106095097	-0.0127505942	-0.0343159409	-0.0560666173	0.05956489650000001	0.1428670346	-0.1081531212	-0.0129180342	-0.007994265799999999	-0.0586711119	0.034154043700000004	0.0191993339	0.030715854700000007	0.0116075369	0.102594329	0.1025838106	0.1025662807	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0749192	n/a	0.005612886528640001	n/a	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0	0.0
9549.921389686348	-69.51367882956039	91200998.54918882	4832.15154441927	11299.439218255537	-251.5491155310556	127677326.64705127	63276.957524456346	7093.275161243221	-2.054146802311152	50314552.51311005	4.219519085445131	7099.098750181995	10396.660269419352	1.10714	42.559078	0.035384000000000006	0.035384	-0.0824353281	0.0355382863	-0.0202646142	-0.0336627426	-0.464076186	0.0997894607	-0.12219595109999999	-0.0076358891	-0.05748983200000001	0.0228384797	-0.10701265630000001	-0.0431288959	0.08822728070000001	-0.09228131140000001	0.07239311080000001	-0.0307823646	0.0703340119	-0.021715309199999998	0.032147736	-0.11285034390000001	0.0689265345	-0.0364046438	0.03259415	-0.1401317005	0.0659321517	-0.028980916699999998	0.09036734630000001	-0.0735946151	0.0451532488	-0.14615773210000002	0.1170431841	-0.1207081796	0.0406594075	-0.0072106762	0.060865333	-0.0903802284	0.0422929857	-0.048148429900000005	0.080600933	0.030851791099999998	-0.0391799492	-0.031119036699999998	0.0730376191	-0.093855027	0.050125950700000005	-0.041261972	0.0400774633	0.1568038592	-0.012497045900000002	-0.0484198187	-0.0379417361	0.027892895499999997	-0.0221076683	0.19499523079999997	-0.21313257530000002	0.0330616282	-0.0293187355	-0.0026788496000000003	0.2143684213	0.0024632106	-0.0465145013	-0.0990544901	0.052670025700000005	-0.09980060630000001	0.0309948115	0.0489527317	0.1806864226	-0.0798457353	0.0158901125	0.049991754699999995	0.0255167393	0.1003525312	0.0414580056	0.0333699368	-0.0072947039	-0.013685391000000002	0.0623561528	0.0369760378	0.0016115501	-0.06555475150000001	-0.011965463	0.07480634139999999	-0.0014864991	-0.041816393199999996	0.0365926183	-0.0016770051000000001	-0.13018449	0.041256784399999996	0.0333685867	-0.047768946900000005	-0.0198636087	-0.0080889269	0.0307059923	-0.029610671	0.0180487692	0.0951966201	-0.051544590099999996	-0.0033063768	0.010394511700000001	-0.027100161400000003	0.0337924853	-0.0314789978	0.09688153199999999	0.021784148700000002	0.0924555295	-0.0982680349	0.0511574633	-0.0921914534	-0.1183403894	0.018334606	-0.07742484599999999	-0.0060231314	-0.0397117799	-0.028324947200000002	0.0382947817	0.011418233500000001	0.139619475	-0.0080460103	-0.060964280999999995	0.07435710000000001	-0.0369960165	0.038853256	-0.042106202999999995	0.0553114168	-0.027087406	-0.06728446269999999	0.1907600772	-0.039808241099999996	-0.0135660201	-0.1731396775	0.2673584585	-0.31352064609999997	0.09907105279999999	-0.0930593398	-0.0082771685	-0.1082843599	0.0458856576	0.0671822805	-0.0729113598	-0.0443431151	0.0933977959	-0.0985094824	0.0437053864	0.0008366077000000001	0.0639608853	0.0031766876000000003	0.0187311469	-0.007112045300000001	0.005499476600000001	0.0646042314	-0.0003225377	-0.057487447699999986	-0.042215617000000004	-0.038605257999999996	0.0070850984999999995	-0.0280634263	-0.0398618033	-0.0188129572	0.02880179	-0.0048366801	0.0765371994	0.018988064199999998	-0.0582583507	-0.0367083248	0.14607071	0.0234696935	0.0107465752	-0.047312977199999995	-0.0361595414	0.0510756413	-0.0440752962	-0.0413911207	0.0494879871	-0.0501203536	-0.0611662165	0.0200560202	-0.0236221787	-0.0502063927	0.0176677409	-0.0672354686	0.058878196699999996	0.042392527	-0.1162888643	0.0783421311	0.1447015567	0.0027825798999999997	-0.043830427400000004	0.022065355099999996	-0.0537684658	-0.006360054499999999	0.00026388	0.0416114992	-0.023140760899999998	0.0599981759	0.1044387061	0.09476569369999999	0.0131183952	0.0246444427	-0.0099590199	-0.0055985288000000005	-0.0015806603	0.0552955533	0.1025662807	0.1024716367	0.1023139614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0395352	-0.035384000000000006	0.00156303203904	0.0012520274560000005	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9522.744490062083	-27.17689962426448	90682662.62300776	738.5838731873469	11066.920418397285	-232.5187998582514	122476727.54713874	54064.99228752159	7087.642822862738	-5.632338380482906	50234680.78447769	31.72323563226081	7089.846019384359	10335.37829913328	0.98843	37.995781	0.0061016	0.00610164	-0.0838308325	-0.08742069289999999	0.0298230165	-0.0500999235	-0.1833271821	0.0103012101	-0.0023112019	0.0816012986	-0.0017490202999999999	-0.0930195793	0.1308799022	-0.0844880446	-0.1249300783	0.012609742	0.06065302860000001	-0.06853877559999999	-0.1318131835	0.0839225179	0.09480581519999999	-0.0796321032	0.1116263775	-0.0719474991	0.021588638599999998	0.2319367673	0.1238321883	-0.0701171648	-0.0017557537	0.058038768399999996	0.0336072454	-0.0219915535	-0.0575465071	0.0765518581	-0.054084908	-0.0771293328	0.028592144500000007	-0.0084577052	-0.0684046416	0.0388927378	0.007908560600000001	-0.0096795049	0.0786436565	0.0194083988	-0.0107059564	0.0763989068	0.0920015467	0.038237685099999995	-0.062019116	0.040061101	-0.10970945039999999	-0.0666691209	-0.0098093593	-0.0796848483	-0.0426514386	0.07402922969999999	-0.1243682573	0.0930509336	-0.0596546521	-0.1276263386	0.1769720709	0.0357575949	0.0435175732	0.1123044785	-0.0694076024	-0.0438543914	0.0108992076	0.0857403107	0.0463809304	0.0004437114	0.0358472854	0.0911805567	-0.1013692573	0.10429634289999999	-0.0133150176	-0.1383094588	-0.1320351012	0.0411072768	-0.1856755077	0.045994101100000004	-0.0367046515	-0.0029870821000000003	0.1213952501	0.0095335692	-0.0836382089	0.052770097599999996	0.1416980835	0.027508148399999998	-0.0512802112	-0.1269274743	0.1024326021	-0.10822898939999999	0.012788596599999999	-0.0977450625	0.059631373200000004	0.026982992	0.015205846299999999	-0.015297381799999999	0.1868892711	-0.1053046312	-0.0015567970000000002	-0.0349177564	0.09980775230000001	0.0705151765	0.0271782264	0.0423158913	-0.0842739117	0.056448882699999994	-0.1328327076	-0.0342977011	-0.007285666	0.0097406219	0.0028501138	0.0460416344	0.0343453394	0.0624163073	0.11407681480000001	0.1487290002	0.0495924284	-0.0043589816	-0.07349610179999999	0.0701595979	-0.14051645029999998	-0.0371669649	0.0083760548	0.09317127160000001	0.0593346709	0.042961745700000005	0.0509701782	-0.1276713152	-0.05401487940000002	-0.08557922109999999	0.0431129746	-0.2018449396	-0.0112031023	-0.0354202438	-0.051389540899999996	-0.1350461963	0.0619430345	-0.020013606	0.0601567839	0.0424352435	-0.0299307304	0.028052234300000003	0.10058536720000001	-0.0254866174	-0.07074480799999999	0.1031385898	-0.0733171408	0.039790524300000005	0.0680796599	-0.0722629764	-0.1169041943	0.0398443784	0.2130020998	-0.0726210553	0.1298008373	0.0925501341	0.0023479269	-0.0854541261	0.0839272554	0.0195014825	0.025621177999999998	-0.0707815178	-0.0141499156	0.085903619	0.0852062405	-0.0309779898	0.1732255027	0.1316963874	0.0776721975	0.0462689101	0.0335754511	-0.0690087113	0.1073209991	-0.0277157433	0.059772796399999994	0.0169285592	0.0846652798	0.1184691208	-0.1211304596	0.0049560005	0.027093903	-0.0891582452	0.0840610576	0.040866945	-0.0520028162	0.0400506195	-0.11261400029999999	-0.0845494034	-0.0308354694	0.014341703999999999	0.055094034199999996	-0.0227317398	0.0232949984	-0.0839081209	0.08485521619999999	0.014240311100000003	0.0731437796	-0.017884843	-0.1727748687	-0.08846525640000001	-0.0441913862	0.046033097599999996	0.10251019189999999	0.1022474116	0.1018099433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0334336	-0.0061015999999999996	0.0011178056089600002	3.722952255999999e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9481.864926098388	-40.879563963695546	89905762.47677478	1671.1387498618756	10968.84337709322	-98.07704130406456	120315525.0312018	9619.106030959185	7080.223093883618	-7.419728979120009	50129559.05916292	55.05237812359326	7083.925677212067	10357.32720222516	1.40873	54.152328	0.1199806	0.07524589999999999	0.12142395480000001	0.11088415830000001	-0.0543729207	-0.0471076563	-0.0624805323	-0.052842128700000005	-0.043514941900000007	0.0131106576	-0.042799887599999996	-0.1793993252	-0.0178734396	-0.0314297445	0.164580372	0.03980718	-0.001102116	-0.1128756957	-0.0662683443	-0.0809150254	0.019383446000000002	0.11683997019999999	-0.0212024915	-0.1516550487	0.1474298018	-0.0187971054	0.11645707890000001	-0.033645534	0.0176856538	-0.0534166777	-0.1546980923	-0.1030678747	-0.0149594229	-0.0800703019	0.0427120575	0.10041174300000001	-0.07095503809999999	0.0278077192	0.0585984043	0.0202207672	-0.06813060309999999	0.0288681241	-0.0523690136	-0.0172217816	0.125790924	0.0296462833	-0.1184069558	-0.025034027799999997	0.1200303433	0.0226587991	-0.09520003070000001	-0.074528266	-0.2002275923	-0.0071645295	-0.04249911730000002	0.032954275400000003	-0.19841359960000002	-0.1842626868	0.1773808311	-0.0815133918	-0.0091206893	0.1351285093	0.0089773374	0.0061597625	-0.0324982355	-0.0325805183	0.043948390999999996	-0.0226727446	0.11026811660000001	0.052348689299999994	-0.0800032294	0.038782431	-0.033311505899999996	0.063188724	-0.0660539237	0.0799486071	-0.0640206794	0.0948190264	-0.06460947360000001	0.05881230780000001	0.057643322999999996	-0.0160828201	-0.054032304100000005	-0.1431008061	-0.0387214886	-0.0510221021	-0.0739669666	-0.0984497014	-0.0391733536	-0.0858497232	-0.0643612279	-0.026647788199999998	0.060016207599999996	0.061508225	0.045573929000000006	0.0862017508	0.0690037831	-0.0839481245	-0.0282138614	0.09053276800000001	0.0753375591	-0.0228852136	0.030113764100000006	0.09889076109999999	0.0747530715	-0.029888553300000002	0.031322016099999996	0.0674652227	0.003370787	0.027733032999999997	0.011206240800000001	-0.017833511	-0.1105607123	-0.0524653581	0.033604606	0.0225587992	-0.043349678499999995	0.0338513094	-0.23561118260000002	-0.0410434555	0.039548436299999996	0.0621133517	0.0263442506	-0.0330696746	-0.0364866532	-0.12210296470000001	-0.0471241274	-0.125649634	0.0242680262	-0.0976649099	-0.0388590017	-0.22384557800000002	0.0440842887	-0.0779146218	-0.0017743035	-0.1958947168	0.2118596151	0.1048427926	0.022607949	-0.10895196089999999	0.0112538106	-0.1100300475	-0.086831357	-0.028037096299999998	0.0752346125	0.0212196506	0.0315732184	0.0111191639	0.005283004399999999	0.08178098360000001	-0.0400473454	-0.011091341000000001	-0.0287349652	0.006651417299999999	-0.0027339190999999996	0.050090198499999995	0.19209981710000001	-0.0193929233	0.044434926900000005	0.029523812400000002	-0.0395531285	-0.0142248516	-0.1178631366	-0.0280652877	0.1061215302	-0.0034817471000000003	-0.05844342950000001	-0.0827901186	0.0450364422	0.0111131073	-0.0935495353	-0.03289292	0.015257518000000001	-0.02023096	0.031114067000000002	0.0624682983	0.1087239402	-0.008979654200000001	0.0486894484	-0.030342185299999998	0.1423957841	-0.027694765	0.056147489800000006	-0.0029190247	0.0554945653	-0.0279749198	-0.0016775283999999999	-0.0765478638	-0.0437502279	-0.1116697101	0.0951373397	0.005622483	0.0235872243	0.061428347599999995	0.017855136	-0.0846566917	-0.1513978124	-0.1877195493	0.0085428512	0.0371877473	0.0352453743	-0.0460537693	0.0502688624	-0.1529823722	0.10242607769999999	0.10191138039999999	0.10105546650000001	0.0	0.0	0.0	0.0	-0.0320683	-0.0320683	0.0010283758648899999	0.0010283758648899999	0.0977544	0.06432080000000001	0.009555922719360002	0.0041371653126400015	0.00047183	0.00047183	2.226235489e-07	2.226235489e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9488.737311303432	6.8723852050443375	90036135.76292188	47.229678406512306	10946.994963698246	-21.848413394975072	119836698.73523477	477.353167877726	7098.914567100479	18.691473216860686	50394588.03099138	349.3711710166204	7104.0291424003135	10046.348233524495	1.340792	51.540768	0.06295055	0.046409	0.1766060552	0.0776517666	0.0792148894	-0.1543314634	-0.0193402367	-0.2022447549	0.0282618846	0.0475805083	0.11991357289999999	0.022696719700000003	-0.0703894594	0.1472213623	0.10640527279999999	0.08375706769999999	-0.1035970016	0.057321558200000004	0.1440677027	-0.012950528700000002	-0.0504110089	-0.0037056959999999996	0.20161369420000005	-0.0634155852	0.1473717775	0.0064889213000000005	-0.0038886393	0.1472750126	-0.0993729753	0.0264691862	0.0183852436	0.009707407099999999	0.0197322695	-0.0830367451	0.0808024828	-0.0717752797	-0.1036320927	0.0002683441	0.0999855243	-0.0334033578	0.1188305231	0.0700932287	-0.0726738715	0.0084688882	-0.0716358192	0.09167494949999999	-0.289262938	-0.093565275	-0.0694299571	0.2074584981	0.2709939096	-0.015945205100000002	-0.0820239014	-0.0337908076	0.09430171289999999	-0.054938795	-0.0789495772	-0.3132565354	0.030026071	-0.047942913899999995	-0.0364112946	-0.0286654288	0.032019219700000004	0.0630548849	0.0325329735	-0.1030877823	0.0830427236	0.0665472066	0.0443843414	0.1072927584	-0.1522605134	-0.1588300254	0.1520090687	0.0770758029	-0.0108888296	-0.1229414748	-0.0014339023	-0.0475792083	-0.0304757417	0.047420391900000004	0.0357707754	-0.1129238569	-0.0170478225	-0.0796333472	-0.028628183300000002	0.15159416009999999	-0.08818682970000001	0.11298797810000001	0.034029794599999996	0.06829887059999999	-0.0008290098	0.043537111100000005	0.0023703538000000002	-0.0269276619	-0.0550443308	0.0451181048	-0.012297498899999999	-0.0672973598	-0.019667813899999997	-0.0324249597	-0.1361270832	-0.0405971049	-0.063917662	-0.0734832611	0.0315989235	-0.0259328775	0.0101499783	-0.1071831469	0.1164796688	-0.0095136734	0.1191116715	0.1102487984	0.0852420211	0.0310363469	-0.0191500978	-0.1040783624	-0.0067687247	-0.0169693029	0.0735944773	0.043942887400000005	-0.0286493895	-0.010932028799999998	-0.0185971186	-0.0213150406	0.0796851434	-0.2925786817	-0.0597058702	0.0517998023	0.23070278149999998	0.2679231113	-0.0164495113	-0.0618956126	-0.0622050419	0.0452840595	0.1063839567	-0.13566054119999998	0.27782003710000003	0.025906549700000003	-0.048936094299999996	-0.0063443558	0.0809638206	0.0660175648	-0.0386224295	-0.0682743342	-0.0016783288	0.0648541821	-0.0737650785	0.11020543220000001	0.0310231142	0.18940760280000002	-0.15702419410000001	-0.0705070589	0.0906642809	-0.1107761343	0.074434168	0.0415667676	-0.029044428599999998	-0.0563959687	-0.0181294583	0.0412499617	0.1249558733	-0.0751106726	-0.0423736236	-0.1378945304	-0.0251036067	-0.0823674527	-0.08359838	0.0970079499	-0.1078487051	0.056995107300000014	0.0652635049	-0.0346108162	0.0771875304	0.0154804576	-0.027219758599999998	0.0856179801	-0.051935064	-0.046764799	-0.1209755852	0.052025060199999994	-0.0319306667	0.013171288500000001	0.012213533700000001	0.0219015424	-0.0422611279	0.0543980888	0.0773596787	-0.0217626296	0.1896256263	0.09152776509999999	0.029600110699999998	-0.0046971494	-0.001151695	-0.0850091163	-0.10640354839999999	0.0005475393	0.1011010891	0.0173460271	-0.0249295889	0.012484033600000001	-0.0014203923	0.064136945	0.0252427008	0.0617547585	0.1023139614	0.1014639107	0.10005238710000001	0.0	0.0	0.0	0.0	-0.07489	-0.0428217	0.0056085121	0.00183369799089	0.0800103	-0.0177441	0.006401648106090001	0.00031485308481	0.000424135	-4.7695e-05	1.7989049822500005e-07	2.274813025e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9546.1364636303	57.399152326868716	91128721.38225202	3294.6626878430784	10922.299757301556	-24.695206396689173	119296631.98834965	609.8532189750779	7100.732832311781	1.8182652113018776	50420406.75587048	3.3060883786306614	7103.341989829543	10050.737316789007	1.952886	75.06998399999998	0.31545305	0.214567	-0.1689309688	-0.030481502799999997	-0.0476354546	-0.0896856701	-0.010929263400000002	0.09594360560000001	-0.12238495320000001	0.08064077110000001	0.1325754399	-0.2055650714	0.1424661124	0.0762528636	-0.1559390551	0.040079615	-0.0121020352	0.0404451702	0.1318330363	-0.12000678050000001	-0.1539265927	0.0117846906	0.0111463373	-0.0969487967	0.04558038440000002	-0.0191071988	0.0227243695	0.09320820099999999	0.0462553655	-0.0242512917	0.0757070347	0.0837352409	-0.0020914213	-0.0909778911	0.0415353634	0.0019384623999999999	-0.09050436220000001	0.020324183500000002	0.0646267912	0.0757636195	-0.0552920191	-0.0250061481	-0.10704824689999999	-0.0307410215	-0.0430663687	0.02191956	0.0219320681	0.08121769	0.0386400077	0.3666512021	0.132753555	0.2515227048	0.0063110517000000005	0.0358589973	0.0392260897	-0.0580059828	-0.0148505726	-0.0337508206	-0.0561422121	0.1052240681	0.0043482898	-0.1502623668	0.10867251439999999	-0.0037798274	0.0455247173	-0.1094847181	-0.0794616361	-0.0217147425	-0.0176766177	0.05068036769999999	0.0835499406	0.0021102847	-0.138260634	-0.0971513812	-0.058738380800000004	0.0200237578	0.0299707318	0.0349072966	-0.022905243	0.06250028190000001	0.0516762738	0.1567773963	-0.0354003089	-0.0546146717	0.2511730973	0.13689446060000002	0.0145404322	-0.0049471737	0.09120079019999999	-0.10753386949999999	0.0175680601	0.0573888552	-0.0723672008	0.080757285	0.0352326417	0.07973844719999999	-0.0069057486	0.0234246375	0.0764372193	-0.045825978600000004	0.0034945445	-0.060275665199999995	0.0317147793	0.0340219731	-0.09028366380000001	0.0256935048	-0.013527895900000001	-0.0447268434	-0.14280856320000002	0.0527337658	0.0533971455	-0.0602477789	0.0238360769	0.0708501388	0.0329128488	0.0119109547	-0.046218108200000003	-0.027458525	0.0174350913	-0.058635117199999996	0.0785803838	0.0105365831	0.035437644	0.0325132353	0.0850672733	0.0178274813	0.09861253269999999	-0.10084120769999999	0.3511082096	0.1236096864	0.2344166633	0.08836174109999999	-0.0294632181	0.11010965810000001	-0.0013787246	-0.03200657	-0.0086366695	0.022250183	-0.040686836000000004	0.1474835086	0.1041153373	0.1131422599	0.0871868133	-0.0059986563	-0.0687345739	0.0023677414	-0.08815810199999999	-0.06456622669999999	0.0933056974	-0.024939149	0.0072363439	0.025645186	-0.0415528379	0.1937147866	0.0073453124	0.012300712	0.019337875900000003	0.0870205504	0.0443446345	-0.0456975384	0.0020925618	0.2124665259	-0.1128281461	0.0750093466	-0.0390042041	-0.11246168390000001	-0.1626390169	-0.06501828280000001	0.0035282796000000007	-0.0556083595	0.134614066	-0.0438685546	0.0030979060999999997	-0.0950702304	0.0504566147	0.0870943782	-0.0263064075	0.037185526600000005	0.0034737676	0.034879237599999995	-0.0074479864	-0.0347832384	-0.0669150775	-0.08967922810000001	0.0696726655	-0.0003150047	-0.0180778712	0.0671864468	-0.0855462424	0.029827253999999997	0.047390183899999994	0.0193188264	0.0352264385	-0.0423133121	-0.011513870800000001	0.0004530356	-0.0343374936	0.060465903200000004	0.07871413370000001	-0.0902763217	0.049569837900000004	0.052230799800000005	0.0253511271	0.0222935692	0.1021738733	0.10090549160000001	0.0988031726	0.0	0.0	0.0	0.0	0.107691	0.182581	0.011597351481000004	0.033335821561	0.0579635	-0.022046800000000002	0.0033597673322499997	0.0004860613902400002	-0.00179237	-0.002216505	3.2125902169e-06	4.912894415025002e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
