global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16
9659.698399170413	n/a	93309773.16293544	n/a	10525.789582469366	n/a	110792246.33442064	n/a	7238.310665833194	n/a	n/a	52393141.29511458	7243.759180254521	13193.384926728351	n/a	n/a	n/a	n/a	-0.006447491999999999	-0.2287246831	-0.7818919255	0.19642472190000002	0.1509436603	-0.0654818732	0.0078900168	0.0371775021	-0.0029118256	0.032818166	-0.0290343308	0.0011279965	-0.0617988124	0.0097411146	-0.0179563506	0.030170471	-0.0383284693	-0.0941675251	0.13430837310000002	-0.0648604525	0.022830577400000003	-0.023815898500000002	0.08157828639999999	-0.0031597505	0.06252724400000001	-0.006444402199999999	0.061062819000000004	-0.0028187935999999998	0.0755533242	-0.0394080036	0.014301961399999999	-0.0380313817	0.044493152	-0.082030493	0.0340095734	-0.0244404588	-0.0046976206	0.0836343459	-0.0569264036	-0.0195272318	0.0551010221	0.0181709912	-0.0458511281	0.0703142963	0.0818192001	-0.016793207	-0.0053340071	0.05927881860000001	-0.14374827939999998	0.0311526234	-0.0234879302	0.0127509641	-0.14015451210000002	0.014793483400000003	-0.0314889325	0.0484723296	-0.1121912282	0.07740613889999999	-0.0963629968	0.0716417585	-0.0036005396999999996	0.071888816	-0.09707292669999999	0.0373597837	-0.0024658728	0.060020258099999994	-0.0444232464	0.0758834557	-0.0343798553	0.1138739617	-0.0128636725	0.0180610498	-0.0155790786	-0.1046802067	0.043969437199999996	-0.137798956	0.0190756747	0.0115271014	-0.0604319716	0.043318674800000005	0.08808488210000001	-0.0433178338	-0.0396206467	0.0418984585	0.0691461251	-0.0575367686	-0.0270294542	0.1133299506	0.0992919712	-0.0328066185	-0.1128611459	0.1083583956	0.0348436784	0.0272172583	0.0046077495	-0.0270099163	-0.0346636489	-0.0446979089	0.0310815972	0.0802799725	0.0044026534	-0.0815640473	-0.0698576667	-0.10352828160000001	0.0116894882	0.0599428234	0.0708010459	0.036076610499999995	-0.030135022200000007	-0.05505086	0.0632160404	0.054949666200000004	0.0478930766	-0.0355183865	-0.034790943	-0.0142630576	-0.0306265038	0.035533229300000004	0.012850968700000001	0.1078570981	-0.0840658817	-0.0706760087	-0.006764510400000001	-0.0649624909	0.032736114	-0.0088656566	0.09381344009999999	-0.1670990325	0.027548908599999998	-0.059985649400000014	0.0993025973	-0.16556957349999998	0.10074131060000001	0.0694965181	-0.1427526148	0.29149290510000003	-0.0148439002	0.1952015846	-0.10508879869999999	0.0355477612	-0.1653245163	0.14743641529999998	-0.0703671817	0.0260122092	-0.021976892400000003	0.026980007	-0.0658330542	0.09923648339999999	-0.1238043674	0.043291955199999996	-0.0198694876	0.0275680745	-0.10351274449999999	0.1342138785	-0.050827091799999995	-0.0283782399	0.0257600632	-0.0081693154	-0.0391465655	0.10416238859999999	0.06372738	-0.0016373204000000002	-0.1610304552	0.034179899900000005	0.010349398000000001	0.0763296233	-0.08395799779999999	0.0755144764	0.0084887588	0.0224072248	-0.0520528508	-0.0477775346	0.0836937408	0.0084258417	0.042355037699999994	0.0275632175	-0.1189440225	-0.024238376699999998	-0.05958617190000001	0.0213998031	0.0628126232	0.0046576754	-0.0103752838	-0.0376860138	-0.0615118007	0.0326775933	0.0848022607	-0.015055748300000001	-0.052275900800000004	-0.0896139611	-0.0012375036	0.0637309545	0.0795536684	-0.0036984745	-0.1198390285	-0.0761301385	-0.12224854380000001	0.0658580033	0.0057380189	0.0222443171	0.05646668730000001	0.012627174	-0.0890169298	-0.029657037200000007	0.102594329	0.1025838106	0.1025662807	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	-0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9596.086729164506	-63.6116700059065	92084880.51364715	4046.444560940343	10212.902130754026	-312.88745171533986	104303369.93236011	97898.55744091918	7235.080314276751	-3.2303515564435656	10.435171178217367	52346387.15403497	7236.509705399367	12933.615678260809	0.939363	39.534458	0.00323351	0.00323351	-0.0192096387	-0.1735487891	-0.3641367995000001	0.1129506979	-0.0152526676	-0.026081467	0.0734780402	-0.0211748158	0.0182929711	0.09721315779999999	0.0371735371	-0.10113331869999999	0.05929809110000001	0.056795164100000003	0.0701251779	-0.038385294900000005	0.1090904236	0.0363038246	-0.2056836973	0.09440568769999999	0.0125032036	-0.014020021200000002	-0.0055781762	-0.0826321275	-0.0556790283	-0.006078485400000001	-0.0668873287	0.0584763421	-0.0884479008	0.1187905411	-0.0878869156	0.1026316029	-0.083424312	0.08583844759999999	-0.058794295199999985	-0.0374366369	-0.0548268545	-0.1142344984	0.044965457400000006	0.0386378832	-0.1261705809	-0.0407362489	0.0929351907	-0.0474323996	-0.1226843173	0.062418290099999996	-0.011892508799999998	0.038085311600000005	-0.1102132585	0.0667732828	0.013428286999999999	0.046682216	-0.1601946225	-0.009997883	-0.0393408086	0.0512488256	-0.0082034954	-0.0239728295	0.007692276800000002	0.06816174679999999	-0.0180655557	-0.031971270499999996	-0.010399820799999999	0.0779777046	0.0997613169	0.07062537349999999	0.0371671691	0.0872261039	-0.11262016130000001	0.006720103000000001	-0.034677346	0.051359928799999996	0.1378499316	-0.09583170939999999	-0.0076105915000000005	3.49394e-05	-0.0545348375	-0.032192725299999995	-0.030734545800000002	0.014764854099999999	0.016084655	0.1020506651	0.0976957604	0.1046614065	-0.0330498165	0.0753792744	0.041181494	0.1367331573	-0.0002324885	-0.0917789247	-0.0668653963	0.144780558	0.025972003599999998	-0.054662116100000005	0.097697614	-0.029012726800000006	0.011741695600000001	0.0786120303	0.1022653937	0.1171489166	-0.043971436399999994	-0.0155551911	-0.0234114565	-0.1001752976	0.0209011658	-0.0410875052	-0.024111057	0.1072113868	0.0022774801	0.0502941538	0.10513815060000001	0.009019144599999999	-0.0357803711	-0.0308965313	-0.012113440900000001	-0.0088202098	-0.014930148999999997	0.0642554318	0.0569159221	-0.1078977915	-0.0680826122	0.0249409963	0.0044579497	0.1203517787	0.0051816845	-0.0132392307	0.0529558537	-0.1180335084	0.0622720118	-0.0999375885	0.08495649570000001	-0.1563989592	0.0813507665	0.0649542731	-0.10206381910000001	0.0994935323	-0.0509851955	0.055482950499999996	-0.10973620449999999	0.0410341916	-0.21964238649999998	0.0715325113	-0.0500363554	-0.0729518572	-0.07474133820000001	0.0834192908	-0.055148962	0.0415126621	0.0157375041	-0.0229932234	0.0182735627	-0.0605099632	-0.1416945584	-0.0188878319	0.0017199041	0.0618692083	0.10169644439999999	-0.0159019493	0.07490494610000001	0.0700513199	-0.0142507991	0.095637515	-0.1263015756	-0.1251364439	-0.043688402599999995	-0.0671229544	0.0221737467	-0.05056400849999999	0.0565284787	0.0270277846	-0.0844659824	-0.0188299373	0.0246199238	-0.0243957371	0.0605639334	0.0457320613	0.035938473	-0.0415036002	0.11250585240000001	-0.0577478519	0.008576411800000001	-0.025114823799999998	0.016081428999999998	-0.028308458199999997	0.018610119799999998	-0.0502812978	0.0570364469	0.0694771203	-0.0664243015	0.0111355857	0.0585274058	-0.0576426263	0.0026599713000000002	0.0099005536	0.0081201178	0.0698271425	0.0427467746	0.06795170440000001	-0.1249751783	-0.020872490900000002	-0.0573754976	-0.055663562699999995	-0.015107435800000001	0.0182468828	0.1025662807	0.1024716367	0.1023139614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00323351	0.00323351	1.0455586920100004e-05	1.0455586920100004e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9533.229690519564	-62.8570386449428	90882468.33220372	3951.007307211833	10088.592032487426	-124.31009826660014	101779689.19796877	15453.000531051775	7234.373966374631	-0.7063479021198873	0.4989273588291659	52336166.68535901	7234.037138671162	12493.677891514337	1.186133	49.92012	0.06215219	0.0362036	-0.1270544948	-0.0938737769	-0.1803122891	-0.08914934140000001	0.0173055969	0.0772066644	0.0722031204	0.0008928314	0.021653477	-0.0361644416	0.017420335500000002	-0.0442958228	0.006078521	-0.1045060394	0.015590832399999999	-0.022736026099999997	0.0167824214	0.0545242073	-0.07360767110000001	0.044523673099999994	-0.1280184457	0.0511046963	-0.1622471324	0.0833977837	0.0367686182	-0.09604241179999999	0.0370417234	-0.0395854298	0.032238264100000004	-0.057698714299999995	-0.0084479914	-0.014193973600000001	-0.06469385059999999	0.09544893	-0.0362568921	-0.0161689461	-0.0308786625	0.0307186383	-0.0924494744	-0.060545135199999996	0.024256612799999997	-0.046950980499999996	0.0044750604	-0.026025674	0.0040611301	-0.0206611016	-0.1171565276	0.0403670446	-0.0092064104	0.1634879655	0.01594393	0.0440632871	-0.0527069674	0.014510503999999999	0.022546794199999998	0.0802830188	-0.06255514200000001	-0.1024051957	-0.10649903869999999	-0.14757810400000002	0.056940621500000003	-0.061024320800000004	0.028092486200000003	0.1304723252	0.038346765	0.025483656299999997	0.1758752716	-0.048503325	0.006819602199999999	0.08472667939999999	-0.0984545892	-0.080744606	0.0191596165	0.029757515099999996	0.1137324661	-0.053831971500000006	-0.14682015210000002	-0.013917166000000002	-0.1356898628	-0.0573843054	-0.0176355369	0.0797273464	0.0312389329	-0.012567180700000001	-0.106051682	0.0890121123	0.059085691100000004	0.0479424221	-0.1208391107	0.0094213745	0.1337124082	0.0261974324	-0.1037779488	-0.0873499275	0.009297094399999999	0.10149723449999999	-0.0155677326	-0.050391218499999994	0.036926167200000005	-0.010402266700000001	-0.072205036	0.1565710366	-0.0203723331	0.040797991400000004	-0.0025790082	-0.0239457176	-0.0770178453	0.013005281100000002	0.0044134394	0.08840871289999999	0.0857733092	0.1170954017	-0.0337294712	0.018289833999999998	0.0964367963	-0.012198200900000001	-0.0414878992	0.0282112304	-0.0908887987	-0.0205243159	0.033051866	-0.0541731344	0.08593725619999999	0.018666203	0.0072848787	-0.1197163208	0.0439891934	-0.008535249200000001	0.1627394865	-0.059263168	0.0457035767	-0.048343149	0.038615454300000004	-0.0149711773	-0.0954602934	0.07081841679999999	-0.1227836985	-0.021203694900000004	0.1447279554	0.1278678775	-0.0445199724	-0.0081131642	-0.0459214481	-0.1283780624	-0.0469770588	0.0379718241	-0.1013920953	-0.13774757640000002	-0.0933836245	-0.09679371269999999	-0.07890853169999999	-0.06083113320000001	0.08857475599999999	0.0984082065	-0.010776221	0.021271709	0.0698914432	0.0148086595	-0.024609624	0.0031160173999999997	-0.09703671009999999	0.0700471421	0.0733416685	-0.1191805558	-0.0169672282	-0.1102250332	0.0771706419	-0.1305126334	-0.0167325975	0.023498845299999998	0.060647046399999995	0.1845394289	-0.1332797993	-0.0210538771	0.0098476238	0.0045637977	-0.0458217146	-0.073336271	0.0367549278	-0.06526723450000001	-0.09453845359999999	0.018661758100000002	-0.1061379181	0.020265626000000002	0.0185585728	-0.0821205909	-0.029634457000000006	0.1252104855	-0.079252152	0.07245864240000001	0.0662681232	0.0132411208	-0.055464845199999994	-0.0181133953	0.016437645	-0.1214794369	0.0091477229	0.032805435099999995	0.0297935342	0.12715234849999998	-0.0024422745	0.0469997993	-0.004621338	-0.0223758588	0.10251019189999999	0.1022474116	0.1018099433	0.0	0.0	0.0	0.0	-0.019637900000000003	-0.019637900000000003	0.00038564711641000016	0.00038564711641000016	0.030669	0.02743549	0.0007527061115401	0.000940587561	0.000301576	0.000301576	9.094808377599998e-08	9.094808377599998e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9493.056687654404	-40.173002865160015	90118125.27502	1613.8701592041546	9982.666986807732	-105.92504567969445	99653640.16950096	11220.115302245356	7219.725351838345	-14.648614536286006	214.58190783268964	52124434.15597732	7218.2753406556985	12522.184766597478	1.381444	58.14007900000001	0.056921249999999986	0.0326484	0.0278214579	-0.042205953	-0.054623312	0.048305798	0.044291367699999994	0.080237399	0.09096309	-0.0122843256	0.072443993	-0.027393577000000002	0.0876936583	0.1337332912	0.0780796116	-0.007094397	-0.09101631980000001	0.11489190029999999	0.0890609944	0.0206728476	-0.12315408900000001	-0.11786183759999999	0.0582195187	0.052878322400000004	-0.048782386500000004	-0.0169981468	0.0036093049	-0.0032007465	-0.0738150092	0.0666576207	0.0298547454	-0.1173267221	-0.058486776	-0.1100006516	0.0066139113	0.1507699643	0.0377531614	-0.0915597908	0.0622361742	-0.0051614925	0.12225368800000001	-0.057896626799999996	-0.0069496097	0.0321610195	0.1400664267	0.0682723091	0.0178056402	-0.0073817026	0.0077058649	0.0635227376	-0.0347267671	0.0258066531	0.1294737661	-0.1079027044	-0.0312756223	-0.0098741942	0.017856021399999998	0.0772120268	-0.0469400021	-0.13911854380000002	-0.12045821220000001	-0.0979343935	0.1305953521	0.0081057423	0.0268800481	-0.008359498299999999	-0.0096751978	-0.0028642211999999998	-0.07288186990000001	0.058986228200000004	-0.1501291944	-0.0163353246	0.0551272199	-0.10431721099999999	-0.06300061059999999	-0.1019653714	-0.0897323202	0.0185754211	-0.061018013899999994	-0.0095844724	0.013704573000000001	0.0435475091	-0.06587659629999999	-0.037214432900000004	-0.0205748606	-0.044170750099999996	-0.055255623	-0.0071936713	-0.0355256336	0.0076770545999999985	-0.0848429889	-0.0548707978	-0.10072766820000001	-0.1086634427	0.015042754299999999	-0.0191333089	-0.0432480667	0.0735630603	0.026495028599999998	-0.1397711558	-0.0198410876	0.0574327745	-0.0797917665	-0.0941273869	0.0188352983	0.1470433768	-0.026811881699999998	0.0406153727	0.14431505779999998	-0.0076829633	0.064810514	0.0165153963	-0.1181707554	0.0040155469	-0.065243859	0.0659934299	0.0863080227	-0.012547443500000002	-0.0175392677	0.016748439599999998	-0.0852863935	0.0155820627	0.0075178225	-0.0316628161	-0.0230125475	-0.1166996948	-0.0829105072	0.0076946409	0.0637586448	-0.04120771	0.035786344500000004	-0.0100822442	-0.1459073016	-0.08881760679999999	0.028715205299999998	-0.0051751389	-0.09647957039999999	0.046809222000000004	-0.1703146106	0.012592606899999999	0.0807490088	0.1167366823	0.0718984193	0.0322738411	-0.015536546100000001	0.046267940099999995	-0.0932711526	0.0206465537	0.019894866100000002	0.0935663452	0.1410845249	0.0430840316	-0.147350028	0.1031290423	-0.0183965795	0.018489115100000002	0.0406595469	0.0222304743	0.0081292329	0.0408027939	0.0020999581	-0.09131307550000001	0.043934171200000004	-0.050022755999999995	0.0009693742999999999	-0.0629394827	-0.0171810929	0.0402682086	0.1033263173	-0.0316753048	0.0293853727	-0.0842395056	-0.0805961978	0.044566240599999994	0.0003427072	0.029673257	-0.0041389544	-0.0868886683	-0.0725341605	0.0799832801	-0.1291411384	0.0059042947	-0.0364687188	0.09693930490000001	0.135592786	0.10168804949999999	0.0012480294	0.08849282900000001	0.038054644500000005	-0.09419449810000001	0.0008871932000000002	0.0949577242	-0.0844752965	-0.0319006901	0.0104126218	0.0319309748	-0.0731848959	-0.1012722019	0.0098796509	0.0352731265	0.0532885439	0.0913105572	0.0289691238	0.07042226780000001	-0.0836551588	-0.1496816204	0.10242607769999999	0.10191138039999999	0.10105546650000001	0.0	0.0	0.0	0.0	0.0	0.019637900000000003	0.00038564711641000016	0.0	0.00846445	-0.02220455	0.0004930420407024998	7.16469138025e-05	0.0	-0.000301576	9.094808377599998e-08	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9481.645383434869	-11.411304219534939	89901599.17721176	130.21786399077595	9939.164334231858	-43.50265257587307	98786987.66286662	1892.480781137116	7212.481688448978	-7.243663389366702	52.4706592984515	52019892.10621183	7210.328316275585	12530.05204707759	0.998873	42.03902100000001	0.00508556	0.00508556	0.0694411453	-0.0179756147	0.0138892979	0.0648557578	0.0819515847	-0.013707818600000001	-0.0238122494	0.0275332342	0.0709973594	-0.0251222558	0.1298890919	0.0710992337	0.0776414924	0.1128781348	0.0217088525	-0.04544811	0.0651031601	0.020811467900000002	-0.0117953012	-0.0475478037	-0.0415700819	0.08388401690000001	-0.0467491867	0.0112351199	0.0526765005	0.17027903449999998	-0.064742627	-0.0082270441	-0.022174845	0.0056640442	0.0401339406	-0.0140712798	0.0033463571000000004	-0.0912032929	-0.0227822064	0.0526708294	0.2218440661	-0.0971314949	-0.07565747839999999	0.08401281070000001	0.09225198609999999	-0.0151073327	-0.1330852394	-0.0499084051	0.0284732465	-0.0053611883	0.0513687816	0.0119952927	-0.030246982999999998	0.045981000099999995	0.0311104504	-0.1823690051	0.0355247883	0.0781962408	-0.0770316711	-0.059247065999999994	-0.0629469604	0.0224448333	-0.0383153893	-0.053438578099999995	0.0069198211	-0.1150067107	-0.018320488899999997	-0.0651868601	0.2140130657	-0.0789840703	-0.0558286108	0.0378047153	-0.1132964176	-0.006204902900000001	-0.0591523221	0.0244317762	0.0491352228	-0.0299759108	0.09236541779999999	0.0204607203	0.1489174525	-0.0141997304	0.0232240841	0.0056171771	-0.050513936399999994	-0.0051048834	0.1391205094	0.055169780099999996	-0.0012307393	0.1369191455	0.08418317539999999	0.0951400645	-0.0435450851	-0.08402719800000001	-0.1433296161	-0.0189409006	0.0356100343	-0.0366063011	-0.09830483289999999	0.0587027721	0.0794178441	-0.032545065899999996	-0.0704504398	0.0713350192	0.0629706708	0.0694517629	-0.014035686799999999	-0.0754511584	0.0193609662	0.0469903491	0.0591237571	0.00039030330000000004	0.0607025948	0.0187029479	-0.11285379529999999	-0.010034098100000001	0.0029900255	-0.0460059713	0.0054328375	0.0448244448	0.0127160981	-0.058738722199999996	0.0232046175	0.10148648769999999	-0.0258559723	0.1110335781	-0.0517986664	-0.21665864010000002	0.0486685145	0.0540271902	0.0136099021	-0.0347865787	0.0420881184	0.1338500439	-0.1157080145	-0.020515075900000002	0.088820349	0.051866700099999996	0.0406137844	0.11297592099999999	-0.0346910433	0.04621436809999999	0.0337583279	0.0547043604	-0.1151215691	-0.0572604131	0.18538701789999998	-0.09462702710000001	0.0136030451	0.07845390370000001	0.006509976800000001	0.09108589119999999	0.0895776399	-0.015233783999999997	0.0654617233	-0.12104903869999999	0.0104243577	-0.0219048752	0.025824582000000002	-0.1214143215	-0.043529945599999995	-0.069638402	0.0203193107	-0.0415788044	0.0309388458	0.0967595409	-0.0536373384	-0.028929371000000002	0.0061558370999999995	-0.0809328799	0.0813326826	-0.1218058594	0.004704803400000001	-0.1110807469	-0.09829641369999999	-0.0271736359	0.0212092578	0.1205919621	0.0055236893000000006	-0.0984371633	0.0603500454	0.0147169765	-0.1270080575	-0.04200556019999999	0.0014522570000000002	-0.0579293147	-0.06273438419999999	0.030252973500000002	-0.0014210060999999999	0.0409780071	-0.0367228313	-0.1195544975	0.012497239399999999	0.0169560971	-0.021605987000000004	0.0624903275	-0.0741271714	0.064513741	0.0440565798	0.0162867949	0.0894528345	-0.0714151472	0.0548976186	-0.1379428172	0.0032895971	0.0418479603	0.0757048245	-0.0040227884	0.1023139614	0.1014639107	0.10005238710000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00337889	-0.00508556	2.5862920513600007e-05	1.14168976321e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
